date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11791286.5,515211.4,146015.8,827218.3,2679322.2,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14064863.9,580109.6,104929.9,998758.1,2747085.4,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13385233.6,554486.2,100932.4,947385.2,2627834.0,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13342987.2,563882.5,102818.8,933562.2,2660499.1,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13257951.4,587972.6,111260.7,953136.3,2632468.6,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14046587.1,617149.5,130286.0,919287.7,2974918.1,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11559640.0,628806.0,142376.5,950510.9,2569624.3,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9536606.3,515211.4,109029.3,827218.3,2015981.9,221744.8,191088.7,673009.1,928.1,194.1,2465.6
2020/03/16,10089195.4,580109.6,90558.5,998758.1,1950894.7,152333.5,233907.7,716584.9,1285.8,303.4,3240.0
2020/03/17,9178565.9,554486.2,75307.8,947385.2,1735678.0,147610.5,203975.5,596312.8,1801.7,478.2,4232.5
2020/03/18,9141695.1,563882.5,72917.2,933562.2,1697618.7,146159.9,203895.6,572007.2,2552.3,782.3,5556.0
2020/03/19,8599108.6,587972.6,64192.9,953136.3,1579539.1,140195.6,185519.6,534859.1,3616.5,1264.5,7267.5
2020/03/20,7956809.6,617149.5,50801.7,919287.7,1433777.0,132949.5,156818.8,518038.5,5087.8,2028.5,9472.3
2020/03/21,6391331.2,628806.0,42098.0,950510.9,1079765.7,113656.6,110319.8,401554.4,7089.4,3136.2,12299.9
2020/03/22,5995231.5,515211.4,48551.4,827218.3,998374.9,116868.6,122423.2,438108.1,9720.3,4681.9,15808.9
2020/03/23,6371510.2,580109.6,34614.2,998758.1,1031217.8,105204.3,123985.7,366077.7,12973.2,6771.9,19938.7
2020/03/24,7079921.1,554486.2,42067.1,947385.2,1197841.6,124361.0,149015.4,422455.4,16800.7,9438.7,24588.7
2020/03/25,7456523.1,563882.5,44074.8,933562.2,1282530.0,135779.8,155080.3,452300.8,21173.0,12678.9,29765.7
2020/03/26,7046323.4,587972.6,41596.0,953136.3,1181649.9,119785.3,143560.8,403950.5,26073.3,16524.3,35410.7
2020/03/27,7160901.8,617149.5,43552.1,919287.7,1233830.1,123602.8,142569.7,434186.8,31550.3,21022.9,41569.3
2020/03/28,5860166.2,628806.0,50561.7,950510.9,955026.7,95596.2,115623.8,433008.6,37529.4,26148.0,48066.8
2020/03/29,5082367.7,515211.4,41315.0,827218.3,810563.0,93198.6,96620.0,388221.0,43918.9,31802.6,54900.3
2020/03/30,6602263.2,580109.6,38917.1,998758.1,1063937.7,112083.6,133639.0,396249.5,50529.9,37846.0,61972.2
2020/03/31,6392335.1,554486.2,39033.3,947385.2,1037366.7,109424.8,134969.0,387061.6,57423.8,44332.1,69497.8
2020/04/01,6707917.2,563882.5,41695.3,933562.2,1091166.3,115268.2,142244.8,399588.1,64645.3,51180.9,77143.6
2020/04/02,6565336.2,587972.6,42804.7,953136.3,1052175.1,110495.0,137314.7,403838.5,72387.4,58145.8,85762.8
2020/04/03,6039978.5,617149.5,46847.2,919287.7,993777.5,83669.5,137227.2,404064.8,80548.2,65846.0,94934.0
2020/04/04,6066954.0,628806.0,56522.2,950510.9,958515.3,84517.1,126654.5,430665.2,89042.1,73902.7,104545.5
2020/04/05,5089772.4,515211.4,42427.2,827218.3,781214.3,84292.1,101857.1,364108.8,97700.7,82119.4,114227.5
2020/04/06,6205747.9,580109.6,42998.7,998758.1,952408.0,90612.5,127838.5,369105.2,106250.7,90550.9,123740.1
2020/04/07,6116464.1,554486.2,43150.8,947385.2,946378.7,92100.4,129081.2,365540.0,114815.5,99135.0,133271.3
2020/04/08,5995428.1,563882.5,44623.5,933562.2,933518.3,91382.9,130877.5,363456.7,123565.9,107758.1,142900.3
2020/04/09,5700081.9,587972.6,44699.5,953136.3,868129.3,83567.3,121783.3,363823.5,132424.4,116540.0,152598.6
2020/04/10,5961365.2,617149.5,55945.7,919287.7,962913.6,83513.4,138884.7,414350.8,141424.7,126116.1,162374.2
2020/04/11,6126282.7,628806.0,62406.4,950510.9,966449.8,90018.4,145396.2,440817.3,150324.9,135284.9,172038.4
2020/04/12,4460977.2,515211.4,7272.9,827218.3,686356.3,81683.4,89136.9,234954.4,159029.2,144093.7,181599.0
2020/04/13,4929822.8,580109.6,30104.3,998758.1,706288.2,70490.5,88396.4,264728.9,167554.0,152584.1,190921.0
2020/04/14,6101320.5,554486.2,44885.7,947385.2,980958.1,93291.0,133846.8,369103.2,175925.4,160785.7,200044.1
2020/04/15,6088332.3,563882.5,45640.0,933562.2,980419.5,91591.5,128799.0,361397.3,184218.9,168229.5,209050.0
2020/04/16,6086780.6,587972.6,45801.8,953136.3,975038.7,95952.8,127102.5,360161.1,192406.5,175820.2,217725.0
2020/04/17,6401875.9,617149.5,50145.3,919287.7,1089051.1,98776.6,136089.0,393052.8,200423.0,183530.7,226159.6
2020/04/18,5750465.6,628806.0,55180.6,950510.9,935306.1,85314.6,116115.1,390733.7,208247.6,190266.6,234355.0
2020/04/19,5550819.1,515211.4,45296.7,827218.3,895694.1,96206.1,103034.3,354022.3,215973.4,196637.9,242422.1
2020/04/20,6377438.0,580109.6,42770.8,998758.1,1021551.6,102313.5,125071.8,357049.8,223569.5,202876.7,250320.4
2020/04/21,6332236.5,554486.2,42818.7,947385.2,1013812.2,104637.2,123008.0,361331.3,230875.2,208788.6,258015.8
2020/04/22,6867350.9,563882.5,50556.5,933562.2,1139712.7,111577.3,141710.4,409836.9,237973.0,214478.0,265500.6
2020/04/23,6893767.5,587972.6,50465.4,953136.3,1146036.9,111196.0,139119.3,406932.3,244999.3,220083.1,272897.6
2020/04/24,6605010.7,617149.5,48882.7,919287.7,1130977.3,107957.9,129925.3,392427.6,251938.2,225577.3,280094.9
2020/04/25,7294008.2,628806.0,62709.6,950510.9,1248024.3,122754.6,138103.6,447394.7,258775.7,230952.3,287107.1
2020/04/26,5051432.4,515211.4,45784.3,827218.3,776479.4,85675.0,91588.2,342631.1,265512.1,236221.9,294037.0
2020/04/27,6765635.7,580109.6,47977.1,998758.1,1059792.3,103293.2,131464.2,378719.3,272106.4,241374.0,300842.3
2020/04/28,7545691.4,554486.2,50147.0,947385.2,1230832.5,127457.7,146579.1,403152.1,278611.8,246429.4,307601.4
2020/04/29,6894566.6,563882.5,49104.7,933562.2,1092685.5,111284.7,133634.7,383163.5,285060.4,251414.8,314260.0
2020/04/30,6559025.8,587972.6,46125.7,953136.3,1025224.0,103174.6,124449.9,357624.1,291429.3,256336.3,320791.2
2020/05/01,7526177.9,617149.5,60543.9,919287.7,1283555.4,122142.3,150213.4,422836.7,297772.3,261212.8,327183.6
2020/05/02,7741215.3,628806.0,65619.0,950510.9,1288887.1,132095.7,135104.5,445289.2,304043.4,266044.2,333523.2
2020/05/03,,,,,,,,,310315.2,270849.9,340063.0
2020/05/04,,,,,,,,,316531.6,275636.1,346378.0
2020/05/05,,,,,,,,,322504.2,280143.8,352759.9
2020/05/06,,,,,,,,,328452.7,284672.5,359335.6
2020/05/07,,,,,,,,,334397.9,289200.5,365332.9
2020/05/08,,,,,,,,,340214.0,293632.9,371514.8
2020/05/09,,,,,,,,,345948.8,297974.0,378008.9
