date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11800584.3,515211.4,146015.8,827218.3,2679322.2,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14076390.2,580109.6,104929.9,998758.1,2747085.4,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13382216.1,554486.2,100932.4,947385.2,2627834.0,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13337662.6,563882.5,102818.8,933562.2,2660499.1,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13233964.1,587972.6,111260.7,953136.3,2632468.6,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13994608.4,617149.5,130286.0,919287.7,2974918.1,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11560705.4,628806.0,142376.5,950510.9,2569624.3,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9539126.2,515211.4,109029.3,827218.3,2015981.9,221744.8,193608.6,673009.1,928.1,194.1,2465.6
2020/03/16,10092250.8,580109.6,90558.5,998758.1,1950894.7,152333.5,236963.2,716584.9,1285.5,302.0,3226.2
2020/03/17,9195976.2,554486.2,75307.8,947385.2,1735678.0,147610.5,221385.8,596312.8,1800.7,479.7,4231.8
2020/03/18,9157547.8,563882.5,72917.2,933562.2,1697618.7,146159.9,219748.3,572007.2,2551.0,778.2,5568.2
2020/03/19,8643654.8,587972.6,64192.9,953136.3,1579539.1,140195.6,230065.8,534859.1,3614.3,1267.1,7301.7
2020/03/20,8031697.9,617149.5,50801.7,919287.7,1433777.0,132949.5,231707.0,518038.5,5082.4,1994.3,9510.8
2020/03/21,6510413.4,628806.0,42098.0,950510.9,1079765.7,113656.6,229402.0,401554.4,7082.2,3036.8,12358.5
2020/03/22,6066417.0,515211.4,48551.4,827218.3,998374.9,116868.6,193608.6,438108.1,9708.4,4541.3,15879.0
2020/03/23,6484487.7,580109.6,34614.2,998758.1,1031217.8,105204.3,236963.2,366077.7,12953.4,6636.2,20020.2
2020/03/24,7152291.5,554486.2,42067.1,947385.2,1197841.6,124361.0,221385.8,422455.4,16776.1,9300.2,24634.7
2020/03/25,7521191.1,563882.5,44074.8,933562.2,1282530.0,135779.8,219748.3,452300.8,21144.2,12505.9,29745.6
2020/03/26,7132828.4,587972.6,41596.0,953136.3,1181649.9,119785.3,230065.8,403950.5,26043.7,16281.6,35363.3
2020/03/27,7250039.1,617149.5,43552.1,919287.7,1233830.1,123602.8,231707.0,434186.8,31523.8,20704.4,41433.2
2020/03/28,5973944.3,628806.0,50561.7,950510.9,955026.7,95596.2,229402.0,433008.6,37507.7,25747.7,47922.7
2020/03/29,5179356.3,515211.4,41315.0,827218.3,810563.0,93198.6,193608.6,388221.0,43911.6,31365.9,54734.5
2020/03/30,6705587.4,580109.6,38917.1,998758.1,1063937.7,112083.6,236963.2,396249.5,50539.7,37370.2,62018.4
2020/03/31,6478751.9,554486.2,39033.3,947385.2,1037366.7,109424.8,221385.8,387061.6,57455.1,43773.7,69537.9
2020/04/01,6785420.8,563882.5,41695.3,933562.2,1091166.3,115268.2,219748.3,399588.1,64707.5,50685.2,77682.8
2020/04/02,6658087.2,587972.6,42804.7,953136.3,1052175.1,110495.0,230065.8,403838.5,72485.0,58201.7,85907.5
2020/04/03,6134458.3,617149.5,46847.2,919287.7,993777.5,83669.5,231707.0,404064.8,80687.8,66145.0,95086.0
2020/04/04,6169701.5,628806.0,56522.2,950510.9,958515.3,84517.1,229402.0,430665.2,89227.2,74242.1,104780.2
2020/04/05,5181523.9,515211.4,42427.2,827218.3,781214.3,84292.1,193608.6,364108.8,97932.7,82506.8,114582.9
2020/04/06,6314872.6,580109.6,42998.7,998758.1,952408.0,90612.5,236963.2,369105.2,106534.5,91340.4,124154.8
2020/04/07,6208768.8,554486.2,43150.8,947385.2,946378.7,92100.4,221385.8,365540.0,115155.1,99868.1,133703.4
2020/04/08,6084298.9,563882.5,44623.5,933562.2,933518.3,91382.9,219748.3,363456.7,123962.8,108469.2,143306.2
2020/04/09,5808364.4,587972.6,44699.5,953136.3,868129.3,83567.3,230065.8,363823.5,132873.7,117475.4,152944.0
2020/04/10,6054187.4,617149.5,55945.7,919287.7,962913.6,83513.4,231707.0,414350.8,141930.0,126549.4,162724.6
2020/04/11,6210288.5,628806.0,62406.4,950510.9,966449.8,90018.4,229402.0,440817.3,150885.3,135425.3,172409.7
2020/04/12,4565448.9,515211.4,7272.9,827218.3,686356.3,81683.4,193608.6,234954.4,159654.2,144203.0,181848.8
2020/04/13,5078389.5,580109.6,30104.3,998758.1,706288.2,70490.5,236963.2,264728.9,168238.6,153058.0,191118.2
2020/04/14,6188859.5,554486.2,44885.7,947385.2,980958.1,93291.0,221385.8,369103.2,176669.7,161565.1,200357.6
2020/04/15,6179281.6,563882.5,45640.0,933562.2,980419.5,91591.5,219748.3,361397.3,185026.8,169468.2,209351.8
2020/04/16,6189743.9,587972.6,45801.8,953136.3,975038.7,95952.8,230065.8,360161.1,193274.0,177170.5,218235.0
2020/04/17,6497493.9,617149.5,50145.3,919287.7,1089051.1,98776.6,231707.0,393052.8,201348.4,184506.4,226914.0
2020/04/18,5863752.4,628806.0,55180.6,950510.9,935306.1,85314.6,229402.0,390733.7,209226.7,191262.8,235337.2
2020/04/19,5641393.4,515211.4,45296.7,827218.3,895694.1,96206.1,193608.6,354022.3,217005.8,197646.8,243626.8
2020/04/20,6489329.4,580109.6,42770.8,998758.1,1021551.6,102313.5,236963.2,357049.8,224659.4,203890.5,251811.4
2020/04/21,6430614.3,554486.2,42818.7,947385.2,1013812.2,104637.2,221385.8,361331.3,232016.6,209835.5,259607.3
2020/04/22,6945388.8,563882.5,50556.5,933562.2,1139712.7,111577.3,219748.3,409836.9,239165.6,215581.1,267119.5
2020/04/23,6984714.0,587972.6,50465.4,953136.3,1146036.9,111196.0,230065.8,406932.3,246246.9,221208.8,274493.2
2020/04/24,6706792.4,617149.5,48882.7,919287.7,1130977.3,107957.9,231707.0,392427.6,253232.6,226745.3,281676.2
2020/04/25,7385306.6,628806.0,62709.6,950510.9,1248024.3,122754.6,229402.0,447394.7,260118.6,232131.6,288746.0
2020/04/26,5153452.8,515211.4,45784.3,827218.3,776479.4,85675.0,193608.6,342631.1,266903.3,237401.0,295655.5
2020/04/27,6871134.6,580109.6,47977.1,998758.1,1059792.3,103293.2,236963.2,378719.3,273546.0,242517.4,302399.0
2020/04/28,7620498.1,554486.2,50147.0,947385.2,1230832.5,127457.7,221385.8,403152.1,280103.2,247681.0,309048.1
2020/04/29,6980680.2,563882.5,49104.7,933562.2,1092685.5,111284.7,219748.3,383163.5,286597.5,252793.6,315593.6
2020/04/30,6664641.7,587972.6,46125.7,953136.3,1025224.0,103174.6,230065.8,357624.1,293014.6,257820.1,322073.0
2020/05/01,7607671.5,617149.5,60543.9,919287.7,1283555.4,122142.3,231707.0,422836.7,299397.9,262803.3,328586.5
2020/05/02,7835512.7,628806.0,65619.0,950510.9,1288887.1,132095.7,229402.0,445289.2,305712.5,267658.8,335465.6
2020/05/03,,,,,,,,,312027.3,272549.9,341812.2
2020/05/04,,,,,,,,,318284.7,277400.1,348202.9
2020/05/05,,,,,,,,,324294.5,282001.0,354609.6
2020/05/06,,,,,,,,,330283.3,286658.5,360825.6
2020/05/07,,,,,,,,,336261.1,291300.3,367445.8
2020/05/08,,,,,,,,,342107.8,295790.1,374167.4
2020/05/09,,,,,,,,,347876.7,300219.0,380839.0
