date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11838622.8,515211.4,146015.8,827218.3,2679322.2,387601.3,193608.6,641465.6,4.0,0.3,12.8
2020/03/09,14091822.9,580109.6,104929.9,998758.1,2747085.4,217940.7,236963.2,579777.5,93.9,12.7,277.9
2020/03/10,13370840.7,554486.2,100932.4,947385.2,2627834.0,189900.3,221385.8,560045.8,180.2,25.1,526.1
2020/03/11,13330811.0,563882.5,102818.8,933562.2,2660499.1,189619.3,219748.3,566864.6,273.7,40.4,788.3
2020/03/12,13238291.8,587972.6,111260.7,953136.3,2632468.6,193451.2,230065.8,727562.8,383.2,59.6,1082.0
2020/03/13,13989849.9,617149.5,130286.0,919287.7,2974918.1,200534.6,231707.0,879249.3,521.9,87.7,1439.1
2020/03/14,11623510.9,628806.0,142376.5,950510.9,2569624.3,255021.1,229402.0,723440.5,709.4,128.9,1887.6
2020/03/15,9704982.8,515211.4,109029.3,827218.3,2015981.9,387601.3,193608.6,673009.1,968.1,193.4,2467.8
2020/03/16,10157858.1,580109.6,90558.5,998758.1,1950894.7,217940.7,236963.2,716584.9,1333.8,302.4,3233.7
2020/03/17,9238265.9,554486.2,75307.8,947385.2,1735678.0,189900.3,221385.8,596312.8,1857.4,475.9,4235.8
2020/03/18,9201007.3,563882.5,72917.2,933562.2,1697618.7,189619.3,219748.3,572007.2,2612.9,766.1,5573.6
2020/03/19,8696910.5,587972.6,64192.9,953136.3,1579539.1,193451.2,230065.8,534859.1,3680.0,1234.1,7327.7
2020/03/20,8099283.0,617149.5,50801.7,919287.7,1433777.0,200534.6,231707.0,518038.5,5148.1,1951.6,9553.1
2020/03/21,6651777.9,628806.0,42098.0,950510.9,1079765.7,255021.1,229402.0,401554.4,7144.6,3001.5,12392.3
2020/03/22,6337149.7,515211.4,48551.4,827218.3,998374.9,387601.3,193608.6,438108.1,9769.2,4545.7,15876.6
2020/03/23,6597224.1,580109.6,34614.2,998758.1,1031217.8,217940.7,236963.2,366077.7,13065.9,6660.1,20063.2
2020/03/24,7217830.7,554486.2,42067.1,947385.2,1197841.6,189900.3,221385.8,422455.4,16971.5,9349.7,24789.5
2020/03/25,7575030.7,563882.5,44074.8,933562.2,1282530.0,189619.3,219748.3,452300.8,21434.6,12590.6,30049.9
2020/03/26,7206494.3,587972.6,41596.0,953136.3,1181649.9,193451.2,230065.8,403950.5,26440.0,16445.2,35806.8
2020/03/27,7326970.9,617149.5,43552.1,919287.7,1233830.1,200534.6,231707.0,434186.8,32033.7,20957.7,42018.6
2020/03/28,6133369.3,628806.0,50561.7,950510.9,955026.7,255021.1,229402.0,433008.6,38163.3,26140.4,48714.4
2020/03/29,5473759.1,515211.4,41315.0,827218.3,810563.0,387601.3,193608.6,388221.0,44775.6,31904.1,55847.6
2020/03/30,6811444.5,580109.6,38917.1,998758.1,1063937.7,217940.7,236963.2,396249.5,51813.0,38276.8,63588.4
2020/03/31,6559227.3,554486.2,39033.3,947385.2,1037366.7,189900.3,221385.8,387061.6,59251.7,45187.9,71738.8
2020/04/01,6859771.9,563882.5,41695.3,933562.2,1091166.3,189619.3,219748.3,399588.1,67047.7,52598.1,80190.8
2020/04/02,6741043.4,587972.6,42804.7,953136.3,1052175.1,193451.2,230065.8,403838.5,75358.7,60423.0,89459.1
2020/04/03,6251323.4,617149.5,46847.2,919287.7,993777.5,200534.6,231707.0,404064.8,84105.5,68997.1,99467.9
2020/04/04,6340205.5,628806.0,56522.2,950510.9,958515.3,255021.1,229402.0,430665.2,93215.5,78071.7,109876.3
2020/04/05,5484833.1,515211.4,42427.2,827218.3,781214.3,387601.3,193608.6,364108.8,102568.4,87030.8,120453.3
2020/04/06,6442200.8,580109.6,42998.7,998758.1,952408.0,217940.7,236963.2,369105.2,112073.8,96409.4,131117.9
2020/04/07,6306568.6,554486.2,43150.8,947385.2,946378.7,189900.3,221385.8,365540.0,121723.9,105692.0,141897.1
2020/04/08,6182535.4,563882.5,44623.5,933562.2,933518.3,189619.3,219748.3,363456.7,131519.9,115348.7,152736.3
2020/04/09,5918248.2,587972.6,44699.5,953136.3,868129.3,193451.2,230065.8,363823.5,141384.3,125399.7,163603.7
2020/04/10,6171208.6,617149.5,55945.7,919287.7,962913.6,200534.6,231707.0,414350.8,151378.2,135182.4,174538.7
2020/04/11,6375291.3,628806.0,62406.4,950510.9,966449.8,255021.1,229402.0,440817.3,161268.2,144908.8,185292.5
2020/04/12,4871366.8,515211.4,7272.9,827218.3,686356.3,387601.3,193608.6,234954.4,171036.3,154611.1,195822.9
2020/04/13,5225839.8,580109.6,30104.3,998758.1,706288.2,217940.7,236963.2,264728.9,180869.3,164282.2,206278.0
2020/04/14,6285468.8,554486.2,44885.7,947385.2,980958.1,189900.3,221385.8,369103.2,190648.0,173443.7,216571.6
2020/04/15,6277309.5,563882.5,45640.0,933562.2,980419.5,189619.3,219748.3,361397.3,200299.5,183063.0,226729.0
2020/04/16,6287242.2,587972.6,45801.8,953136.3,975038.7,193451.2,230065.8,360161.1,209766.7,192070.6,236642.4
2020/04/17,6599251.9,617149.5,50145.3,919287.7,1089051.1,200534.6,231707.0,393052.8,219020.7,200381.6,246237.0
2020/04/18,6033458.9,628806.0,55180.6,950510.9,935306.1,255021.1,229402.0,390733.7,228050.0,209461.2,255546.8
2020/04/19,5932788.6,515211.4,45296.7,827218.3,895694.1,387601.3,193608.6,354022.3,237003.9,218018.9,264753.8
2020/04/20,6604956.6,580109.6,42770.8,998758.1,1021551.6,217940.7,236963.2,357049.8,246017.3,226363.7,273960.3
2020/04/21,6515877.4,554486.2,42818.7,947385.2,1013812.2,189900.3,221385.8,361331.3,254786.4,234239.4,282849.5
2020/04/22,7023430.8,563882.5,50556.5,933562.2,1139712.7,189619.3,219748.3,409836.9,263260.4,241784.1,291426.1
2020/04/23,7066969.2,587972.6,50465.4,953136.3,1146036.9,193451.2,230065.8,406932.3,271578.7,249164.2,299833.9
2020/04/24,6799369.1,617149.5,48882.7,919287.7,1130977.3,200534.6,231707.0,392427.6,279738.0,256338.0,308066.7
2020/04/25,7517573.1,628806.0,62709.6,950510.9,1248024.3,255021.1,229402.0,447394.7,287733.0,263366.0,316069.5
2020/04/26,5455379.2,515211.4,45784.3,827218.3,776479.4,387601.3,193608.6,342631.1,295621.6,270313.0,323934.2
2020/04/27,6985782.1,580109.6,47977.1,998758.1,1059792.3,217940.7,236963.2,378719.3,303519.6,277289.4,331770.2
2020/04/28,7682940.7,554486.2,50147.0,947385.2,1230832.5,189900.3,221385.8,403152.1,311352.8,284176.9,339513.0
2020/04/29,7059014.8,563882.5,49104.7,933562.2,1092685.5,189619.3,219748.3,383163.5,319024.6,290982.6,347025.3
2020/04/30,6754918.2,587972.6,46125.7,953136.3,1025224.0,193451.2,230065.8,357624.1,326529.0,297616.0,354319.4
2020/05/01,7686063.8,617149.5,60543.9,919287.7,1283555.4,200534.6,231707.0,422836.7,333934.4,304172.3,361533.1
2020/05/02,7958438.1,628806.0,65619.0,950510.9,1288887.1,255021.1,229402.0,445289.2,341210.1,310617.2,368598.5
2020/05/03,,,,,,,,,348453.3,317013.6,375822.6
2020/05/04,,,,,,,,,355737.6,323445.0,383466.6
2020/05/05,,,,,,,,,362776.7,329684.4,390637.8
2020/05/06,,,,,,,,,369701.7,335833.0,397491.8
2020/05/07,,,,,,,,,376536.3,341911.3,404953.7
2020/05/08,,,,,,,,,383169.8,347758.0,412298.6
2020/05/09,,,,,,,,,389651.6,353503.5,419122.8
