date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11829325.1,515211.4,146015.8,827218.3,2679322.2,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14080296.6,580109.6,104929.9,998758.1,2747085.4,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13373858.2,554486.2,100932.4,947385.2,2627834.0,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13336135.6,563882.5,102818.8,933562.2,2660499.1,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13262279.1,587972.6,111260.7,953136.3,2632468.6,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14041828.6,617149.5,130286.0,919287.7,2974918.1,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11622445.5,628806.0,142376.5,950510.9,2569624.3,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9702462.9,515211.4,109029.3,827218.3,2015981.9,387601.3,191088.7,673009.1,928.2,194.2,2465.3
2020/03/16,10154802.6,580109.6,90558.5,998758.1,1950894.7,217940.7,233907.7,716584.9,1286.0,303.3,3228.6
2020/03/17,9220855.6,554486.2,75307.8,947385.2,1735678.0,189900.3,203975.5,596312.8,1803.7,485.6,4232.8
2020/03/18,9185154.5,563882.5,72917.2,933562.2,1697618.7,189619.3,203895.6,572007.2,2554.2,786.8,5566.3
2020/03/19,8652364.2,587972.6,64192.9,953136.3,1579539.1,193451.2,185519.6,534859.1,3619.6,1270.2,7283.3
2020/03/20,8024394.8,617149.5,50801.7,919287.7,1433777.0,200534.6,156818.8,518038.5,5092.1,1980.9,9486.8
2020/03/21,6532695.7,628806.0,42098.0,950510.9,1079765.7,255021.1,110319.8,401554.4,7100.3,3046.2,12322.9
2020/03/22,6265964.3,515211.4,48551.4,827218.3,998374.9,387601.3,122423.2,438108.1,9746.8,4582.6,15805.0
2020/03/23,6484246.6,580109.6,34614.2,998758.1,1031217.8,217940.7,123985.7,366077.7,13070.8,6669.0,19981.5
2020/03/24,7145460.3,554486.2,42067.1,947385.2,1197841.6,189900.3,149015.4,422455.4,17008.8,9330.0,24686.9
2020/03/25,7510362.7,563882.5,44074.8,933562.2,1282530.0,189619.3,155080.3,452300.8,21502.2,12554.4,29908.9
2020/03/26,7119989.3,587972.6,41596.0,953136.3,1181649.9,193451.2,143560.8,403950.5,26534.5,16337.5,35631.4
2020/03/27,7237833.6,617149.5,43552.1,919287.7,1233830.1,200534.6,142569.7,434186.8,32153.0,20875.5,41886.7
2020/03/28,6019591.1,628806.0,50561.7,950510.9,955026.7,255021.1,115623.8,433008.6,38290.3,26054.1,48567.7
2020/03/29,5376770.5,515211.4,41315.0,827218.3,810563.0,387601.3,96620.0,388221.0,44898.2,31864.1,55703.6
2020/03/30,6708120.3,580109.6,38917.1,998758.1,1063937.7,217940.7,133639.0,396249.5,51912.0,38210.2,63347.3
2020/03/31,6472810.6,554486.2,39033.3,947385.2,1037366.7,189900.3,134969.0,387061.6,59314.4,45096.6,71326.6
2020/04/01,6782268.4,563882.5,41695.3,933562.2,1091166.3,189619.3,142244.8,399588.1,67050.5,52411.2,79629.7
2020/04/02,6648292.3,587972.6,42804.7,953136.3,1052175.1,193451.2,137314.7,403838.5,75289.1,60321.5,89089.6
2020/04/03,6156843.7,617149.5,46847.2,919287.7,993777.5,200534.6,137227.2,404064.8,83942.6,68550.5,98929.0
2020/04/04,6237458.0,628806.0,56522.2,950510.9,958515.3,255021.1,126654.5,430665.2,92937.7,77168.9,109207.3
2020/04/05,5393081.6,515211.4,42427.2,827218.3,781214.3,387601.3,101857.1,364108.8,102159.3,86694.6,119658.6
2020/04/06,6333076.2,580109.6,42998.7,998758.1,952408.0,217940.7,127838.5,369105.2,111514.3,96188.8,130175.2
2020/04/07,6214264.0,554486.2,43150.8,947385.2,946378.7,189900.3,129081.2,365540.0,120991.6,106118.2,140763.9
2020/04/08,6093664.6,563882.5,44623.5,933562.2,933518.3,189619.3,130877.5,363456.7,130608.7,116060.2,151456.4
2020/04/09,5809965.7,587972.6,44699.5,953136.3,868129.3,193451.2,121783.3,363823.5,140276.6,125658.2,162308.9
2020/04/10,6078386.4,617149.5,55945.7,919287.7,962913.6,200534.6,138884.7,414350.8,150060.1,135409.9,173150.4
2020/04/11,6291285.5,628806.0,62406.4,950510.9,966449.8,255021.1,145396.2,440817.3,159732.9,145164.1,183697.4
2020/04/12,4766895.1,515211.4,7272.9,827218.3,686356.3,387601.3,89136.9,234954.4,169267.6,154898.7,194164.7
2020/04/13,5077273.0,580109.6,30104.3,998758.1,706288.2,217940.7,88396.4,264728.9,178860.3,164022.3,204642.8
2020/04/14,6197929.8,554486.2,44885.7,947385.2,980958.1,189900.3,133846.8,369103.2,188384.5,173388.6,214998.9
2020/04/15,6186360.2,563882.5,45640.0,933562.2,980419.5,189619.3,128799.0,361397.3,197766.0,181720.3,225140.2
2020/04/16,6184278.9,587972.6,45801.8,953136.3,975038.7,193451.2,127102.5,360161.1,206964.5,190013.2,235058.2
2020/04/17,6503633.9,617149.5,50145.3,919287.7,1089051.1,200534.6,136089.0,393052.8,215943.7,198626.2,244684.4
2020/04/18,5920172.0,628806.0,55180.6,950510.9,935306.1,255021.1,116115.1,390733.7,224691.4,206588.9,253942.0
2020/04/19,5842214.3,515211.4,45296.7,827218.3,895694.1,387601.3,103034.3,354022.3,233358.5,214096.4,263060.1
2020/04/20,6493065.2,580109.6,42770.8,998758.1,1021551.6,217940.7,125071.8,357049.8,242081.3,221499.1,272215.5
2020/04/21,6417499.6,554486.2,42818.7,947385.2,1013812.2,189900.3,123008.0,361331.3,250563.0,228589.9,281084.4
2020/04/22,6945392.9,563882.5,50556.5,933562.2,1139712.7,189619.3,141710.4,409836.9,258742.7,235278.0,289591.2
2020/04/23,6976022.7,587972.6,50465.4,953136.3,1146036.9,193451.2,139119.3,406932.3,266769.9,241741.8,297905.2
2020/04/24,6697587.4,617149.5,48882.7,919287.7,1130977.3,200534.6,129925.3,392427.6,274632.4,248059.1,305990.8
2020/04/25,7426274.7,628806.0,62709.6,950510.9,1248024.3,255021.1,138103.6,447394.7,282338.5,254220.2,313882.1
2020/04/26,5353358.7,515211.4,45784.3,827218.3,776479.4,387601.3,91588.2,342631.1,289939.0,260248.3,321613.0
2020/04/27,6880283.2,580109.6,47977.1,998758.1,1059792.3,217940.7,131464.2,378719.3,297538.3,266290.2,329388.5
2020/04/28,7608134.0,554486.2,50147.0,947385.2,1230832.5,189900.3,146579.1,403152.1,305076.3,272293.5,337054.5
2020/04/29,6972901.2,563882.5,49104.7,933562.2,1092685.5,189619.3,133634.7,383163.5,312460.9,278204.0,344592.9
2020/04/30,6649302.4,587972.6,46125.7,953136.3,1025224.0,193451.2,124449.9,357624.1,319680.6,283924.2,351905.3
2020/05/01,7604570.2,617149.5,60543.9,919287.7,1283555.4,200534.6,150213.4,422836.7,326801.4,289571.0,359134.8
2020/05/02,7864140.6,628806.0,65619.0,950510.9,1288887.1,255021.1,135104.5,445289.2,333790.6,295121.1,366474.4
2020/05/03,,,,,,,,,340751.1,300700.8,374079.5
2020/05/04,,,,,,,,,347757.0,306382.4,381503.3
2020/05/05,,,,,,,,,354523.0,311822.2,388708.6
2020/05/06,,,,,,,,,361174.5,317196.2,395542.7
2020/05/07,,,,,,,,,367739.0,322509.9,402359.5
2020/05/08,,,,,,,,,374110.6,327680.4,409565.6
2020/05/09,,,,,,,,,380336.0,332657.0,416108.0
