date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11777889.6,492516.6,146015.8,827218.3,2679322.2,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14052220.1,555939.5,104929.9,998758.1,2747085.4,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13359115.0,531385.2,100932.4,947385.2,2627834.0,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13303149.9,529369.8,102818.8,933562.2,2660499.1,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13158609.9,512618.4,111260.7,953136.3,2632468.6,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13955154.5,577695.6,130286.0,919287.7,2974918.1,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11411913.3,480013.9,142376.5,950510.9,2569624.3,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9392564.6,368649.7,109029.3,827218.3,2015981.9,221744.8,193608.6,673009.1,928.2,194.5,2465.2
2020/03/16,9888287.1,376145.9,90558.5,998758.1,1950894.7,152333.5,236963.2,716584.9,1285.9,304.9,3230.2
2020/03/17,8969234.0,327744.1,75307.8,947385.2,1735678.0,147610.5,221385.8,596312.8,1800.4,486.8,4236.5
2020/03/18,8918341.0,324675.7,72917.2,933562.2,1697618.7,146159.9,219748.3,572007.2,2548.9,787.6,5560.6
2020/03/19,8349856.6,294174.3,64192.9,953136.3,1579539.1,140195.6,230065.8,534859.1,3610.6,1256.0,7282.0
2020/03/20,7673858.6,259310.2,50801.7,919287.7,1433777.0,132949.5,231707.0,518038.5,5074.3,1961.5,9505.6
2020/03/21,6066874.4,185267.0,42098.0,950510.9,1079765.7,113656.6,229402.0,401554.4,7060.3,2990.1,12326.1
2020/03/22,5744141.6,192936.0,48551.4,827218.3,998374.9,116868.6,193608.6,438108.1,9664.5,4467.1,15792.7
2020/03/23,6098783.0,194404.9,34614.2,998758.1,1031217.8,105204.3,236963.2,366077.7,12876.4,6450.9,19853.3
2020/03/24,6837795.1,239989.9,42067.1,947385.2,1197841.6,124361.0,221385.8,422455.4,16640.7,9003.5,24436.6
2020/03/25,7210969.8,253661.2,44074.8,933562.2,1282530.0,135779.8,219748.3,452300.8,20916.8,12108.2,29467.4
2020/03/26,6789946.6,245090.7,41596.0,953136.3,1181649.9,119785.3,230065.8,403950.5,25700.0,15744.5,34959.6
2020/03/27,6893506.2,260616.6,43552.1,919287.7,1233830.1,123602.8,231707.0,434186.8,31022.6,20005.0,40929.2
2020/03/28,5551798.9,206660.6,50561.7,950510.9,955026.7,95596.2,229402.0,433008.6,36809.0,24860.8,47236.2
2020/03/29,4829860.3,165715.4,41315.0,827218.3,810563.0,93198.6,193608.6,388221.0,42974.0,30207.0,53901.6
2020/03/30,6336949.7,211471.8,38917.1,998758.1,1063937.7,112083.6,236963.2,396249.5,49324.2,35894.7,60726.3
2020/03/31,6148461.7,224196.1,39033.3,947385.2,1037366.7,109424.8,221385.8,387061.6,55918.8,41966.6,68317.7
2020/04/01,6456627.6,235089.4,41695.3,933562.2,1091166.3,115268.2,219748.3,399588.1,62806.2,48402.5,75769.2
2020/04/02,6300305.7,230191.1,42804.7,953136.3,1052175.1,110495.0,230065.8,403838.5,70191.0,55464.9,84021.4
2020/04/03,5753463.2,236154.4,46847.2,919287.7,993777.5,83669.5,231707.0,404064.8,77968.2,63012.3,92833.2
2020/04/04,5782632.0,241736.6,56522.2,950510.9,958515.3,84517.1,229402.0,430665.2,86048.4,70744.4,101275.8
2020/04/05,4845581.3,179268.8,42427.2,827218.3,781214.3,84292.1,193608.6,364108.8,94265.2,78404.6,110376.7
2020/04/06,5950834.0,216071.0,42998.7,998758.1,952408.0,90612.5,236963.2,369105.2,102360.8,86096.6,119506.0
2020/04/07,5875305.4,221022.9,43150.8,947385.2,946378.7,92100.4,221385.8,365540.0,110457.2,94288.6,128565.3
2020/04/08,5731488.3,211071.9,44623.5,933562.2,933518.3,91382.9,219748.3,363456.7,118724.2,102323.0,137778.0
2020/04/09,5420350.7,199959.0,44699.5,953136.3,868129.3,83567.3,230065.8,363823.5,127092.0,111055.9,147032.4
2020/04/10,5656728.2,219690.3,55945.7,919287.7,962913.6,83513.4,231707.0,414350.8,135596.7,119569.9,156356.7
2020/04/11,5828964.2,247481.6,62406.4,950510.9,966449.8,90018.4,229402.0,440817.3,143984.0,127958.4,165553.5
2020/04/12,4190448.5,140211.0,7272.9,827218.3,686356.3,81683.4,193608.6,234954.4,152174.3,136343.5,174421.1
2020/04/13,4650272.1,151992.2,30104.3,998758.1,706288.2,70490.5,236963.2,264728.9,160173.3,144602.4,183132.1
2020/04/14,5871489.8,237116.5,44885.7,947385.2,980958.1,93291.0,221385.8,369103.2,168019.2,152504.4,191579.2
2020/04/15,5855632.4,240233.3,45640.0,933562.2,980419.5,91591.5,219748.3,361397.3,175791.1,160096.0,199834.0
2020/04/16,5837407.0,235635.7,45801.8,953136.3,975038.7,95952.8,230065.8,360161.1,183463.6,166889.0,207932.3
2020/04/17,6145087.7,264743.2,50145.3,919287.7,1089051.1,98776.6,231707.0,393052.8,190969.4,173308.0,215898.1
2020/04/18,5464811.3,229864.9,55180.6,950510.9,935306.1,85314.6,229402.0,390733.7,198282.7,180017.2,223597.5
2020/04/19,5347024.5,220842.5,45296.7,827218.3,895694.1,96206.1,193608.6,354022.3,205499.1,185969.3,231177.0
2020/04/20,6131756.5,222536.7,42770.8,998758.1,1021551.6,102313.5,236963.2,357049.8,212573.2,191745.8,238583.7
2020/04/21,6098247.1,222119.1,42818.7,947385.2,1013812.2,104637.2,221385.8,361331.3,219367.9,197243.2,245681.6
2020/04/22,6646100.0,264593.8,50556.5,933562.2,1139712.7,111577.3,219748.3,409836.9,225966.1,202573.9,252590.6
2020/04/23,6655048.9,258307.6,50465.4,953136.3,1146036.9,111196.0,230065.8,406932.3,232515.3,207866.8,259401.3
2020/04/24,6361032.3,271389.4,48882.7,919287.7,1130977.3,107957.9,231707.0,392427.6,238986.1,213051.2,266110.4
2020/04/25,7077038.0,320537.4,62709.6,950510.9,1248024.3,122754.6,229402.0,447394.7,245363.2,218107.9,272726.1
2020/04/26,4821764.1,183522.6,45784.3,827218.3,776479.4,85675.0,193608.6,342631.1,251640.0,222999.9,279272.7
2020/04/27,6528573.4,237548.4,47977.1,998758.1,1059792.3,103293.2,236963.2,378719.3,257773.6,227690.4,285635.9
2020/04/28,7357944.8,291932.9,50147.0,947385.2,1230832.5,127457.7,221385.8,403152.1,263837.1,232323.5,291899.6
2020/04/29,6669556.5,252758.8,49104.7,933562.2,1092685.5,111284.7,219748.3,383163.5,269857.5,236948.6,298043.0
2020/04/30,6317902.2,241233.1,46125.7,953136.3,1025224.0,103174.6,230065.8,357624.1,275817.8,241476.2,304101.3
2020/05/01,7297650.4,307128.4,60543.9,919287.7,1283555.4,122142.3,231707.0,422836.7,281761.3,246100.6,310129.4
2020/05/02,7545589.3,338882.6,65619.0,950510.9,1288887.1,132095.7,229402.0,445289.2,287644.8,250589.9,316031.7
2020/05/03,,,,,,,,,293530.2,255099.9,321937.0
2020/05/04,,,,,,,,,299362.6,259579.7,327786.1
2020/05/05,,,,,,,,,304969.6,263835.5,333353.8
2020/05/06,,,,,,,,,310568.2,268092.0,338885.5
2020/05/07,,,,,,,,,316182.2,272341.7,344493.1
2020/05/08,,,,,,,,,321683.0,276504.4,350474.2
2020/05/09,,,,,,,,,327109.7,280637.2,356290.1
