date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11882596.5,492516.6,146015.8,734949.2,2847691.0,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14072121.4,555939.5,104929.9,911454.0,2850318.5,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13300769.2,531385.2,100932.4,883517.4,2668761.2,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13242227.3,529369.8,102818.8,866823.7,2698980.2,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13075341.6,512618.4,111260.7,804322.1,2853511.0,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13669292.3,577695.6,130286.0,795409.3,3074067.4,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11761512.1,480013.9,142376.5,643616.7,3303407.2,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9876817.4,368649.7,109029.3,475920.5,2847691.0,221744.8,191088.7,679370.7,928.2,194.6,2468.4
2020/03/16,10182632.1,376145.9,90558.5,518043.6,2850318.5,152333.5,233907.7,595276.1,1287.4,306.5,3238.2
2020/03/17,9252270.2,327744.1,75307.8,389438.2,2668761.2,147610.5,203975.5,521623.1,1814.1,495.8,4252.5
2020/03/18,9314348.1,324675.7,72917.2,387192.8,2698980.2,146159.9,203895.6,528874.9,2579.2,811.7,5614.1
2020/03/19,8988554.7,294174.3,64192.9,349188.8,2853511.0,140195.6,185519.6,548079.0,3657.7,1302.7,7373.8
2020/03/20,8682328.2,259310.2,50801.7,314256.1,3074067.4,132949.5,156818.8,566137.6,5155.8,2048.4,9599.5
2020/03/21,7676306.8,185267.0,42098.0,209722.3,3303407.2,113656.6,110319.8,647216.1,7209.1,3141.4,12462.6
2020/03/22,7127992.0,192936.0,48551.4,191675.5,2847691.0,116868.6,122423.2,679370.7,9940.3,4746.7,16024.7
2020/03/23,7255987.1,194404.9,34614.2,220640.7,2850318.5,105204.3,123985.7,595276.1,13434.0,6988.6,20331.4
2020/03/24,7648251.2,239989.9,42067.1,260124.4,2668761.2,124361.0,149015.4,521623.1,17675.2,9961.6,25341.7
2020/03/25,7979212.0,253661.2,44074.8,273448.1,2698980.2,135779.8,155080.3,528874.9,22623.6,13661.5,30928.1
2020/03/26,7821807.7,245090.7,41596.0,255512.8,2853511.0,119785.3,143560.8,548079.0,28255.5,18172.4,37161.7
2020/03/27,8113109.8,260616.6,43552.1,255840.4,3074067.4,123602.8,142569.7,566137.6,34660.0,23563.8,44125.7
2020/03/28,7225761.8,206660.6,50561.7,175664.0,3303407.2,95596.2,115623.8,647216.1,41847.5,29870.1,51760.3
2020/03/29,6381876.3,165715.4,41315.0,147945.2,2847691.0,93198.6,96620.0,679370.7,49870.6,37210.6,60329.4
2020/03/30,7449655.7,211471.8,38917.1,229381.0,2850318.5,112083.6,133639.0,595276.1,58676.1,45460.2,69974.2
2020/03/31,7104450.8,224196.1,39033.3,223835.0,2668761.2,109424.8,134969.0,521623.1,68135.9,54627.7,80494.6
2020/04/01,7420642.7,235089.4,41695.3,237980.1,2698980.2,115268.2,142244.8,528874.9,78061.4,64132.6,91624.9
2020/04/02,7429646.3,230191.1,42804.7,229651.6,2853511.0,110495.0,137314.7,548079.0,88535.2,73719.2,103642.3
2020/04/03,7185110.1,236154.4,46847.2,203051.7,3074067.4,83669.5,137227.2,566137.6,99542.3,84257.0,116149.3
2020/04/04,7487222.2,241736.6,56522.2,196405.8,3303407.2,84517.1,126654.5,647216.1,111046.2,96136.8,129108.8
2020/04/05,6467155.3,179268.8,42427.2,158805.2,2847691.0,84292.1,101857.1,679370.7,123028.9,107902.8,142293.7
2020/04/06,7182087.1,216071.0,42998.7,215054.5,2850318.5,90612.5,127838.5,595276.1,135361.6,119727.0,155773.9
2020/04/07,6928312.8,221022.9,43150.8,214231.6,2668761.2,92100.4,129081.2,521623.1,147871.4,132570.2,169323.0
2020/04/08,6848024.8,211071.9,44623.5,208089.4,2698980.2,91382.9,130877.5,528874.9,160425.9,145085.9,182875.8
2020/04/09,6719795.8,199959.0,44699.5,191226.7,2853511.0,83567.3,121783.3,548079.0,172930.3,157366.2,196287.0
2020/04/10,7108476.4,219690.3,55945.7,200917.6,3074067.4,83513.4,138884.7,566137.6,185498.9,169828.0,209698.4
2020/04/11,7533597.3,247481.6,62406.4,195793.7,3303407.2,90018.4,145396.2,647216.1,197981.9,182132.2,222987.9
2020/04/12,5992200.5,140211.0,7272.9,127691.0,2847691.0,81683.4,89136.9,679370.7,210460.3,194239.1,236252.2
2020/04/13,6128714.0,151992.2,30104.3,151189.4,2850318.5,70490.5,88396.4,595276.1,223045.2,206230.6,249487.4
2020/04/14,6888750.1,237116.5,44885.7,211861.4,2668761.2,93291.0,133846.8,521623.1,235471.4,218408.8,262576.6
2020/04/15,6928810.3,240233.3,45640.0,211651.1,2698980.2,91591.5,128799.0,528874.9,247568.5,229761.9,275263.5
2020/04/16,7052145.5,235635.7,45801.8,204447.9,2853511.0,95952.8,127102.5,548079.0,259301.2,241185.7,287567.0
2020/04/17,7509088.7,264743.2,50145.3,220805.6,3074067.4,98776.6,136089.0,566137.6,270686.7,251402.7,299439.0
2020/04/18,7205580.3,229864.9,55180.6,179983.3,3303407.2,85314.6,116115.1,647216.1,281787.8,261309.7,310990.8
2020/04/19,6881966.9,220842.5,45296.7,175389.7,2847691.0,96206.1,103034.3,679370.7,292848.4,271369.7,322416.3
2020/04/20,7309349.3,222536.7,42770.8,221249.2,2850318.5,102313.5,125071.8,595276.1,303933.7,281476.2,333839.9
2020/04/21,7091689.8,222119.1,42818.7,223964.9,2668761.2,104637.2,123008.0,521623.1,314649.5,291299.0,344772.5
2020/04/22,7561483.8,264593.8,50556.5,248678.4,2698980.2,111577.3,141710.4,528874.9,324845.5,300714.6,355217.5
2020/04/23,7706444.7,258307.6,50465.4,246857.8,2853511.0,111196.0,139119.3,548079.0,334680.6,309707.4,365246.4
2020/04/24,7687804.1,271389.4,48882.7,231041.1,3074067.4,107957.9,129925.3,566137.6,344202.7,318404.5,374863.5
2020/04/25,8536867.2,320537.4,62709.6,246434.2,3303407.2,122754.6,138103.6,647216.1,353487.1,326976.5,384502.0
2020/04/26,6450760.3,183522.6,45784.3,150283.8,2847691.0,85675.0,91588.2,679370.7,362684.6,335128.5,393863.1
2020/04/27,7670835.7,237548.4,47977.1,239436.4,2850318.5,103293.2,131464.2,595276.1,371823.4,342990.9,403386.1
2020/04/28,8174414.8,291932.9,50147.0,282262.2,2668761.2,127457.7,146579.1,521623.1,380765.2,350560.3,413610.2
2020/04/29,7654260.6,252758.8,49104.7,252373.8,2698980.2,111284.7,133634.7,528874.9,389336.9,357790.0,423139.7
2020/04/30,7507230.2,241233.1,46125.7,229338.2,2853511.0,103174.6,124449.9,548079.0,397587.2,364727.5,432518.7
2020/05/01,8507434.5,307128.4,60543.9,276752.5,3074067.4,122142.3,150213.4,566137.6,405608.1,371461.4,441354.4
2020/05/02,8977535.3,338882.6,65619.0,260307.4,3303407.2,132095.7,135104.5,647216.1,413426.8,377955.4,450258.8
2020/05/03,,,,,,,,,421226.8,384478.6,459217.0
2020/05/04,,,,,,,,,429027.3,391016.7,468183.1
2020/05/05,,,,,,,,,436502.0,397252.1,476591.0
2020/05/06,,,,,,,,,443706.3,403229.9,484678.6
2020/05/07,,,,,,,,,450697.2,408995.0,492482.0
2020/05/08,,,,,,,,,457409.2,414525.2,499913.0
