date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11952627.6,515211.4,146015.8,734949.2,2847691.0,387601.3,193608.6,679370.7,4.0,0.3,12.8
2020/03/09,14123250.5,580109.6,104929.9,911454.0,2850318.5,217940.7,236963.2,595276.1,93.9,12.7,277.9
2020/03/10,13309477.3,554486.2,100932.4,883517.4,2668761.2,189900.3,221385.8,521623.1,179.9,25.1,526.1
2020/03/11,13264563.9,563882.5,102818.8,866823.7,2698980.2,189619.3,219748.3,528874.9,273.0,40.4,788.3
2020/03/12,13131036.2,587972.6,111260.7,804322.1,2853511.0,193451.2,230065.8,548079.0,381.9,59.6,1082.0
2020/03/13,13652009.0,617149.5,130286.0,795409.3,3074067.4,200534.6,231707.0,566137.6,519.2,87.7,1439.1
2020/03/14,11974175.1,628806.0,142376.5,643616.7,3303407.2,255021.1,229402.0,647216.1,704.4,128.9,1887.6
2020/03/15,10191755.6,515211.4,109029.3,475920.5,2847691.0,387601.3,193608.6,679370.7,959.5,193.6,2471.1
2020/03/16,10455258.5,580109.6,90558.5,518043.6,2850318.5,217940.7,236963.2,595276.1,1321.9,302.3,3235.5
2020/03/17,9538712.3,554486.2,75307.8,389438.2,2668761.2,189900.3,221385.8,521623.1,1847.5,478.4,4264.2
2020/03/18,9612867.2,563882.5,72917.2,387192.8,2698980.2,189619.3,219748.3,528874.9,2606.5,784.8,5629.3
2020/03/19,9380154.8,587972.6,64192.9,349188.8,2853511.0,193451.2,230065.8,548079.0,3669.9,1265.6,7384.2
2020/03/20,9182640.9,617149.5,50801.7,314256.1,3074067.4,200534.6,231707.0,566137.6,5142.5,1990.1,9650.8
2020/03/21,8380292.5,628806.0,42098.0,209722.3,3303407.2,255021.1,229402.0,647216.1,7167.9,3089.8,12578.1
2020/03/22,7792185.6,515211.4,48551.4,191675.5,2847691.0,387601.3,193608.6,679370.7,9870.0,4746.8,16237.4
2020/03/23,7867405.7,580109.6,34614.2,220640.7,2850318.5,217940.7,236963.2,595276.1,13379.0,7068.8,20677.9
2020/03/24,8100657.2,554486.2,42067.1,260124.4,2668761.2,189900.3,221385.8,521623.1,17681.8,10124.9,25878.8
2020/03/25,8407940.9,563882.5,44074.8,273448.1,2698980.2,189619.3,219748.3,528874.9,22726.1,13989.0,31757.2
2020/03/26,8324860.4,587972.6,41596.0,255512.8,2853511.0,193451.2,230065.8,548079.0,28467.5,18680.9,38213.6
2020/03/27,8635711.8,617149.5,43552.1,255840.4,3074067.4,200534.6,231707.0,566137.6,35017.7,24351.6,45380.1
2020/03/28,7921110.2,628806.0,50561.7,175664.0,3303407.2,255021.1,229402.0,647216.1,42408.8,31078.0,53277.0
2020/03/29,7122763.6,515211.4,41315.0,147945.2,2847691.0,387601.3,193608.6,679370.7,50735.9,39050.1,61952.3
2020/03/30,8027474.7,580109.6,38917.1,229381.0,2850318.5,217940.7,236963.2,595276.1,60084.4,48120.3,71447.9
2020/03/31,7601633.2,554486.2,39033.3,223835.0,2668761.2,189900.3,221385.8,521623.1,70250.3,57734.2,81645.7
2020/04/01,7901290.5,563882.5,41695.3,237980.1,2698980.2,189619.3,219748.3,528874.9,80921.4,67744.2,92208.6
2020/04/02,7963135.1,587972.6,42804.7,229651.6,2853511.0,193451.2,230065.8,548079.0,92134.7,79392.7,103354.1
2020/04/03,7777450.1,617149.5,46847.2,203051.7,3074067.4,200534.6,231707.0,566137.6,103903.0,91182.1,114778.1
2020/04/04,8147543.1,628806.0,56522.2,196405.8,3303407.2,255021.1,229402.0,647216.1,116216.2,103525.7,126691.6
2020/04/05,7198158.6,515211.4,42427.2,158805.2,2847691.0,387601.3,193608.6,679370.7,129120.7,115954.6,139011.3
2020/04/06,7782578.5,580109.6,42998.7,215054.5,2850318.5,217940.7,236963.2,595276.1,142676.4,129086.9,153260.8
2020/04/07,7451880.6,554486.2,43150.8,214231.6,2668761.2,189900.3,221385.8,521623.1,156533.2,142692.2,168211.5
2020/04/08,7387942.7,563882.5,44623.5,208089.4,2698980.2,189619.3,219748.3,528874.9,170391.8,156369.3,183497.8
2020/04/09,7325975.8,587972.6,44699.5,191226.7,2853511.0,193451.2,230065.8,548079.0,184138.4,170061.4,198720.3
2020/04/10,7715779.1,617149.5,55945.7,200917.6,3074067.4,200534.6,231707.0,566137.6,197916.8,183939.3,213608.5
2020/04/11,8163930.2,628806.0,62406.4,195793.7,3303407.2,255021.1,229402.0,647216.1,211601.9,197842.3,228613.7
2020/04/12,6777590.5,515211.4,7272.9,127691.0,2847691.0,387601.3,193608.6,679370.7,225357.5,210868.0,244334.5
2020/04/13,6852848.5,580109.6,30104.3,151189.4,2850318.5,217940.7,236963.2,595276.1,239481.2,223876.0,260812.2
2020/04/14,7390268.0,554486.2,44885.7,211861.4,2668761.2,189900.3,221385.8,521623.1,253522.6,237662.4,276433.4
2020/04/15,7441436.7,563882.5,45640.0,211651.1,2698980.2,189619.3,219748.3,528874.9,267143.3,250252.4,291970.5
2020/04/16,7604944.1,587972.6,45801.8,204447.9,2853511.0,193451.2,230065.8,548079.0,280292.5,262395.8,306949.6
2020/04/17,8058870.9,617149.5,50145.3,220805.6,3074067.4,200534.6,231707.0,566137.6,293025.8,274095.7,321379.0
2020/04/18,7887514.8,628806.0,55180.6,179983.3,3303407.2,255021.1,229402.0,647216.1,305425.0,285447.9,335422.4
2020/04/19,7558305.3,515211.4,45296.7,175389.7,2847691.0,387601.3,193608.6,679370.7,317799.8,296803.2,349537.3
2020/04/20,7894440.8,580109.6,42770.8,221249.2,2850318.5,217940.7,236963.2,595276.1,330399.0,308285.9,364110.4
2020/04/21,7607697.8,554486.2,42818.7,223964.9,2668761.2,189900.3,221385.8,521623.1,342663.8,319573.9,378243.7
2020/04/22,8016852.5,563882.5,50556.5,248678.4,2698980.2,189619.3,219748.3,528874.9,354290.9,330360.2,391670.1
2020/04/23,8209311.4,587972.6,50465.4,246857.8,2853511.0,193451.2,230065.8,548079.0,365427.7,340809.6,404403.4
2020/04/24,8227922.6,617149.5,48882.7,231041.1,3074067.4,200534.6,231707.0,566137.6,376153.2,350890.9,416656.2
2020/04/25,9068700.7,628806.0,62709.6,246434.2,3303407.2,255021.1,229402.0,647216.1,386568.2,360721.7,428515.5
2020/04/26,7186395.8,515211.4,45784.3,150283.8,2847691.0,387601.3,193608.6,679370.7,396880.5,370386.6,440354.2
2020/04/27,8233543.4,580109.6,47977.1,239436.4,2850318.5,217940.7,236963.2,595276.1,407289.6,380205.3,452218.3
2020/04/28,8574217.3,554486.2,50147.0,282262.2,2668761.2,189900.3,221385.8,521623.1,417482.1,389396.9,463841.6
2020/04/29,8129832.6,563882.5,49104.7,252373.8,2698980.2,189619.3,219748.3,528874.9,427194.0,398373.6,474805.6
2020/04/30,8049862.1,587972.6,46125.7,229338.2,2853511.0,193451.2,230065.8,548079.0,436463.1,407179.9,485179.7
2020/05/01,8977341.4,617149.5,60543.9,276752.5,3074067.4,200534.6,231707.0,566137.6,445412.0,415019.7,495177.8
2020/05/02,9484681.5,628806.0,65619.0,260307.4,3303407.2,255021.1,229402.0,647216.1,454081.6,422823.9,504858.2
2020/05/03,,,,,,,,,462694.3,430509.9,514457.4
2020/05/04,,,,,,,,,471392.8,437927.5,524138.1
2020/05/05,,,,,,,,,479758.1,445015.8,533303.1
2020/05/06,,,,,,,,,487739.2,451718.2,542009.3
2020/05/07,,,,,,,,,495409.9,458116.6,550275.3
2020/05/08,,,,,,,,,502715.8,464225.5,558111.9
