date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11943329.8,515211.4,146015.8,734949.2,2847691.0,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14111724.2,580109.6,104929.9,911454.0,2850318.5,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13312494.8,554486.2,100932.4,883517.4,2668761.2,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13269888.5,563882.5,102818.8,866823.7,2698980.2,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13155023.5,587972.6,111260.7,804322.1,2853511.0,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13703987.7,617149.5,130286.0,795409.3,3074067.4,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11973109.7,628806.0,142376.5,643616.7,3303407.2,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10189235.7,515211.4,109029.3,475920.5,2847691.0,387601.3,191088.7,679370.7,928.1,194.9,2469.1
2020/03/16,10452203.0,580109.6,90558.5,518043.6,2850318.5,217940.7,233907.7,595276.1,1288.5,307.9,3232.2
2020/03/17,9521302.1,554486.2,75307.8,389438.2,2668761.2,189900.3,203975.5,521623.1,1816.4,495.1,4257.2
2020/03/18,9597014.4,563882.5,72917.2,387192.8,2698980.2,189619.3,203895.6,528874.9,2584.0,803.5,5602.2
2020/03/19,9335608.6,587972.6,64192.9,349188.8,2853511.0,193451.2,185519.6,548079.0,3665.4,1290.3,7357.0
2020/03/20,9107752.6,617149.5,50801.7,314256.1,3074067.4,200534.6,156818.8,566137.6,5167.9,2019.4,9607.4
2020/03/21,8261210.3,628806.0,42098.0,209722.3,3303407.2,255021.1,110319.8,647216.1,7238.2,3118.6,12463.9
2020/03/22,7721000.1,515211.4,48551.4,191675.5,2847691.0,387601.3,122423.2,679370.7,10004.9,4751.0,16065.9
2020/03/23,7754428.2,580109.6,34614.2,220640.7,2850318.5,217940.7,123985.7,595276.1,13603.1,7057.1,20476.9
2020/03/24,8028286.8,554486.2,42067.1,260124.4,2668761.2,189900.3,149015.4,521623.1,18016.5,10112.1,25638.6
2020/03/25,8343272.9,563882.5,44074.8,273448.1,2698980.2,189619.3,155080.3,528874.9,23184.8,13996.0,31490.2
2020/03/26,8238355.4,587972.6,41596.0,255512.8,2853511.0,193451.2,143560.8,548079.0,29067.9,18649.4,37957.4
2020/03/27,8546574.5,617149.5,43552.1,255840.4,3074067.4,200534.6,142569.7,566137.6,35772.2,24226.3,45064.1
2020/03/28,7807332.1,628806.0,50561.7,175664.0,3303407.2,255021.1,115623.8,647216.1,43325.7,30799.6,52984.7
2020/03/29,7025775.0,515211.4,41315.0,147945.2,2847691.0,387601.3,96620.0,679370.7,51820.7,38506.8,62409.6
2020/03/30,7924150.5,580109.6,38917.1,229381.0,2850318.5,217940.7,133639.0,595276.1,61349.7,47410.4,73046.4
2020/03/31,7515216.4,554486.2,39033.3,223835.0,2668761.2,189900.3,134969.0,521623.1,71685.2,57194.9,84880.7
2020/04/01,7823787.0,563882.5,41695.3,237980.1,2698980.2,189619.3,142244.8,528874.9,82529.0,67691.3,97164.1
2020/04/02,7870384.0,587972.6,42804.7,229651.6,2853511.0,193451.2,137314.7,548079.0,93906.1,78388.7,109938.4
2020/04/03,7682970.4,617149.5,46847.2,203051.7,3074067.4,200534.6,137227.2,566137.6,105836.2,90364.8,123197.6
2020/04/04,8044795.7,628806.0,56522.2,196405.8,3303407.2,255021.1,126654.5,647216.1,118306.6,102714.9,136961.6
2020/04/05,7106407.1,515211.4,42427.2,158805.2,2847691.0,387601.3,101857.1,679370.7,131359.9,115447.7,151234.3
2020/04/06,7673453.9,580109.6,42998.7,215054.5,2850318.5,217940.7,127838.5,595276.1,145063.7,128656.9,166147.4
2020/04/07,7359575.9,554486.2,43150.8,214231.6,2668761.2,189900.3,129081.2,521623.1,159061.5,142312.6,181271.3
2020/04/08,7299071.9,563882.5,44623.5,208089.4,2698980.2,189619.3,130877.5,528874.9,173047.1,156101.5,196369.2
2020/04/09,7217693.3,587972.6,44699.5,191226.7,2853511.0,193451.2,121783.3,548079.0,186912.9,169713.4,211329.7
2020/04/10,7622956.8,617149.5,55945.7,200917.6,3074067.4,200534.6,138884.7,566137.6,200802.0,183509.9,226150.6
2020/04/11,8079924.4,628806.0,62406.4,195793.7,3303407.2,255021.1,145396.2,647216.1,214589.6,197430.7,240817.4
2020/04/12,6673118.8,515211.4,7272.9,127691.0,2847691.0,387601.3,89136.9,679370.7,228433.4,210661.9,255554.6
2020/04/13,6704281.7,580109.6,30104.3,151189.4,2850318.5,217940.7,88396.4,595276.1,242644.6,224030.3,270626.5
2020/04/14,7302729.0,554486.2,44885.7,211861.4,2668761.2,189900.3,133846.8,521623.1,256769.6,237399.8,285516.0
2020/04/15,7350487.4,563882.5,45640.0,211651.1,2698980.2,189619.3,128799.0,528874.9,270459.6,250036.4,299855.9
2020/04/16,7501980.8,587972.6,45801.8,204447.9,2853511.0,193451.2,127102.5,548079.0,283672.6,262291.0,313639.9
2020/04/17,7963252.9,617149.5,50145.3,220805.6,3074067.4,200534.6,136089.0,566137.6,296452.7,273850.9,326964.8
2020/04/18,7774227.9,628806.0,55180.6,179983.3,3303407.2,255021.1,116115.1,647216.1,308889.6,285191.9,339917.0
2020/04/19,7467731.0,515211.4,45296.7,175389.7,2847691.0,387601.3,103034.3,679370.7,321300.5,296549.9,352884.8
2020/04/20,7782549.4,580109.6,42770.8,221249.2,2850318.5,217940.7,125071.8,595276.1,333930.5,308145.0,366712.9
2020/04/21,7509320.0,554486.2,42818.7,223964.9,2668761.2,189900.3,123008.0,521623.1,346211.2,319468.5,379549.6
2020/04/22,7938814.6,563882.5,50556.5,248678.4,2698980.2,189619.3,141710.4,528874.9,357848.1,330249.7,391548.8
2020/04/23,8118364.9,587972.6,50465.4,246857.8,2853511.0,193451.2,139119.3,548079.0,368982.9,340576.4,403943.1
2020/04/24,8126140.9,617149.5,48882.7,231041.1,3074067.4,200534.6,129925.3,566137.6,379707.0,350597.3,415799.8
2020/04/25,8977402.3,628806.0,62709.6,246434.2,3303407.2,255021.1,138103.6,647216.1,390109.0,360306.8,427439.0
2020/04/26,7084375.4,515211.4,45784.3,150283.8,2847691.0,387601.3,91588.2,679370.7,400406.5,369919.6,439006.3
2020/04/27,8128044.4,580109.6,47977.1,239436.4,2850318.5,217940.7,131464.2,595276.1,410793.7,379342.6,449568.4
2020/04/28,8499410.7,554486.2,50147.0,282262.2,2668761.2,189900.3,146579.1,521623.1,420966.6,388350.9,460998.5
2020/04/29,8043718.9,563882.5,49104.7,252373.8,2698980.2,189619.3,133634.7,528874.9,430645.1,397420.0,472013.2
2020/04/30,7944246.2,587972.6,46125.7,229338.2,2853511.0,193451.2,124449.9,548079.0,439886.1,405699.9,482499.7
2020/05/01,8895847.8,617149.5,60543.9,276752.5,3074067.4,200534.6,150213.4,566137.6,448794.9,413409.2,492593.3
2020/05/02,9390384.1,628806.0,65619.0,260307.4,3303407.2,255021.1,135104.5,647216.1,457426.0,421194.8,502339.3
2020/05/03,,,,,,,,,465996.7,428555.5,512025.6
2020/05/04,,,,,,,,,474651.6,435909.6,521744.5
2020/05/05,,,,,,,,,482964.7,443191.3,530912.1
2020/05/06,,,,,,,,,490899.5,449899.0,539577.9
2020/05/07,,,,,,,,,498519.5,456315.7,547903.8
2020/05/08,,,,,,,,,505778.2,462382.4,555737.5
