date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11891894.3,492516.6,146015.8,734949.2,2847691.0,349562.8,193608.6,679370.7,4.2,0.3,12.8
2020/03/09,14083647.7,555939.5,104929.9,911454.0,2850318.5,202508.0,236963.2,595276.1,98.6,12.7,277.9
2020/03/10,13297751.6,531385.2,100932.4,883517.4,2668761.2,201275.7,221385.8,521623.1,189.2,25.1,526.1
2020/03/11,13236902.8,529369.8,102818.8,866823.7,2698980.2,196471.0,219748.3,528874.9,287.2,40.4,788.3
2020/03/12,13051354.3,512618.4,111260.7,804322.1,2853511.0,189123.5,230065.8,548079.0,402.2,59.6,1082.0
2020/03/13,13617313.6,577695.6,130286.0,795409.3,3074067.4,205293.0,231707.0,566137.6,547.7,87.7,1439.1
2020/03/14,11762577.5,480013.9,142376.5,643616.7,3303407.2,192215.6,229402.0,647216.1,744.1,128.9,1887.6
2020/03/15,9879337.4,368649.7,109029.3,475920.5,2847691.0,221744.8,193608.6,679370.7,1015.4,193.5,2468.4
2020/03/16,10185687.5,376145.9,90558.5,518043.6,2850318.5,152333.5,236963.2,595276.1,1398.9,298.0,3232.9
2020/03/17,9269680.5,327744.1,75307.8,389438.2,2668761.2,147610.5,221385.8,521623.1,1955.5,474.4,4250.9
2020/03/18,9330200.9,324675.7,72917.2,387192.8,2698980.2,146159.9,219748.3,528874.9,2757.1,779.4,5603.8
2020/03/19,9033100.9,294174.3,64192.9,349188.8,2853511.0,140195.6,230065.8,548079.0,3877.7,1255.9,7355.9
2020/03/20,8757216.4,259310.2,50801.7,314256.1,3074067.4,132949.5,231707.0,566137.6,5422.9,1981.2,9644.4
2020/03/21,7795389.0,185267.0,42098.0,209722.3,3303407.2,113656.6,229402.0,647216.1,7528.6,3060.7,12541.6
2020/03/22,7199177.5,192936.0,48551.4,191675.5,2847691.0,116868.6,193608.6,679370.7,10308.2,4642.7,16183.4
2020/03/23,7368964.6,194404.9,34614.2,220640.7,2850318.5,105204.3,236963.2,595276.1,13847.9,6808.8,20580.1
2020/03/24,7720621.6,239989.9,42067.1,260124.4,2668761.2,124361.0,221385.8,521623.1,18128.8,9671.0,25662.8
2020/03/25,8043880.0,253661.2,44074.8,273448.1,2698980.2,135779.8,219748.3,528874.9,23113.0,13245.8,31366.4
2020/03/26,7908312.7,245090.7,41596.0,255512.8,2853511.0,119785.3,230065.8,548079.0,28771.6,17544.0,37694.1
2020/03/27,8202247.1,260616.6,43552.1,255840.4,3074067.4,123602.8,231707.0,566137.6,35197.1,22754.3,44632.0
2020/03/28,7339539.9,206660.6,50561.7,175664.0,3303407.2,95596.2,229402.0,647216.1,42399.3,28926.2,52182.0
2020/03/29,6478864.9,165715.4,41315.0,147945.2,2847691.0,93198.6,193608.6,679370.7,50432.0,36128.8,60703.7
2020/03/30,7552979.9,211471.8,38917.1,229381.0,2850318.5,112083.6,236963.2,595276.1,59242.4,44349.3,70198.6
2020/03/31,7190867.6,224196.1,39033.3,223835.0,2668761.2,109424.8,221385.8,521623.1,68700.7,53487.0,80902.7
2020/04/01,7498146.2,235089.4,41695.3,237980.1,2698980.2,115268.2,219748.3,528874.9,78622.3,63255.2,92435.0
2020/04/02,7522397.4,230191.1,42804.7,229651.6,2853511.0,110495.0,230065.8,548079.0,89087.4,73324.6,104431.2
2020/04/03,7279589.9,236154.4,46847.2,203051.7,3074067.4,83669.5,231707.0,566137.6,100085.4,84631.2,116710.6
2020/04/04,7589969.7,241736.6,56522.2,196405.8,3303407.2,84517.1,229402.0,647216.1,111574.7,96316.6,129425.2
2020/04/05,6558906.8,179268.8,42427.2,158805.2,2847691.0,84292.1,193608.6,679370.7,123542.5,108349.4,142552.7
2020/04/06,7291211.7,216071.0,42998.7,215054.5,2850318.5,90612.5,236963.2,595276.1,135857.3,120235.5,156006.5
2020/04/07,7020617.4,221022.9,43150.8,214231.6,2668761.2,92100.4,221385.8,521623.1,148351.1,132934.6,169645.1
2020/04/08,6936895.6,211071.9,44623.5,208089.4,2698980.2,91382.9,219748.3,528874.9,160888.1,145362.4,183247.4
2020/04/09,6828078.3,199959.0,44699.5,191226.7,2853511.0,83567.3,230065.8,548079.0,173379.8,157875.7,196726.6
2020/04/10,7201298.7,219690.3,55945.7,200917.6,3074067.4,83513.4,231707.0,566137.6,185938.3,170553.6,210189.0
2020/04/11,7617603.1,247481.6,62406.4,195793.7,3303407.2,90018.4,229402.0,647216.1,198418.0,183146.7,223510.1
2020/04/12,6096672.2,140211.0,7272.9,127691.0,2847691.0,81683.4,193608.6,679370.7,210894.3,195607.4,236748.1
2020/04/13,6277280.8,151992.2,30104.3,151189.4,2850318.5,70490.5,236963.2,595276.1,223475.4,207560.7,250083.4
2020/04/14,6976289.1,237116.5,44885.7,211861.4,2668761.2,93291.0,221385.8,521623.1,235901.2,218857.3,263193.9
2020/04/15,7019759.6,240233.3,45640.0,211651.1,2698980.2,91591.5,219748.3,528874.9,248009.6,230158.5,275844.3
2020/04/16,7155108.8,235635.7,45801.8,204447.9,2853511.0,95952.8,230065.8,548079.0,259760.5,241538.3,288032.4
2020/04/17,7604706.7,264743.2,50145.3,220805.6,3074067.4,98776.6,231707.0,566137.6,271172.7,252038.0,299847.6
2020/04/18,7318867.2,229864.9,55180.6,179983.3,3303407.2,85314.6,229402.0,647216.1,282304.1,262258.9,311458.2
2020/04/19,6972541.2,220842.5,45296.7,175389.7,2847691.0,96206.1,193608.6,679370.7,293392.4,272458.4,323016.5
2020/04/20,7421240.7,222536.7,42770.8,221249.2,2850318.5,102313.5,236963.2,595276.1,304499.2,282670.0,334628.6
2020/04/21,7190067.6,222119.1,42818.7,223964.9,2668761.2,104637.2,221385.8,521623.1,315246.3,292616.4,345758.5
2020/04/22,7639521.7,264593.8,50556.5,248678.4,2698980.2,111577.3,219748.3,528874.9,325480.4,302104.1,356226.8
2020/04/23,7797391.2,258307.6,50465.4,246857.8,2853511.0,111196.0,230065.8,548079.0,335365.9,311276.8,366916.7
2020/04/24,7789585.8,271389.4,48882.7,231041.1,3074067.4,107957.9,231707.0,566137.6,344933.4,319580.6,377259.7
2020/04/25,8628165.6,320537.4,62709.6,246434.2,3303407.2,122754.6,229402.0,647216.1,354269.6,327863.2,387131.3
2020/04/26,6552780.7,183522.6,45784.3,150283.8,2847691.0,85675.0,193608.6,679370.7,363509.8,336519.4,396910.4
2020/04/27,7776334.6,237548.4,47977.1,239436.4,2850318.5,103293.2,236963.2,595276.1,372702.6,344750.8,406720.9
2020/04/28,8249221.5,291932.9,50147.0,282262.2,2668761.2,127457.7,221385.8,521623.1,381683.9,352320.9,415706.7
2020/04/29,7740374.2,252758.8,49104.7,252373.8,2698980.2,111284.7,219748.3,528874.9,390309.5,359574.0,425389.6
2020/04/30,7612846.1,241233.1,46125.7,229338.2,2853511.0,103174.6,230065.8,548079.0,398613.4,366505.4,434234.7
2020/05/01,8588928.0,307128.4,60543.9,276752.5,3074067.4,122142.3,231707.0,566137.6,406692.6,373169.9,443280.0
2020/05/02,9071832.8,338882.6,65619.0,260307.4,3303407.2,132095.7,229402.0,647216.1,414561.7,379661.3,452060.1
2020/05/03,,,,,,,,,422406.9,386129.6,460830.8
2020/05/04,,,,,,,,,430252.8,392637.5,469621.8
2020/05/05,,,,,,,,,437775.7,398843.1,478018.9
2020/05/06,,,,,,,,,445029.8,404835.1,486065.5
2020/05/07,,,,,,,,,452070.6,410605.8,493954.4
2020/05/08,,,,,,,,,458830.5,416165.9,501434.7
