date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11920635.1,492516.6,146015.8,734949.2,2847691.0,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14087554.1,555939.5,104929.9,911454.0,2850318.5,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13289393.8,531385.2,100932.4,883517.4,2668761.2,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13235375.7,529369.8,102818.8,866823.7,2698980.2,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13079669.3,512618.4,111260.7,804322.1,2853511.0,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13664533.9,577695.6,130286.0,795409.3,3074067.4,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11824317.6,480013.9,142376.5,643616.7,3303407.2,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10042674.0,368649.7,109029.3,475920.5,2847691.0,387601.3,191088.7,679370.7,928.3,194.5,2467.0
2020/03/16,10248239.3,376145.9,90558.5,518043.6,2850318.5,217940.7,233907.7,595276.1,1287.7,304.0,3236.4
2020/03/17,9294560.0,327744.1,75307.8,389438.2,2668761.2,189900.3,203975.5,521623.1,1815.7,490.7,4253.1
2020/03/18,9357807.6,324675.7,72917.2,387192.8,2698980.2,189619.3,203895.6,528874.9,2580.4,789.5,5597.5
2020/03/19,9041810.3,294174.3,64192.9,349188.8,2853511.0,193451.2,185519.6,548079.0,3659.9,1276.4,7330.6
2020/03/20,8749913.4,259310.2,50801.7,314256.1,3074067.4,200534.6,156818.8,566137.6,5156.8,2015.7,9583.9
2020/03/21,7817671.3,185267.0,42098.0,209722.3,3303407.2,255021.1,110319.8,647216.1,7213.1,3119.2,12422.0
2020/03/22,7398724.8,192936.0,48551.4,191675.5,2847691.0,387601.3,122423.2,679370.7,9956.9,4729.1,15995.6
2020/03/23,7368723.5,194404.9,34614.2,220640.7,2850318.5,217940.7,123985.7,595276.1,13516.8,6951.1,20387.3
2020/03/24,7713790.5,239989.9,42067.1,260124.4,2668761.2,189900.3,149015.4,521623.1,17858.7,9925.4,25519.6
2020/03/25,8033051.6,253661.2,44074.8,273448.1,2698980.2,189619.3,155080.3,528874.9,22923.3,13611.1,31247.9
2020/03/26,7895473.5,245090.7,41596.0,255512.8,2853511.0,193451.2,143560.8,548079.0,28673.0,17991.7,37683.0
2020/03/27,8190041.6,260616.6,43552.1,255840.4,3074067.4,200534.6,142569.7,566137.6,35205.8,23362.6,44719.7
2020/03/28,7385186.7,206660.6,50561.7,175664.0,3303407.2,255021.1,115623.8,647216.1,42537.0,29706.3,52467.1
2020/03/29,6676279.0,165715.4,41315.0,147945.2,2847691.0,387601.3,96620.0,679370.7,50757.6,37052.0,61427.5
2020/03/30,7555512.8,211471.8,38917.1,229381.0,2850318.5,217940.7,133639.0,595276.1,59960.1,45635.3,71783.4
2020/03/31,7184926.2,224196.1,39033.3,223835.0,2668761.2,189900.3,134969.0,521623.1,69933.4,55112.9,83069.9
2020/04/01,7494993.9,235089.4,41695.3,237980.1,2698980.2,189619.3,142244.8,528874.9,80369.8,65285.5,94979.8
2020/04/02,7512602.5,230191.1,42804.7,229651.6,2853511.0,193451.2,137314.7,548079.0,91322.3,76247.2,107402.0
2020/04/03,7301975.3,236154.4,46847.2,203051.7,3074067.4,200534.6,137227.2,566137.6,102799.1,87926.4,120292.6
2020/04/04,7657726.2,241736.6,56522.2,196405.8,3303407.2,255021.1,126654.5,647216.1,114780.9,100129.1,133639.0
2020/04/05,6770464.5,179268.8,42427.2,158805.2,2847691.0,387601.3,101857.1,679370.7,127311.0,113168.4,147620.9
2020/04/06,7309415.3,216071.0,42998.7,215054.5,2850318.5,217940.7,127838.5,595276.1,140449.0,125874.3,162089.4
2020/04/07,7026112.6,221022.9,43150.8,214231.6,2668761.2,189900.3,129081.2,521623.1,153874.5,138887.9,176765.2
2020/04/08,6946261.3,211071.9,44623.5,208089.4,2698980.2,189619.3,130877.5,528874.9,167275.4,151951.3,191355.7
2020/04/09,6829679.7,199959.0,44699.5,191226.7,2853511.0,193451.2,121783.3,548079.0,180562.5,165033.4,205715.8
2020/04/10,7225497.6,219690.3,55945.7,200917.6,3074067.4,200534.6,138884.7,566137.6,193870.9,178085.6,220024.2
2020/04/11,7698600.0,247481.6,62406.4,195793.7,3303407.2,255021.1,145396.2,647216.1,207078.1,190691.1,234151.0
2020/04/12,6298118.5,140211.0,7272.9,127691.0,2847691.0,387601.3,89136.9,679370.7,220331.5,203233.1,248257.9
2020/04/13,6276164.3,151992.2,30104.3,151189.4,2850318.5,217940.7,88396.4,595276.1,233936.1,216273.4,262710.7
2020/04/14,6985359.3,237116.5,44885.7,211861.4,2668761.2,189900.3,133846.8,521623.1,247460.2,228861.2,276948.7
2020/04/15,7026838.2,240233.3,45640.0,211651.1,2698980.2,189619.3,128799.0,528874.9,260563.8,241485.9,290558.1
2020/04/16,7149643.8,235635.7,45801.8,204447.9,2853511.0,193451.2,127102.5,548079.0,273216.7,252967.8,303723.8
2020/04/17,7610846.7,264743.2,50145.3,220805.6,3074067.4,200534.6,136089.0,566137.6,285452.6,264043.6,316382.1
2020/04/18,7375286.8,229864.9,55180.6,179983.3,3303407.2,255021.1,116115.1,647216.1,297354.1,275039.2,328646.5
2020/04/19,7173362.1,220842.5,45296.7,175389.7,2847691.0,387601.3,103034.3,679370.7,309224.5,285997.8,340821.9
2020/04/20,7424976.5,222536.7,42770.8,221249.2,2850318.5,217940.7,125071.8,595276.1,321309.4,296987.4,353197.5
2020/04/21,7176952.9,222119.1,42818.7,223964.9,2668761.2,189900.3,123008.0,521623.1,333061.5,307705.5,365192.3
2020/04/22,7639525.9,264593.8,50556.5,248678.4,2698980.2,189619.3,141710.4,528874.9,344190.5,317991.3,376667.8
2020/04/23,7788699.9,258307.6,50465.4,246857.8,2853511.0,193451.2,139119.3,548079.0,354856.9,327937.5,387722.6
2020/04/24,7780380.8,271389.4,48882.7,231041.1,3074067.4,200534.6,129925.3,566137.6,365128.9,337533.1,398622.0
2020/04/25,8669133.7,320537.4,62709.6,246434.2,3303407.2,255021.1,138103.6,647216.1,375101.2,346449.3,409596.5
2020/04/26,6752686.6,183522.6,45784.3,150283.8,2847691.0,387601.3,91588.2,679370.7,384969.3,355731.9,420333.1
2020/04/27,7785483.3,237548.4,47977.1,239436.4,2850318.5,217940.7,131464.2,595276.1,394927.5,364996.7,430595.5
2020/04/28,8236857.4,291932.9,50147.0,282262.2,2668761.2,189900.3,146579.1,521623.1,404698.0,373586.7,441383.7
2020/04/29,7732595.2,252758.8,49104.7,252373.8,2698980.2,189619.3,133634.7,528874.9,413998.7,381547.1,451848.1
2020/04/30,7597506.8,241233.1,46125.7,229338.2,2853511.0,193451.2,124449.9,548079.0,422887.2,389651.6,461619.5
2020/05/01,8585826.7,307128.4,60543.9,276752.5,3074067.4,200534.6,150213.4,566137.6,431473.3,397405.8,471131.7
2020/05/02,9100460.7,338882.6,65619.0,260307.4,3303407.2,255021.1,135104.5,647216.1,439793.1,404775.8,480328.3
2020/05/03,,,,,,,,,448059.0,411747.7,489515.0
2020/05/04,,,,,,,,,456420.6,418806.7,498819.0
2020/05/05,,,,,,,,,464456.7,425653.6,507804.3
2020/05/06,,,,,,,,,472141.4,432183.6,516275.8
2020/05/07,,,,,,,,,479534.3,438429.5,524432.3
2020/05/08,,,,,,,,,486583.4,444371.0,532135.8
