date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11876683.9,515211.4,146015.8,734949.2,2847691.0,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14092319.2,580109.6,104929.9,911454.0,2850318.5,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13359275.4,554486.2,100932.4,883517.4,2668761.2,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13309405.3,563882.5,102818.8,866823.7,2698980.2,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13306192.4,587972.6,111260.7,804322.1,2853511.0,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13969879.2,617149.5,130286.0,795409.3,3074067.4,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11987594.1,628806.0,142376.5,643616.7,3303407.2,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10019537.5,515211.4,109029.3,475920.5,2847691.0,221744.8,193608.6,673009.1,928.2,194.6,2467.4
2020/03/16,10510960.1,580109.6,90558.5,518043.6,2850318.5,152333.5,236963.2,716584.9,1287.6,301.5,3238.7
2020/03/17,9571112.3,554486.2,75307.8,389438.2,2668761.2,147610.5,221385.8,596312.8,1813.2,486.6,4257.7
2020/03/18,9612539.9,563882.5,72917.2,387192.8,2698980.2,146159.9,219748.3,572007.2,2579.1,795.6,5611.8
2020/03/19,9313679.3,587972.6,64192.9,349188.8,2853511.0,140195.6,230065.8,534859.1,3658.2,1273.9,7364.3
2020/03/20,9066956.6,617149.5,50801.7,314256.1,3074067.4,132949.5,231707.0,518038.5,5160.2,2005.1,9609.2
2020/03/21,7993266.4,628806.0,42098.0,209722.3,3303407.2,113656.6,229402.0,401554.4,7229.8,3097.8,12485.2
2020/03/22,7280190.2,515211.4,48551.4,191675.5,2847691.0,116868.6,193608.6,438108.1,9990.6,4680.7,16124.1
2020/03/23,7525470.9,580109.6,34614.2,220640.7,2850318.5,105204.3,236963.2,366077.7,13518.5,6904.7,20512.4
2020/03/24,7935950.2,554486.2,42067.1,260124.4,2668761.2,124361.0,221385.8,422455.4,17813.0,9919.1,25588.6
2020/03/25,8277527.3,563882.5,44074.8,273448.1,2698980.2,135779.8,219748.3,452300.8,22846.7,13692.7,31304.7
2020/03/26,8107066.1,587972.6,41596.0,255512.8,2853511.0,119785.3,230065.8,403950.5,28583.2,18244.2,37625.6
2020/03/27,8426829.2,617149.5,43552.1,255840.4,3074067.4,123602.8,231707.0,434186.8,35126.8,23724.0,44646.5
2020/03/28,7547477.9,628806.0,50561.7,175664.0,3303407.2,95596.2,229402.0,433008.6,42482.8,30151.8,52475.6
2020/03/29,6537211.1,515211.4,41315.0,147945.2,2847691.0,93198.6,193608.6,388221.0,50699.4,37644.8,61233.5
2020/03/30,7722591.1,580109.6,38917.1,229381.0,2850318.5,112083.6,236963.2,396249.5,59684.9,45971.1,70778.3
2020/03/31,7386596.2,554486.2,39033.3,223835.0,2668761.2,109424.8,221385.8,387061.6,69322.6,54657.7,81612.1
2020/04/01,7697652.6,563882.5,41695.3,237980.1,2698980.2,115268.2,219748.3,399588.1,79451.6,64300.9,93026.4
2020/04/02,7735938.4,587972.6,42804.7,229651.6,2853511.0,110495.0,230065.8,403838.5,90166.4,74742.3,105078.6
2020/04/03,7498512.2,617149.5,46847.2,203051.7,3074067.4,83669.5,231707.0,404064.8,101438.8,85970.6,117707.8
2020/04/04,7760488.3,628806.0,56522.2,196405.8,3303407.2,84517.1,229402.0,430665.2,113235.2,98456.9,130849.8
2020/04/05,6579587.5,515211.4,42427.2,158805.2,2847691.0,84292.1,193608.6,364108.8,125530.5,110097.7,144513.7
2020/04/06,7429079.4,580109.6,42998.7,215054.5,2850318.5,90612.5,236963.2,369105.2,138150.1,122290.3,158427.3
2020/04/07,7197997.6,554486.2,43150.8,214231.6,2668761.2,92100.4,221385.8,365540.0,150928.1,134627.3,172371.5
2020/04/08,7124288.1,563882.5,44623.5,208089.4,2698980.2,91382.9,219748.3,363456.7,163760.6,147145.4,186227.2
2020/04/09,7031836.5,587972.6,44699.5,191226.7,2853511.0,83567.3,230065.8,363823.5,176564.1,159754.4,200022.0
2020/04/10,7446971.1,617149.5,55945.7,200917.6,3074067.4,83513.4,231707.0,414350.8,189456.6,172586.3,213797.1
2020/04/11,7792528.7,628806.0,62406.4,195793.7,3303407.2,90018.4,229402.0,440817.3,202271.0,185296.8,227413.0
2020/04/12,6027256.2,515211.4,7272.9,127691.0,2847691.0,81683.4,193608.6,234954.4,215094.1,197413.8,240982.4
2020/04/13,6374851.1,580109.6,30104.3,151189.4,2850318.5,70490.5,236963.2,264728.9,227999.5,209732.1,254525.6
2020/04/14,7141138.8,554486.2,44885.7,211861.4,2668761.2,93291.0,221385.8,369103.2,240714.2,221528.1,267790.2
2020/04/15,7175931.2,563882.5,45640.0,211651.1,2698980.2,91591.5,219748.3,361397.3,253096.3,233689.7,280672.2
2020/04/16,7319527.8,587972.6,45801.8,204447.9,2853511.0,95952.8,230065.8,360161.1,265131.0,245973.3,293140.8
2020/04/17,7784028.2,617149.5,50145.3,220805.6,3074067.4,98776.6,231707.0,393052.8,276818.8,256786.5,305093.2
2020/04/18,7461326.0,628806.0,55180.6,179983.3,3303407.2,85314.6,229402.0,390733.7,288229.6,267206.2,316769.0
2020/04/19,6941561.7,515211.4,45296.7,175389.7,2847691.0,96206.1,193608.6,354022.3,299620.9,277601.9,328469.4
2020/04/20,7540587.3,580109.6,42770.8,221249.2,2850318.5,102313.5,236963.2,357049.8,311011.9,288030.6,340136.1
2020/04/21,7362143.0,554486.2,42818.7,223964.9,2668761.2,104637.2,221385.8,361331.3,322006.9,297789.0,351437.6
2020/04/22,7819772.4,563882.5,50556.5,248678.4,2698980.2,111577.3,219748.3,409836.9,332476.0,307267.4,362404.8
2020/04/23,7985909.6,587972.6,50465.4,246857.8,2853511.0,111196.0,230065.8,406932.3,342576.0,316296.5,373620.9
2020/04/24,7961635.9,617149.5,48882.7,231041.1,3074067.4,107957.9,231707.0,392427.6,352365.9,324840.8,384372.0
2020/04/25,8736612.8,628806.0,62709.6,246434.2,3303407.2,122754.6,229402.0,447394.7,361917.0,333028.5,395024.2
2020/04/26,6547729.9,515211.4,45784.3,150283.8,2847691.0,85675.0,193608.6,342631.1,371378.7,341298.6,405531.3
2020/04/27,7902339.1,580109.6,47977.1,239436.4,2850318.5,103293.2,236963.2,378719.3,380779.9,349791.1,416045.9
2020/04/28,8393303.8,554486.2,50147.0,282262.2,2668761.2,127457.7,221385.8,403152.1,389949.6,358046.8,426154.5
2020/04/29,7905786.6,563882.5,49104.7,252373.8,2698980.2,111284.7,219748.3,383163.5,398751.1,365936.2,436047.2
2020/04/30,7769130.6,587972.6,46125.7,229338.2,2853511.0,103174.6,230065.8,357624.1,407224.1,373842.7,445462.0
2020/05/01,8755648.2,617149.5,60543.9,276752.5,3074067.4,122142.3,231707.0,422836.7,415459.8,380785.0,454418.3
2020/05/02,9159829.3,628806.0,65619.0,260307.4,3303407.2,132095.7,229402.0,445289.2,423491.7,387494.8,463336.8
2020/05/03,,,,,,,,,431506.9,394135.3,472276.1
2020/05/04,,,,,,,,,439511.3,400723.2,481193.6
2020/05/05,,,,,,,,,447158.0,407027.6,489699.9
2020/05/06,,,,,,,,,454526.9,413055.0,497866.2
2020/05/07,,,,,,,,,461674.9,418879.6,505770.3
2020/05/08,,,,,,,,,468541.9,424476.0,513345.5
