date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11914722.4,515211.4,146015.8,734949.2,2847691.0,387601.3,193608.6,641465.6,2.5,0.3,6.6
2020/03/09,14107751.9,580109.6,104929.9,911454.0,2850318.5,217940.7,236963.2,579777.5,57.7,12.7,141.0
2020/03/10,13347900.0,554486.2,100932.4,883517.4,2668761.2,189900.3,221385.8,560045.8,111.7,25.1,270.2
2020/03/11,13302553.7,563882.5,102818.8,866823.7,2698980.2,189619.3,219748.3,566864.6,171.9,40.4,409.0
2020/03/12,13310520.1,587972.6,111260.7,804322.1,2853511.0,193451.2,230065.8,727562.8,244.9,59.6,572.8
2020/03/13,13965120.8,617149.5,130286.0,795409.3,3074067.4,200534.6,231707.0,879249.3,341.8,87.7,783.4
2020/03/14,12050399.6,628806.0,142376.5,643616.7,3303407.2,255021.1,229402.0,723440.5,479.2,128.9,1059.9
2020/03/15,10185394.0,515211.4,109029.3,475920.5,2847691.0,387601.3,193608.6,673009.1,677.7,193.1,1429.7
2020/03/16,10576567.3,580109.6,90558.5,518043.6,2850318.5,217940.7,236963.2,716584.9,972.4,303.0,1952.7
2020/03/17,9613402.1,554486.2,75307.8,389438.2,2668761.2,189900.3,221385.8,596312.8,1422.1,480.8,2678.3
2020/03/18,9655999.4,563882.5,72917.2,387192.8,2698980.2,189619.3,219748.3,572007.2,2097.6,786.4,3716.1
2020/03/19,9366934.9,587972.6,64192.9,349188.8,2853511.0,193451.2,230065.8,534859.1,3074.4,1268.0,5079.4
2020/03/20,9134541.7,617149.5,50801.7,314256.1,3074067.4,200534.6,231707.0,518038.5,4461.0,1983.7,6909.5
2020/03/21,8134630.9,628806.0,42098.0,209722.3,3303407.2,255021.1,229402.0,401554.4,6412.5,3047.1,9375.8
2020/03/22,7550923.0,515211.4,48551.4,191675.5,2847691.0,387601.3,193608.6,438108.1,9062.5,4631.1,12575.3
2020/03/23,7638207.3,580109.6,34614.2,220640.7,2850318.5,217940.7,236963.2,366077.7,12536.4,6896.0,16677.4
2020/03/24,8001489.5,554486.2,42067.1,260124.4,2668761.2,189900.3,221385.8,422455.4,16827.2,9953.6,21833.3
2020/03/25,8331366.9,563882.5,44074.8,273448.1,2698980.2,189619.3,219748.3,452300.8,21886.8,13806.6,27796.5
2020/03/26,8180731.9,587972.6,41596.0,255512.8,2853511.0,193451.2,230065.8,403950.5,27672.9,18365.0,34764.2
2020/03/27,8503761.0,617149.5,43552.1,255840.4,3074067.4,200534.6,231707.0,434186.8,34296.4,23857.0,42760.9
2020/03/28,7706902.8,628806.0,50561.7,175664.0,3303407.2,255021.1,229402.0,433008.6,41778.5,30336.9,51726.4
2020/03/29,6831613.9,515211.4,41315.0,147945.2,2847691.0,387601.3,193608.6,388221.0,50209.8,38061.2,61698.7
2020/03/30,7828448.2,580109.6,38917.1,229381.0,2850318.5,217940.7,236963.2,396249.5,59648.9,46940.4,72689.1
2020/03/31,7467071.6,554486.2,39033.3,223835.0,2668761.2,189900.3,221385.8,387061.6,69874.5,56595.6,84463.8
2020/04/01,7772003.7,563882.5,41695.3,237980.1,2698980.2,189619.3,219748.3,399588.1,80609.1,67135.1,96658.6
2020/04/02,7818894.6,587972.6,42804.7,229651.6,2853511.0,193451.2,230065.8,403838.5,91916.4,78040.7,109399.1
2020/04/03,7615377.3,617149.5,46847.2,203051.7,3074067.4,200534.6,231707.0,404064.8,103795.8,89532.7,122474.0
2020/04/04,7930992.3,628806.0,56522.2,196405.8,3303407.2,255021.1,229402.0,430665.2,116231.4,101195.5,136316.9
2020/04/05,6882896.7,515211.4,42427.2,158805.2,2847691.0,387601.3,193608.6,364108.8,129255.3,113816.3,150567.7
2020/04/06,7556407.7,580109.6,42998.7,215054.5,2850318.5,217940.7,236963.2,369105.2,142890.4,126755.2,165324.8
2020/04/07,7295797.5,554486.2,43150.8,214231.6,2668761.2,189900.3,221385.8,365540.0,156795.0,140128.0,180238.0
2020/04/08,7222524.5,563882.5,44623.5,208089.4,2698980.2,189619.3,219748.3,363456.7,170693.9,153691.0,195065.8
2020/04/09,7141720.3,587972.6,44699.5,191226.7,2853511.0,193451.2,230065.8,363823.5,184486.3,167258.3,209670.2
2020/04/10,7563992.3,617149.5,55945.7,200917.6,3074067.4,200534.6,231707.0,414350.8,198321.1,181024.7,224171.6
2020/04/11,7957531.4,628806.0,62406.4,195793.7,3303407.2,255021.1,229402.0,440817.3,212059.9,194160.2,238546.2
2020/04/12,6333174.2,515211.4,7272.9,127691.0,2847691.0,387601.3,193608.6,234954.4,225858.7,206633.2,252908.6
2020/04/13,6522301.3,580109.6,30104.3,151189.4,2850318.5,217940.7,236963.2,264728.9,240004.0,220498.5,267555.6
2020/04/14,7237748.1,554486.2,44885.7,211861.4,2668761.2,189900.3,221385.8,369103.2,254029.6,233859.5,282127.4
2020/04/15,7273959.1,563882.5,45640.0,211651.1,2698980.2,189619.3,219748.3,361397.3,267614.3,246097.4,296161.5
2020/04/16,7417026.1,587972.6,45801.8,204447.9,2853511.0,193451.2,230065.8,360161.1,280721.6,257968.9,309687.2
2020/04/17,7885786.2,617149.5,50145.3,220805.6,3074067.4,200534.6,231707.0,393052.8,293403.3,269474.8,322735.5
2020/04/18,7631032.4,628806.0,55180.6,179983.3,3303407.2,255021.1,229402.0,390733.7,305746.5,280746.8,335570.5
2020/04/19,7232956.9,515211.4,45296.7,175389.7,2847691.0,387601.3,193608.6,354022.3,318079.8,291983.1,348329.9
2020/04/20,7656214.5,580109.6,42770.8,221249.2,2850318.5,217940.7,236963.2,357049.8,330619.4,303375.4,361208.8
2020/04/21,7447406.1,554486.2,42818.7,223964.9,2668761.2,189900.3,221385.8,361331.3,342784.0,314462.6,374133.0
2020/04/22,7897814.5,563882.5,50556.5,248678.4,2698980.2,189619.3,219748.3,409836.9,354284.1,324980.1,387133.9
2020/04/23,8068164.7,587972.6,50465.4,246857.8,2853511.0,193451.2,230065.8,406932.3,365298.6,335048.6,398726.5
2020/04/24,8054212.6,617149.5,48882.7,231041.1,3074067.4,200534.6,231707.0,392427.6,375897.3,344714.5,410424.3
2020/04/25,8868879.3,628806.0,62709.6,246434.2,3303407.2,255021.1,229402.0,447394.7,386187.5,354170.7,421394.7
2020/04/26,6849656.2,515211.4,45784.3,150283.8,2847691.0,387601.3,193608.6,342631.1,396383.5,363551.8,432596.5
2020/04/27,8016986.7,580109.6,47977.1,239436.4,2850318.5,217940.7,236963.2,378719.3,406663.9,372698.6,443364.7
2020/04/28,8455746.4,554486.2,50147.0,282262.2,2668761.2,189900.3,221385.8,403152.1,416724.6,381573.2,453976.2
2020/04/29,7984121.2,563882.5,49104.7,252373.8,2698980.2,189619.3,219748.3,383163.5,426295.4,389844.1,464669.7
2020/04/30,7859407.2,587972.6,46125.7,229338.2,2853511.0,193451.2,230065.8,357624.1,435427.0,398425.9,474849.6
2020/05/01,8834040.5,617149.5,60543.9,276752.5,3074067.4,200534.6,231707.0,422836.7,444242.5,406468.4,484673.9
2020/05/02,9282754.6,628806.0,65619.0,260307.4,3303407.2,255021.1,229402.0,445289.2,452783.7,413941.8,494205.6
2020/05/03,,,,,,,,,461279.5,421065.8,503701.3
2020/05/04,,,,,,,,,469861.6,428337.8,513267.0
2020/05/05,,,,,,,,,478086.5,435320.1,522431.0
2020/05/06,,,,,,,,,485932.0,442027.7,531049.6
2020/05/07,,,,,,,,,493469.5,448440.2,539252.2
2020/05/08,,,,,,,,,500651.3,454533.4,547056.6
