date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11905424.7,515211.4,146015.8,734949.2,2847691.0,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14096225.6,580109.6,104929.9,911454.0,2850318.5,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13350917.6,554486.2,100932.4,883517.4,2668761.2,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13307878.2,563882.5,102818.8,866823.7,2698980.2,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13334507.4,587972.6,111260.7,804322.1,2853511.0,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14017099.5,617149.5,130286.0,795409.3,3074067.4,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,12049334.2,628806.0,142376.5,643616.7,3303407.2,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,10182874.1,515211.4,109029.3,475920.5,2847691.0,387601.3,191088.7,673009.1,928.1,194.2,2465.9
2020/03/16,10573511.8,580109.6,90558.5,518043.6,2850318.5,217940.7,233907.7,716584.9,1287.3,303.8,3234.1
2020/03/17,9595991.8,554486.2,75307.8,389438.2,2668761.2,189900.3,203975.5,596312.8,1813.7,491.7,4247.2
2020/03/18,9640146.7,563882.5,72917.2,387192.8,2698980.2,189619.3,203895.6,572007.2,2580.5,795.1,5600.5
2020/03/19,9322388.7,587972.6,64192.9,349188.8,2853511.0,193451.2,185519.6,534859.1,3661.2,1280.9,7374.6
2020/03/20,9059653.5,617149.5,50801.7,314256.1,3074067.4,200534.6,156818.8,518038.5,5163.7,2043.9,9638.1
2020/03/21,8015548.7,628806.0,42098.0,209722.3,3303407.2,255021.1,110319.8,401554.4,7237.9,3162.6,12504.4
2020/03/22,7479737.5,515211.4,48551.4,191675.5,2847691.0,387601.3,122423.2,438108.1,10012.4,4817.6,16103.5
2020/03/23,7525229.8,580109.6,34614.2,220640.7,2850318.5,217940.7,123985.7,366077.7,13610.4,7138.5,20558.4
2020/03/24,7929119.1,554486.2,42067.1,260124.4,2668761.2,189900.3,149015.4,422455.4,18013.0,10237.1,25726.6
2020/03/25,8266698.8,563882.5,44074.8,273448.1,2698980.2,189619.3,155080.3,452300.8,23165.7,14100.2,31599.4
2020/03/26,8094226.9,587972.6,41596.0,255512.8,2853511.0,193451.2,143560.8,403950.5,29022.5,18750.7,38049.3
2020/03/27,8414623.7,617149.5,43552.1,255840.4,3074067.4,200534.6,142569.7,434186.8,35692.7,24349.6,45198.9
2020/03/28,7593124.7,628806.0,50561.7,175664.0,3303407.2,255021.1,115623.8,433008.6,43191.5,30938.6,53006.0
2020/03/29,6734625.3,515211.4,41315.0,147945.2,2847691.0,387601.3,96620.0,388221.0,51608.3,38657.6,62548.3
2020/03/30,7725124.0,580109.6,38917.1,229381.0,2850318.5,217940.7,133639.0,396249.5,60988.4,47511.2,72122.2
2020/03/31,7380654.9,554486.2,39033.3,223835.0,2668761.2,189900.3,134969.0,387061.6,71129.0,57298.4,83229.9
2020/04/01,7694500.2,563882.5,41695.3,237980.1,2698980.2,189619.3,142244.8,399588.1,81754.1,67157.8,95423.3
2020/04/02,7726143.5,587972.6,42804.7,229651.6,2853511.0,193451.2,137314.7,403838.5,92930.4,77440.3,108155.1
2020/04/03,7520897.6,617149.5,46847.2,203051.7,3074067.4,200534.6,137227.2,404064.8,104658.4,89288.6,121417.7
2020/04/04,7828244.8,628806.0,56522.2,196405.8,3303407.2,255021.1,126654.5,430665.2,116914.5,101645.5,135245.9
2020/04/05,6791145.2,515211.4,42427.2,158805.2,2847691.0,387601.3,101857.1,364108.8,129728.0,113923.0,149581.2
2020/04/06,7447283.1,580109.6,42998.7,215054.5,2850318.5,217940.7,127838.5,369105.2,143132.4,126664.9,164471.8
2020/04/07,7203492.9,554486.2,43150.8,214231.6,2668761.2,189900.3,129081.2,365540.0,156795.3,139918.3,179281.0
2020/04/08,7133653.7,563882.5,44623.5,208089.4,2698980.2,189619.3,130877.5,363456.7,170455.5,153297.7,194259.0
2020/04/09,7033437.8,587972.6,44699.5,191226.7,2853511.0,193451.2,121783.3,363823.5,184008.4,166703.6,208999.5
2020/04/10,7471170.0,617149.5,55945.7,200917.6,3074067.4,200534.6,138884.7,414350.8,197603.8,180214.8,223516.6
2020/04/11,7873525.6,628806.0,62406.4,195793.7,3303407.2,255021.1,145396.2,440817.3,211109.7,193294.3,237747.4
2020/04/12,6228702.5,515211.4,7272.9,127691.0,2847691.0,387601.3,89136.9,234954.4,224665.5,206726.8,252014.8
2020/04/13,6373734.6,580109.6,30104.3,151189.4,2850318.5,217940.7,88396.4,264728.9,238555.2,220544.0,266597.6
2020/04/14,7150209.0,554486.2,44885.7,211861.4,2668761.2,189900.3,133846.8,369103.2,252334.7,233927.1,281168.1
2020/04/15,7183009.8,563882.5,45640.0,211651.1,2698980.2,189619.3,128799.0,361397.3,265692.2,246145.3,295262.2
2020/04/16,7314062.8,587972.6,45801.8,204447.9,2853511.0,193451.2,127102.5,360161.1,278603.0,257921.0,308813.8
2020/04/17,7790168.2,617149.5,50145.3,220805.6,3074067.4,200534.6,136089.0,393052.8,291107.7,269366.8,321875.1
2020/04/18,7517745.5,628806.0,55180.6,179983.3,3303407.2,255021.1,116115.1,390733.7,303286.4,280580.9,334426.3
2020/04/19,7142382.6,515211.4,45296.7,175389.7,2847691.0,387601.3,103034.3,354022.3,315448.8,291707.6,346885.1
2020/04/20,7544323.1,580109.6,42770.8,221249.2,2850318.5,217940.7,125071.8,357049.8,327808.4,302952.2,359578.5
2020/04/21,7349028.3,554486.2,42818.7,223964.9,2668761.2,189900.3,123008.0,361331.3,339805.3,313875.0,372282.6
2020/04/22,7819776.6,563882.5,50556.5,248678.4,2698980.2,189619.3,141710.4,409836.9,351163.3,324342.9,384601.3
2020/04/23,7977218.2,587972.6,50465.4,246857.8,2853511.0,193451.2,139119.3,406932.3,362059.9,334361.8,396284.7
2020/04/24,7952430.9,617149.5,48882.7,231041.1,3074067.4,200534.6,129925.3,392427.6,372559.6,344074.4,407413.8
2020/04/25,8777580.9,628806.0,62709.6,246434.2,3303407.2,255021.1,138103.6,447394.7,382758.9,353469.5,418675.5
2020/04/26,6747635.8,515211.4,45784.3,150283.8,2847691.0,387601.3,91588.2,342631.1,392861.1,362753.2,429859.3
2020/04/27,7911487.7,580109.6,47977.1,239436.4,2850318.5,217940.7,131464.2,378719.3,403040.5,372150.9,441234.1
2020/04/28,8380939.7,554486.2,50147.0,282262.2,2668761.2,189900.3,146579.1,403152.1,413005.1,380945.6,452218.8
2020/04/29,7898007.6,563882.5,49104.7,252373.8,2698980.2,189619.3,133634.7,383163.5,422495.4,389594.9,462745.4
2020/04/30,7753791.3,587972.6,46125.7,229338.2,2853511.0,193451.2,124449.9,357624.1,431562.9,397925.4,472847.2
2020/05/01,8752547.0,617149.5,60543.9,276752.5,3074067.4,200534.6,150213.4,422836.7,440326.2,406167.0,482665.0
2020/05/02,9188457.2,628806.0,65619.0,260307.4,3303407.2,255021.1,135104.5,445289.2,448822.6,413326.2,492104.5
2020/05/03,,,,,,,,,457266.0,420806.6,501492.3
2020/05/04,,,,,,,,,465790.1,428191.4,510986.0
2020/05/05,,,,,,,,,473969.8,435093.1,520084.3
2020/05/06,,,,,,,,,481780.8,441676.6,528715.5
2020/05/07,,,,,,,,,489299.4,447984.5,537034.6
2020/05/08,,,,,,,,,496466.1,453982.5,544885.3
