date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11853989.1,492516.6,146015.8,734949.2,2847691.0,349562.8,193608.6,641465.6,4.0,0.3,12.8
2020/03/09,14068149.1,555939.5,104929.9,911454.0,2850318.5,202508.0,236963.2,579777.5,93.9,12.7,277.9
2020/03/10,13336174.4,531385.2,100932.4,883517.4,2668761.2,201275.7,221385.8,560045.8,180.1,25.1,526.1
2020/03/11,13274892.6,529369.8,102818.8,866823.7,2698980.2,196471.0,219748.3,566864.6,273.7,40.4,788.3
2020/03/12,13230838.2,512618.4,111260.7,804322.1,2853511.0,189123.5,230065.8,727562.8,383.6,59.6,1082.0
2020/03/13,13930425.3,577695.6,130286.0,795409.3,3074067.4,205293.0,231707.0,879249.3,523.4,87.7,1439.1
2020/03/14,11838802.0,480013.9,142376.5,643616.7,3303407.2,192215.6,229402.0,723440.5,712.9,128.9,1887.6
2020/03/15,9872975.8,368649.7,109029.3,475920.5,2847691.0,221744.8,193608.6,673009.1,975.9,193.7,2468.9
2020/03/16,10306996.3,376145.9,90558.5,518043.6,2850318.5,152333.5,236963.2,716584.9,1350.1,303.8,3240.8
2020/03/17,9344370.2,327744.1,75307.8,389438.2,2668761.2,147610.5,221385.8,596312.8,1896.4,479.8,4244.8
2020/03/18,9373333.1,324675.7,72917.2,387192.8,2698980.2,146159.9,219748.3,572007.2,2689.1,771.7,5578.8
2020/03/19,9019881.0,294174.3,64192.9,349188.8,2853511.0,140195.6,230065.8,534859.1,3805.7,1232.2,7316.3
2020/03/20,8709117.3,259310.2,50801.7,314256.1,3074067.4,132949.5,231707.0,518038.5,5353.0,1955.3,9562.0
2020/03/21,7549727.4,185267.0,42098.0,209722.3,3303407.2,113656.6,229402.0,401554.4,7473.7,3050.3,12423.1
2020/03/22,6957914.9,192936.0,48551.4,191675.5,2847691.0,116868.6,193608.6,438108.1,10289.6,4666.4,16060.6
2020/03/23,7139766.2,194404.9,34614.2,220640.7,2850318.5,105204.3,236963.2,366077.7,13876.9,6901.7,20426.8
2020/03/24,7621453.9,239989.9,42067.1,260124.4,2668761.2,124361.0,221385.8,422455.4,18213.9,9834.8,25463.5
2020/03/25,7967305.9,253661.2,44074.8,273448.1,2698980.2,135779.8,219748.3,452300.8,23265.1,13478.8,31122.1
2020/03/26,7764184.2,245090.7,41596.0,255512.8,2853511.0,119785.3,230065.8,403950.5,28998.4,17855.1,37347.9
2020/03/27,8070296.3,260616.6,43552.1,255840.4,3074067.4,123602.8,231707.0,434186.8,35506.6,23083.6,44247.0
2020/03/28,7125332.4,206660.6,50561.7,175664.0,3303407.2,95596.2,229402.0,433008.6,42788.6,29259.9,51787.7
2020/03/29,6187715.2,165715.4,41315.0,147945.2,2847691.0,93198.6,193608.6,388221.0,50885.4,36397.8,60401.6
2020/03/30,7353953.3,211471.8,38917.1,229381.0,2850318.5,112083.6,236963.2,396249.5,59702.0,44460.4,69950.1
2020/03/31,7056306.0,224196.1,39033.3,223835.0,2668761.2,109424.8,221385.8,387061.6,69116.3,53306.5,80279.2
2020/04/01,7368859.4,235089.4,41695.3,237980.1,2698980.2,115268.2,219748.3,399588.1,78976.1,62859.9,91479.7
2020/04/02,7378156.9,230191.1,42804.7,229651.6,2853511.0,110495.0,230065.8,403838.5,89389.5,73206.7,103245.2
2020/04/03,7117517.1,236154.4,46847.2,203051.7,3074067.4,83669.5,231707.0,404064.8,100322.0,84311.8,115498.0
2020/04/04,7373418.8,241736.6,56522.2,196405.8,3303407.2,84517.1,229402.0,430665.2,111738.5,96190.3,128219.7
2020/04/05,6243644.9,179268.8,42427.2,158805.2,2847691.0,84292.1,193608.6,364108.8,123601.5,108846.5,141237.0
2020/04/06,7065040.8,216071.0,42998.7,215054.5,2850318.5,90612.5,236963.2,369105.2,135744.4,121963.1,154439.5
2020/04/07,6864534.3,221022.9,43150.8,214231.6,2668761.2,92100.4,221385.8,365540.0,148006.4,135211.2,167727.2
2020/04/08,6771477.5,211071.9,44623.5,208089.4,2698980.2,91382.9,219748.3,363456.7,160296.5,147543.7,181076.5
2020/04/09,6643822.8,199959.0,44699.5,191226.7,2853511.0,83567.3,230065.8,363823.5,172549.2,159266.9,194243.1
2020/04/10,7049511.9,219690.3,55945.7,200917.6,3074067.4,83513.4,231707.0,414350.8,184865.2,171108.8,207349.5
2020/04/11,7411204.3,247481.6,62406.4,195793.7,3303407.2,90018.4,229402.0,440817.3,197090.5,182631.3,220296.9
2020/04/12,5652255.9,140211.0,7272.9,127691.0,2847691.0,81683.4,193608.6,234954.4,209291.9,193794.7,233198.0
2020/04/13,5946733.7,151992.2,30104.3,151189.4,2850318.5,70490.5,236963.2,264728.9,221548.1,205058.4,246108.2
2020/04/14,6823769.1,237116.5,44885.7,211861.4,2668761.2,93291.0,221385.8,369103.2,233605.7,216141.6,258834.4
2020/04/15,6852281.9,240233.3,45640.0,211651.1,2698980.2,91591.5,219748.3,361397.3,245338.0,227009.3,271189.5
2020/04/16,6967190.9,235635.7,45801.8,204447.9,2853511.0,95952.8,230065.8,360161.1,256718.8,237420.8,283106.6
2020/04/17,7431621.9,264743.2,50145.3,220805.6,3074067.4,98776.6,231707.0,393052.8,267759.3,247551.3,294684.6
2020/04/18,7062384.8,229864.9,55180.6,179983.3,3303407.2,85314.6,229402.0,390733.7,278520.8,257363.1,305960.2
2020/04/19,6647192.9,220842.5,45296.7,175389.7,2847691.0,96206.1,193608.6,354022.3,289245.0,267246.8,317235.2
2020/04/20,7183014.4,222536.7,42770.8,221249.2,2850318.5,102313.5,236963.2,357049.8,299963.0,277140.4,328453.2
2020/04/21,7029775.8,222119.1,42818.7,223964.9,2668761.2,104637.2,221385.8,361331.3,310283.5,286727.6,339223.2
2020/04/22,7520483.7,264593.8,50556.5,248678.4,2698980.2,111577.3,219748.3,409836.9,320100.0,295642.6,349467.0
2020/04/23,7656244.5,258307.6,50465.4,246857.8,2853511.0,111196.0,230065.8,406932.3,329574.0,304044.1,359315.5
2020/04/24,7615875.8,271389.4,48882.7,231041.1,3074067.4,107957.9,231707.0,392427.6,338746.1,312365.8,368799.9
2020/04/25,8428344.2,320537.4,62709.6,246434.2,3303407.2,122754.6,229402.0,447394.7,347692.3,320592.0,378484.9
2020/04/26,6216041.2,183522.6,45784.3,150283.8,2847691.0,85675.0,193608.6,342631.1,356550.6,328351.7,388460.1
2020/04/27,7559777.9,237548.4,47977.1,239436.4,2850318.5,103293.2,236963.2,378719.3,365340.1,336270.2,398178.5
2020/04/28,8130750.5,291932.9,50147.0,282262.2,2668761.2,127457.7,221385.8,403152.1,373916.1,343719.9,407801.2
2020/04/29,7594662.9,252758.8,49104.7,252373.8,2698980.2,111284.7,219748.3,383163.5,382144.7,350741.3,416619.4
2020/04/30,7422391.1,241233.1,46125.7,229338.2,2853511.0,103174.6,230065.8,357624.1,390069.6,357504.6,425404.4
2020/05/01,8445627.2,307128.4,60543.9,276752.5,3074067.4,122142.3,231707.0,422836.7,397776.1,364045.7,434284.3
2020/05/02,8869905.9,338882.6,65619.0,260307.4,3303407.2,132095.7,229402.0,445289.2,405291.3,370456.3,442946.0
2020/05/03,,,,,,,,,412795.9,376863.6,451419.3
2020/05/04,,,,,,,,,420289.0,383253.8,460028.1
2020/05/05,,,,,,,,,427450.3,389350.3,468165.2
2020/05/06,,,,,,,,,434353.7,395217.2,476117.6
2020/05/07,,,,,,,,,441060.1,400903.3,483834.4
2020/05/08,,,,,,,,,447496.8,406323.0,491217.6
