date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11892027.7,492516.6,146015.8,734949.2,2847691.0,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14083581.8,555939.5,104929.9,911454.0,2850318.5,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13324798.9,531385.2,100932.4,883517.4,2668761.2,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13268040.9,529369.8,102818.8,866823.7,2698980.2,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13235165.9,512618.4,111260.7,804322.1,2853511.0,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13925666.9,577695.6,130286.0,795409.3,3074067.4,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11901607.5,480013.9,142376.5,643616.7,3303407.2,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10038832.4,368649.7,109029.3,475920.5,2847691.0,387601.3,193608.6,673009.1,928.3,195.5,2467.6
2020/03/16,10372603.5,376145.9,90558.5,518043.6,2850318.5,217940.7,236963.2,716584.9,1287.5,304.0,3230.3
2020/03/17,9386659.9,327744.1,75307.8,389438.2,2668761.2,189900.3,221385.8,596312.8,1813.5,491.7,4244.9
2020/03/18,9416792.6,324675.7,72917.2,387192.8,2698980.2,189619.3,219748.3,572007.2,2577.7,795.9,5588.9
2020/03/19,9073136.6,294174.3,64192.9,349188.8,2853511.0,193451.2,230065.8,534859.1,3654.7,1269.7,7329.7
2020/03/20,8776702.5,259310.2,50801.7,314256.1,3074067.4,200534.6,231707.0,518038.5,5150.6,2003.5,9574.6
2020/03/21,7691091.9,185267.0,42098.0,209722.3,3303407.2,255021.1,229402.0,401554.4,7210.7,3110.5,12424.9
2020/03/22,7228647.6,192936.0,48551.4,191675.5,2847691.0,387601.3,193608.6,438108.1,9962.5,4719.7,16015.7
2020/03/23,7252502.6,194404.9,34614.2,220640.7,2850318.5,217940.7,236963.2,366077.7,13519.9,6977.9,20399.0
2020/03/24,7686993.1,239989.9,42067.1,260124.4,2668761.2,189900.3,221385.8,422455.4,17857.2,9925.3,25519.4
2020/03/25,8021145.5,253661.2,44074.8,273448.1,2698980.2,189619.3,219748.3,452300.8,22910.4,13695.6,31266.6
2020/03/26,7837850.0,245090.7,41596.0,255512.8,2853511.0,193451.2,230065.8,403950.5,28645.0,18231.9,37626.4
2020/03/27,8147228.1,260616.6,43552.1,255840.4,3074067.4,200534.6,231707.0,434186.8,35161.1,23725.0,44689.4
2020/03/28,7284757.3,206660.6,50561.7,175664.0,3303407.2,255021.1,229402.0,433008.6,42462.2,30159.7,52427.2
2020/03/29,6482117.9,165715.4,41315.0,147945.2,2847691.0,387601.3,193608.6,388221.0,50633.4,37669.5,61349.2
2020/03/30,7459810.4,211471.8,38917.1,229381.0,2850318.5,217940.7,236963.2,396249.5,59733.3,46146.1,71076.7
2020/03/31,7136781.5,224196.1,39033.3,223835.0,2668761.2,189900.3,221385.8,387061.6,69552.7,55262.1,82300.5
2020/04/01,7443210.6,235089.4,41695.3,237980.1,2698980.2,189619.3,219748.3,399588.1,79824.4,65398.9,94009.7
2020/04/02,7461113.0,230191.1,42804.7,229651.6,2853511.0,193451.2,230065.8,403838.5,90627.3,75972.1,106280.2
2020/04/03,7234382.2,236154.4,46847.2,203051.7,3074067.4,200534.6,231707.0,404064.8,101955.3,86820.4,118992.7
2020/04/04,7543922.8,241736.6,56522.2,196405.8,3303407.2,255021.1,229402.0,430665.2,113786.6,98076.0,132004.8
2020/04/05,6546954.1,179268.8,42427.2,158805.2,2847691.0,387601.3,193608.6,364108.8,126143.4,110671.5,145549.8
2020/04/06,7192369.1,216071.0,42998.7,215054.5,2850318.5,217940.7,236963.2,369105.2,139047.5,123474.2,159608.0
2020/04/07,6962334.2,221022.9,43150.8,214231.6,2668761.2,189900.3,221385.8,365540.0,152200.7,136340.9,174128.4
2020/04/08,6869713.9,211071.9,44623.5,208089.4,2698980.2,189619.3,219748.3,363456.7,165345.5,149257.1,188505.6
2020/04/09,6753706.6,199959.0,44699.5,191226.7,2853511.0,193451.2,230065.8,363823.5,178392.2,162195.1,202719.3
2020/04/10,7166533.1,219690.3,55945.7,200917.6,3074067.4,200534.6,231707.0,414350.8,191481.1,175266.6,216879.8
2020/04/11,7576207.0,247481.6,62406.4,195793.7,3303407.2,255021.1,229402.0,440817.3,204473.1,188085.5,230719.1
2020/04/12,5958173.9,140211.0,7272.9,127691.0,2847691.0,387601.3,193608.6,234954.4,217500.9,200262.6,244558.6
2020/04/13,6094183.9,151992.2,30104.3,151189.4,2850318.5,217940.7,236963.2,264728.9,230843.7,212747.9,258732.2
2020/04/14,6920378.3,237116.5,44885.7,211861.4,2668761.2,189900.3,221385.8,369103.2,244087.4,225956.6,272749.1
2020/04/15,6950309.8,240233.3,45640.0,211651.1,2698980.2,189619.3,219748.3,361397.3,256927.0,238680.3,286213.8
2020/04/16,7064689.2,235635.7,45801.8,204447.9,2853511.0,193451.2,230065.8,360161.1,269332.7,250233.7,299246.3
2020/04/17,7533379.9,264743.2,50145.3,220805.6,3074067.4,200534.6,231707.0,393052.8,281347.8,261338.9,311943.5
2020/04/18,7232091.3,229864.9,55180.6,179983.3,3303407.2,255021.1,229402.0,390733.7,293047.2,272164.0,324055.6
2020/04/19,6938588.1,220842.5,45296.7,175389.7,2847691.0,387601.3,193608.6,354022.3,304724.1,282895.9,335970.4
2020/04/20,7298641.6,222536.7,42770.8,221249.2,2850318.5,217940.7,236963.2,357049.8,316583.0,293690.1,348104.3
2020/04/21,7115038.9,222119.1,42818.7,223964.9,2668761.2,189900.3,221385.8,361331.3,328097.6,304251.4,359844.0
2020/04/22,7598525.8,264593.8,50556.5,248678.4,2698980.2,189619.3,219748.3,409836.9,339006.2,314221.0,370896.5
2020/04/23,7738499.7,258307.6,50465.4,246857.8,2853511.0,193451.2,230065.8,406932.3,349479.0,323811.8,381815.5
2020/04/24,7708452.5,271389.4,48882.7,231041.1,3074067.4,200534.6,231707.0,392427.6,359574.5,332861.3,392872.2
2020/04/25,8560610.7,320537.4,62709.6,246434.2,3303407.2,255021.1,229402.0,447394.7,369381.4,341569.6,403245.7
2020/04/26,6517967.5,183522.6,45784.3,150283.8,2847691.0,387601.3,193608.6,342631.1,379089.7,350196.7,413039.4
2020/04/27,7674425.5,237548.4,47977.1,239436.4,2850318.5,217940.7,236963.2,378719.3,388875.6,358695.7,423323.0
2020/04/28,8193193.1,291932.9,50147.0,282262.2,2668761.2,189900.3,221385.8,403152.1,398467.2,367436.1,434121.5
2020/04/29,7672997.5,252758.8,49104.7,252373.8,2698980.2,189619.3,219748.3,383163.5,407610.9,375429.9,444563.1
2020/04/30,7512667.7,241233.1,46125.7,229338.2,2853511.0,193451.2,230065.8,357624.1,416357.9,383239.8,454000.4
2020/05/01,8524019.4,307128.4,60543.9,276752.5,3074067.4,200534.6,231707.0,422836.7,424820.9,390480.4,462587.1
2020/05/02,8992831.2,338882.6,65619.0,260307.4,3303407.2,255021.1,229402.0,445289.2,433026.9,397382.7,471783.9
2020/05/03,,,,,,,,,441192.4,404246.9,480948.3
2020/05/04,,,,,,,,,449433.1,411265.8,490248.7
2020/05/05,,,,,,,,,457345.9,417948.2,499133.0
2020/05/06,,,,,,,,,464922.2,424337.2,507549.7
2020/05/07,,,,,,,,,472218.0,430502.6,515627.8
2020/05/08,,,,,,,,,479180.5,436400.0,523316.2
