date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11784258.8,515211.4,146015.8,734949.2,2679322.2,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14020017.4,580109.6,104929.9,911454.0,2747085.4,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13268550.1,554486.2,100932.4,883517.4,2627834.0,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13226082.8,563882.5,102818.8,866823.7,2660499.1,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,12909993.8,587972.6,111260.7,804322.1,2632468.6,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13552859.7,617149.5,130286.0,795409.3,2974918.1,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11240392.2,628806.0,142376.5,643616.7,2569624.3,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9360046.5,515211.4,109029.3,475920.5,2015981.9,387601.3,193608.6,679370.7,928.2,194.5,2465.7
2020/03/16,9555834.7,580109.6,90558.5,518043.6,1950894.7,217940.7,236963.2,595276.1,1286.0,304.7,3237.1
2020/03/17,8605629.2,554486.2,75307.8,389438.2,1735678.0,189900.3,221385.8,521623.1,1801.2,482.6,4233.1
2020/03/18,8611505.7,563882.5,72917.2,387192.8,1697618.7,189619.3,219748.3,528874.9,2546.3,784.3,5554.0
2020/03/19,8106182.8,587972.6,64192.9,349188.8,1579539.1,193451.2,230065.8,548079.0,3603.5,1255.4,7251.9
2020/03/20,7542350.5,617149.5,50801.7,314256.1,1433777.0,200534.6,231707.0,566137.6,5061.0,1982.0,9448.4
2020/03/21,6156651.0,628806.0,42098.0,209722.3,1079765.7,255021.1,229402.0,647216.1,7037.8,3010.5,12244.9
2020/03/22,5942869.4,515211.4,48551.4,191675.5,998374.9,387601.3,193608.6,679370.7,9621.3,4491.0,15685.4
2020/03/23,6048305.0,580109.6,34614.2,220640.7,1031217.8,217940.7,236963.2,595276.1,12840.8,6483.8,19791.8
2020/03/24,6629737.7,554486.2,42067.1,260124.4,1197841.6,189900.3,221385.8,521623.1,16626.0,9039.5,24411.6
2020/03/25,6991490.8,563882.5,44074.8,273448.1,1282530.0,189619.3,219748.3,528874.9,20906.4,12101.6,29443.8
2020/03/26,6652999.3,587972.6,41596.0,255512.8,1181649.9,193451.2,230065.8,548079.0,25664.6,15690.2,34889.3
2020/03/27,6795474.5,617149.5,43552.1,255840.4,1233830.1,200534.6,231707.0,566137.6,30936.0,19896.6,40785.3
2020/03/28,5572729.8,628806.0,50561.7,175664.0,955026.7,255021.1,229402.0,647216.1,36650.7,24623.2,47024.7
2020/03/29,5085635.6,515211.4,41315.0,147945.2,810563.0,387601.3,193608.6,679370.7,42744.4,29888.3,53587.3
2020/03/30,6241093.9,580109.6,38917.1,229381.0,1063937.7,217940.7,236963.2,595276.1,49173.8,35622.8,60569.7
2020/03/31,5970238.7,554486.2,39033.3,223835.0,1037366.7,189900.3,221385.8,521623.1,55941.4,41863.4,67998.4
2020/04/01,6293476.7,563882.5,41695.3,237980.1,1091166.3,189619.3,219748.3,528874.9,62961.3,48496.5,75730.2
2020/04/02,6161799.2,587972.6,42804.7,229651.6,1052175.1,193451.2,230065.8,548079.0,70392.7,55638.0,83654.6
2020/04/03,5697160.3,617149.5,46847.2,203051.7,993777.5,200534.6,231707.0,566137.6,78166.6,63518.5,92645.0
2020/04/04,5802651.2,628806.0,56522.2,196405.8,958515.3,255021.1,229402.0,647216.1,86215.8,71286.9,101409.8
2020/04/05,5131681.8,515211.4,42427.2,158805.2,781214.3,387601.3,193608.6,679370.7,94400.3,79491.3,110508.1
2020/04/06,5884668.0,580109.6,42998.7,215054.5,952408.0,217940.7,236963.2,595276.1,102653.9,87566.8,119580.5
2020/04/07,5729498.1,554486.2,43150.8,214231.6,946378.7,189900.3,221385.8,521623.1,110986.0,95683.2,128618.2
2020/04/08,5622480.8,563882.5,44623.5,208089.4,933518.3,189619.3,219748.3,528874.9,119377.9,103894.5,137668.0
2020/04/09,5340594.1,587972.6,44699.5,191226.7,868129.3,193451.2,230065.8,548079.0,127762.5,112348.7,146708.8
2020/04/10,5604625.4,617149.5,55945.7,200917.6,962913.6,200534.6,231707.0,566137.6,136190.8,121221.9,155843.1
2020/04/11,5826972.9,628806.0,62406.4,195793.7,966449.8,255021.1,229402.0,647216.1,144453.2,129742.8,164787.2
2020/04/12,4616255.8,515211.4,7272.9,127691.0,686356.3,387601.3,193608.6,679370.7,152510.3,137937.0,173481.6
2020/04/13,4708818.1,580109.6,30104.3,151189.4,706288.2,217940.7,236963.2,595276.1,160558.0,146318.9,182233.2
2020/04/14,5702464.9,554486.2,44885.7,211861.4,980958.1,189900.3,221385.8,521623.1,168518.6,154079.6,190842.3
2020/04/15,5722876.0,563882.5,45640.0,211651.1,980419.5,189619.3,219748.3,528874.9,176279.1,161573.0,199099.5
2020/04/16,5726471.7,587972.6,45801.8,204447.9,975038.7,193451.2,230065.8,548079.0,183830.1,168291.2,207065.7
2020/04/17,6073854.6,617149.5,50145.3,220805.6,1089051.1,200534.6,231707.0,566137.6,191129.7,175729.6,214715.5
2020/04/18,5519413.7,628806.0,55180.6,179983.3,935306.1,255021.1,229402.0,647216.1,198179.9,181962.9,222197.5
2020/04/19,5606308.3,515211.4,45296.7,175389.7,895694.1,387601.3,193608.6,679370.7,205096.7,187775.5,229477.7
2020/04/20,6065673.9,580109.6,42770.8,221249.2,1021551.6,217940.7,236963.2,595276.1,212025.3,193676.3,236581.5
2020/04/21,5952748.9,554486.2,42818.7,223964.9,1013812.2,189900.3,221385.8,521623.1,218730.3,199181.6,243402.2
2020/04/22,6457585.0,563882.5,50556.5,248678.4,1139712.7,189619.3,219748.3,528874.9,225137.0,204381.0,249905.9
2020/04/23,6501837.3,587972.6,50465.4,246857.8,1146036.9,193451.2,230065.8,548079.0,231379.3,209344.8,256233.3
2020/04/24,6284832.6,617149.5,48882.7,231041.1,1130977.3,200534.6,231707.0,566137.6,237460.4,214244.7,262376.2
2020/04/25,7013317.8,628806.0,62709.6,246434.2,1248024.3,255021.1,229402.0,647216.1,243387.7,218973.9,268338.4
2020/04/26,5115184.2,515211.4,45784.3,150283.8,776479.4,387601.3,193608.6,679370.7,249187.8,223592.1,274216.3
2020/04/27,6443017.1,580109.6,47977.1,239436.4,1059792.3,217940.7,236963.2,595276.1,254983.9,228224.0,280119.0
2020/04/28,7136288.7,554486.2,50147.0,282262.2,1230832.5,189900.3,221385.8,521623.1,260734.1,232807.9,285975.4
2020/04/29,6523537.8,563882.5,49104.7,252373.8,1092685.5,189619.3,219748.3,528874.9,266341.2,237246.6,291642.1
2020/04/30,6221575.1,587972.6,46125.7,229338.2,1025224.0,193451.2,230065.8,548079.0,271804.5,241532.2,297114.3
2020/05/01,7186829.4,617149.5,60543.9,276752.5,1283555.4,200534.6,231707.0,566137.6,277182.1,245731.3,302525.2
2020/05/02,7470161.4,628806.0,65619.0,260307.4,1288887.1,255021.1,229402.0,647216.1,282456.7,249832.8,307805.0
2020/05/03,,,,,,,,,287699.0,253892.0,313071.7
2020/05/04,,,,,,,,,292992.0,258032.7,318339.8
2020/05/05,,,,,,,,,298113.0,262054.7,323477.5
2020/05/06,,,,,,,,,303137.8,265995.2,328508.9
2020/05/07,,,,,,,,,308104.0,269852.8,333409.1
2020/05/08,,,,,,,,,312920.8,273538.4,338145.9
2020/05/09,,,,,,,,,317637.8,277128.5,342780.7
