date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11723525.5,492516.6,146015.8,734949.2,2679322.2,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,13980414.6,555939.5,104929.9,911454.0,2747085.4,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13256824.5,531385.2,100932.4,883517.4,2627834.0,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13198421.7,529369.8,102818.8,866823.7,2660499.1,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,12830311.9,512618.4,111260.7,804322.1,2632468.6,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13518164.3,577695.6,130286.0,795409.3,2974918.1,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11028794.6,480013.9,142376.5,643616.7,2569624.3,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9047628.3,368649.7,109029.3,475920.5,2015981.9,221744.8,193608.6,679370.7,928.3,194.5,2467.6
2020/03/16,9286263.7,376145.9,90558.5,518043.6,1950894.7,152333.5,236963.2,595276.1,1285.3,301.8,3231.4
2020/03/17,8336597.3,327744.1,75307.8,389438.2,1735678.0,147610.5,221385.8,521623.1,1797.5,481.4,4231.9
2020/03/18,8328839.4,324675.7,72917.2,387192.8,1697618.7,146159.9,219748.3,528874.9,2540.3,768.9,5553.2
2020/03/19,7759128.9,294174.3,64192.9,349188.8,1579539.1,140195.6,230065.8,548079.0,3595.3,1238.1,7241.9
2020/03/20,7116926.1,259310.2,50801.7,314256.1,1433777.0,132949.5,231707.0,566137.6,5047.6,1975.3,9442.0
2020/03/21,5571747.5,185267.0,42098.0,209722.3,1079765.7,113656.6,229402.0,647216.1,7008.2,3054.1,12214.4
2020/03/22,5349861.3,192936.0,48551.4,191675.5,998374.9,116868.6,193608.6,679370.7,9553.7,4540.6,15619.2
2020/03/23,5549863.9,194404.9,34614.2,220640.7,1031217.8,105204.3,236963.2,595276.1,12671.9,6521.7,19575.1
2020/03/24,6249702.1,239989.9,42067.1,260124.4,1197841.6,124361.0,221385.8,521623.1,16293.5,9057.3,23994.4
2020/03/25,6627429.9,253661.2,44074.8,273448.1,1282530.0,135779.8,219748.3,528874.9,20369.7,12069.7,28866.5
2020/03/26,6236451.5,245090.7,41596.0,255512.8,1181649.9,119785.3,230065.8,548079.0,24894.5,15568.0,34148.4
2020/03/27,6362009.8,260616.6,43552.1,255840.4,1233830.1,123602.8,231707.0,566137.6,29889.6,19636.1,39873.9
2020/03/28,4991159.4,206660.6,50561.7,175664.0,955026.7,95596.2,229402.0,647216.1,35269.1,24176.8,45924.9
2020/03/29,4441736.9,165715.4,41315.0,147945.2,810563.0,93198.6,193608.6,679370.7,40934.0,29141.0,52093.1
2020/03/30,5766599.0,211471.8,38917.1,229381.0,1063937.7,112083.6,236963.2,595276.1,46721.1,34345.3,58384.5
2020/03/31,5559473.1,224196.1,39033.3,223835.0,1037366.7,109424.8,221385.8,521623.1,52699.3,39845.8,64816.1
2020/04/01,5890332.4,235089.4,41695.3,237980.1,1091166.3,115268.2,219748.3,528874.9,58890.3,45594.0,71720.5
2020/04/02,5721061.5,230191.1,42804.7,229651.6,1052175.1,110495.0,230065.8,548079.0,65497.6,51689.8,78866.8
2020/04/03,5199300.0,236154.4,46847.2,203051.7,993777.5,83669.5,231707.0,566137.6,72425.8,58451.8,86477.4
2020/04/04,5245077.7,241736.6,56522.2,196405.8,958515.3,84517.1,229402.0,647216.1,79583.2,65485.7,94065.9
2020/04/05,4492430.0,179268.8,42427.2,158805.2,781214.3,84292.1,193608.6,679370.7,86796.2,72447.7,102037.6
2020/04/06,5393301.2,216071.0,42998.7,215054.5,952408.0,90612.5,236963.2,595276.1,93840.2,79197.0,109907.4
2020/04/07,5298234.9,221022.9,43150.8,214231.6,946378.7,92100.4,221385.8,521623.1,100856.2,85990.7,117571.1
2020/04/08,5171433.7,211071.9,44623.5,208089.4,933518.3,91382.9,219748.3,528874.9,107959.1,92983.8,125010.9
2020/04/09,4842696.6,199959.0,44699.5,191226.7,868129.3,83567.3,230065.8,548079.0,115107.6,100261.1,132627.4
2020/04/10,5090145.0,219690.3,55945.7,200917.6,962913.6,83513.4,231707.0,566137.6,122322.4,107394.1,140330.2
2020/04/11,5280645.8,247481.6,62406.4,195793.7,966449.8,90018.4,229402.0,647216.1,129381.7,114454.1,147921.2
2020/04/12,3935337.5,140211.0,7272.9,127691.0,686356.3,81683.4,193608.6,679370.7,136186.5,121354.2,155188.0
2020/04/13,4133250.5,151992.2,30104.3,151189.4,706288.2,70490.5,236963.2,595276.1,142768.7,128216.8,162168.4
2020/04/14,5288486.0,237116.5,44885.7,211861.4,980958.1,93291.0,221385.8,521623.1,149181.1,134304.6,168997.4
2020/04/15,5301198.9,240233.3,45640.0,211651.1,980419.5,91591.5,219748.3,528874.9,155469.1,140110.2,175605.9
2020/04/16,5276636.5,235635.7,45801.8,204447.9,975038.7,95952.8,230065.8,548079.0,161624.0,146016.9,182122.0
2020/04/17,5619690.4,264743.2,50145.3,220805.6,1089051.1,98776.6,231707.0,566137.6,167583.7,151887.8,188344.6
2020/04/18,4950766.1,229864.9,55180.6,179983.3,935306.1,85314.6,229402.0,647216.1,173333.9,157747.7,194329.6
2020/04/19,5020544.3,220842.5,45296.7,175389.7,895694.1,96206.1,193608.6,679370.7,178935.4,162393.4,200128.0
2020/04/20,5592473.8,222536.7,42770.8,221249.2,1021551.6,102313.5,236963.2,595276.1,184379.7,166835.5,205729.9
2020/04/21,5535118.6,222119.1,42818.7,223964.9,1013812.2,104637.2,221385.8,521623.1,189573.3,170984.4,211038.7
2020/04/22,6080254.2,264593.8,50556.5,248678.4,1139712.7,111577.3,219748.3,528874.9,194559.6,174915.3,216180.9
2020/04/23,6089917.1,258307.6,50465.4,246857.8,1146036.9,111196.0,230065.8,548079.0,199479.0,178749.1,221396.5
2020/04/24,5846495.7,271389.4,48882.7,231041.1,1130977.3,107957.9,231707.0,566137.6,204308.9,182472.9,226242.5
2020/04/25,6572782.7,320537.4,62709.6,246434.2,1248024.3,122754.6,229402.0,647216.1,209043.8,186130.1,230967.5
2020/04/26,4481569.1,183522.6,45784.3,150283.8,776479.4,85675.0,193608.6,679370.7,213659.3,189657.6,235620.5
2020/04/27,5985808.4,237548.4,47977.1,239436.4,1059792.3,103293.2,236963.2,595276.1,218137.8,193053.0,240396.0
2020/04/28,6811292.8,291932.9,50147.0,282262.2,1230832.5,127457.7,221385.8,521623.1,222558.7,196362.2,245259.1
2020/04/29,6134079.5,252758.8,49104.7,252373.8,1092685.5,111284.7,219748.3,528874.9,226926.7,199634.0,249789.2
2020/04/30,5784559.0,241233.1,46125.7,229338.2,1025224.0,103174.6,230065.8,548079.0,231241.0,202873.2,254282.4
2020/05/01,6798416.0,307128.4,60543.9,276752.5,1283555.4,122142.3,231707.0,566137.6,235533.5,206081.8,258894.0
2020/05/02,7057312.7,338882.6,65619.0,260307.4,1288887.1,132095.7,229402.0,647216.1,239777.9,209213.1,263481.8
2020/05/03,,,,,,,,,244009.0,212386.8,268035.3
2020/05/04,,,,,,,,,248194.1,215551.5,272499.2
2020/05/05,,,,,,,,,252204.6,218574.4,276818.3
2020/05/06,,,,,,,,,256204.3,221529.2,281111.2
2020/05/07,,,,,,,,,260227.7,224582.5,285399.3
2020/05/08,,,,,,,,,264164.2,227563.8,289513.9
2020/05/09,,,,,,,,,268052.6,230424.6,293680.8
