date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11761564.1,492516.6,146015.8,734949.2,2679322.2,387601.3,193608.6,679370.7,3.4,0.3,12.8
2020/03/09,13995847.3,555939.5,104929.9,911454.0,2747085.4,217940.7,236963.2,595276.1,80.3,12.7,277.9
2020/03/10,13245449.1,531385.2,100932.4,883517.4,2627834.0,189900.3,221385.8,521623.1,154.2,25.1,526.1
2020/03/11,13191570.1,529369.8,102818.8,866823.7,2660499.1,189619.3,219748.3,528874.9,234.9,40.4,788.3
2020/03/12,12834639.5,512618.4,111260.7,804322.1,2632468.6,193451.2,230065.8,548079.0,330.2,59.6,1082.0
2020/03/13,13513405.9,577695.6,130286.0,795409.3,2974918.1,200534.6,231707.0,566137.6,452.5,87.7,1439.1
2020/03/14,11091600.1,480013.9,142376.5,643616.7,2569624.3,255021.1,229402.0,647216.1,620.2,128.9,1887.6
2020/03/15,9213484.9,368649.7,109029.3,475920.5,2015981.9,387601.3,193608.6,679370.7,855.4,193.6,2467.9
2020/03/16,9351870.9,376145.9,90558.5,518043.6,1950894.7,217940.7,236963.2,595276.1,1191.3,302.6,3230.3
2020/03/17,8378887.1,327744.1,75307.8,389438.2,1735678.0,189900.3,221385.8,521623.1,1678.4,470.0,4238.6
2020/03/18,8372298.9,324675.7,72917.2,387192.8,1697618.7,189619.3,219748.3,528874.9,2387.6,750.9,5557.6
2020/03/19,7812384.5,294174.3,64192.9,349188.8,1579539.1,193451.2,230065.8,548079.0,3405.5,1203.6,7292.6
2020/03/20,7184511.2,259310.2,50801.7,314256.1,1433777.0,200534.6,231707.0,566137.6,4815.3,1902.0,9480.6
2020/03/21,5713112.0,185267.0,42098.0,209722.3,1079765.7,255021.1,229402.0,647216.1,6735.2,2935.4,12230.4
2020/03/22,5620594.1,192936.0,48551.4,191675.5,998374.9,387601.3,193608.6,679370.7,9251.9,4403.5,15630.1
2020/03/23,5662600.3,194404.9,34614.2,220640.7,1031217.8,217940.7,236963.2,595276.1,12398.4,6377.6,19645.7
2020/03/24,6315241.4,239989.9,42067.1,260124.4,1197841.6,189900.3,221385.8,521623.1,16089.0,8839.7,24167.2
2020/03/25,6681269.5,253661.2,44074.8,273448.1,1282530.0,189619.3,219748.3,528874.9,20248.8,11764.8,29091.3
2020/03/26,6310117.4,245090.7,41596.0,255512.8,1181649.9,193451.2,230065.8,548079.0,24871.2,15212.0,34459.3
2020/03/27,6438941.6,260616.6,43552.1,255840.4,1233830.1,200534.6,231707.0,566137.6,29985.4,19226.2,40243.0
2020/03/28,5150584.4,206660.6,50561.7,175664.0,955026.7,255021.1,229402.0,647216.1,35507.7,23725.2,46373.5
2020/03/29,4736139.6,165715.4,41315.0,147945.2,810563.0,387601.3,193608.6,679370.7,41373.3,28670.9,52755.5
2020/03/30,5872456.1,211471.8,38917.1,229381.0,1063937.7,217940.7,236963.2,595276.1,47546.0,34058.7,59413.7
2020/03/31,5639948.5,224196.1,39033.3,223835.0,1037366.7,189900.3,221385.8,521623.1,54021.1,39850.8,66406.2
2020/04/01,5964683.6,235089.4,41695.3,237980.1,1091166.3,189619.3,219748.3,528874.9,60718.9,46039.8,73726.4
2020/04/02,5804017.6,230191.1,42804.7,229651.6,1052175.1,193451.2,230065.8,548079.0,67822.3,52746.2,81329.6
2020/04/03,5316165.2,236154.4,46847.2,203051.7,993777.5,200534.6,231707.0,566137.6,75247.7,59947.0,89803.2
2020/04/04,5415581.7,241736.6,56522.2,196405.8,958515.3,255021.1,229402.0,647216.1,82917.6,67536.2,98468.4
2020/04/05,4795739.3,179268.8,42427.2,158805.2,781214.3,387601.3,193608.6,679370.7,90700.6,75155.6,107004.0
2020/04/06,5520629.4,216071.0,42998.7,215054.5,952408.0,217940.7,236963.2,595276.1,98535.9,82817.0,115334.3
2020/04/07,5396034.8,221022.9,43150.8,214231.6,946378.7,189900.3,221385.8,521623.1,106438.4,90709.6,123792.2
2020/04/08,5269670.2,211071.9,44623.5,208089.4,933518.3,189619.3,219748.3,528874.9,114384.8,98532.0,132378.8
2020/04/09,4952580.4,199959.0,44699.5,191226.7,868129.3,193451.2,230065.8,548079.0,122331.9,106266.5,140900.9
2020/04/10,5207166.2,219690.3,55945.7,200917.6,962913.6,200534.6,231707.0,566137.6,130310.1,114187.0,149391.4
2020/04/11,5445648.5,247481.6,62406.4,195793.7,966449.8,255021.1,229402.0,647216.1,138119.0,122205.0,157700.5
2020/04/12,4241255.4,140211.0,7272.9,127691.0,686356.3,387601.3,193608.6,679370.7,145708.8,129803.8,165774.5
2020/04/13,4280700.7,151992.2,30104.3,151189.4,706288.2,217940.7,236963.2,595276.1,153281.7,137547.2,173742.1
2020/04/14,5385095.2,237116.5,44885.7,211861.4,980958.1,189900.3,221385.8,521623.1,160764.8,144816.0,181643.6
2020/04/15,5399226.8,240233.3,45640.0,211651.1,980419.5,189619.3,219748.3,528874.9,168057.2,152159.1,189296.4
2020/04/16,5374134.8,235635.7,45801.8,204447.9,975038.7,193451.2,230065.8,548079.0,175140.6,159104.7,196684.8
2020/04/17,5721448.4,264743.2,50145.3,220805.6,1089051.1,200534.6,231707.0,566137.6,181979.9,165434.4,203820.8
2020/04/18,5120472.5,229864.9,55180.6,179983.3,935306.1,255021.1,229402.0,647216.1,188573.6,171650.7,210652.9
2020/04/19,5311939.5,220842.5,45296.7,175389.7,895694.1,387601.3,193608.6,679370.7,195027.5,177047.4,217310.3
2020/04/20,5708101.0,222536.7,42770.8,221249.2,1021551.6,217940.7,236963.2,595276.1,201492.5,182280.9,223956.8
2020/04/21,5620381.7,222119.1,42818.7,223964.9,1013812.2,189900.3,221385.8,521623.1,207744.7,187290.5,230357.0
2020/04/22,6158296.3,264593.8,50556.5,248678.4,1139712.7,189619.3,219748.3,528874.9,213703.5,192002.1,236432.4
2020/04/23,6172172.3,258307.6,50465.4,246857.8,1146036.9,193451.2,230065.8,548079.0,219520.1,196562.7,242358.9
2020/04/24,5939072.4,271389.4,48882.7,231041.1,1130977.3,200534.6,231707.0,566137.6,225188.3,200987.4,248146.3
2020/04/25,6705049.2,320537.4,62709.6,246434.2,1248024.3,255021.1,229402.0,647216.1,230710.1,205292.0,253783.7
2020/04/26,4783495.4,183522.6,45784.3,150283.8,776479.4,387601.3,193608.6,679370.7,236110.0,209540.2,259228.8
2020/04/27,6100456.0,237548.4,47977.1,239436.4,1059792.3,217940.7,236963.2,595276.1,241505.2,213750.0,264655.3
2020/04/28,6873735.4,291932.9,50147.0,282262.2,1230832.5,189900.3,221385.8,521623.1,246873.5,217926.7,269900.2
2020/04/29,6212414.1,252758.8,49104.7,252373.8,1092685.5,189619.3,219748.3,528874.9,252112.3,221955.2,275036.2
2020/04/30,5874835.6,241233.1,46125.7,229338.2,1025224.0,193451.2,230065.8,548079.0,257231.8,225920.4,280032.6
2020/05/01,6876808.3,307128.4,60543.9,276752.5,1283555.4,200534.6,231707.0,566137.6,262276.4,229785.3,284958.5
2020/05/02,7180238.0,338882.6,65619.0,260307.4,1288887.1,255021.1,229402.0,647216.1,267222.2,233576.3,289762.7
2020/05/03,,,,,,,,,272140.9,237311.4,294546.7
2020/05/04,,,,,,,,,277121.0,241097.9,299459.8
2020/05/05,,,,,,,,,281936.1,244763.7,304221.3
2020/05/06,,,,,,,,,286675.6,248355.1,308873.2
2020/05/07,,,,,,,,,291375.0,251925.9,313463.1
2020/05/08,,,,,,,,,295932.2,255331.3,317842.0
2020/05/09,,,,,,,,,300395.9,258639.8,322103.9
