date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11708315.1,515211.4,146015.8,734949.2,2679322.2,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,13989086.1,580109.6,104929.9,911454.0,2747085.4,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13318348.3,554486.2,100932.4,883517.4,2627834.0,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13270924.2,563882.5,102818.8,866823.7,2660499.1,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13085149.9,587972.6,111260.7,804322.1,2632468.6,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13870729.9,617149.5,130286.0,795409.3,2974918.1,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11253811.2,628806.0,142376.5,643616.7,2569624.3,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9187828.4,515211.4,109029.3,475920.5,2015981.9,221744.8,193608.6,673009.1,928.0,194.7,2465.4
2020/03/16,9611536.3,580109.6,90558.5,518043.6,1950894.7,152333.5,236963.2,716584.9,1283.8,302.5,3228.4
2020/03/17,8638029.1,554486.2,75307.8,389438.2,1735678.0,147610.5,221385.8,596312.8,1795.2,468.0,4208.7
2020/03/18,8611178.5,563882.5,72917.2,387192.8,1697618.7,146159.9,219748.3,572007.2,2538.2,757.1,5509.2
2020/03/19,8039707.4,587972.6,64192.9,349188.8,1579539.1,140195.6,230065.8,534859.1,3593.1,1226.2,7238.6
2020/03/20,7426666.2,617149.5,50801.7,314256.1,1433777.0,132949.5,231707.0,518038.5,5048.5,1932.8,9463.2
2020/03/21,5769624.9,628806.0,42098.0,209722.3,1079765.7,113656.6,229402.0,401554.4,7024.9,2975.4,12259.4
2020/03/22,5430874.1,515211.4,48551.4,191675.5,998374.9,116868.6,193608.6,438108.1,9600.1,4505.3,15661.9
2020/03/23,5706370.2,580109.6,34614.2,220640.7,1031217.8,105204.3,236963.2,366077.7,12750.1,6476.1,19617.3
2020/03/24,6465030.7,554486.2,42067.1,260124.4,1197841.6,124361.0,221385.8,422455.4,16417.6,8931.7,24081.3
2020/03/25,6861077.1,563882.5,44074.8,273448.1,1282530.0,135779.8,219748.3,452300.8,20564.7,11888.4,28986.0
2020/03/26,6435204.9,587972.6,41596.0,255512.8,1181649.9,119785.3,230065.8,403950.5,25177.8,15388.5,34307.1
2020/03/27,6586591.9,617149.5,43552.1,255840.4,1233830.1,123602.8,231707.0,434186.8,30284.3,19488.7,40050.7
2020/03/28,5199097.4,628806.0,50561.7,175664.0,955026.7,95596.2,229402.0,433008.6,35802.5,24089.1,46111.9
2020/03/29,4500083.1,515211.4,41315.0,147945.2,810563.0,93198.6,193608.6,388221.0,41622.6,29116.1,52425.6
2020/03/30,5936210.3,580109.6,38917.1,229381.0,1063937.7,112083.6,236963.2,396249.5,47537.0,34341.8,58817.7
2020/03/31,5755201.7,554486.2,39033.3,223835.0,1037366.7,109424.8,221385.8,387061.6,53638.7,39818.1,65723.9
2020/04/01,6089838.7,563882.5,41695.3,237980.1,1091166.3,115268.2,219748.3,399588.1,59975.5,45637.9,72557.1
2020/04/02,5934602.5,587972.6,42804.7,229651.6,1052175.1,110495.0,230065.8,403838.5,66754.5,52026.3,79874.4
2020/04/03,5418222.3,617149.5,46847.2,203051.7,993777.5,83669.5,231707.0,404064.8,73878.9,58961.6,87683.7
2020/04/04,5415596.3,628806.0,56522.2,196405.8,958515.3,84517.1,229402.0,430665.2,81253.0,66178.1,95800.1
2020/04/05,4513110.8,515211.4,42427.2,158805.2,781214.3,84292.1,193608.6,364108.8,88686.9,73694.8,103975.4
2020/04/06,5531168.9,580109.6,42998.7,215054.5,952408.0,90612.5,236963.2,369105.2,95918.0,80909.1,111813.3
2020/04/07,5475615.2,554486.2,43150.8,214231.6,946378.7,92100.4,221385.8,365540.0,103095.0,88285.5,119533.5
2020/04/08,5358826.2,563882.5,44623.5,208089.4,933518.3,91382.9,219748.3,363456.7,110374.9,95514.6,127393.4
2020/04/09,5046454.8,587972.6,44699.5,191226.7,868129.3,83567.3,230065.8,363823.5,117715.6,102735.7,135290.5
2020/04/10,5335817.3,617149.5,55945.7,200917.6,962913.6,83513.4,231707.0,414350.8,125138.1,110361.3,143309.2
2020/04/11,5455571.4,628806.0,62406.4,195793.7,966449.8,90018.4,229402.0,440817.3,132411.9,117764.4,151307.5
2020/04/12,3865921.6,515211.4,7272.9,127691.0,686356.3,81683.4,193608.6,234954.4,139423.3,124814.9,158831.6
2020/04/13,4230820.7,580109.6,30104.3,151189.4,706288.2,70490.5,236963.2,264728.9,146177.5,131661.7,165950.1
2020/04/14,5453335.7,554486.2,44885.7,211861.4,980958.1,93291.0,221385.8,369103.2,152738.3,138186.1,172858.6
2020/04/15,5457370.5,563882.5,45640.0,211651.1,980419.5,91591.5,219748.3,361397.3,159169.6,144249.9,179559.9
2020/04/16,5441055.5,587972.6,45801.8,204447.9,975038.7,95952.8,230065.8,360161.1,165480.9,150315.3,186123.5
2020/04/17,5799011.9,617149.5,50145.3,220805.6,1089051.1,98776.6,231707.0,393052.8,171607.6,155654.4,192464.3
2020/04/18,5093224.9,628806.0,55180.6,179983.3,935306.1,85314.6,229402.0,390733.7,177530.4,161167.0,198678.2
2020/04/19,4989564.8,515211.4,45296.7,175389.7,895694.1,96206.1,193608.6,354022.3,183308.0,166591.6,204714.4
2020/04/20,5711820.4,580109.6,42770.8,221249.2,1021551.6,102313.5,236963.2,357049.8,188908.8,171149.5,210561.7
2020/04/21,5707194.0,554486.2,42818.7,223964.9,1013812.2,104637.2,221385.8,361331.3,194235.8,175374.1,216095.5
2020/04/22,6260505.0,563882.5,50556.5,248678.4,1139712.7,111577.3,219748.3,409836.9,199355.4,179372.6,221381.2
2020/04/23,6278435.5,587972.6,50465.4,246857.8,1146036.9,111196.0,230065.8,406932.3,204414.6,183320.3,226583.7
2020/04/24,6018545.8,617149.5,48882.7,231041.1,1130977.3,107957.9,231707.0,392427.6,209396.8,187174.6,231688.8
2020/04/25,6681229.9,628806.0,62709.6,246434.2,1248024.3,122754.6,229402.0,447394.7,214286.1,190927.8,236710.8
2020/04/26,4476518.3,515211.4,45784.3,150283.8,776479.4,85675.0,193608.6,342631.1,219066.7,194552.3,241597.3
2020/04/27,6111812.9,580109.6,47977.1,239436.4,1059792.3,103293.2,236963.2,378719.3,223695.8,198015.8,246382.8
2020/04/28,6955375.1,554486.2,50147.0,282262.2,1230832.5,127457.7,221385.8,403152.1,228251.7,201391.9,251117.5
2020/04/29,6299491.8,563882.5,49104.7,252373.8,1092685.5,111284.7,219748.3,383163.5,232765.1,204772.1,255880.0
2020/04/30,5940843.6,587972.6,46125.7,229338.2,1025224.0,103174.6,230065.8,357624.1,237228.0,208120.3,260589.6
2020/05/01,6965136.2,617149.5,60543.9,276752.5,1283555.4,122142.3,231707.0,422836.7,241679.1,211430.1,265094.1
2020/05/02,7145309.2,628806.0,65619.0,260307.4,1288887.1,132095.7,229402.0,445289.2,246090.7,214702.6,269466.4
2020/05/03,,,,,,,,,250497.3,217986.2,273971.6
2020/05/04,,,,,,,,,254850.5,221280.0,278537.6
2020/05/05,,,,,,,,,259015.0,224396.0,282990.0
2020/05/06,,,,,,,,,263170.2,227534.4,287387.9
2020/05/07,,,,,,,,,267351.7,230682.9,291774.2
2020/05/08,,,,,,,,,271452.1,233770.7,296080.5
2020/05/09,,,,,,,,,275507.5,236813.0,300328.4
