date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11737055.9,515211.4,146015.8,734949.2,2679322.2,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,13992992.5,580109.6,104929.9,911454.0,2747085.4,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13309990.4,554486.2,100932.4,883517.4,2627834.0,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13269397.1,563882.5,102818.8,866823.7,2660499.1,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13113464.9,587972.6,111260.7,804322.1,2632468.6,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13917950.2,617149.5,130286.0,795409.3,2974918.1,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11315551.2,628806.0,142376.5,643616.7,2569624.3,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9351165.0,515211.4,109029.3,475920.5,2015981.9,387601.3,191088.7,673009.1,928.1,194.5,2464.2
2020/03/16,9674088.0,580109.6,90558.5,518043.6,1950894.7,217940.7,233907.7,716584.9,1284.9,302.5,3223.1
2020/03/17,8662908.6,554486.2,75307.8,389438.2,1735678.0,189900.3,203975.5,596312.8,1797.9,485.1,4226.5
2020/03/18,8638785.2,563882.5,72917.2,387192.8,1697618.7,189619.3,203895.6,572007.2,2542.2,769.4,5559.7
2020/03/19,8048416.8,587972.6,64192.9,349188.8,1579539.1,193451.2,185519.6,534859.1,3598.0,1235.2,7269.0
2020/03/20,7419363.2,617149.5,50801.7,314256.1,1433777.0,200534.6,156818.8,518038.5,5054.1,1952.0,9432.9
2020/03/21,5791907.1,628806.0,42098.0,209722.3,1079765.7,255021.1,110319.8,401554.4,7034.8,3041.9,12225.4
2020/03/22,5630421.4,515211.4,48551.4,191675.5,998374.9,387601.3,122423.2,438108.1,9624.2,4533.7,15708.1
2020/03/23,5706129.2,580109.6,34614.2,220640.7,1031217.8,217940.7,123985.7,366077.7,12839.2,6582.8,19803.7
2020/03/24,6458199.6,554486.2,42067.1,260124.4,1197841.6,189900.3,149015.4,422455.4,16607.3,9132.3,24380.8
2020/03/25,6850248.7,563882.5,44074.8,273448.1,1282530.0,189619.3,155080.3,452300.8,20861.1,12175.0,29419.4
2020/03/26,6422365.8,587972.6,41596.0,255512.8,1181649.9,193451.2,143560.8,403950.5,25581.7,15808.2,34849.6
2020/03/27,6574386.3,617149.5,43552.1,255840.4,1233830.1,200534.6,142569.7,434186.8,30807.3,19992.1,40758.8
2020/03/28,5244744.2,628806.0,50561.7,175664.0,955026.7,255021.1,115623.8,433008.6,36457.2,24693.8,46997.8
2020/03/29,4697497.3,515211.4,41315.0,147945.2,810563.0,387601.3,96620.0,388221.0,42452.1,29893.3,53548.2
2020/03/30,5938743.2,580109.6,38917.1,229381.0,1063937.7,217940.7,133639.0,396249.5,48717.8,35559.2,60299.5
2020/03/31,5749260.4,554486.2,39033.3,223835.0,1037366.7,189900.3,134969.0,387061.6,55270.6,41629.2,67324.8
2020/04/01,6086686.4,563882.5,41695.3,237980.1,1091166.3,189619.3,142244.8,399588.1,62047.3,48058.5,74956.9
2020/04/02,5924807.6,587972.6,42804.7,229651.6,1052175.1,193451.2,137314.7,403838.5,69246.3,55104.3,82653.5
2020/04/03,5440607.7,617149.5,46847.2,203051.7,993777.5,200534.6,137227.2,404064.8,76778.7,62645.0,90648.6
2020/04/04,5483352.9,628806.0,56522.2,196405.8,958515.3,255021.1,126654.5,430665.2,84566.8,70439.1,99381.3
2020/04/05,4724668.5,515211.4,42427.2,158805.2,781214.3,387601.3,101857.1,364108.8,92465.3,77827.9,107818.1
2020/04/06,5549372.5,580109.6,42998.7,215054.5,952408.0,217940.7,127838.5,369105.2,100375.3,85231.8,116611.7
2020/04/07,5481110.4,554486.2,43150.8,214231.6,946378.7,189900.3,129081.2,365540.0,108330.3,92997.8,125381.9
2020/04/08,5368191.8,563882.5,44623.5,208089.4,933518.3,189619.3,130877.5,363456.7,116336.2,101366.3,134195.0
2020/04/09,5048056.1,587972.6,44699.5,191226.7,868129.3,193451.2,121783.3,363823.5,124344.5,109617.5,143037.1
2020/04/10,5360016.3,617149.5,55945.7,200917.6,962913.6,200534.6,138884.7,414350.8,132408.1,117751.8,151832.9
2020/04/11,5536568.3,628806.0,62406.4,195793.7,966449.8,255021.1,145396.2,440817.3,140310.3,125762.4,160415.3
2020/04/12,4067367.8,515211.4,7272.9,127691.0,686356.3,387601.3,89136.9,234954.4,147996.0,133464.2,168779.0
2020/04/13,4229704.2,580109.6,30104.3,151189.4,706288.2,217940.7,88396.4,264728.9,155632.3,141363.7,176945.1
2020/04/14,5462405.9,554486.2,44885.7,211861.4,980958.1,189900.3,133846.8,369103.2,163156.7,149142.7,185054.5
2020/04/15,5464449.1,563882.5,45640.0,211651.1,980419.5,189619.3,128799.0,361397.3,170493.8,155735.2,192874.7
2020/04/16,5435590.5,587972.6,45801.8,204447.9,975038.7,193451.2,127102.5,360161.1,177632.0,162037.3,200348.7
2020/04/17,5805151.9,617149.5,50145.3,220805.6,1089051.1,200534.6,136089.0,393052.8,184539.2,168240.6,207520.9
2020/04/18,5149644.5,628806.0,55180.6,179983.3,935306.1,255021.1,116115.1,390733.7,191212.9,173968.8,214460.6
2020/04/19,5190385.7,515211.4,45296.7,175389.7,895694.1,387601.3,103034.3,354022.3,197763.7,179930.4,221213.9
2020/04/20,5715556.2,580109.6,42770.8,221249.2,1021551.6,217940.7,125071.8,357049.8,204301.4,185776.2,227947.4
2020/04/21,5694079.3,554486.2,42818.7,223964.9,1013812.2,189900.3,123008.0,361331.3,210610.1,190936.8,234403.6
2020/04/22,6260509.1,563882.5,50556.5,248678.4,1139712.7,189619.3,141710.4,409836.9,216631.1,195702.8,240580.2
2020/04/23,6269744.1,587972.6,50465.4,246857.8,1146036.9,193451.2,139119.3,406932.3,222520.7,200317.0,246525.2
2020/04/24,6009340.8,617149.5,48882.7,231041.1,1130977.3,200534.6,129925.3,392427.6,228273.9,204844.8,252395.9
2020/04/25,6722198.0,628806.0,62709.6,246434.2,1248024.3,255021.1,138103.6,447394.7,233889.3,209225.5,258105.4
2020/04/26,4676424.2,515211.4,45784.3,150283.8,776479.4,387601.3,91588.2,342631.1,239394.1,213545.8,263667.0
2020/04/27,6120961.5,580109.6,47977.1,239436.4,1059792.3,217940.7,131464.2,378719.3,244883.2,217919.1,269235.9
2020/04/28,6943011.0,554486.2,50147.0,282262.2,1230832.5,189900.3,146579.1,403152.1,250330.8,222230.8,274718.1
2020/04/29,6291712.8,563882.5,49104.7,252373.8,1092685.5,189619.3,133634.7,383163.5,255652.4,226464.4,280089.4
2020/04/30,5925504.3,587972.6,46125.7,229338.2,1025224.0,193451.2,124449.9,357624.1,260861.1,230614.5,285309.3
2020/05/01,6962035.0,617149.5,60543.9,276752.5,1283555.4,200534.6,150213.4,422836.7,266005.1,234696.9,290457.9
2020/05/02,7173937.1,628806.0,65619.0,260307.4,1288887.1,255021.1,135104.5,445289.2,271060.7,238625.4,295492.4
2020/05/03,,,,,,,,,276095.7,242523.9,300551.1
2020/05/04,,,,,,,,,281182.5,246473.7,305671.1
2020/05/05,,,,,,,,,286092.8,250259.4,310565.4
2020/05/06,,,,,,,,,290926.3,253966.4,315400.8
2020/05/07,,,,,,,,,295720.5,257620.6,320136.4
2020/05/08,,,,,,,,,300376.1,261156.3,324719.6
2020/05/09,,,,,,,,,304944.9,264630.2,329195.9
