date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11685620.4,492516.6,146015.8,734949.2,2679322.2,349562.8,193608.6,641465.6,4.3,0.8,12.8
2020/03/09,13964916.0,555939.5,104929.9,911454.0,2747085.4,202508.0,236963.2,579777.5,100.9,25.7,277.9
2020/03/10,13295247.2,531385.2,100932.4,883517.4,2627834.0,201275.7,221385.8,560045.8,193.7,51.5,526.1
2020/03/11,13236411.5,529369.8,102818.8,866823.7,2660499.1,196471.0,219748.3,566864.6,294.2,80.3,788.3
2020/03/12,13009795.7,512618.4,111260.7,804322.1,2632468.6,189123.5,230065.8,727562.8,412.3,118.3,1082.0
2020/03/13,13831276.0,577695.6,130286.0,795409.3,2974918.1,205293.0,231707.0,879249.3,562.1,170.3,1439.1
2020/03/14,11105019.1,480013.9,142376.5,643616.7,2569624.3,192215.6,229402.0,723440.5,765.0,249.8,1887.6
2020/03/15,9041266.7,368649.7,109029.3,475920.5,2015981.9,221744.8,193608.6,673009.1,1045.1,368.6,2470.0
2020/03/16,9407572.5,376145.9,90558.5,518043.6,1950894.7,152333.5,236963.2,716584.9,1439.0,557.2,3231.5
2020/03/17,8411287.0,327744.1,75307.8,389438.2,1735678.0,147610.5,221385.8,596312.8,1998.9,846.7,4214.6
2020/03/18,8371971.7,324675.7,72917.2,387192.8,1697618.7,146159.9,219748.3,572007.2,2803.3,1284.8,5551.7
2020/03/19,7745909.1,294174.3,64192.9,349188.8,1579539.1,140195.6,230065.8,534859.1,3936.2,1952.6,7289.6
2020/03/20,7068827.0,259310.2,50801.7,314256.1,1433777.0,132949.5,231707.0,518038.5,5483.6,2951.3,9484.7
2020/03/21,5326085.9,185267.0,42098.0,209722.3,1079765.7,113656.6,229402.0,401554.4,7561.8,4407.0,12259.0
2020/03/22,5108598.8,192936.0,48551.4,191675.5,998374.9,116868.6,193608.6,438108.1,10245.8,6295.1,15672.2
2020/03/23,5320665.5,194404.9,34614.2,220640.7,1031217.8,105204.3,236963.2,366077.7,13497.3,8646.0,19639.7
2020/03/24,6150534.4,239989.9,42067.1,260124.4,1197841.6,124361.0,221385.8,422455.4,17245.1,11479.4,24107.4
2020/03/25,6550855.8,253661.2,44074.8,273448.1,1282530.0,135779.8,219748.3,452300.8,21432.1,14802.4,28939.4
2020/03/26,6092323.0,245090.7,41596.0,255512.8,1181649.9,119785.3,230065.8,403950.5,26047.2,18513.9,34163.4
2020/03/27,6230059.0,260616.6,43552.1,255840.4,1233830.1,123602.8,231707.0,434186.8,31113.4,22680.8,39773.7
2020/03/28,4776952.0,206660.6,50561.7,175664.0,955026.7,95596.2,229402.0,433008.6,36537.6,27205.1,45704.7
2020/03/29,4150587.2,165715.4,41315.0,147945.2,810563.0,93198.6,193608.6,388221.0,42203.4,31954.2,51886.2
2020/03/30,5567572.5,211471.8,38917.1,229381.0,1063937.7,112083.6,236963.2,396249.5,47923.4,36865.2,58096.4
2020/03/31,5424911.6,224196.1,39033.3,223835.0,1037366.7,109424.8,221385.8,387061.6,53776.9,41985.3,64397.3
2020/04/01,5761045.6,235089.4,41695.3,237980.1,1091166.3,115268.2,219748.3,399588.1,59808.1,47353.4,71052.6
2020/04/02,5576821.0,230191.1,42804.7,229651.6,1052175.1,110495.0,230065.8,403838.5,66240.3,53167.7,77890.9
2020/04/03,5037227.2,236154.4,46847.2,203051.7,993777.5,83669.5,231707.0,404064.8,72966.2,59366.5,85195.5
2020/04/04,5028526.9,241736.6,56522.2,196405.8,958515.3,84517.1,229402.0,430665.2,79895.9,65793.2,92528.9
2020/04/05,4177168.2,179268.8,42427.2,158805.2,781214.3,84292.1,193608.6,364108.8,86848.0,72391.9,99992.7
2020/04/06,5167130.3,216071.0,42998.7,215054.5,952408.0,90612.5,236963.2,369105.2,93579.2,78873.2,107226.7
2020/04/07,5142151.8,221022.9,43150.8,214231.6,946378.7,92100.4,221385.8,365540.0,100236.9,85365.1,114499.5
2020/04/08,5006015.6,211071.9,44623.5,208089.4,933518.3,91382.9,219748.3,363456.7,106970.2,92060.7,121900.0
2020/04/09,4658441.1,199959.0,44699.5,191226.7,868129.3,83567.3,230065.8,363823.5,113747.8,98929.4,129352.8
2020/04/10,4938358.1,219690.3,55945.7,200917.6,962913.6,83513.4,231707.0,414350.8,120590.2,105882.8,136732.2
2020/04/11,5074247.0,247481.6,62406.4,195793.7,966449.8,90018.4,229402.0,440817.3,127270.3,112662.1,143801.3
2020/04/12,3490921.2,140211.0,7272.9,127691.0,686356.3,81683.4,193608.6,234954.4,133685.8,119027.6,150650.6
2020/04/13,3802703.3,151992.2,30104.3,151189.4,706288.2,70490.5,236963.2,264728.9,139847.1,125291.2,157197.4
2020/04/14,5135966.0,237116.5,44885.7,211861.4,980958.1,93291.0,221385.8,369103.2,145816.9,130399.7,163560.4
2020/04/15,5133721.3,240233.3,45640.0,211651.1,980419.5,91591.5,219748.3,361397.3,151661.8,135623.6,169781.0
2020/04/16,5088718.6,235635.7,45801.8,204447.9,975038.7,95952.8,230065.8,360161.1,157386.7,140481.2,175919.0
2020/04/17,5446605.6,264743.2,50145.3,220805.6,1089051.1,98776.6,231707.0,393052.8,162935.4,145142.6,181927.1
2020/04/18,4694283.7,229864.9,55180.6,179983.3,935306.1,85314.6,229402.0,390733.7,168289.8,149607.4,187605.1
2020/04/19,4695196.0,220842.5,45296.7,175389.7,895694.1,96206.1,193608.6,354022.3,173499.6,154091.2,193125.4
2020/04/20,5354247.5,222536.7,42770.8,221249.2,1021551.6,102313.5,236963.2,357049.8,178537.6,158637.2,198544.6
2020/04/21,5374826.8,222119.1,42818.7,223964.9,1013812.2,104637.2,221385.8,361331.3,183320.7,162474.3,203650.2
2020/04/22,5961216.2,264593.8,50556.5,248678.4,1139712.7,111577.3,219748.3,409836.9,187910.0,166109.6,208627.8
2020/04/23,5948770.4,258307.6,50465.4,246857.8,1146036.9,111196.0,230065.8,406932.3,192452.4,169919.1,213592.8
2020/04/24,5672785.7,271389.4,48882.7,231041.1,1130977.3,107957.9,231707.0,392427.6,196920.4,173706.2,218539.6
2020/04/25,6372961.3,320537.4,62709.6,246434.2,1248024.3,122754.6,229402.0,447394.7,201306.7,177196.6,223516.3
2020/04/26,4144829.5,183522.6,45784.3,150283.8,776479.4,85675.0,193608.6,342631.1,205582.6,180462.3,228372.0
2020/04/27,5769251.7,237548.4,47977.1,239436.4,1059792.3,103293.2,236963.2,378719.3,209717.6,183569.1,233041.8
2020/04/28,6692821.8,291932.9,50147.0,282262.2,1230832.5,127457.7,221385.8,403152.1,213787.5,186648.8,237666.8
2020/04/29,5988368.1,252758.8,49104.7,252373.8,1092685.5,111284.7,219748.3,383163.5,217819.0,189682.8,242241.1
2020/04/30,5594104.1,241233.1,46125.7,229338.2,1025224.0,103174.6,230065.8,357624.1,221817.4,192699.5,246746.8
2020/05/01,6655115.2,307128.4,60543.9,276752.5,1283555.4,122142.3,231707.0,422836.7,225805.6,195740.4,251210.3
2020/05/02,6855385.8,338882.6,65619.0,260307.4,1288887.1,132095.7,229402.0,445289.2,229754.7,198740.1,255630.2
2020/05/03,,,,,,,,,233696.6,201733.3,260015.0
2020/05/04,,,,,,,,,237586.4,204688.2,264319.3
2020/05/05,,,,,,,,,241311.8,207485.6,268506.4
2020/05/06,,,,,,,,,245034.0,210283.3,272623.7
2020/05/07,,,,,,,,,248791.5,213101.5,276792.3
2020/05/08,,,,,,,,,252478.7,215855.8,280869.9
2020/05/09,,,,,,,,,256126.9,218596.2,284906.9
