date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11714361.2,492516.6,146015.8,734949.2,2679322.2,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,13968822.4,555939.5,104929.9,911454.0,2747085.4,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13286889.3,531385.2,100932.4,883517.4,2627834.0,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13234884.4,529369.8,102818.8,866823.7,2660499.1,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13038110.7,512618.4,111260.7,804322.1,2632468.6,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13878496.3,577695.6,130286.0,795409.3,2974918.1,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11166759.2,480013.9,142376.5,643616.7,2569624.3,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9204603.4,368649.7,109029.3,475920.5,2015981.9,387601.3,191088.7,673009.1,928.3,194.1,2466.9
2020/03/16,9470124.3,376145.9,90558.5,518043.6,1950894.7,217940.7,233907.7,716584.9,1285.5,304.0,3231.4
2020/03/17,8436166.5,327744.1,75307.8,389438.2,1735678.0,189900.3,203975.5,596312.8,1796.9,484.0,4222.4
2020/03/18,8399578.4,324675.7,72917.2,387192.8,1697618.7,189619.3,203895.6,572007.2,2537.8,780.1,5543.3
2020/03/19,7754618.5,294174.3,64192.9,349188.8,1579539.1,193451.2,185519.6,534859.1,3590.4,1251.1,7246.4
2020/03/20,7061523.9,259310.2,50801.7,314256.1,1433777.0,200534.6,156818.8,518038.5,5043.0,1942.8,9434.5
2020/03/21,5348368.1,185267.0,42098.0,209722.3,1079765.7,255021.1,110319.8,401554.4,7009.9,2967.7,12207.9
2020/03/22,5308146.0,192936.0,48551.4,191675.5,998374.9,387601.3,122423.2,438108.1,9578.7,4442.2,15601.8
2020/03/23,5320424.5,194404.9,34614.2,220640.7,1031217.8,217940.7,123985.7,366077.7,12759.8,6381.6,19606.3
2020/03/24,6143703.2,239989.9,42067.1,260124.4,1197841.6,189900.3,149015.4,422455.4,16470.3,8870.3,24120.5
2020/03/25,6540027.3,253661.2,44074.8,273448.1,1282530.0,189619.3,155080.3,452300.8,20632.6,11798.3,29060.0
2020/03/26,6079483.9,245090.7,41596.0,255512.8,1181649.9,193451.2,143560.8,403950.5,25237.3,15224.7,34353.4
2020/03/27,6217853.5,260616.6,43552.1,255840.4,1233830.1,200534.6,142569.7,434186.8,30307.8,19205.8,40162.8
2020/03/28,4822598.8,206660.6,50561.7,175664.0,955026.7,255021.1,115623.8,433008.6,35763.0,23648.0,46261.1
2020/03/29,4348001.4,165715.4,41315.0,147945.2,810563.0,387601.3,96620.0,388221.0,41518.7,28537.7,52602.6
2020/03/30,5570105.4,211471.8,38917.1,229381.0,1063937.7,217940.7,133639.0,396249.5,47504.0,33835.1,59196.1
2020/03/31,5418970.2,224196.1,39033.3,223835.0,1037366.7,189900.3,134969.0,387061.6,53731.6,39519.6,65911.7
2020/04/01,5757893.2,235089.4,41695.3,237980.1,1091166.3,189619.3,142244.8,399588.1,60148.3,45513.8,73091.6
2020/04/02,5567026.1,230191.1,42804.7,229651.6,1052175.1,193451.2,137314.7,403838.5,66957.9,52034.7,80332.7
2020/04/03,5059612.6,236154.4,46847.2,203051.7,993777.5,200534.6,137227.2,404064.8,74077.7,58982.3,87865.9
2020/04/04,5096283.5,241736.6,56522.2,196405.8,958515.3,255021.1,126654.5,430665.2,81415.8,66319.4,95596.5
2020/04/05,4388725.9,179268.8,42427.2,158805.2,781214.3,387601.3,101857.1,364108.8,88836.6,73837.1,103841.9
2020/04/06,5185333.9,216071.0,42998.7,215054.5,952408.0,217940.7,127838.5,369105.2,96249.0,81080.1,112099.3
2020/04/07,5147647.1,221022.9,43150.8,214231.6,946378.7,189900.3,129081.2,365540.0,103683.8,88246.8,120166.3
2020/04/08,5015381.2,211071.9,44623.5,208089.4,933518.3,189619.3,130877.5,363456.7,111158.4,95570.8,128212.6
2020/04/09,4660042.5,199959.0,44699.5,191226.7,868129.3,193451.2,121783.3,363823.5,118639.4,103376.1,136367.4
2020/04/10,4962557.1,219690.3,55945.7,200917.6,962913.6,200534.6,138884.7,414350.8,126162.6,111084.2,144577.9
2020/04/11,5155243.9,247481.6,62406.4,195793.7,966449.8,255021.1,145396.2,440817.3,133517.7,118660.5,152592.7
2020/04/12,3692367.5,140211.0,7272.9,127691.0,686356.3,387601.3,89136.9,234954.4,140648.1,126113.0,160305.7
2020/04/13,3801586.8,151992.2,30104.3,151189.4,706288.2,217940.7,88396.4,264728.9,147725.7,133357.6,167938.5
2020/04/14,5145036.2,237116.5,44885.7,211861.4,980958.1,189900.3,133846.8,369103.2,154693.7,140432.1,175451.6
2020/04/15,5140799.9,240233.3,45640.0,211651.1,980419.5,189619.3,128799.0,361397.3,161475.8,147184.2,182705.9
2020/04/16,5083253.6,235635.7,45801.8,204447.9,975038.7,193451.2,127102.5,360161.1,168077.5,153731.3,189713.7
2020/04/17,5452745.6,264743.2,50145.3,220805.6,1089051.1,200534.6,136089.0,393052.8,174455.8,159585.6,196446.9
2020/04/18,4750703.3,229864.9,55180.6,179983.3,935306.1,255021.1,116115.1,390733.7,180602.3,164957.3,202905.2
2020/04/19,4896016.8,220842.5,45296.7,175389.7,895694.1,387601.3,103034.3,354022.3,186625.6,170141.0,209222.3
2020/04/20,5357983.3,222536.7,42770.8,221249.2,1021551.6,217940.7,125071.8,357049.8,192638.3,174948.1,215519.7
2020/04/21,5361712.1,222119.1,42818.7,223964.9,1013812.2,189900.3,123008.0,361331.3,198428.9,179544.3,221558.7
2020/04/22,5961220.4,264593.8,50556.5,248678.4,1139712.7,189619.3,141710.4,409836.9,203950.5,183874.6,227291.4
2020/04/23,5940079.1,258307.6,50465.4,246857.8,1146036.9,193451.2,139119.3,406932.3,209355.4,188048.6,232863.4
2020/04/24,5663580.7,271389.4,48882.7,231041.1,1130977.3,200534.6,129925.3,392427.6,214636.2,192128.8,238298.4
2020/04/25,6413929.4,320537.4,62709.6,246434.2,1248024.3,255021.1,138103.6,447394.7,219793.2,196169.1,243548.0
2020/04/26,4344735.4,183522.6,45784.3,150283.8,776479.4,387601.3,91588.2,342631.1,224841.8,200142.3,248667.5
2020/04/27,5778400.3,237548.4,47977.1,239436.4,1059792.3,217940.7,131464.2,378719.3,229880.7,204116.9,253840.2
2020/04/28,6680457.7,291932.9,50147.0,282262.2,1230832.5,189900.3,146579.1,403152.1,234891.7,208044.2,258926.0
2020/04/29,5980589.1,252758.8,49104.7,252373.8,1092685.5,189619.3,133634.7,383163.5,239795.0,211826.0,263871.1
2020/04/30,5578764.8,241233.1,46125.7,229338.2,1025224.0,193451.2,124449.9,357624.1,244599.8,215484.3,268715.9
2020/05/01,6652013.9,307128.4,60543.9,276752.5,1283555.4,200534.6,150213.4,422836.7,249350.1,219092.2,273445.5
2020/05/02,6884013.7,338882.6,65619.0,260307.4,1288887.1,255021.1,135104.5,445289.2,254019.8,222607.0,278060.1
2020/05/03,,,,,,,,,258675.5,226144.6,282925.0
2020/05/04,,,,,,,,,263383.7,229799.0,287832.4
2020/05/05,,,,,,,,,267936.3,233254.8,292405.6
2020/05/06,,,,,,,,,272427.0,236615.4,296878.8
2020/05/07,,,,,,,,,276892.0,239967.9,301312.5
2020/05/08,,,,,,,,,281230.8,243307.8,305661.3
2020/05/09,,,,,,,,,285487.5,246588.0,309951.1
