date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11676322.7,492516.6,146015.8,734949.2,2679322.2,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,13953389.7,555939.5,104929.9,911454.0,2747085.4,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13298264.7,531385.2,100932.4,883517.4,2627834.0,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13241736.0,529369.8,102818.8,866823.7,2660499.1,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13033783.0,512618.4,111260.7,804322.1,2632468.6,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13883254.8,577695.6,130286.0,795409.3,2974918.1,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11103953.7,480013.9,142376.5,643616.7,2569624.3,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9038746.8,368649.7,109029.3,475920.5,2015981.9,221744.8,191088.7,673009.1,928.1,194.5,2467.8
2020/03/16,9404517.1,376145.9,90558.5,518043.6,1950894.7,152333.5,233907.7,716584.9,1284.3,303.2,3226.6
2020/03/17,8393876.8,327744.1,75307.8,389438.2,1735678.0,147610.5,203975.5,596312.8,1795.8,479.3,4212.8
2020/03/18,8356118.9,324675.7,72917.2,387192.8,1697618.7,146159.9,203895.6,572007.2,2538.4,777.1,5541.0
2020/03/19,7701362.9,294174.3,64192.9,349188.8,1579539.1,140195.6,185519.6,534859.1,3593.7,1243.5,7244.9
2020/03/20,6993938.7,259310.2,50801.7,314256.1,1433777.0,132949.5,156818.8,518038.5,5044.8,1954.1,9446.4
2020/03/21,5207003.7,185267.0,42098.0,209722.3,1079765.7,113656.6,110319.8,401554.4,7012.8,2971.0,12205.3
2020/03/22,5037413.3,192936.0,48551.4,191675.5,998374.9,116868.6,122423.2,438108.1,9570.5,4371.0,15572.1
2020/03/23,5207688.1,194404.9,34614.2,220640.7,1031217.8,105204.3,123985.7,366077.7,12691.1,6305.2,19512.1
2020/03/24,6078163.9,239989.9,42067.1,260124.4,1197841.6,124361.0,149015.4,422455.4,16305.6,8737.2,23949.3
2020/03/25,6486187.8,253661.2,44074.8,273448.1,1282530.0,135779.8,155080.3,452300.8,20360.2,11595.1,28811.0
2020/03/26,6005818.1,245090.7,41596.0,255512.8,1181649.9,119785.3,143560.8,403950.5,24850.9,14937.1,34064.0
2020/03/27,6140921.7,260616.6,43552.1,255840.4,1233830.1,123602.8,142569.7,434186.8,29800.8,18785.8,39668.7
2020/03/28,4663173.9,206660.6,50561.7,175664.0,955026.7,95596.2,115623.8,433008.6,35116.3,23115.1,45593.3
2020/03/29,4053598.6,165715.4,41315.0,147945.2,810563.0,93198.6,96620.0,388221.0,40685.7,27797.8,51699.3
2020/03/30,5464248.3,211471.8,38917.1,229381.0,1063937.7,112083.6,133639.0,396249.5,46311.7,32622.6,57867.9
2020/03/31,5338494.8,224196.1,39033.3,223835.0,1037366.7,109424.8,134969.0,387061.6,52077.8,37715.8,64236.7
2020/04/01,5683542.1,235089.4,41695.3,237980.1,1091166.3,115268.2,142244.8,399588.1,58032.5,43132.4,70821.4
2020/04/02,5484069.9,230191.1,42804.7,229651.6,1052175.1,110495.0,137314.7,403838.5,64403.7,49049.2,77644.3
2020/04/03,4942747.4,236154.4,46847.2,203051.7,993777.5,83669.5,137227.2,404064.8,71086.6,55403.6,84650.2
2020/04/04,4925779.5,241736.6,56522.2,196405.8,958515.3,84517.1,126654.5,430665.2,77984.0,62202.6,92017.9
2020/04/05,4085416.7,179268.8,42427.2,158805.2,781214.3,84292.1,101857.1,364108.8,84910.9,69089.7,99691.7
2020/04/06,5058005.7,216071.0,42998.7,215054.5,952408.0,90612.5,127838.5,369105.2,91619.2,75798.5,107118.5
2020/04/07,5049847.2,221022.9,43150.8,214231.6,946378.7,92100.4,129081.2,365540.0,98255.6,82342.5,114427.2
2020/04/08,4917144.8,211071.9,44623.5,208089.4,933518.3,91382.9,130877.5,363456.7,104977.1,89047.4,121735.9
2020/04/09,4550158.6,199959.0,44699.5,191226.7,868129.3,83567.3,121783.3,363823.5,111752.7,95929.0,128879.2
2020/04/10,4845535.9,219690.3,55945.7,200917.6,962913.6,83513.4,138884.7,414350.8,118603.7,102662.7,136318.7
2020/04/11,4990241.2,247481.6,62406.4,195793.7,966449.8,90018.4,145396.2,440817.3,125295.0,109181.4,143482.4
2020/04/12,3386449.5,140211.0,7272.9,127691.0,686356.3,81683.4,89136.9,234954.4,131721.6,115706.4,150304.0
2020/04/13,3654136.6,151992.2,30104.3,151189.4,706288.2,70490.5,88396.4,264728.9,137892.1,122058.2,156796.6
2020/04/14,5048427.0,237116.5,44885.7,211861.4,980958.1,93291.0,133846.8,369103.2,143868.6,128127.6,163099.0
2020/04/15,5042772.0,240233.3,45640.0,211651.1,980419.5,91591.5,128799.0,361397.3,149726.5,134322.4,169219.4
2020/04/16,4985755.3,235635.7,45801.8,204447.9,975038.7,95952.8,127102.5,360161.1,155469.2,139965.7,175243.8
2020/04/17,5350987.6,264743.2,50145.3,220805.6,1089051.1,98776.6,136089.0,393052.8,161033.6,145069.3,181024.5
2020/04/18,4580996.8,229864.9,55180.6,179983.3,935306.1,85314.6,116115.1,390733.7,166401.1,150139.7,186586.8
2020/04/19,4604621.7,220842.5,45296.7,175389.7,895694.1,96206.1,103034.3,354022.3,171629.0,155039.8,192181.5
2020/04/20,5242356.1,222536.7,42770.8,221249.2,1021551.6,102313.5,125071.8,357049.8,176688.8,159246.1,197561.0
2020/04/21,5276449.1,222119.1,42818.7,223964.9,1013812.2,104637.2,123008.0,361331.3,181480.1,163176.6,202659.7
2020/04/22,5883178.3,264593.8,50556.5,248678.4,1139712.7,111577.3,141710.4,409836.9,186078.9,166714.7,207629.7
2020/04/23,5857823.9,258307.6,50465.4,246857.8,1146036.9,111196.0,139119.3,406932.3,190637.5,170263.2,212486.4
2020/04/24,5571004.0,271389.4,48882.7,231041.1,1130977.3,107957.9,129925.3,392427.6,195125.6,173742.0,217194.8
2020/04/25,6281662.9,320537.4,62709.6,246434.2,1248024.3,122754.6,138103.6,447394.7,199536.8,177078.4,221951.6
2020/04/26,4042809.1,183522.6,45784.3,150283.8,776479.4,85675.0,91588.2,342631.1,203843.6,180274.4,226754.9
2020/04/27,5663752.7,237548.4,47977.1,239436.4,1059792.3,103293.2,131464.2,378719.3,208007.4,183344.1,231427.8
2020/04/28,6618015.2,291932.9,50147.0,282262.2,1230832.5,127457.7,146579.1,403152.1,212110.6,186336.8,236007.5
2020/04/29,5902254.5,252758.8,49104.7,252373.8,1092685.5,111284.7,133634.7,383163.5,216178.8,189273.6,240541.1
2020/04/30,5488488.2,241233.1,46125.7,229338.2,1025224.0,103174.6,124449.9,357624.1,220221.1,192229.2,245055.3
2020/05/01,6573621.6,307128.4,60543.9,276752.5,1283555.4,122142.3,150213.4,422836.7,224260.5,195190.2,249481.0
2020/05/02,6761088.4,338882.6,65619.0,260307.4,1288887.1,132095.7,135104.5,445289.2,228265.3,198092.6,253716.2
2020/05/03,,,,,,,,,232267.2,201069.1,258037.9
2020/05/04,,,,,,,,,236222.6,203973.1,262363.9
2020/05/05,,,,,,,,,240004.9,206719.9,266516.0
2020/05/06,,,,,,,,,243791.1,209465.6,270663.5
2020/05/07,,,,,,,,,247618.9,212239.8,274804.1
2020/05/08,,,,,,,,,251376.1,214950.2,278879.8
2020/05/09,,,,,,,,,255098.3,217650.6,282928.4
