date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1837993.3,53757.0,41333.6,24327.6,354702.4,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2075773.5,28652.2,29047.9,26485.2,340025.1,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2125883.0,34395.3,30932.9,28030.0,356041.7,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2157900.6,34867.8,28138.9,29515.9,356927.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2170057.0,30304.5,28183.1,32793.8,363743.7,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2297889.7,29895.4,33552.8,40001.6,406703.4,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1677417.5,23801.3,43879.6,31343.7,313212.8,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1389167.0,31604.8,41333.6,27508.1,230681.4,72052.1,116958.3,82732.7,315.1,119.4,577.7
2020/03/16,1592904.7,19228.4,29047.9,37563.2,256878.2,79560.6,147344.3,96114.4,364.0,138.2,664.3
2020/03/17,1081562.4,16503.9,30932.9,22319.0,159121.2,51186.6,82862.2,53391.6,415.4,160.2,757.2
2020/03/18,1018897.6,15142.4,28138.9,21197.9,147917.5,49502.1,76723.9,51759.5,470.7,186.0,849.6
2020/03/19,1022053.5,16883.5,28183.1,21781.8,146883.7,48294.2,76659.9,52331.4,531.3,214.5,955.5
2020/03/20,877959.4,15886.5,33552.8,14850.9,125905.7,39305.4,61537.8,44514.5,599.3,250.8,1065.5
2020/03/21,675701.7,14134.8,43879.6,9180.9,94150.2,27258.8,44546.5,31880.8,676.5,292.2,1198.1
2020/03/22,851011.6,15017.0,41333.6,17402.2,115593.8,42301.5,71951.6,37530.5,760.4,339.4,1337.1
2020/03/23,979525.5,15515.0,29047.9,18770.1,140892.0,46339.1,71453.0,50202.1,847.9,393.4,1471.0
2020/03/24,949206.8,14633.7,30932.9,18536.4,140316.8,45811.9,70193.3,47994.5,940.3,450.1,1614.6
2020/03/25,1118691.6,18905.2,28138.9,20644.5,163396.4,55766.6,78423.8,58314.2,1036.9,514.2,1763.8
2020/03/26,953987.1,15549.9,28183.1,16782.0,137963.0,49589.0,66823.9,48396.1,1133.0,577.3,1904.9
2020/03/27,928651.4,14790.8,33552.8,18127.2,136121.9,50804.6,71656.6,46939.7,1230.6,642.8,2047.8
2020/03/28,821984.6,12983.0,43879.6,17136.3,121728.5,46289.3,72220.4,35211.0,1329.3,715.2,2191.2
2020/03/29,757252.2,15361.1,41333.6,15045.3,105788.1,40271.0,65987.1,34445.0,1427.4,786.4,2335.5
2020/03/30,959596.5,15263.9,29047.9,17536.0,136875.7,47503.9,67655.7,48313.1,1526.0,859.3,2475.1
2020/03/31,962781.2,15528.0,30932.9,17836.4,134691.8,50112.1,69030.1,48989.4,1627.7,936.2,2611.6
2020/04/01,965769.8,16125.1,28138.9,17928.9,141856.6,49678.4,67645.6,48990.0,1733.7,1017.4,2754.0
2020/04/02,909885.4,14852.1,28183.1,16779.9,130617.6,49609.2,67860.4,46273.6,1846.2,1112.7,2904.0
2020/04/03,941865.1,14186.5,33552.8,19467.0,143045.1,55294.5,74978.0,46813.5,1964.8,1199.9,3070.6
2020/04/04,788985.3,11709.3,43879.6,16383.9,122303.2,45840.3,74414.5,33240.1,2087.6,1297.1,3234.3
2020/04/05,661525.6,11921.7,41333.6,15011.7,95693.2,34682.5,62261.4,28094.6,2209.9,1393.7,3395.2
2020/04/06,767760.8,10430.2,29047.9,16027.1,110666.7,40267.3,62554.7,38497.4,2330.5,1485.4,3566.8
2020/04/07,862970.7,13049.2,30932.9,17390.3,125406.0,45581.5,64752.0,43159.5,2454.0,1575.6,3728.6
2020/04/08,834115.5,13329.9,28138.9,16748.1,121381.8,45426.1,64551.4,43842.8,2584.0,1673.7,3901.2
2020/04/09,827956.2,12576.0,28183.1,17432.2,122309.0,45167.7,63005.3,41454.8,2717.2,1768.6,4066.7
2020/04/10,889030.9,12544.2,33552.8,18806.4,135354.4,53806.1,71301.3,44411.5,2856.7,1854.4,4246.4
2020/04/11,833059.7,12625.9,43879.6,19592.8,122777.8,49167.4,76790.5,35819.1,2995.1,1946.7,4423.6
2020/04/12,606374.7,11695.3,41333.6,12788.6,88661.9,29764.3,52454.6,24943.3,3129.7,2039.3,4591.9
2020/04/13,796379.2,11519.1,29047.9,14596.2,115956.6,42516.9,58249.3,38982.5,3258.8,2131.9,4753.3
2020/04/14,841498.6,13530.9,30932.9,16054.3,123129.7,45522.8,61579.5,40969.7,3385.7,2222.3,4909.4
2020/04/15,871766.5,13653.1,28138.9,16170.2,127531.3,49690.8,60650.7,42577.3,3508.7,2318.7,5058.4
2020/04/16,841212.1,13353.6,28183.1,14861.9,124894.6,47725.0,59940.7,41155.4,3633.4,2409.7,5210.8
2020/04/17,902220.8,13476.5,33552.8,17984.2,137675.0,53510.5,65007.7,44000.3,3757.7,2520.3,5380.6
2020/04/18,862739.7,12988.0,43879.6,16727.0,127024.8,54006.8,69241.2,38743.4,3879.5,2631.5,5528.3
2020/04/19,775318.9,14625.7,41333.6,14680.0,108509.7,45553.9,61868.6,32652.4,3999.7,2739.9,5675.3
2020/04/20,888119.5,13805.1,29047.9,15553.3,130871.4,45938.4,61532.0,44831.6,4117.4,2844.9,5809.6
2020/04/21,955707.4,15916.1,30932.9,17682.4,139428.2,51644.2,66796.6,49016.8,4234.2,2940.5,5935.4
2020/04/22,985899.7,16134.6,28138.9,17134.6,141288.6,55593.8,67568.2,49393.2,4352.3,3036.0,6063.1
2020/04/23,994353.0,15505.7,28183.1,16750.3,144227.4,56275.2,65890.7,50068.0,4471.3,3137.2,6188.1
2020/04/24,1053333.8,16071.0,33552.8,17536.7,157226.9,64373.7,72675.4,51853.4,4591.4,3239.5,6319.6
2020/04/25,1001486.9,15369.4,43879.6,16632.6,147803.9,62232.2,73053.0,43854.5,4711.8,3342.5,6443.9
2020/04/26,826751.1,14538.7,41333.6,14596.6,114976.4,49856.1,64086.4,34890.2,4833.3,3447.1,6565.5
2020/04/27,971773.6,13533.2,29047.9,17078.9,135050.4,51484.3,63784.4,47863.3,4953.1,3560.9,6689.2
2020/04/28,1009242.7,14565.1,30932.9,18235.0,143648.3,55027.8,64480.3,50892.5,5071.5,3669.0,6811.5
2020/04/29,972903.9,14758.4,28138.9,16918.6,136297.3,53085.4,64226.1,48825.6,5193.3,3783.9,6934.3
2020/04/30,956948.4,13562.7,28183.1,16632.4,136383.2,56617.9,62169.9,47017.2,5318.7,3908.1,7060.5
2020/05/01,1078038.0,15411.6,33552.8,17787.9,157730.8,64034.6,71612.4,51015.6,5448.0,4035.1,7182.8
2020/05/02,955084.9,13191.7,43879.6,16723.3,138265.9,63013.7,70761.0,40158.4,5582.0,4161.1,7311.8
2020/05/03,,,,,,,,,5716.5,4273.7,7436.9
2020/05/04,,,,,,,,,5852.1,4393.1,7564.3
2020/05/05,,,,,,,,,5986.6,4512.7,7683.7
2020/05/06,,,,,,,,,6121.2,4642.2,7804.4
2020/05/07,,,,,,,,,6256.2,4770.5,7923.6
2020/05/08,,,,,,,,,6390.2,4886.1,8042.1
