date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1907766.5,53757.0,41333.6,24327.6,395764.5,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2126722.9,28652.2,29047.9,26485.2,369868.4,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2175791.7,34395.3,30932.9,28030.0,388568.8,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2192351.0,34867.8,28138.9,29515.9,384269.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2180967.2,30304.5,28183.1,32793.8,381278.4,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2324732.1,29895.4,33552.8,40001.6,456198.3,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1841953.6,23801.3,43879.6,31343.7,446784.7,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1610621.2,31604.8,41333.6,27508.1,395764.5,72052.1,109065.0,146997.1,315.1,119.6,578.0
2020/03/16,1749460.7,19228.4,29047.9,37563.2,369868.4,79560.6,98243.7,188780.9,364.3,138.9,663.4
2020/03/17,1463630.7,16503.9,30932.9,22319.0,388568.8,51186.6,91926.1,196948.5,416.4,161.0,758.8
2020/03/18,1407299.1,15142.4,28138.9,21197.9,384269.2,49502.1,88843.4,191689.7,473.9,189.0,856.2
2020/03/19,1399784.7,16883.5,28183.1,21781.8,381278.4,48294.2,87397.3,184930.5,537.8,222.9,963.7
2020/03/20,1384351.2,15886.5,33552.8,14850.9,456198.3,39305.4,97300.7,184850.9,609.5,262.5,1085.4
2020/03/21,1220483.0,14134.8,43879.6,9180.9,446784.7,27258.8,103551.5,165022.7,692.0,304.0,1216.3
2020/03/22,1277762.3,15017.0,41333.6,17402.2,395764.5,42301.5,109065.0,146997.1,787.4,356.6,1372.9
2020/03/23,1373871.4,15515.0,29047.9,18770.1,369868.4,46339.1,98243.7,188780.9,891.8,422.1,1541.2
2020/03/24,1368145.6,14633.7,30932.9,18536.4,388568.8,45811.9,91926.1,196948.5,1008.1,499.9,1717.0
2020/03/25,1483359.4,18905.2,28138.9,20644.5,384269.2,55766.6,88843.4,191689.7,1138.5,597.5,1919.1
2020/03/26,1354410.2,15549.9,28183.1,16782.0,381278.4,49589.0,87397.3,184930.5,1278.1,700.6,2130.3
2020/03/27,1412283.2,14790.8,33552.8,18127.2,456198.3,50804.6,97300.7,184850.9,1428.4,820.7,2347.9
2020/03/28,1308183.6,12983.0,43879.6,17136.3,446784.7,46289.3,103551.5,165022.7,1591.5,954.6,2582.1
2020/03/29,1202858.6,15361.1,41333.6,15045.3,395764.5,40271.0,109065.0,146997.1,1774.0,1123.3,2833.6
2020/03/30,1363645.1,15263.9,29047.9,17536.0,369868.4,47503.9,98243.7,188780.9,1968.0,1274.9,3095.3
2020/03/31,1387513.2,15528.0,30932.9,17836.4,388568.8,50112.1,91926.1,196948.5,2177.0,1380.5,3378.1
2020/04/01,1372079.9,16125.1,28138.9,17928.9,384269.2,49678.4,88843.4,191689.7,2405.6,1501.9,3677.9
2020/04/02,1318740.0,14852.1,28183.1,16779.9,381278.4,49609.2,87397.3,184930.5,2653.0,1656.4,3995.1
2020/04/03,1415378.4,14186.5,33552.8,19467.0,456198.3,55294.5,97300.7,184850.9,2918.0,1794.4,4333.1
2020/04/04,1274386.3,11709.3,43879.6,16383.9,446784.7,45840.3,103551.5,165022.7,3201.7,1973.4,4676.1
2020/04/05,1127303.1,11921.7,41333.6,15011.7,395764.5,34682.5,109065.0,146997.1,3506.8,2150.0,5040.9
2020/04/06,1212935.0,10430.2,29047.9,16027.1,369868.4,40267.3,98243.7,188780.9,3823.3,2335.9,5415.4
2020/04/07,1307096.5,13049.2,30932.9,17390.3,388568.8,45581.5,91926.1,196948.5,4157.5,2530.1,5811.4
2020/04/08,1269141.9,13329.9,28138.9,16748.1,384269.2,45426.1,88843.4,191689.7,4518.1,2733.2,6223.8
2020/04/09,1254793.4,12576.0,28183.1,17432.2,381278.4,45167.7,87397.3,184930.5,4896.7,2945.2,6654.1
2020/04/10,1376313.6,12544.2,33552.8,18806.4,456198.3,53806.1,97300.7,184850.9,5293.1,3220.7,7109.3
2020/04/11,1313031.2,12625.9,43879.6,19592.8,446784.7,49167.4,103551.5,165022.7,5703.1,3462.7,7558.8
2020/04/12,1092141.5,11695.3,41333.6,12788.6,395764.5,29764.3,109065.0,146997.1,6130.9,3723.9,8028.8
2020/04/13,1240083.8,11519.1,29047.9,14596.2,369868.4,42516.9,98243.7,188780.9,6564.0,3995.1,8562.4
2020/04/14,1293263.0,13530.9,30932.9,16054.3,388568.8,45522.8,91926.1,196948.5,7007.0,4259.0,9070.2
2020/04/15,1305809.6,13653.1,28138.9,16170.2,384269.2,49690.8,88843.4,191689.7,7465.9,4547.5,9564.2
2020/04/16,1268827.6,13353.6,28183.1,14861.9,381278.4,47725.0,87397.3,184930.5,7937.1,4841.7,10119.1
2020/04/17,1393887.6,13476.5,33552.8,17984.2,456198.3,53510.5,97300.7,184850.9,8420.4,5136.3,10776.3
2020/04/18,1343089.2,12988.0,43879.6,16727.0,446784.7,54006.8,103551.5,165022.7,8916.2,5438.8,11336.6
2020/04/19,1224114.8,14625.7,41333.6,14680.0,395764.5,45553.9,109065.0,146997.1,9430.8,5761.6,12029.0
2020/04/20,1307777.5,13805.1,29047.9,15553.3,369868.4,45938.4,98243.7,188780.9,9952.8,6092.4,12728.0
2020/04/21,1377909.2,15916.1,30932.9,17682.4,388568.8,51644.2,91926.1,196948.5,10480.8,6444.9,13462.2
2020/04/22,1392451.9,16134.6,28138.9,17134.6,384269.2,55593.8,88843.4,191689.7,11022.1,6811.6,14207.8
2020/04/23,1387773.0,15505.7,28183.1,16750.3,381278.4,56275.2,87397.3,184930.5,11573.9,7195.9,14971.7
2020/04/24,1509928.0,16071.0,33552.8,17536.7,456198.3,64373.7,97300.7,184850.9,12134.5,7602.0,15725.9
2020/04/25,1452134.4,15369.4,43879.6,16632.6,446784.7,62232.2,103551.5,165022.7,12705.8,8013.6,16538.7
2020/04/26,1264624.8,14538.7,41333.6,14596.6,395764.5,49856.1,109065.0,146997.1,13295.0,8408.9,17371.2
2020/04/27,1381968.4,13533.2,29047.9,17078.9,369868.4,51484.3,98243.7,188780.9,13887.3,8843.5,18189.8
2020/04/28,1427664.9,14565.1,30932.9,18235.0,388568.8,55027.8,91926.1,196948.5,14484.6,9271.2,19007.5
2020/04/29,1388357.2,14758.4,28138.9,16918.6,384269.2,53085.4,88843.4,191689.7,15091.0,9721.5,19849.2
2020/04/30,1364984.3,13562.7,28183.1,16632.4,381278.4,56617.9,87397.3,184930.5,15707.6,10180.7,20682.0
2020/05/01,1536029.0,15411.6,33552.8,17787.9,456198.3,64034.6,97300.7,184850.9,16332.5,10656.3,21508.9
2020/05/02,1421258.4,13191.7,43879.6,16723.3,446784.7,63013.7,103551.5,165022.7,16971.5,11126.8,22361.0
2020/05/03,,,,,,,,,17626.0,11602.1,23237.3
2020/05/04,,,,,,,,,18287.6,12098.6,24112.5
2020/05/05,,,,,,,,,18949.8,12608.0,24981.7
2020/05/06,,,,,,,,,19610.6,13120.3,25836.4
2020/05/07,,,,,,,,,20269.5,13648.4,26704.6
