date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1919210.4,53757.0,41333.6,24327.6,395764.5,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2133927.7,28652.2,29047.9,26485.2,369868.4,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2184452.3,34395.3,30932.9,28030.0,388568.8,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2200291.7,34867.8,28138.9,29515.9,384269.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2183120.6,30304.5,28183.1,32793.8,381278.4,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2332196.2,29895.4,33552.8,40001.6,456198.3,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1877528.1,23801.3,43879.6,31343.7,446784.7,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1651137.2,31604.8,41333.6,27508.1,395764.5,112568.1,109065.0,146997.1,315.1,119.8,578.1
2020/03/16,1776511.3,19228.4,29047.9,37563.2,369868.4,106611.3,98243.7,188780.9,364.0,139.5,664.3
2020/03/17,1524357.7,16503.9,30932.9,22319.0,388568.8,111913.5,91926.1,196948.5,416.5,162.3,753.9
2020/03/18,1470972.2,15142.4,28138.9,21197.9,384269.2,113175.3,88843.4,191689.7,474.0,188.1,854.3
2020/03/19,1461817.4,16883.5,28183.1,21781.8,381278.4,110326.9,87397.3,184930.5,537.5,217.4,961.5
2020/03/20,1473608.4,15886.5,33552.8,14850.9,456198.3,128562.6,97300.7,184850.9,609.0,256.0,1080.3
2020/03/21,1320998.3,14134.8,43879.6,9180.9,446784.7,127774.1,103551.5,165022.7,691.4,304.5,1215.0
2020/03/22,1348029.0,15017.0,41333.6,17402.2,395764.5,112568.1,109065.0,146997.1,786.5,363.8,1368.9
2020/03/23,1434143.5,15515.0,29047.9,18770.1,369868.4,106611.3,98243.7,188780.9,891.3,425.3,1530.7
2020/03/24,1434247.2,14633.7,30932.9,18536.4,388568.8,111913.5,91926.1,196948.5,1007.3,493.6,1713.7
2020/03/25,1540768.0,18905.2,28138.9,20644.5,384269.2,113175.3,88843.4,191689.7,1139.1,577.2,1913.6
2020/03/26,1415148.1,15549.9,28183.1,16782.0,381278.4,110326.9,87397.3,184930.5,1280.7,677.9,2123.6
2020/03/27,1490041.1,14790.8,33552.8,18127.2,456198.3,128562.6,97300.7,184850.9,1432.8,795.6,2346.5
2020/03/28,1389668.4,12983.0,43879.6,17136.3,446784.7,127774.1,103551.5,165022.7,1597.4,920.4,2593.6
2020/03/29,1275155.7,15361.1,41333.6,15045.3,395764.5,112568.1,109065.0,146997.1,1782.5,1049.1,2848.6
2020/03/30,1422752.5,15263.9,29047.9,17536.0,369868.4,106611.3,98243.7,188780.9,1979.7,1185.7,3123.9
2020/03/31,1449314.6,15528.0,30932.9,17836.4,388568.8,111913.5,91926.1,196948.5,2192.1,1347.9,3410.5
2020/04/01,1435576.8,16125.1,28138.9,17928.9,384269.2,113175.3,88843.4,191689.7,2424.9,1479.2,3726.6
2020/04/02,1379457.8,14852.1,28183.1,16779.9,381278.4,110326.9,87397.3,184930.5,2678.7,1635.9,4064.5
2020/04/03,1488646.4,14186.5,33552.8,19467.0,456198.3,128562.6,97300.7,184850.9,2949.7,1784.1,4413.1
2020/04/04,1356320.1,11709.3,43879.6,16383.9,446784.7,127774.1,103551.5,165022.7,3240.3,1944.5,4781.4
2020/04/05,1205188.7,11921.7,41333.6,15011.7,395764.5,112568.1,109065.0,146997.1,3552.6,2099.5,5166.0
2020/04/06,1279279.0,10430.2,29047.9,16027.1,369868.4,106611.3,98243.7,188780.9,3876.1,2267.8,5554.1
2020/04/07,1373428.5,13049.2,30932.9,17390.3,388568.8,111913.5,91926.1,196948.5,4217.8,2450.5,5959.7
2020/04/08,1336891.0,13329.9,28138.9,16748.1,384269.2,113175.3,88843.4,191689.7,4587.0,2656.2,6388.6
2020/04/09,1319952.7,12576.0,28183.1,17432.2,381278.4,110326.9,87397.3,184930.5,4975.2,2893.4,6844.7
2020/04/10,1451070.1,12544.2,33552.8,18806.4,456198.3,128562.6,97300.7,184850.9,5381.1,3126.9,7309.7
2020/04/11,1391637.9,12625.9,43879.6,19592.8,446784.7,127774.1,103551.5,165022.7,5801.9,3372.7,7769.2
2020/04/12,1174945.4,11695.3,41333.6,12788.6,395764.5,112568.1,109065.0,146997.1,6240.8,3625.3,8254.0
2020/04/13,1304178.2,11519.1,29047.9,14596.2,369868.4,106611.3,98243.7,188780.9,6685.8,3891.8,8745.7
2020/04/14,1359653.8,13530.9,30932.9,16054.3,388568.8,111913.5,91926.1,196948.5,7142.2,4174.2,9335.9
2020/04/15,1369294.1,13653.1,28138.9,16170.2,384269.2,113175.3,88843.4,191689.7,7612.6,4462.3,9884.3
2020/04/16,1331429.5,13353.6,28183.1,14861.9,381278.4,110326.9,87397.3,184930.5,8097.4,4764.8,10410.8
2020/04/17,1468939.7,13476.5,33552.8,17984.2,456198.3,128562.6,97300.7,184850.9,8594.9,5081.7,11035.7
2020/04/18,1416856.5,12988.0,43879.6,16727.0,446784.7,127774.1,103551.5,165022.7,9104.2,5410.1,11644.8
2020/04/19,1291129.0,14625.7,41333.6,14680.0,395764.5,112568.1,109065.0,146997.1,9633.3,5757.4,12341.5
2020/04/20,1368450.3,13805.1,29047.9,15553.3,369868.4,106611.3,98243.7,188780.9,10170.2,6108.2,13068.5
2020/04/21,1438178.6,15916.1,30932.9,17682.4,388568.8,111913.5,91926.1,196948.5,10713.7,6443.1,13825.3
2020/04/22,1450033.4,16134.6,28138.9,17134.6,384269.2,113175.3,88843.4,191689.7,11271.7,6785.4,14624.4
2020/04/23,1441824.6,15505.7,28183.1,16750.3,381278.4,110326.9,87397.3,184930.5,11840.5,7140.5,15429.8
2020/04/24,1574116.9,16071.0,33552.8,17536.7,456198.3,128562.6,97300.7,184850.9,12417.4,7522.3,16256.4
2020/04/25,1517676.2,15369.4,43879.6,16632.6,446784.7,127774.1,103551.5,165022.7,13007.3,7913.5,17111.1
2020/04/26,1327336.7,14538.7,41333.6,14596.6,395764.5,112568.1,109065.0,146997.1,13614.1,8323.6,17972.5
2020/04/27,1437095.4,13533.2,29047.9,17078.9,369868.4,106611.3,98243.7,188780.9,14225.8,8756.6,18832.2
2020/04/28,1484550.6,14565.1,30932.9,18235.0,388568.8,111913.5,91926.1,196948.5,14842.0,9180.6,19697.8
2020/04/29,1448447.0,14758.4,28138.9,16918.6,384269.2,113175.3,88843.4,191689.7,15469.4,9630.9,20565.4
2020/04/30,1418693.3,13562.7,28183.1,16632.4,381278.4,110326.9,87397.3,184930.5,16105.7,10108.3,21436.8
2020/05/01,1600556.9,15411.6,33552.8,17787.9,456198.3,128562.6,97300.7,184850.9,16752.6,10595.7,22315.3
2020/05/02,1486018.8,13191.7,43879.6,16723.3,446784.7,127774.1,103551.5,165022.7,17415.4,11106.5,23211.0
2020/05/03,,,,,,,,,18091.8,11633.8,24137.0
2020/05/04,,,,,,,,,18776.2,12176.2,25078.8
2020/05/05,,,,,,,,,19460.4,12719.9,26013.7
2020/05/06,,,,,,,,,20144.7,13271.1,26922.8
2020/05/07,,,,,,,,,20828.2,13829.3,27819.3
