date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1931811.9,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2143081.5,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2191304.7,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2200657.5,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2179647.3,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2325956.5,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1881673.6,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1682710.3,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,315.1,119.5,577.8
2020/03/16,1784010.9,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,364.2,140.6,663.7
2020/03/17,1554812.5,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,416.4,162.0,757.0
2020/03/18,1499381.4,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,473.9,188.4,856.8
2020/03/19,1482777.3,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,537.4,219.8,960.3
2020/03/20,1506528.4,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,609.1,255.8,1078.5
2020/03/21,1356973.2,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,691.4,302.2,1216.3
2020/03/22,1406295.8,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,786.4,356.2,1368.3
2020/03/23,1464149.7,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,891.4,416.4,1536.5
2020/03/24,1470354.8,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,1008.2,492.5,1718.3
2020/03/25,1565967.9,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,1140.2,579.9,1925.7
2020/03/26,1442441.2,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,1282.5,670.1,2138.4
2020/03/27,1520780.5,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,1435.2,770.8,2372.3
2020/03/28,1418839.6,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,1601.9,888.7,2621.4
2020/03/29,1335435.4,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,1788.8,1032.5,2881.9
2020/03/30,1454243.7,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,1989.2,1175.8,3166.4
2020/03/31,1485228.0,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,2206.0,1360.3,3465.7
2020/04/01,1466272.2,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,2442.9,1508.9,3790.1
2020/04/02,1407450.8,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,2700.5,1629.6,4127.4
2020/04/03,1518650.3,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,2976.2,1779.4,4488.9
2020/04/04,1387517.4,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,3273.0,1929.9,4865.8
2020/04/05,1268941.4,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,3592.4,2115.4,5261.7
2020/04/06,1317112.8,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,3924.4,2290.7,5659.5
2020/04/07,1412266.7,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,4275.8,2473.9,6079.8
2020/04/08,1371562.5,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,4655.5,2709.1,6519.4
2020/04/09,1349569.6,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,5055.5,2941.7,6985.2
2020/04/10,1483376.9,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,5475.3,3183.4,7456.4
2020/04/11,1418709.7,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,5910.1,3444.5,7943.7
2020/04/12,1241147.6,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,6364.5,3718.4,8427.8
2020/04/13,1342354.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,6827.2,3999.3,8920.8
2020/04/14,1399346.4,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,7302.2,4288.2,9457.5
2020/04/15,1404220.3,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,7794.4,4599.6,9989.4
2020/04/16,1362839.1,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,8301.1,4928.7,10555.1
2020/04/17,1501136.3,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,8820.0,5267.9,11211.6
2020/04/18,1446432.1,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,9353.3,5625.0,11898.3
2020/04/19,1352509.3,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,9908.3,5982.6,12669.2
2020/04/20,1403383.1,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,10474.3,6336.5,13463.2
2020/04/21,1473857.8,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,11050.4,6696.3,14249.8
2020/04/22,1481513.6,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,11639.5,7068.9,15069.8
2020/04/23,1469193.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,12242.7,7455.5,15904.3
2020/04/24,1604166.7,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,12853.3,7867.9,16755.7
2020/04/25,1544964.8,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,13474.9,8289.0,17603.4
2020/04/26,1388887.5,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,14117.3,8750.2,18484.9
2020/04/27,1470774.4,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,14765.7,9218.8,19362.5
2020/04/28,1521028.3,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,15423.1,9704.5,20256.1
2020/04/29,1481519.5,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,16091.0,10203.7,21151.2
2020/04/30,1448123.2,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,16767.9,10713.3,22048.8
2020/05/01,1631014.8,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,17455.6,11230.6,22955.7
2020/05/02,1515394.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,18157.5,11788.3,23874.5
2020/05/03,,,,,,,,,18876.9,12368.9,24832.1
2020/05/04,,,,,,,,,19607.4,12934.8,25798.1
2020/05/05,,,,,,,,,20338.8,13495.7,26762.6
2020/05/06,,,,,,,,,21069.8,14067.6,27711.1
2020/05/07,,,,,,,,,21798.1,14648.7,28657.6
