date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1929292.8,63839.4,41333.6,24327.6,395764.5,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2139498.9,34223.4,29047.9,26485.2,369868.4,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2190547.8,40490.8,30932.9,28030.0,388568.8,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2202478.2,37054.3,28138.9,29515.9,384269.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2185101.2,32285.2,28183.1,32793.8,381278.4,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2336338.4,34037.7,33552.8,40001.6,456198.3,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1885826.7,32099.9,43879.6,31343.7,446784.7,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1683371.8,63839.4,41333.6,27508.1,395764.5,112568.1,109065.0,146997.1,315.1,119.3,578.0
2020/03/16,1791506.4,34223.4,29047.9,37563.2,369868.4,106611.3,98243.7,188780.9,364.1,138.9,664.5
2020/03/17,1548344.5,40490.8,30932.9,22319.0,388568.8,111913.5,91926.1,196948.5,416.2,160.8,752.1
2020/03/18,1492884.1,37054.3,28138.9,21197.9,384269.2,113175.3,88843.4,191689.7,473.8,188.6,857.8
2020/03/19,1477219.2,32285.2,28183.1,21781.8,381278.4,110326.9,87397.3,184930.5,537.6,218.6,962.9
2020/03/20,1491759.6,34037.7,33552.8,14850.9,456198.3,128562.6,97300.7,184850.9,609.2,254.5,1077.5
2020/03/21,1338963.4,32099.9,43879.6,9180.9,446784.7,127774.1,103551.5,165022.7,692.0,303.5,1215.3
2020/03/22,1396851.4,63839.4,41333.6,17402.2,395764.5,112568.1,109065.0,146997.1,787.1,363.1,1367.8
2020/03/23,1452852.0,34223.4,29047.9,18770.1,369868.4,106611.3,98243.7,188780.9,892.1,424.7,1532.5
2020/03/24,1460104.2,40490.8,30932.9,18536.4,388568.8,111913.5,91926.1,196948.5,1009.3,501.7,1719.1
2020/03/25,1558917.1,37054.3,28138.9,20644.5,384269.2,113175.3,88843.4,191689.7,1142.1,598.3,1922.4
2020/03/26,1431883.4,32285.2,28183.1,16782.0,381278.4,110326.9,87397.3,184930.5,1285.0,699.3,2137.2
2020/03/27,1509288.1,34037.7,33552.8,18127.2,456198.3,128562.6,97300.7,184850.9,1438.6,813.5,2365.9
2020/03/28,1408785.2,32099.9,43879.6,17136.3,446784.7,127774.1,103551.5,165022.7,1606.0,942.0,2604.0
2020/03/29,1323634.0,63839.4,41333.6,15045.3,395764.5,112568.1,109065.0,146997.1,1793.4,1107.0,2864.7
2020/03/30,1441712.0,34223.4,29047.9,17536.0,369868.4,106611.3,98243.7,188780.9,1994.2,1265.0,3130.7
2020/03/31,1474277.4,40490.8,30932.9,17836.4,388568.8,111913.5,91926.1,196948.5,2211.6,1430.5,3421.9
2020/04/01,1456505.9,37054.3,28138.9,17928.9,384269.2,113175.3,88843.4,191689.7,2449.5,1572.2,3723.7
2020/04/02,1396890.8,32285.2,28183.1,16779.9,381278.4,110326.9,87397.3,184930.5,2708.0,1700.0,4055.2
2020/04/03,1508497.7,34037.7,33552.8,19467.0,456198.3,128562.6,97300.7,184850.9,2984.8,1836.8,4410.5
2020/04/04,1376710.6,32099.9,43879.6,16383.9,446784.7,127774.1,103551.5,165022.7,3281.6,1975.9,4793.6
2020/04/05,1257106.4,63839.4,41333.6,15011.7,395764.5,112568.1,109065.0,146997.1,3601.4,2145.8,5198.2
2020/04/06,1303072.2,34223.4,29047.9,16027.1,369868.4,106611.3,98243.7,188780.9,3934.3,2345.9,5606.8
2020/04/07,1400870.1,40490.8,30932.9,17390.3,388568.8,111913.5,91926.1,196948.5,4286.9,2575.2,6033.5
2020/04/08,1360615.3,37054.3,28138.9,16748.1,384269.2,113175.3,88843.4,191689.7,4668.1,2797.3,6487.8
2020/04/09,1339661.9,32285.2,28183.1,17432.2,381278.4,110326.9,87397.3,184930.5,5068.7,3026.2,6954.6
2020/04/10,1472563.6,34037.7,33552.8,18806.4,456198.3,128562.6,97300.7,184850.9,5488.7,3276.3,7419.6
2020/04/11,1411111.9,32099.9,43879.6,19592.8,446784.7,127774.1,103551.5,165022.7,5923.4,3566.6,7897.6
2020/04/12,1227089.5,63839.4,41333.6,12788.6,395764.5,112568.1,109065.0,146997.1,6378.2,3887.5,8403.9
2020/04/13,1326882.5,34223.4,29047.9,14596.2,369868.4,106611.3,98243.7,188780.9,6841.4,4202.0,8908.1
2020/04/14,1386613.7,40490.8,30932.9,16054.3,388568.8,111913.5,91926.1,196948.5,7316.6,4513.5,9425.5
2020/04/15,1392695.3,37054.3,28138.9,16170.2,384269.2,113175.3,88843.4,191689.7,7808.3,4831.3,9995.4
2020/04/16,1350361.1,32285.2,28183.1,14861.9,381278.4,110326.9,87397.3,184930.5,8315.2,5167.1,10529.8
2020/04/17,1489500.9,34037.7,33552.8,17984.2,456198.3,128562.6,97300.7,184850.9,8834.2,5512.6,11100.8
2020/04/18,1435968.4,32099.9,43879.6,16727.0,446784.7,127774.1,103551.5,165022.7,9367.1,5864.3,11816.3
2020/04/19,1340342.7,63839.4,41333.6,14680.0,395764.5,112568.1,109065.0,146997.1,9921.8,6230.5,12416.0
2020/04/20,1388868.6,34223.4,29047.9,15553.3,369868.4,106611.3,98243.7,188780.9,10486.7,6604.1,13187.8
2020/04/21,1462753.2,40490.8,30932.9,17682.4,388568.8,111913.5,91926.1,196948.5,11062.1,6989.4,13979.2
2020/04/22,1470953.0,37054.3,28138.9,17134.6,384269.2,113175.3,88843.4,191689.7,11650.5,7384.4,14796.2
2020/04/23,1458604.1,32285.2,28183.1,16750.3,381278.4,110326.9,87397.3,184930.5,12251.1,7791.2,15633.0
2020/04/24,1592083.7,34037.7,33552.8,17536.7,456198.3,128562.6,97300.7,184850.9,12860.3,8206.2,16466.9
2020/04/25,1534406.7,32099.9,43879.6,16632.6,446784.7,127774.1,103551.5,165022.7,13480.8,8626.4,17317.8
2020/04/26,1376637.4,63839.4,41333.6,14596.6,395764.5,112568.1,109065.0,146997.1,14119.9,9065.9,18203.0
2020/04/27,1457785.6,34223.4,29047.9,17078.9,369868.4,106611.3,98243.7,188780.9,14767.4,9512.5,19101.8
2020/04/28,1510476.2,40490.8,30932.9,18235.0,388568.8,111913.5,91926.1,196948.5,15423.4,9961.4,19997.1
2020/04/29,1470742.8,37054.3,28138.9,16918.6,384269.2,113175.3,88843.4,191689.7,16089.4,10431.3,20908.3
2020/04/30,1437415.8,32285.2,28183.1,16632.4,381278.4,110326.9,87397.3,184930.5,16764.9,10915.5,21829.4
2020/05/01,1619183.1,34037.7,33552.8,17787.9,456198.3,128562.6,97300.7,184850.9,17451.9,11416.6,22763.2
2020/05/02,1504927.0,32099.9,43879.6,16723.3,446784.7,127774.1,103551.5,165022.7,18152.3,11921.9,23714.0
2020/05/03,,,,,,,,,18868.4,12452.2,24687.4
2020/05/04,,,,,,,,,19597.2,13004.8,25681.1
2020/05/05,,,,,,,,,20327.4,13578.0,26678.1
2020/05/06,,,,,,,,,21056.3,14162.7,27645.6
2020/05/07,,,,,,,,,21782.2,14747.1,28594.6
