date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1910285.6,53757.0,41333.6,26846.7,395764.5,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2130305.4,28652.2,29047.9,30067.7,369868.4,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2176548.6,34395.3,30932.9,28787.0,388568.8,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2190530.4,34867.8,28138.9,27695.2,384269.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2175513.3,30304.5,28183.1,27339.9,381278.4,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2314350.2,29895.4,33552.8,29619.6,456198.3,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1837800.5,23801.3,43879.6,27190.6,446784.7,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1609959.7,31604.8,41333.6,26846.7,395764.5,72052.1,109065.0,146997.1,315.1,119.5,578.4
2020/03/16,1741965.2,19228.4,29047.9,30067.7,369868.4,79560.6,98243.7,188780.9,364.0,139.7,663.8
2020/03/17,1470098.7,16503.9,30932.9,28787.0,388568.8,51186.6,91926.1,196948.5,416.7,162.5,756.6
2020/03/18,1413796.4,15142.4,28138.9,27695.2,384269.2,49502.1,88843.4,191689.7,474.3,188.0,855.5
2020/03/19,1405342.8,16883.5,28183.1,27339.9,381278.4,48294.2,87397.3,184930.5,538.0,218.8,962.1
2020/03/20,1399120.0,15886.5,33552.8,29619.6,456198.3,39305.4,97300.7,184850.9,609.9,255.7,1084.4
2020/03/21,1238492.8,14134.8,43879.6,27190.6,446784.7,27258.8,103551.5,165022.7,692.5,304.2,1221.6
2020/03/22,1287206.8,15017.0,41333.6,26846.7,395764.5,42301.5,109065.0,146997.1,787.4,363.8,1372.0
2020/03/23,1385169.1,15515.0,29047.9,30067.7,369868.4,46339.1,98243.7,188780.9,892.7,433.9,1538.2
2020/03/24,1378396.1,14633.7,30932.9,28787.0,388568.8,45811.9,91926.1,196948.5,1008.9,515.5,1716.8
2020/03/25,1490410.2,18905.2,28138.9,27695.2,384269.2,55766.6,88843.4,191689.7,1140.1,611.5,1912.5
2020/03/26,1364968.0,15549.9,28183.1,27339.9,381278.4,49589.0,87397.3,184930.5,1280.8,726.1,2126.9
2020/03/27,1423775.6,14790.8,33552.8,29619.6,456198.3,50804.6,97300.7,184850.9,1431.1,839.3,2347.5
2020/03/28,1318238.0,12983.0,43879.6,27190.6,446784.7,46289.3,103551.5,165022.7,1594.7,961.2,2577.9
2020/03/29,1214660.0,15361.1,41333.6,26846.7,395764.5,40271.0,109065.0,146997.1,1778.5,1111.5,2844.6
2020/03/30,1376176.8,15263.9,29047.9,30067.7,369868.4,47503.9,98243.7,188780.9,1973.5,1245.8,3116.9
2020/03/31,1398463.7,15528.0,30932.9,28787.0,388568.8,50112.1,91926.1,196948.5,2184.0,1386.9,3406.6
2020/04/01,1381846.2,16125.1,28138.9,27695.2,384269.2,49678.4,88843.4,191689.7,2414.9,1493.1,3712.0
2020/04/02,1329300.0,14852.1,28183.1,27339.9,381278.4,49609.2,87397.3,184930.5,2664.7,1615.9,4035.9
2020/04/03,1425531.0,14186.5,33552.8,29619.6,456198.3,55294.5,97300.7,184850.9,2932.7,1746.9,4378.8
2020/04/04,1285193.1,11709.3,43879.6,27190.6,446784.7,45840.3,103551.5,165022.7,3220.2,1891.4,4745.5
2020/04/05,1139138.1,11921.7,41333.6,26846.7,395764.5,34682.5,109065.0,146997.1,3528.5,2047.2,5132.6
2020/04/06,1226975.6,10430.2,29047.9,30067.7,369868.4,40267.3,98243.7,188780.9,3848.4,2254.5,5521.4
2020/04/07,1318493.1,13049.2,30932.9,28787.0,388568.8,45581.5,91926.1,196948.5,4185.5,2428.3,5915.5
2020/04/08,1280089.1,13329.9,28138.9,27695.2,384269.2,45426.1,88843.4,191689.7,4550.2,2709.2,6336.2
2020/04/09,1264701.1,12576.0,28183.1,27339.9,381278.4,45167.7,87397.3,184930.5,4933.0,2971.9,6766.6
2020/04/10,1387126.8,12544.2,33552.8,29619.6,456198.3,53806.1,97300.7,184850.9,5333.0,3211.1,7213.9
2020/04/11,1320629.0,12625.9,43879.6,27190.6,446784.7,49167.4,103551.5,165022.7,5748.2,3464.9,7668.5
2020/04/12,1106199.6,11695.3,41333.6,26846.7,395764.5,29764.3,109065.0,146997.1,6181.2,3732.3,8128.1
2020/04/13,1255555.3,11519.1,29047.9,30067.7,369868.4,42516.9,98243.7,188780.9,6619.5,4005.9,8610.8
2020/04/14,1305995.7,13530.9,30932.9,28787.0,388568.8,45522.8,91926.1,196948.5,7068.3,4295.0,9085.7
2020/04/15,1317334.6,13653.1,28138.9,27695.2,384269.2,49690.8,88843.4,191689.7,7532.1,4582.7,9644.1
2020/04/16,1281305.5,13353.6,28183.1,27339.9,381278.4,47725.0,87397.3,184930.5,8009.6,4892.7,10214.7
2020/04/17,1405523.1,13476.5,33552.8,29619.6,456198.3,53510.5,97300.7,184850.9,8498.1,5207.0,10851.5
2020/04/18,1353552.9,12988.0,43879.6,27190.6,446784.7,54006.8,103551.5,165022.7,8998.7,5525.2,11383.4
2020/04/19,1236281.4,14625.7,41333.6,26846.7,395764.5,45553.9,109065.0,146997.1,9517.9,5850.6,11942.9
2020/04/20,1322291.9,13805.1,29047.9,30067.7,369868.4,45938.4,98243.7,188780.9,10044.6,6180.3,12580.9
2020/04/21,1389013.8,15916.1,30932.9,28787.0,388568.8,51644.2,91926.1,196948.5,10578.2,6514.8,13257.2
2020/04/22,1403012.5,16134.6,28138.9,27695.2,384269.2,55593.8,88843.4,191689.7,11123.6,6861.2,13950.8
2020/04/23,1398362.5,15505.7,28183.1,27339.9,381278.4,56275.2,87397.3,184930.5,11681.3,7222.8,14675.3
2020/04/24,1522011.0,16071.0,33552.8,29619.6,456198.3,64373.7,97300.7,184850.9,12246.0,7596.0,15423.1
2020/04/25,1462692.4,15369.4,43879.6,27190.6,446784.7,62232.2,103551.5,165022.7,12821.2,7975.5,16162.5
2020/04/26,1276874.8,14538.7,41333.6,26846.7,395764.5,49856.1,109065.0,146997.1,13414.6,8372.9,16954.1
2020/04/27,1394957.2,13533.2,29047.9,30067.7,369868.4,51484.3,98243.7,188780.9,14010.0,8786.6,17755.1
2020/04/28,1438216.9,14565.1,30932.9,28787.0,388568.8,55027.8,91926.1,196948.5,14610.6,9208.7,18561.5
2020/04/29,1399133.8,14758.4,28138.9,27695.2,384269.2,53085.4,88843.4,191689.7,15221.2,9644.4,19380.7
2020/04/30,1375691.8,13562.7,28183.1,27339.9,381278.4,56617.9,87397.3,184930.5,15839.9,10089.5,20205.9
2020/05/01,1547860.7,15411.6,33552.8,29619.6,456198.3,64034.6,97300.7,184850.9,16470.3,10552.5,21051.8
2020/05/02,1431725.8,13191.7,43879.6,27190.6,446784.7,63013.7,103551.5,165022.7,17115.4,11029.0,21906.9
2020/05/03,,,,,,,,,17774.1,11519.6,22787.1
2020/05/04,,,,,,,,,18440.8,12027.2,23668.6
2020/05/05,,,,,,,,,19104.6,12542.2,24537.3
2020/05/06,,,,,,,,,19767.0,13072.7,25402.6
2020/05/07,,,,,,,,,20429.1,13608.9,26262.3
