date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1920368.0,63839.4,41333.6,26846.7,395764.5,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2135876.7,34223.4,29047.9,30067.7,369868.4,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2182644.0,40490.8,30932.9,28787.0,388568.8,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2192716.8,37054.3,28138.9,27695.2,384269.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2177493.9,32285.2,28183.1,27339.9,381278.4,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2318492.5,34037.7,33552.8,29619.6,456198.3,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1846099.1,32099.9,43879.6,27190.6,446784.7,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1642194.3,63839.4,41333.6,26846.7,395764.5,72052.1,109065.0,146997.1,315.1,119.5,578.4
2020/03/16,1756960.2,34223.4,29047.9,30067.7,369868.4,79560.6,98243.7,188780.9,364.1,139.2,665.0
2020/03/17,1494085.5,40490.8,30932.9,28787.0,388568.8,51186.6,91926.1,196948.5,416.6,161.1,756.4
2020/03/18,1435708.2,37054.3,28138.9,27695.2,384269.2,49502.1,88843.4,191689.7,474.3,186.9,853.7
2020/03/19,1420744.6,32285.2,28183.1,27339.9,381278.4,48294.2,87397.3,184930.5,537.9,218.3,958.1
2020/03/20,1417271.2,34037.7,33552.8,29619.6,456198.3,39305.4,97300.7,184850.9,609.8,257.1,1081.0
2020/03/21,1256457.9,32099.9,43879.6,27190.6,446784.7,27258.8,103551.5,165022.7,692.1,306.2,1211.4
2020/03/22,1336029.2,63839.4,41333.6,26846.7,395764.5,42301.5,109065.0,146997.1,786.9,365.1,1360.4
2020/03/23,1403877.5,34223.4,29047.9,30067.7,369868.4,46339.1,98243.7,188780.9,892.6,437.1,1523.9
2020/03/24,1404253.2,40490.8,30932.9,28787.0,388568.8,45811.9,91926.1,196948.5,1009.7,519.7,1708.4
2020/03/25,1508559.3,37054.3,28138.9,27695.2,384269.2,55766.6,88843.4,191689.7,1141.4,613.1,1906.3
2020/03/26,1381703.3,32285.2,28183.1,27339.9,381278.4,49589.0,87397.3,184930.5,1283.2,723.3,2116.9
2020/03/27,1443022.6,34037.7,33552.8,29619.6,456198.3,50804.6,97300.7,184850.9,1434.5,844.4,2340.1
2020/03/28,1337354.8,32099.9,43879.6,27190.6,446784.7,46289.3,103551.5,165022.7,1598.9,972.3,2581.5
2020/03/29,1263138.3,63839.4,41333.6,26846.7,395764.5,40271.0,109065.0,146997.1,1783.2,1118.5,2838.2
2020/03/30,1395136.3,34223.4,29047.9,30067.7,369868.4,47503.9,98243.7,188780.9,1980.8,1249.8,3115.2
2020/03/31,1423426.5,40490.8,30932.9,28787.0,388568.8,50112.1,91926.1,196948.5,2194.1,1379.5,3404.8
2020/04/01,1402775.4,37054.3,28138.9,27695.2,384269.2,49678.4,88843.4,191689.7,2427.0,1484.4,3719.2
2020/04/02,1346733.0,32285.2,28183.1,27339.9,381278.4,49609.2,87397.3,184930.5,2680.4,1618.3,4054.4
2020/04/03,1445382.3,34037.7,33552.8,29619.6,456198.3,55294.5,97300.7,184850.9,2952.0,1784.7,4410.1
2020/04/04,1305583.6,32099.9,43879.6,27190.6,446784.7,45840.3,103551.5,165022.7,3242.3,1956.8,4780.5
2020/04/05,1191055.8,63839.4,41333.6,26846.7,395764.5,34682.5,109065.0,146997.1,3555.0,2153.0,5164.8
2020/04/06,1250768.8,34223.4,29047.9,30067.7,369868.4,40267.3,98243.7,188780.9,3880.3,2360.0,5553.0
2020/04/07,1345934.7,40490.8,30932.9,28787.0,388568.8,45581.5,91926.1,196948.5,4225.8,2552.0,5951.4
2020/04/08,1303813.4,37054.3,28138.9,27695.2,384269.2,45426.1,88843.4,191689.7,4598.2,2755.9,6369.9
2020/04/09,1284410.3,32285.2,28183.1,27339.9,381278.4,45167.7,87397.3,184930.5,4989.6,2988.9,6794.6
2020/04/10,1408620.4,34037.7,33552.8,29619.6,456198.3,53806.1,97300.7,184850.9,5399.3,3230.3,7258.2
2020/04/11,1340103.0,32099.9,43879.6,27190.6,446784.7,49167.4,103551.5,165022.7,5824.3,3478.9,7766.8
2020/04/12,1158343.7,63839.4,41333.6,26846.7,395764.5,29764.3,109065.0,146997.1,6267.2,3748.7,8268.0
2020/04/13,1278259.6,34223.4,29047.9,30067.7,369868.4,42516.9,98243.7,188780.9,6718.5,4028.4,8762.0
2020/04/14,1332955.6,40490.8,30932.9,28787.0,388568.8,45522.8,91926.1,196948.5,7184.3,4322.9,9300.0
2020/04/15,1340735.8,37054.3,28138.9,27695.2,384269.2,49690.8,88843.4,191689.7,7665.0,4628.2,9947.9
2020/04/16,1300237.1,32285.2,28183.1,27339.9,381278.4,47725.0,87397.3,184930.5,8158.4,4945.4,10610.5
2020/04/17,1426084.3,34037.7,33552.8,29619.6,456198.3,53510.5,97300.7,184850.9,8663.3,5259.4,11281.3
2020/04/18,1372664.8,32099.9,43879.6,27190.6,446784.7,54006.8,103551.5,165022.7,9182.8,5576.1,11888.8
2020/04/19,1285495.1,63839.4,41333.6,26846.7,395764.5,45553.9,109065.0,146997.1,9723.0,5931.7,12515.7
2020/04/20,1342710.2,34223.4,29047.9,30067.7,369868.4,45938.4,98243.7,188780.9,10272.9,6287.2,13258.3
2020/04/21,1413588.4,40490.8,30932.9,28787.0,388568.8,51644.2,91926.1,196948.5,10831.6,6658.1,14018.5
2020/04/22,1423932.2,37054.3,28138.9,27695.2,384269.2,55593.8,88843.4,191689.7,11404.3,7031.4,14795.1
2020/04/23,1415142.0,32285.2,28183.1,27339.9,381278.4,56275.2,87397.3,184930.5,11988.2,7429.6,15591.2
2020/04/24,1539977.7,34037.7,33552.8,29619.6,456198.3,64373.7,97300.7,184850.9,12580.3,7838.7,16397.6
2020/04/25,1479422.9,32099.9,43879.6,27190.6,446784.7,62232.2,103551.5,165022.7,13183.6,8257.5,17207.3
2020/04/26,1326175.5,63839.4,41333.6,26846.7,395764.5,49856.1,109065.0,146997.1,13804.1,8673.4,18049.3
2020/04/27,1415647.4,34223.4,29047.9,30067.7,369868.4,51484.3,98243.7,188780.9,14431.3,9098.1,18887.7
2020/04/28,1464142.5,40490.8,30932.9,28787.0,388568.8,55027.8,91926.1,196948.5,15067.9,9524.3,19758.3
2020/04/29,1421429.7,37054.3,28138.9,27695.2,384269.2,53085.4,88843.4,191689.7,15712.5,9969.4,20618.8
2020/04/30,1394414.3,32285.2,28183.1,27339.9,381278.4,56617.9,87397.3,184930.5,16367.0,10428.5,21544.5
2020/05/01,1566486.8,34037.7,33552.8,29619.6,456198.3,64034.6,97300.7,184850.9,17030.5,10911.0,22478.5
2020/05/02,1450634.0,32099.9,43879.6,27190.6,446784.7,63013.7,103551.5,165022.7,17708.5,11415.5,23451.2
2020/05/03,,,,,,,,,18402.3,11920.7,24433.6
2020/05/04,,,,,,,,,19107.7,12448.7,25431.1
2020/05/05,,,,,,,,,19814.6,12996.3,26429.8
2020/05/06,,,,,,,,,20519.3,13534.5,27412.5
2020/05/07,,,,,,,,,21221.8,14090.5,28374.4
