date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1909661.2,53757.0,41333.6,24327.6,395764.5,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2129070.2,28652.2,29047.9,26485.2,369868.4,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2184063.7,34395.3,30932.9,28030.0,388568.8,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2209404.2,34867.8,28138.9,29515.9,384269.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2208953.4,30304.5,28183.1,32793.8,381278.4,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2381641.3,29895.4,33552.8,40001.6,456198.3,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1903644.7,23801.3,43879.6,31343.7,446784.7,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1659030.5,31604.8,41333.6,27508.1,395764.5,112568.1,116958.3,146997.1,315.1,119.6,578.0
2020/03/16,1825612.0,19228.4,29047.9,37563.2,369868.4,106611.3,147344.3,188780.9,364.1,139.4,663.8
2020/03/17,1515293.8,16503.9,30932.9,22319.0,388568.8,111913.5,82862.2,196948.5,416.2,160.8,751.1
2020/03/18,1458852.7,15142.4,28138.9,21197.9,384269.2,113175.3,76723.9,191689.7,473.4,186.5,852.4
2020/03/19,1451080.0,16883.5,28183.1,21781.8,381278.4,110326.9,76659.9,184930.5,537.4,219.1,954.9
2020/03/20,1437845.5,15886.5,33552.8,14850.9,456198.3,128562.6,61537.8,184850.9,609.3,258.1,1075.2
2020/03/21,1261993.3,14134.8,43879.6,9180.9,446784.7,127774.1,44546.5,165022.7,692.0,304.3,1210.6
2020/03/22,1310915.6,15017.0,41333.6,17402.2,395764.5,112568.1,71951.6,146997.1,787.4,361.3,1368.8
2020/03/23,1407352.9,15515.0,29047.9,18770.1,369868.4,106611.3,71453.0,188780.9,892.7,433.3,1536.3
2020/03/24,1412514.3,14633.7,30932.9,18536.4,388568.8,111913.5,70193.3,196948.5,1009.6,513.0,1720.7
2020/03/25,1530348.5,18905.2,28138.9,20644.5,384269.2,113175.3,78423.8,191689.7,1141.4,602.9,1924.3
2020/03/26,1394574.7,15549.9,28183.1,16782.0,381278.4,110326.9,66823.9,184930.5,1283.2,709.4,2136.9
2020/03/27,1464397.0,14790.8,33552.8,18127.2,456198.3,128562.6,71656.6,184850.9,1434.7,819.2,2366.7
2020/03/28,1358337.3,12983.0,43879.6,17136.3,446784.7,127774.1,72220.4,165022.7,1600.4,950.2,2594.3
2020/03/29,1232077.8,15361.1,41333.6,15045.3,395764.5,112568.1,65987.1,146997.1,1785.5,1095.0,2852.4
2020/03/30,1392164.5,15263.9,29047.9,17536.0,369868.4,106611.3,67655.7,188780.9,1982.7,1248.8,3123.6
2020/03/31,1426418.7,15528.0,30932.9,17836.4,388568.8,111913.5,69030.1,196948.5,2194.6,1399.4,3415.7
2020/04/01,1414378.9,16125.1,28138.9,17928.9,384269.2,113175.3,67645.6,191689.7,2427.1,1520.2,3729.4
2020/04/02,1359920.8,14852.1,28183.1,16779.9,381278.4,110326.9,67860.4,184930.5,2679.2,1647.4,4068.5
2020/04/03,1466323.6,14186.5,33552.8,19467.0,456198.3,128562.6,74978.0,184850.9,2949.5,1788.8,4414.1
2020/04/04,1327183.1,11709.3,43879.6,16383.9,446784.7,127774.1,74414.5,165022.7,3238.6,1933.4,4770.3
2020/04/05,1158385.0,11921.7,41333.6,15011.7,395764.5,112568.1,62261.4,146997.1,3549.9,2102.1,5147.6
2020/04/06,1243590.0,10430.2,29047.9,16027.1,369868.4,106611.3,62554.7,188780.9,3871.1,2279.4,5541.5
2020/04/07,1346254.4,13049.2,30932.9,17390.3,388568.8,111913.5,64752.0,196948.5,4210.4,2460.9,5944.6
2020/04/08,1312599.0,13329.9,28138.9,16748.1,384269.2,113175.3,64551.4,191689.7,4578.0,2669.8,6364.9
2020/04/09,1295560.6,12576.0,28183.1,17432.2,381278.4,110326.9,63005.3,184930.5,4964.6,2897.4,6811.2
2020/04/10,1425070.7,12544.2,33552.8,18806.4,456198.3,128562.6,71301.3,184850.9,5368.9,3131.8,7285.0
2020/04/11,1364876.9,12625.9,43879.6,19592.8,446784.7,127774.1,76790.5,165022.7,5786.1,3384.8,7749.8
2020/04/12,1118335.0,11695.3,41333.6,12788.6,395764.5,112568.1,52454.6,146997.1,6222.4,3667.5,8236.1
2020/04/13,1264183.8,11519.1,29047.9,14596.2,369868.4,106611.3,58249.3,188780.9,6663.7,3952.8,8712.2
2020/04/14,1329307.2,13530.9,30932.9,16054.3,388568.8,111913.5,61579.5,196948.5,7114.9,4252.0,9198.4
2020/04/15,1341101.4,13653.1,28138.9,16170.2,384269.2,113175.3,60650.7,191689.7,7580.8,4560.8,9747.6
2020/04/16,1303972.9,13353.6,28183.1,14861.9,381278.4,110326.9,59940.7,184930.5,8059.9,4876.2,10251.2
2020/04/17,1436646.7,13476.5,33552.8,17984.2,456198.3,128562.6,65007.7,184850.9,8549.8,5199.0,10826.3
2020/04/18,1382546.2,12988.0,43879.6,16727.0,446784.7,127774.1,69241.2,165022.7,9053.2,5536.7,11475.5
2020/04/19,1243932.6,14625.7,41333.6,14680.0,395764.5,112568.1,61868.6,146997.1,9574.7,5857.8,12131.0
2020/04/20,1331738.6,13805.1,29047.9,15553.3,369868.4,106611.3,61532.0,188780.9,10105.3,6179.0,12751.5
2020/04/21,1413049.1,15916.1,30932.9,17682.4,388568.8,111913.5,66796.6,196948.5,10640.3,6507.6,13425.1
2020/04/22,1428758.2,16134.6,28138.9,17134.6,384269.2,113175.3,67568.2,191689.7,11189.3,6866.5,14201.0
2020/04/23,1420318.0,15505.7,28183.1,16750.3,381278.4,110326.9,65890.7,184930.5,11748.7,7241.0,14994.6
2020/04/24,1549491.6,16071.0,33552.8,17536.7,456198.3,128562.6,72675.4,184850.9,12315.5,7644.7,15775.7
2020/04/25,1487177.8,15369.4,43879.6,16632.6,446784.7,127774.1,73053.0,165022.7,12893.5,8067.0,16586.2
2020/04/26,1282358.1,14538.7,41333.6,14596.6,395764.5,112568.1,64086.4,146997.1,13489.1,8515.4,17410.6
2020/04/27,1402636.1,13533.2,29047.9,17078.9,369868.4,106611.3,63784.4,188780.9,14088.0,8975.5,18230.0
2020/04/28,1457104.8,14565.1,30932.9,18235.0,388568.8,111913.5,64480.3,196948.5,14692.4,9435.4,19060.0
2020/04/29,1423829.7,14758.4,28138.9,16918.6,384269.2,113175.3,64226.1,191689.7,15305.8,9892.5,19892.5
2020/04/30,1393465.9,13562.7,28183.1,16632.4,381278.4,110326.9,62169.9,184930.5,15927.5,10358.7,20715.6
2020/05/01,1574868.7,15411.6,33552.8,17787.9,456198.3,128562.6,71612.4,184850.9,16559.7,10845.1,21552.2
2020/05/02,1453228.3,13191.7,43879.6,16723.3,446784.7,127774.1,70761.0,165022.7,17206.2,11346.6,22435.7
2020/05/03,,,,,,,,,17867.1,11876.8,23344.1
2020/05/04,,,,,,,,,18535.6,12398.9,24248.1
2020/05/05,,,,,,,,,19203.1,12939.1,25144.6
2020/05/06,,,,,,,,,19869.2,13492.9,26021.6
2020/05/07,,,,,,,,,20534.8,14051.9,26889.7
