date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1912180.3,53757.0,41333.6,26846.7,395764.5,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2132652.7,28652.2,29047.9,30067.7,369868.4,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2184820.7,34395.3,30932.9,28787.0,388568.8,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2207583.6,34867.8,28138.9,27695.2,384269.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2203499.5,30304.5,28183.1,27339.9,381278.4,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2371259.4,29895.4,33552.8,29619.6,456198.3,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1899491.6,23801.3,43879.6,27190.6,446784.7,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1658369.0,31604.8,41333.6,26846.7,395764.5,112568.1,116958.3,146997.1,315.1,119.5,578.1
2020/03/16,1818116.5,19228.4,29047.9,30067.7,369868.4,106611.3,147344.3,188780.9,364.2,138.9,665.2
2020/03/17,1521761.7,16503.9,30932.9,28787.0,388568.8,111913.5,82862.2,196948.5,416.2,162.0,754.7
2020/03/18,1465350.0,15142.4,28138.9,27695.2,384269.2,113175.3,76723.9,191689.7,473.5,188.0,857.1
2020/03/19,1456638.1,16883.5,28183.1,27339.9,381278.4,110326.9,76659.9,184930.5,537.5,218.7,962.4
2020/03/20,1452614.3,15886.5,33552.8,29619.6,456198.3,128562.6,61537.8,184850.9,609.0,255.2,1082.9
2020/03/21,1280003.1,14134.8,43879.6,27190.6,446784.7,127774.1,44546.5,165022.7,691.5,301.9,1217.7
2020/03/22,1320360.1,15017.0,41333.6,26846.7,395764.5,112568.1,71951.6,146997.1,787.3,356.4,1370.2
2020/03/23,1418650.5,15515.0,29047.9,30067.7,369868.4,106611.3,71453.0,188780.9,893.1,418.9,1535.7
2020/03/24,1422764.9,14633.7,30932.9,28787.0,388568.8,111913.5,70193.3,196948.5,1010.2,490.8,1717.4
2020/03/25,1537399.3,18905.2,28138.9,27695.2,384269.2,113175.3,78423.8,191689.7,1141.8,577.2,1914.5
2020/03/26,1405132.5,15549.9,28183.1,27339.9,381278.4,110326.9,66823.9,184930.5,1283.4,674.6,2124.0
2020/03/27,1475889.4,14790.8,33552.8,29619.6,456198.3,128562.6,71656.6,184850.9,1434.9,778.1,2353.5
2020/03/28,1368391.7,12983.0,43879.6,27190.6,446784.7,127774.1,72220.4,165022.7,1599.2,903.5,2589.5
2020/03/29,1243879.2,15361.1,41333.6,26846.7,395764.5,112568.1,65987.1,146997.1,1784.1,1029.5,2846.8
2020/03/30,1404696.2,15263.9,29047.9,30067.7,369868.4,106611.3,67655.7,188780.9,1980.7,1177.9,3119.0
2020/03/31,1437369.2,15528.0,30932.9,28787.0,388568.8,111913.5,69030.1,196948.5,2193.3,1343.2,3405.0
2020/04/01,1424145.3,16125.1,28138.9,27695.2,384269.2,113175.3,67645.6,191689.7,2425.6,1523.9,3710.5
2020/04/02,1370480.8,14852.1,28183.1,27339.9,381278.4,110326.9,67860.4,184930.5,2677.3,1657.7,4037.1
2020/04/03,1476476.3,14186.5,33552.8,29619.6,456198.3,128562.6,74978.0,184850.9,2947.2,1831.0,4388.3
2020/04/04,1337989.8,11709.3,43879.6,27190.6,446784.7,127774.1,74414.5,165022.7,3236.4,1982.9,4753.6
2020/04/05,1170220.0,11921.7,41333.6,26846.7,395764.5,112568.1,62261.4,146997.1,3547.8,2149.0,5137.4
2020/04/06,1257630.6,10430.2,29047.9,30067.7,369868.4,106611.3,62554.7,188780.9,3870.0,2339.5,5518.7
2020/04/07,1357651.1,13049.2,30932.9,28787.0,388568.8,111913.5,64752.0,196948.5,4210.1,2564.2,5936.7
2020/04/08,1323546.2,13329.9,28138.9,27695.2,384269.2,113175.3,64551.4,191689.7,4577.5,2788.4,6378.6
2020/04/09,1305468.3,12576.0,28183.1,27339.9,381278.4,110326.9,63005.3,184930.5,4963.4,3047.3,6841.7
2020/04/10,1435883.9,12544.2,33552.8,29619.6,456198.3,128562.6,71301.3,184850.9,5367.3,3299.9,7290.9
2020/04/11,1372474.7,12625.9,43879.6,27190.6,446784.7,127774.1,76790.5,165022.7,5785.9,3553.0,7736.8
2020/04/12,1132393.1,11695.3,41333.6,26846.7,395764.5,112568.1,52454.6,146997.1,6220.9,3812.7,8194.5
2020/04/13,1279655.3,11519.1,29047.9,30067.7,369868.4,106611.3,58249.3,188780.9,6660.6,4088.9,8696.0
2020/04/14,1342039.9,13530.9,30932.9,28787.0,388568.8,111913.5,61579.5,196948.5,7111.2,4379.2,9177.3
2020/04/15,1352626.4,13653.1,28138.9,27695.2,384269.2,113175.3,60650.7,191689.7,7576.8,4683.4,9656.3
2020/04/16,1316450.9,13353.6,28183.1,27339.9,381278.4,110326.9,59940.7,184930.5,8054.9,4988.3,10280.9
2020/04/17,1448282.1,13476.5,33552.8,29619.6,456198.3,128562.6,65007.7,184850.9,8545.2,5309.1,10853.3
2020/04/18,1393009.9,12988.0,43879.6,27190.6,446784.7,127774.1,69241.2,165022.7,9047.4,5639.9,11479.3
2020/04/19,1256099.2,14625.7,41333.6,26846.7,395764.5,112568.1,61868.6,146997.1,9568.3,5990.8,12145.5
2020/04/20,1346253.0,13805.1,29047.9,30067.7,369868.4,106611.3,61532.0,188780.9,10097.5,6344.0,12864.1
2020/04/21,1424153.7,15916.1,30932.9,28787.0,388568.8,111913.5,66796.6,196948.5,10632.4,6705.4,13587.9
2020/04/22,1439318.8,16134.6,28138.9,27695.2,384269.2,113175.3,67568.2,191689.7,11181.0,7060.1,14324.1
2020/04/23,1430907.6,15505.7,28183.1,27339.9,381278.4,110326.9,65890.7,184930.5,11739.8,7431.7,15082.1
2020/04/24,1561574.6,16071.0,33552.8,29619.6,456198.3,128562.6,72675.4,184850.9,12305.8,7813.7,15837.3
2020/04/25,1497735.9,15369.4,43879.6,27190.6,446784.7,127774.1,73053.0,165022.7,12883.7,8214.3,16623.3
2020/04/26,1294608.1,14538.7,41333.6,26846.7,395764.5,112568.1,64086.4,146997.1,13478.4,8615.0,17426.5
2020/04/27,1415624.9,13533.2,29047.9,30067.7,369868.4,106611.3,63784.4,188780.9,14077.6,9025.3,18230.7
2020/04/28,1467656.9,14565.1,30932.9,28787.0,388568.8,111913.5,64480.3,196948.5,14682.2,9446.8,19038.9
2020/04/29,1434606.4,14758.4,28138.9,27695.2,384269.2,113175.3,64226.1,191689.7,15297.1,9873.2,19871.2
2020/04/30,1404173.3,13562.7,28183.1,27339.9,381278.4,110326.9,62169.9,184930.5,15921.9,10321.9,20696.3
2020/05/01,1586700.3,15411.6,33552.8,29619.6,456198.3,128562.6,71612.4,184850.9,16555.1,10779.9,21534.0
2020/05/02,1463695.6,13191.7,43879.6,27190.6,446784.7,127774.1,70761.0,165022.7,17203.6,11275.1,22413.9
2020/05/03,,,,,,,,,17867.3,11797.4,23314.8
2020/05/04,,,,,,,,,18539.6,12309.2,24230.7
2020/05/05,,,,,,,,,19210.8,12833.3,25126.3
2020/05/06,,,,,,,,,19880.9,13378.2,26008.4
2020/05/07,,,,,,,,,20550.6,13937.7,26893.9
