date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1900736.4,53757.0,41333.6,26846.7,395764.5,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2125447.9,28652.2,29047.9,30067.7,369868.4,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2176160.0,34395.3,30932.9,28787.0,388568.8,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2199642.9,34867.8,28138.9,27695.2,384269.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2201346.1,30304.5,28183.1,27339.9,381278.4,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2363795.3,29895.4,33552.8,29619.6,456198.3,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1863917.2,23801.3,43879.6,27190.6,446784.7,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1617853.0,31604.8,41333.6,26846.7,395764.5,72052.1,116958.3,146997.1,315.1,119.6,577.8
2020/03/16,1791065.8,19228.4,29047.9,30067.7,369868.4,79560.6,147344.3,188780.9,364.0,138.5,664.3
2020/03/17,1461034.7,16503.9,30932.9,28787.0,388568.8,51186.6,82862.2,196948.5,416.2,162.2,755.1
2020/03/18,1401676.9,15142.4,28138.9,27695.2,384269.2,49502.1,76723.9,191689.7,473.4,189.6,852.5
2020/03/19,1394605.4,16883.5,28183.1,27339.9,381278.4,48294.2,76659.9,184930.5,536.8,221.0,956.7
2020/03/20,1363357.1,15886.5,33552.8,29619.6,456198.3,39305.4,61537.8,184850.9,608.1,261.8,1077.0
2020/03/21,1179487.8,14134.8,43879.6,27190.6,446784.7,27258.8,44546.5,165022.7,690.0,307.6,1211.7
2020/03/22,1250093.4,15017.0,41333.6,26846.7,395764.5,42301.5,71951.6,146997.1,783.9,365.0,1366.3
2020/03/23,1358378.4,15515.0,29047.9,30067.7,369868.4,46339.1,71453.0,188780.9,888.2,426.4,1537.3
2020/03/24,1356663.3,14633.7,30932.9,28787.0,388568.8,45811.9,70193.3,196948.5,1003.4,495.4,1719.8
2020/03/25,1479990.6,18905.2,28138.9,27695.2,384269.2,55766.6,78423.8,191689.7,1133.2,587.8,1908.5
2020/03/26,1344394.6,15549.9,28183.1,27339.9,381278.4,49589.0,66823.9,184930.5,1271.6,691.5,2123.0
2020/03/27,1398131.4,14790.8,33552.8,29619.6,456198.3,50804.6,71656.6,184850.9,1420.3,806.5,2347.9
2020/03/28,1286906.9,12983.0,43879.6,27190.6,446784.7,46289.3,72220.4,165022.7,1581.2,933.7,2581.9
2020/03/29,1171582.1,15361.1,41333.6,26846.7,395764.5,40271.0,65987.1,146997.1,1761.4,1085.9,2844.2
2020/03/30,1345588.8,15263.9,29047.9,30067.7,369868.4,47503.9,67655.7,188780.9,1952.7,1258.7,3107.2
2020/03/31,1375567.8,15528.0,30932.9,28787.0,388568.8,50112.1,69030.1,196948.5,2159.3,1395.6,3400.4
2020/04/01,1360648.4,16125.1,28138.9,27695.2,384269.2,49678.4,67645.6,191689.7,2385.4,1518.0,3704.8
2020/04/02,1309763.1,14852.1,28183.1,27339.9,381278.4,49609.2,67860.4,184930.5,2630.7,1649.1,4025.2
2020/04/03,1403208.3,14186.5,33552.8,29619.6,456198.3,55294.5,74978.0,184850.9,2894.0,1790.2,4364.6
2020/04/04,1256056.1,11709.3,43879.6,27190.6,446784.7,45840.3,74414.5,165022.7,3175.0,1946.9,4714.2
2020/04/05,1092334.4,11921.7,41333.6,26846.7,395764.5,34682.5,62261.4,146997.1,3477.5,2114.0,5084.1
2020/04/06,1191286.6,10430.2,29047.9,30067.7,369868.4,40267.3,62554.7,188780.9,3790.4,2297.5,5464.7
2020/04/07,1291319.1,13049.2,30932.9,28787.0,388568.8,45581.5,64752.0,196948.5,4120.4,2496.2,5851.6
2020/04/08,1255797.0,13329.9,28138.9,27695.2,384269.2,45426.1,64551.4,191689.7,4477.4,2716.8,6253.4
2020/04/09,1240309.1,12576.0,28183.1,27339.9,381278.4,45167.7,63005.3,184930.5,4850.9,2937.8,6673.9
2020/04/10,1361127.4,12544.2,33552.8,29619.6,456198.3,53806.1,71301.3,184850.9,5241.9,3180.6,7110.4
2020/04/11,1293868.0,12625.9,43879.6,27190.6,446784.7,49167.4,76790.5,165022.7,5646.9,3412.6,7558.3
2020/04/12,1049589.2,11695.3,41333.6,26846.7,395764.5,29764.3,52454.6,146997.1,6068.9,3662.6,8012.0
2020/04/13,1215560.9,11519.1,29047.9,30067.7,369868.4,42516.9,58249.3,188780.9,6494.8,3926.8,8512.1
2020/04/14,1275649.1,13530.9,30932.9,28787.0,388568.8,45522.8,61579.5,196948.5,6931.2,4184.1,8996.5
2020/04/15,1289141.9,13653.1,28138.9,27695.2,384269.2,49690.8,60650.7,191689.7,7380.9,4451.1,9478.4
2020/04/16,1253848.9,13353.6,28183.1,27339.9,381278.4,47725.0,59940.7,184930.5,7843.7,4737.9,10055.8
2020/04/17,1373230.0,13476.5,33552.8,29619.6,456198.3,53510.5,65007.7,184850.9,8317.4,5030.8,10561.6
2020/04/18,1319242.6,12988.0,43879.6,27190.6,446784.7,54006.8,69241.2,165022.7,8803.3,5339.8,11172.9
2020/04/19,1189085.0,14625.7,41333.6,26846.7,395764.5,45553.9,61868.6,146997.1,9307.3,5677.2,11781.0
2020/04/20,1285580.2,13805.1,29047.9,30067.7,369868.4,45938.4,61532.0,188780.9,9818.6,6021.4,12444.6
2020/04/21,1363884.3,15916.1,30932.9,28787.0,388568.8,51644.2,66796.6,196948.5,10335.4,6375.5,13146.1
2020/04/22,1381737.4,16134.6,28138.9,27695.2,384269.2,55593.8,67568.2,191689.7,10864.3,6740.8,13859.9
2020/04/23,1376855.9,15505.7,28183.1,27339.9,381278.4,56275.2,65890.7,184930.5,11403.4,7096.8,14585.7
2020/04/24,1497385.6,16071.0,33552.8,29619.6,456198.3,64373.7,72675.4,184850.9,11950.6,7460.3,15329.3
2020/04/25,1432194.0,15369.4,43879.6,27190.6,446784.7,62232.2,73053.0,165022.7,12508.6,7850.4,16092.4
2020/04/26,1231896.1,14538.7,41333.6,26846.7,395764.5,49856.1,64086.4,146997.1,13082.7,8244.4,16870.4
2020/04/27,1360497.9,13533.2,29047.9,30067.7,369868.4,51484.3,63784.4,188780.9,13660.2,8669.0,17654.9
2020/04/28,1410771.1,14565.1,30932.9,28787.0,388568.8,55027.8,64480.3,196948.5,14240.9,9089.1,18437.9
2020/04/29,1374516.6,14758.4,28138.9,27695.2,384269.2,53085.4,64226.1,191689.7,14832.7,9512.8,19238.2
2020/04/30,1350464.4,13562.7,28183.1,27339.9,381278.4,56617.9,62169.9,184930.5,15433.4,9956.4,20046.1
2020/05/01,1522172.4,15411.6,33552.8,29619.6,456198.3,64034.6,71612.4,184850.9,16042.9,10413.8,20875.6
2020/05/02,1398935.3,13191.7,43879.6,27190.6,446784.7,63013.7,70761.0,165022.7,16668.1,10891.3,21704.3
2020/05/03,,,,,,,,,17306.4,11385.7,22550.7
2020/05/04,,,,,,,,,17950.3,11892.4,23418.8
2020/05/05,,,,,,,,,18594.8,12408.6,24290.4
2020/05/06,,,,,,,,,19238.0,12920.5,25181.6
2020/05/07,,,,,,,,,19880.3,13436.8,26044.2
