date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1910818.8,63839.4,41333.6,26846.7,395764.5,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2131019.1,34223.4,29047.9,30067.7,369868.4,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2182255.4,40490.8,30932.9,28787.0,388568.8,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2201829.3,37054.3,28138.9,27695.2,384269.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2203326.8,32285.2,28183.1,27339.9,381278.4,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2367937.6,34037.7,33552.8,29619.6,456198.3,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1872215.8,32099.9,43879.6,27190.6,446784.7,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1650087.5,63839.4,41333.6,26846.7,395764.5,72052.1,116958.3,146997.1,315.1,119.6,578.1
2020/03/16,1806060.9,34223.4,29047.9,30067.7,369868.4,79560.6,147344.3,188780.9,364.3,139.3,665.7
2020/03/17,1485021.6,40490.8,30932.9,28787.0,388568.8,51186.6,82862.2,196948.5,416.8,161.4,756.2
2020/03/18,1423588.7,37054.3,28138.9,27695.2,384269.2,49502.1,76723.9,191689.7,474.2,187.2,855.9
2020/03/19,1410007.1,32285.2,28183.1,27339.9,381278.4,48294.2,76659.9,184930.5,538.2,218.8,964.6
2020/03/20,1381508.3,34037.7,33552.8,29619.6,456198.3,39305.4,61537.8,184850.9,609.7,256.9,1084.9
2020/03/21,1197452.9,32099.9,43879.6,27190.6,446784.7,27258.8,44546.5,165022.7,692.2,306.4,1216.6
2020/03/22,1298915.8,63839.4,41333.6,26846.7,395764.5,42301.5,71951.6,146997.1,787.2,360.5,1367.5
2020/03/23,1377086.8,34223.4,29047.9,30067.7,369868.4,46339.1,71453.0,188780.9,892.6,425.6,1539.7
2020/03/24,1382520.4,40490.8,30932.9,28787.0,388568.8,45811.9,70193.3,196948.5,1009.7,507.8,1721.7
2020/03/25,1498139.7,37054.3,28138.9,27695.2,384269.2,55766.6,78423.8,191689.7,1141.4,609.0,1922.3
2020/03/26,1361129.9,32285.2,28183.1,27339.9,381278.4,49589.0,66823.9,184930.5,1282.7,714.1,2137.7
2020/03/27,1417378.4,34037.7,33552.8,29619.6,456198.3,50804.6,71656.6,184850.9,1433.6,827.3,2355.3
2020/03/28,1306023.7,32099.9,43879.6,27190.6,446784.7,46289.3,72220.4,165022.7,1597.4,958.8,2593.3
2020/03/29,1220060.4,63839.4,41333.6,26846.7,395764.5,40271.0,65987.1,146997.1,1780.9,1122.6,2848.1
2020/03/30,1364548.3,34223.4,29047.9,30067.7,369868.4,47503.9,67655.7,188780.9,1976.9,1278.9,3127.2
2020/03/31,1400530.5,40490.8,30932.9,28787.0,388568.8,50112.1,69030.1,196948.5,2188.3,1383.9,3426.5
2020/04/01,1381577.5,37054.3,28138.9,27695.2,384269.2,49678.4,67645.6,191689.7,2419.3,1499.1,3743.5
2020/04/02,1327196.1,32285.2,28183.1,27339.9,381278.4,49609.2,67860.4,184930.5,2669.7,1621.4,4073.6
2020/04/03,1423059.5,34037.7,33552.8,29619.6,456198.3,55294.5,74978.0,184850.9,2938.5,1748.8,4428.1
2020/04/04,1276446.6,32099.9,43879.6,27190.6,446784.7,45840.3,74414.5,165022.7,3226.7,1890.4,4799.6
2020/04/05,1144252.1,63839.4,41333.6,26846.7,395764.5,34682.5,62261.4,146997.1,3536.1,2086.9,5179.9
2020/04/06,1215079.8,34223.4,29047.9,30067.7,369868.4,40267.3,62554.7,188780.9,3858.1,2273.6,5573.7
2020/04/07,1318760.6,40490.8,30932.9,28787.0,388568.8,45581.5,64752.0,196948.5,4198.3,2475.1,5969.6
2020/04/08,1279521.4,37054.3,28138.9,27695.2,384269.2,45426.1,64551.4,191689.7,4565.3,2681.6,6398.7
2020/04/09,1260018.3,32285.2,28183.1,27339.9,381278.4,45167.7,63005.3,184930.5,4951.6,2898.5,6849.6
2020/04/10,1382621.0,34037.7,33552.8,29619.6,456198.3,53806.1,71301.3,184850.9,5355.7,3128.4,7291.2
2020/04/11,1313342.0,32099.9,43879.6,27190.6,446784.7,49167.4,76790.5,165022.7,5772.6,3377.2,7747.8
2020/04/12,1101733.3,63839.4,41333.6,26846.7,395764.5,29764.3,52454.6,146997.1,6208.5,3635.8,8224.0
2020/04/13,1238265.3,34223.4,29047.9,30067.7,369868.4,42516.9,58249.3,188780.9,6651.6,3902.8,8716.5
2020/04/14,1302609.0,40490.8,30932.9,28787.0,388568.8,45522.8,61579.5,196948.5,7107.4,4183.5,9207.2
2020/04/15,1312543.1,37054.3,28138.9,27695.2,384269.2,49690.8,60650.7,191689.7,7576.9,4478.2,9703.6
2020/04/16,1272780.5,32285.2,28183.1,27339.9,381278.4,47725.0,59940.7,184930.5,8061.0,4787.5,10257.7
2020/04/17,1393791.2,34037.7,33552.8,29619.6,456198.3,53510.5,65007.7,184850.9,8555.5,5113.2,10893.6
2020/04/18,1338354.5,32099.9,43879.6,27190.6,446784.7,54006.8,69241.2,165022.7,9063.6,5433.1,11541.7
2020/04/19,1238298.7,63839.4,41333.6,26846.7,395764.5,45553.9,61868.6,146997.1,9589.5,5769.7,12149.4
2020/04/20,1305998.5,34223.4,29047.9,30067.7,369868.4,45938.4,61532.0,188780.9,10126.6,6118.2,12902.1
2020/04/21,1388459.0,40490.8,30932.9,28787.0,388568.8,51644.2,66796.6,196948.5,10672.8,6493.9,13662.0
2020/04/22,1402657.0,37054.3,28138.9,27695.2,384269.2,55593.8,67568.2,191689.7,11231.7,6887.0,14420.7
2020/04/23,1393635.4,32285.2,28183.1,27339.9,381278.4,56275.2,65890.7,184930.5,11800.9,7291.0,15205.9
2020/04/24,1515352.4,34037.7,33552.8,29619.6,456198.3,64373.7,72675.4,184850.9,12378.5,7683.2,15996.3
2020/04/25,1448924.5,32099.9,43879.6,27190.6,446784.7,62232.2,73053.0,165022.7,12965.9,8084.5,16797.1
2020/04/26,1281196.8,63839.4,41333.6,26846.7,395764.5,49856.1,64086.4,146997.1,13571.6,8504.0,17616.8
2020/04/27,1381188.1,34223.4,29047.9,30067.7,369868.4,51484.3,63784.4,188780.9,14183.3,8940.5,18445.8
2020/04/28,1436696.7,40490.8,30932.9,28787.0,388568.8,55027.8,64480.3,196948.5,14802.1,9390.7,19280.2
2020/04/29,1396812.4,37054.3,28138.9,27695.2,384269.2,53085.4,64226.1,191689.7,15430.7,9857.4,20161.7
2020/04/30,1369186.8,32285.2,28183.1,27339.9,381278.4,56617.9,62169.9,184930.5,16067.8,10340.0,21037.5
2020/05/01,1540798.5,34037.7,33552.8,29619.6,456198.3,64034.6,71612.4,184850.9,16714.8,10827.5,21910.6
2020/05/02,1417843.5,32099.9,43879.6,27190.6,446784.7,63013.7,70761.0,165022.7,17373.7,11335.0,22792.1
2020/05/03,,,,,,,,,18048.2,11869.3,23687.9
2020/05/04,,,,,,,,,18733.0,12412.8,24584.9
2020/05/05,,,,,,,,,19416.9,12967.0,25493.2
2020/05/06,,,,,,,,,20100.2,13528.8,26357.1
2020/05/07,,,,,,,,,20782.6,14107.3,27235.5
