date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1908299.7,63839.4,41333.6,24327.6,395764.5,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2127436.6,34223.4,29047.9,26485.2,369868.4,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2181498.4,40490.8,30932.9,28030.0,388568.8,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2203650.0,37054.3,28138.9,29515.9,384269.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2208780.7,32285.2,28183.1,32793.8,381278.4,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2378319.5,34037.7,33552.8,40001.6,456198.3,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1876368.8,32099.9,43879.6,31343.7,446784.7,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1650749.0,63839.4,41333.6,27508.1,395764.5,72052.1,116958.3,146997.1,315.1,119.3,577.7
2020/03/16,1813556.4,34223.4,29047.9,37563.2,369868.4,79560.6,147344.3,188780.9,364.2,139.9,664.4
2020/03/17,1478553.7,40490.8,30932.9,22319.0,388568.8,51186.6,82862.2,196948.5,416.5,162.0,756.9
2020/03/18,1417091.4,37054.3,28138.9,21197.9,384269.2,49502.1,76723.9,191689.7,473.8,187.0,855.9
2020/03/19,1404449.0,32285.2,28183.1,21781.8,381278.4,48294.2,76659.9,184930.5,537.6,218.2,960.9
2020/03/20,1366739.5,34037.7,33552.8,14850.9,456198.3,39305.4,61537.8,184850.9,609.2,255.0,1076.8
2020/03/21,1179443.1,32099.9,43879.6,9180.9,446784.7,27258.8,44546.5,165022.7,692.1,301.2,1214.3
2020/03/22,1289471.3,63839.4,41333.6,17402.2,395764.5,42301.5,71951.6,146997.1,787.5,362.1,1366.7
2020/03/23,1365789.2,34223.4,29047.9,18770.1,369868.4,46339.1,71453.0,188780.9,893.3,423.7,1535.2
2020/03/24,1372269.8,40490.8,30932.9,18536.4,388568.8,45811.9,70193.3,196948.5,1009.9,505.0,1718.9
2020/03/25,1491089.0,37054.3,28138.9,20644.5,384269.2,55766.6,78423.8,191689.7,1142.1,601.5,1916.6
2020/03/26,1350572.1,32285.2,28183.1,16782.0,381278.4,49589.0,66823.9,184930.5,1283.6,705.8,2127.3
2020/03/27,1405886.0,34037.7,33552.8,18127.2,456198.3,50804.6,71656.6,184850.9,1434.4,816.5,2344.1
2020/03/28,1295969.3,32099.9,43879.6,17136.3,446784.7,46289.3,72220.4,165022.7,1597.7,943.5,2584.5
2020/03/29,1208259.0,63839.4,41333.6,15045.3,395764.5,40271.0,65987.1,146997.1,1781.5,1101.1,2838.0
2020/03/30,1352016.5,34223.4,29047.9,17536.0,369868.4,47503.9,67655.7,188780.9,1977.3,1262.7,3100.0
2020/03/31,1389579.9,40490.8,30932.9,17836.4,388568.8,50112.1,69030.1,196948.5,2188.8,1393.4,3388.6
2020/04/01,1371811.2,37054.3,28138.9,17928.9,384269.2,49678.4,67645.6,191689.7,2419.0,1501.9,3692.0
2020/04/02,1316636.1,32285.2,28183.1,16779.9,381278.4,49609.2,67860.4,184930.5,2669.5,1625.2,4022.9
2020/04/03,1412906.8,34037.7,33552.8,19467.0,456198.3,55294.5,74978.0,184850.9,2938.4,1781.0,4365.7
2020/04/04,1265639.9,32099.9,43879.6,16383.9,446784.7,45840.3,74414.5,165022.7,3225.9,1975.7,4721.8
2020/04/05,1132417.1,63839.4,41333.6,15011.7,395764.5,34682.5,62261.4,146997.1,3535.8,2151.1,5102.8
2020/04/06,1201039.2,34223.4,29047.9,16027.1,369868.4,40267.3,62554.7,188780.9,3855.8,2333.1,5487.7
2020/04/07,1307364.0,40490.8,30932.9,17390.3,388568.8,45581.5,64752.0,196948.5,4195.4,2532.3,5888.9
2020/04/08,1268574.2,37054.3,28138.9,16748.1,384269.2,45426.1,64551.4,191689.7,4562.2,2737.3,6320.0
2020/04/09,1250110.6,32285.2,28183.1,17432.2,381278.4,45167.7,63005.3,184930.5,4947.9,2951.4,6770.4
2020/04/10,1371807.7,34037.7,33552.8,18806.4,456198.3,53806.1,71301.3,184850.9,5350.5,3205.0,7231.3
2020/04/11,1305744.2,32099.9,43879.6,19592.8,446784.7,49167.4,76790.5,165022.7,5766.5,3480.4,7687.0
2020/04/12,1087675.2,63839.4,41333.6,12788.6,395764.5,29764.3,52454.6,146997.1,6201.8,3740.1,8165.2
2020/04/13,1222793.8,34223.4,29047.9,14596.2,369868.4,42516.9,58249.3,188780.9,6644.0,4009.9,8644.8
2020/04/14,1289876.3,40490.8,30932.9,16054.3,388568.8,45522.8,61579.5,196948.5,7096.9,4293.4,9182.0
2020/04/15,1301018.0,37054.3,28138.9,16170.2,384269.2,49690.8,60650.7,191689.7,7566.0,4590.5,9754.9
2020/04/16,1260302.6,32285.2,28183.1,14861.9,381278.4,47725.0,59940.7,184930.5,8048.1,4903.4,10331.8
2020/04/17,1382155.8,34037.7,33552.8,17984.2,456198.3,53510.5,65007.7,184850.9,8540.1,5226.6,10891.2
2020/04/18,1327890.9,32099.9,43879.6,16727.0,446784.7,54006.8,69241.2,165022.7,9046.2,5566.7,11528.4
2020/04/19,1226132.1,63839.4,41333.6,14680.0,395764.5,45553.9,61868.6,146997.1,9571.5,5918.4,12141.6
2020/04/20,1291484.1,34223.4,29047.9,15553.3,369868.4,45938.4,61532.0,188780.9,10106.5,6277.7,12725.0
2020/04/21,1377354.4,40490.8,30932.9,17682.4,388568.8,51644.2,66796.6,196948.5,10651.0,6659.7,13321.4
2020/04/22,1392096.4,37054.3,28138.9,17134.6,384269.2,55593.8,67568.2,191689.7,11206.9,7055.9,14086.9
2020/04/23,1383045.9,32285.2,28183.1,16750.3,381278.4,56275.2,65890.7,184930.5,11775.2,7450.6,14876.4
2020/04/24,1503269.4,34037.7,33552.8,17536.7,456198.3,64373.7,72675.4,184850.9,12350.6,7866.2,15673.9
2020/04/25,1438366.4,32099.9,43879.6,16632.6,446784.7,62232.2,73053.0,165022.7,12936.2,8283.0,16483.0
2020/04/26,1268946.8,63839.4,41333.6,14596.6,395764.5,49856.1,64086.4,146997.1,13540.2,8713.5,17317.7
2020/04/27,1368199.3,34223.4,29047.9,17078.9,369868.4,51484.3,63784.4,188780.9,14150.4,9152.2,18163.0
2020/04/28,1426144.7,40490.8,30932.9,18235.0,388568.8,55027.8,64480.3,196948.5,14768.1,9602.6,19017.4
2020/04/29,1386035.8,37054.3,28138.9,16918.6,384269.2,53085.4,64226.1,191689.7,15394.4,10048.1,19888.6
2020/04/30,1358479.4,32285.2,28183.1,16632.4,381278.4,56617.9,62169.9,184930.5,16030.9,10523.8,20769.7
2020/05/01,1528966.8,34037.7,33552.8,17787.9,456198.3,64034.6,71612.4,184850.9,16678.1,11013.0,21656.8
2020/05/02,1407376.2,32099.9,43879.6,16723.3,446784.7,63013.7,70761.0,165022.7,17337.1,11522.4,22562.9
2020/05/03,,,,,,,,,18011.9,12030.6,23490.9
2020/05/04,,,,,,,,,18698.4,12561.0,24425.3
2020/05/05,,,,,,,,,19385.9,13081.8,25373.6
2020/05/06,,,,,,,,,20071.9,13613.8,26307.7
2020/05/07,,,,,,,,,20756.3,14166.1,27228.0
