date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1866704.5,53757.0,41333.6,24327.6,354702.4,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2096879.6,28652.2,29047.9,26485.2,340025.1,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2143264.5,34395.3,30932.9,28030.0,356041.7,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2165008.9,34867.8,28138.9,29515.9,356927.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2163432.5,30304.5,28183.1,32793.8,363743.7,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2275237.3,29895.4,33552.8,40001.6,406703.4,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1708381.7,23801.3,43879.6,31343.7,313212.8,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1445538.1,31604.8,41333.6,27508.1,230681.4,72052.1,109065.0,146997.1,315.1,119.7,577.0
2020/03/16,1636470.5,19228.4,29047.9,37563.2,256878.2,79560.6,98243.7,188780.9,364.1,139.1,664.5
2020/03/17,1234183.1,16503.9,30932.9,22319.0,159121.2,51186.6,91926.1,196948.5,415.9,160.9,753.3
2020/03/18,1170947.3,15142.4,28138.9,21197.9,147917.5,49502.1,88843.4,191689.7,472.0,185.5,850.3
2020/03/19,1165390.1,16883.5,28183.1,21781.8,146883.7,48294.2,87397.3,184930.5,533.1,214.7,955.5
2020/03/20,1054058.6,15886.5,33552.8,14850.9,125905.7,39305.4,97300.7,184850.9,601.5,255.9,1067.9
2020/03/21,867848.5,14134.8,43879.6,9180.9,94150.2,27258.8,103551.5,165022.7,680.1,301.0,1196.0
2020/03/22,997591.7,15017.0,41333.6,17402.2,115593.8,42301.5,109065.0,146997.1,764.8,348.7,1327.4
2020/03/23,1144895.0,15515.0,29047.9,18770.1,140892.0,46339.1,98243.7,188780.9,853.8,394.8,1467.5
2020/03/24,1119893.5,14633.7,30932.9,18536.4,140316.8,45811.9,91926.1,196948.5,948.5,448.0,1616.3
2020/03/25,1262486.6,18905.2,28138.9,20644.5,163396.4,55766.6,88843.4,191689.7,1048.0,511.0,1768.4
2020/03/26,1111094.9,15549.9,28183.1,16782.0,137963.0,49589.0,87397.3,184930.5,1148.9,574.3,1921.6
2020/03/27,1092206.7,14790.8,33552.8,18127.2,136121.9,50804.6,97300.7,184850.9,1252.3,643.6,2070.1
2020/03/28,983127.4,12983.0,43879.6,17136.3,121728.5,46289.3,103551.5,165022.7,1357.5,714.6,2220.0
2020/03/29,912882.2,15361.1,41333.6,15045.3,105788.1,40271.0,109065.0,146997.1,1463.3,789.3,2377.9
2020/03/30,1130652.3,15263.9,29047.9,17536.0,136875.7,47503.9,98243.7,188780.9,1570.1,866.5,2530.6
2020/03/31,1133636.2,15528.0,30932.9,17836.4,134691.8,50112.1,91926.1,196948.5,1681.1,951.6,2681.4
2020/04/01,1129667.2,16125.1,28138.9,17928.9,141856.6,49678.4,88843.4,191689.7,1798.0,1043.2,2836.6
2020/04/02,1068079.2,14852.1,28183.1,16779.9,130617.6,49609.2,87397.3,184930.5,1922.9,1129.1,3010.0
2020/04/03,1102225.2,14186.5,33552.8,19467.0,143045.1,55294.5,97300.7,184850.9,2054.5,1219.3,3197.3
2020/04/04,949904.9,11709.3,43879.6,16383.9,122303.2,45840.3,103551.5,165022.7,2191.2,1314.0,3391.5
2020/04/05,827231.8,11921.7,41333.6,15011.7,95693.2,34682.5,109065.0,146997.1,2328.9,1420.4,3576.6
2020/04/06,953733.3,10430.2,29047.9,16027.1,110666.7,40267.3,98243.7,188780.9,2465.5,1532.9,3752.9
2020/04/07,1043933.7,13049.2,30932.9,17390.3,125406.0,45581.5,91926.1,196948.5,2606.2,1655.2,3928.3
2020/04/08,1006254.4,13329.9,28138.9,16748.1,121381.8,45426.1,88843.4,191689.7,2755.3,1784.4,4125.1
2020/04/09,995824.0,12576.0,28183.1,17432.2,122309.0,45167.7,87397.3,184930.5,2909.7,1895.3,4312.7
2020/04/10,1055469.7,12544.2,33552.8,18806.4,135354.4,53806.1,97300.7,184850.9,3071.2,2018.8,4517.5
2020/04/11,989024.3,12625.9,43879.6,19592.8,122777.8,49167.4,103551.5,165022.7,3232.4,2129.4,4714.8
2020/04/12,785039.0,11695.3,41333.6,12788.6,88661.9,29764.3,109065.0,146997.1,3390.7,2225.4,4915.5
2020/04/13,986172.0,11519.1,29047.9,14596.2,115956.6,42516.9,98243.7,188780.9,3544.4,2320.1,5112.5
2020/04/14,1027824.0,13530.9,30932.9,16054.3,123129.7,45522.8,91926.1,196948.5,3696.7,2415.9,5297.8
2020/04/15,1049071.6,13653.1,28138.9,16170.2,127531.3,49690.8,88843.4,191689.7,3848.6,2517.5,5481.6
2020/04/16,1012443.8,13353.6,28183.1,14861.9,124894.6,47725.0,87397.3,184930.5,4002.1,2622.1,5660.4
2020/04/17,1075364.4,13476.5,33552.8,17984.2,137675.0,53510.5,97300.7,184850.9,4158.1,2734.0,5842.7
2020/04/18,1023329.4,12988.0,43879.6,16727.0,127024.8,54006.8,103551.5,165022.7,4311.6,2849.7,6013.0
2020/04/19,936860.0,14625.7,41333.6,14680.0,108509.7,45553.9,109065.0,146997.1,4464.0,2963.7,6181.6
2020/04/20,1068780.5,13805.1,29047.9,15553.3,130871.4,45938.4,98243.7,188780.9,4615.1,3080.6,6350.0
2020/04/21,1128768.6,15916.1,30932.9,17682.4,139428.2,51644.2,91926.1,196948.5,4767.1,3200.0,6517.3
2020/04/22,1149471.3,16134.6,28138.9,17134.6,141288.6,55593.8,88843.4,191689.7,4923.8,3322.4,6679.5
2020/04/23,1150722.0,15505.7,28183.1,16750.3,144227.4,56275.2,87397.3,184930.5,5082.3,3441.3,6840.8
2020/04/24,1210956.6,16071.0,33552.8,17536.7,157226.9,64373.7,97300.7,184850.9,5243.7,3560.5,7009.9
2020/04/25,1153153.6,15369.4,43879.6,16632.6,147803.9,62232.2,103551.5,165022.7,5406.1,3679.4,7182.1
2020/04/26,983836.7,14538.7,41333.6,14596.6,114976.4,49856.1,109065.0,146997.1,5570.7,3802.1,7344.6
2020/04/27,1147150.5,13533.2,29047.9,17078.9,135050.4,51484.3,98243.7,188780.9,5734.4,3929.5,7502.6
2020/04/28,1182744.5,14565.1,30932.9,18235.0,143648.3,55027.8,91926.1,196948.5,5898.4,4052.6,7661.8
2020/04/29,1140385.2,14758.4,28138.9,16918.6,136297.3,53085.4,88843.4,191689.7,6069.0,4182.5,7825.6
2020/04/30,1120089.1,13562.7,28183.1,16632.4,136383.2,56617.9,87397.3,184930.5,6245.3,4323.9,7998.1
2020/05/01,1237561.5,15411.6,33552.8,17787.9,157730.8,64034.6,97300.7,184850.9,6427.6,4474.4,8185.1
2020/05/02,1112739.7,13191.7,43879.6,16723.3,138265.9,63013.7,103551.5,165022.7,6616.5,4633.3,8381.6
2020/05/03,,,,,,,,,6806.6,4799.2,8579.4
2020/05/04,,,,,,,,,6998.1,4983.1,8756.3
2020/05/05,,,,,,,,,7190.5,5172.0,8924.1
2020/05/06,,,,,,,,,7385.0,5346.4,9087.9
2020/05/07,,,,,,,,,7580.9,5532.1,9278.9
