date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1880667.5,53757.0,41333.6,26846.7,354702.4,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2107666.9,28652.2,29047.9,30067.7,340025.1,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2152682.2,34395.3,30932.9,28787.0,356041.7,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2171129.0,34867.8,28138.9,27695.2,356927.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2160132.0,30304.5,28183.1,27339.9,363743.7,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2272319.4,29895.4,33552.8,29619.6,406703.4,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1739803.1,23801.3,43879.6,27190.6,313212.8,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1485392.7,31604.8,41333.6,26846.7,230681.4,112568.1,109065.0,146997.1,315.1,119.7,577.4
2020/03/16,1656025.7,19228.4,29047.9,30067.7,256878.2,106611.3,98243.7,188780.9,363.8,138.9,663.4
2020/03/17,1301378.0,16503.9,30932.9,28787.0,159121.2,111913.5,91926.1,196948.5,415.5,162.2,754.0
2020/03/18,1241117.8,15142.4,28138.9,27695.2,147917.5,113175.3,88843.4,191689.7,471.6,189.1,850.4
2020/03/19,1232980.9,16883.5,28183.1,27339.9,146883.7,110326.9,87397.3,184930.5,532.8,219.6,951.9
2020/03/20,1158084.6,15886.5,33552.8,29619.6,125905.7,128562.6,97300.7,184850.9,601.5,257.4,1065.7
2020/03/21,986373.6,14134.8,43879.6,27190.6,94150.2,127774.1,103551.5,165022.7,680.0,302.1,1193.3
2020/03/22,1077302.8,15017.0,41333.6,26846.7,115593.8,112568.1,109065.0,146997.1,764.8,353.5,1324.2
2020/03/23,1216464.7,15515.0,29047.9,30067.7,140892.0,106611.3,98243.7,188780.9,854.9,409.4,1473.4
2020/03/24,1196245.7,14633.7,30932.9,28787.0,140316.8,111913.5,91926.1,196948.5,949.8,467.6,1626.6
2020/03/25,1326946.0,18905.2,28138.9,27695.2,163396.4,113175.3,88843.4,191689.7,1050.7,531.8,1783.7
2020/03/26,1182390.6,15549.9,28183.1,27339.9,137963.0,110326.9,87397.3,184930.5,1153.8,598.0,1943.9
2020/03/27,1181457.1,14790.8,33552.8,29619.6,136121.9,128562.6,97300.7,184850.9,1259.6,664.3,2103.1
2020/03/28,1074666.6,12983.0,43879.6,27190.6,121728.5,127774.1,103551.5,165022.7,1367.0,735.4,2266.9
2020/03/29,996980.7,15361.1,41333.6,26846.7,105788.1,112568.1,109065.0,146997.1,1475.8,811.1,2423.3
2020/03/30,1202291.5,15263.9,29047.9,30067.7,136875.7,106611.3,98243.7,188780.9,1585.6,884.6,2576.6
2020/03/31,1206388.3,15528.0,30932.9,28787.0,134691.8,111913.5,91926.1,196948.5,1700.5,968.1,2731.1
2020/04/01,1202930.4,16125.1,28138.9,27695.2,141856.6,113175.3,88843.4,191689.7,1822.0,1057.3,2892.6
2020/04/02,1139356.9,14852.1,28183.1,27339.9,130617.6,110326.9,87397.3,184930.5,1951.4,1152.9,3064.4
2020/04/03,1185645.9,14186.5,33552.8,29619.6,143045.1,128562.6,97300.7,184850.9,2088.9,1255.7,3249.2
2020/04/04,1042645.4,11709.3,43879.6,27190.6,122303.2,127774.1,103551.5,165022.7,2231.5,1365.0,3431.8
2020/04/05,916952.4,11921.7,41333.6,26846.7,95693.2,112568.1,109065.0,146997.1,2374.6,1479.6,3615.9
2020/04/06,1034117.9,10430.2,29047.9,30067.7,110666.7,106611.3,98243.7,188780.9,2517.5,1598.1,3796.2
2020/04/07,1121662.4,13049.2,30932.9,28787.0,125406.0,111913.5,91926.1,196948.5,2665.4,1723.7,3978.5
2020/04/08,1084950.7,13329.9,28138.9,27695.2,121381.8,113175.3,88843.4,191689.7,2821.9,1835.0,4176.1
2020/04/09,1070890.9,12576.0,28183.1,27339.9,122309.0,110326.9,87397.3,184930.5,2984.0,1970.6,4373.8
2020/04/10,1141039.4,12544.2,33552.8,29619.6,135354.4,128562.6,97300.7,184850.9,3154.8,2087.6,4576.1
2020/04/11,1075228.8,12625.9,43879.6,27190.6,122777.8,127774.1,103551.5,165022.7,3324.5,2215.2,4776.6
2020/04/12,881900.9,11695.3,41333.6,26846.7,88661.9,112568.1,109065.0,146997.1,3492.6,2349.1,4969.0
2020/04/13,1065737.9,11519.1,29047.9,30067.7,115956.6,106611.3,98243.7,188780.9,3655.9,2467.2,5160.2
2020/04/14,1106947.4,13530.9,30932.9,28787.0,123129.7,111913.5,91926.1,196948.5,3817.9,2593.0,5344.6
2020/04/15,1124081.2,13653.1,28138.9,27695.2,127531.3,113175.3,88843.4,191689.7,3980.0,2717.4,5529.4
2020/04/16,1087523.7,13353.6,28183.1,27339.9,124894.6,110326.9,87397.3,184930.5,4144.2,2829.0,5729.1
2020/04/17,1162051.9,13476.5,33552.8,29619.6,137675.0,128562.6,97300.7,184850.9,4309.9,2944.5,5926.7
2020/04/18,1107560.3,12988.0,43879.6,27190.6,127024.8,127774.1,103551.5,165022.7,4474.1,3055.5,6109.8
2020/04/19,1016040.9,14625.7,41333.6,26846.7,108509.7,112568.1,109065.0,146997.1,4637.0,3164.3,6297.9
2020/04/20,1143967.8,13805.1,29047.9,30067.7,130871.4,106611.3,98243.7,188780.9,4797.8,3278.9,6485.0
2020/04/21,1200142.6,15916.1,30932.9,28787.0,139428.2,111913.5,91926.1,196948.5,4959.8,3385.7,6667.9
2020/04/22,1217613.4,16134.6,28138.9,27695.2,141288.6,113175.3,88843.4,191689.7,5126.2,3499.2,6855.9
2020/04/23,1215363.2,15505.7,28183.1,27339.9,144227.4,110326.9,87397.3,184930.5,5295.4,3611.0,7042.1
2020/04/24,1287228.5,16071.0,33552.8,29619.6,157226.9,128562.6,97300.7,184850.9,5466.7,3730.0,7217.0
2020/04/25,1229253.6,15369.4,43879.6,27190.6,147803.9,127774.1,103551.5,165022.7,5639.0,3847.5,7391.1
2020/04/26,1058798.8,14538.7,41333.6,26846.7,114976.4,112568.1,109065.0,146997.1,5814.4,3968.8,7564.1
2020/04/27,1215266.2,13533.2,29047.9,30067.7,135050.4,106611.3,98243.7,188780.9,5988.5,4092.8,7739.1
2020/04/28,1250182.2,14565.1,30932.9,28787.0,143648.3,111913.5,91926.1,196948.5,6162.7,4222.2,7912.9
2020/04/29,1211251.7,14758.4,28138.9,27695.2,136297.3,113175.3,88843.4,191689.7,6343.6,4360.5,8080.4
2020/04/30,1184505.5,13562.7,28183.1,27339.9,136383.2,110326.9,87397.3,184930.5,6530.9,4501.2,8253.2
2020/05/01,1313921.2,15411.6,33552.8,29619.6,157730.8,128562.6,97300.7,184850.9,6724.5,4654.3,8432.3
2020/05/02,1187967.4,13191.7,43879.6,27190.6,138265.9,127774.1,103551.5,165022.7,6924.9,4815.4,8617.4
2020/05/03,,,,,,,,,7126.4,4980.6,8794.3
2020/05/04,,,,,,,,,7328.7,5144.2,9006.8
2020/05/05,,,,,,,,,7532.7,5314.6,9249.3
2020/05/06,,,,,,,,,7739.1,5486.0,9489.5
2020/05/07,,,,,,,,,7947.7,5663.5,9738.3
