date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1890749.9,63839.4,41333.6,26846.7,354702.4,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2113238.2,34223.4,29047.9,30067.7,340025.1,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2158777.6,40490.8,30932.9,28787.0,356041.7,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2173315.4,37054.3,28138.9,27695.2,356927.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2162112.6,32285.2,28183.1,27339.9,363743.7,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2276461.7,34037.7,33552.8,29619.6,406703.4,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1748101.7,32099.9,43879.6,27190.6,313212.8,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1517627.3,63839.4,41333.6,26846.7,230681.4,112568.1,109065.0,146997.1,315.1,119.7,577.5
2020/03/16,1671020.7,34223.4,29047.9,30067.7,256878.2,106611.3,98243.7,188780.9,364.0,139.4,662.4
2020/03/17,1325364.9,40490.8,30932.9,28787.0,159121.2,111913.5,91926.1,196948.5,415.9,160.7,751.0
2020/03/18,1263029.6,37054.3,28138.9,27695.2,147917.5,113175.3,88843.4,191689.7,472.0,186.8,848.7
2020/03/19,1248382.6,32285.2,28183.1,27339.9,146883.7,110326.9,87397.3,184930.5,533.3,216.2,951.8
2020/03/20,1176235.8,34037.7,33552.8,29619.6,125905.7,128562.6,97300.7,184850.9,601.6,248.4,1059.9
2020/03/21,1004338.7,32099.9,43879.6,27190.6,94150.2,127774.1,103551.5,165022.7,680.0,291.7,1190.0
2020/03/22,1126125.2,63839.4,41333.6,26846.7,115593.8,112568.1,109065.0,146997.1,765.1,341.6,1327.0
2020/03/23,1235173.2,34223.4,29047.9,30067.7,140892.0,106611.3,98243.7,188780.9,855.2,394.2,1465.3
2020/03/24,1222102.7,40490.8,30932.9,28787.0,140316.8,111913.5,91926.1,196948.5,950.9,452.0,1614.2
2020/03/25,1345095.1,37054.3,28138.9,27695.2,163396.4,113175.3,88843.4,191689.7,1051.9,513.5,1771.5
2020/03/26,1199125.9,32285.2,28183.1,27339.9,137963.0,110326.9,87397.3,184930.5,1154.9,583.5,1923.8
2020/03/27,1200704.1,34037.7,33552.8,29619.6,136121.9,128562.6,97300.7,184850.9,1261.3,655.9,2077.0
2020/03/28,1093783.5,32099.9,43879.6,27190.6,121728.5,127774.1,103551.5,165022.7,1369.4,734.6,2237.9
2020/03/29,1045459.0,63839.4,41333.6,26846.7,105788.1,112568.1,109065.0,146997.1,1478.2,815.9,2390.7
2020/03/30,1221251.0,34223.4,29047.9,30067.7,136875.7,106611.3,98243.7,188780.9,1589.5,902.5,2546.8
2020/03/31,1231351.0,40490.8,30932.9,28787.0,134691.8,111913.5,91926.1,196948.5,1706.5,993.8,2717.5
2020/04/01,1223859.6,37054.3,28138.9,27695.2,141856.6,113175.3,88843.4,191689.7,1829.1,1090.4,2888.9
2020/04/02,1156789.9,32285.2,28183.1,27339.9,130617.6,110326.9,87397.3,184930.5,1960.4,1186.3,3071.0
2020/04/03,1205497.1,34037.7,33552.8,29619.6,143045.1,128562.6,97300.7,184850.9,2099.0,1287.4,3255.7
2020/04/04,1063035.9,32099.9,43879.6,27190.6,122303.2,127774.1,103551.5,165022.7,2243.4,1399.6,3451.3
2020/04/05,968870.1,63839.4,41333.6,26846.7,95693.2,112568.1,109065.0,146997.1,2389.7,1515.7,3644.2
2020/04/06,1057911.1,34223.4,29047.9,30067.7,110666.7,106611.3,98243.7,188780.9,2536.7,1632.5,3825.6
2020/04/07,1149104.0,40490.8,30932.9,28787.0,125406.0,111913.5,91926.1,196948.5,2689.0,1763.3,4010.3
2020/04/08,1108675.0,37054.3,28138.9,27695.2,121381.8,113175.3,88843.4,191689.7,2850.5,1901.8,4203.7
2020/04/09,1090600.1,32285.2,28183.1,27339.9,122309.0,110326.9,87397.3,184930.5,3018.3,2017.3,4405.9
2020/04/10,1162533.0,34037.7,33552.8,29619.6,135354.4,128562.6,97300.7,184850.9,3194.7,2156.0,4620.1
2020/04/11,1094702.8,32099.9,43879.6,27190.6,122777.8,127774.1,103551.5,165022.7,3370.8,2267.6,4825.5
2020/04/12,934045.0,63839.4,41333.6,26846.7,88661.9,112568.1,109065.0,146997.1,3546.5,2372.0,5042.1
2020/04/13,1088442.2,34223.4,29047.9,30067.7,115956.6,106611.3,98243.7,188780.9,3718.4,2477.2,5274.2
2020/04/14,1133907.3,40490.8,30932.9,28787.0,123129.7,111913.5,91926.1,196948.5,3889.6,2584.6,5489.8
2020/04/15,1147482.4,37054.3,28138.9,27695.2,127531.3,113175.3,88843.4,191689.7,4061.6,2694.7,5690.6
2020/04/16,1106455.3,32285.2,28183.1,27339.9,124894.6,110326.9,87397.3,184930.5,4237.1,2809.7,5902.7
2020/04/17,1182613.1,34037.7,33552.8,29619.6,137675.0,128562.6,97300.7,184850.9,4414.0,2948.1,6100.4
2020/04/18,1126672.2,32099.9,43879.6,27190.6,127024.8,127774.1,103551.5,165022.7,4590.0,3079.2,6297.5
2020/04/19,1065254.5,63839.4,41333.6,26846.7,108509.7,112568.1,109065.0,146997.1,4765.0,3204.3,6488.3
2020/04/20,1164386.1,34223.4,29047.9,30067.7,130871.4,106611.3,98243.7,188780.9,4939.8,3329.7,6679.8
2020/04/21,1224717.2,40490.8,30932.9,28787.0,139428.2,111913.5,91926.1,196948.5,5117.7,3470.7,6875.3
2020/04/22,1238533.0,37054.3,28138.9,27695.2,141288.6,113175.3,88843.4,191689.7,5300.3,3623.6,7068.9
2020/04/23,1232142.7,32285.2,28183.1,27339.9,144227.4,110326.9,87397.3,184930.5,5485.6,3746.6,7257.3
2020/04/24,1305195.2,34037.7,33552.8,29619.6,157226.9,128562.6,97300.7,184850.9,5673.7,3878.9,7450.9
2020/04/25,1245984.0,32099.9,43879.6,27190.6,147803.9,127774.1,103551.5,165022.7,5863.0,4012.4,7647.4
2020/04/26,1108099.5,63839.4,41333.6,26846.7,114976.4,112568.1,109065.0,146997.1,6056.7,4148.6,7843.2
2020/04/27,1235956.4,34223.4,29047.9,30067.7,135050.4,106611.3,98243.7,188780.9,6250.5,4298.6,8031.2
2020/04/28,1276107.8,40490.8,30932.9,28787.0,143648.3,111913.5,91926.1,196948.5,6445.3,4487.5,8217.5
2020/04/29,1233547.5,37054.3,28138.9,27695.2,136297.3,113175.3,88843.4,191689.7,6648.2,4656.5,8413.8
2020/04/30,1203228.0,32285.2,28183.1,27339.9,136383.2,110326.9,87397.3,184930.5,6857.6,4798.3,8610.4
2020/05/01,1332547.3,34037.7,33552.8,29619.6,157730.8,128562.6,97300.7,184850.9,7073.8,4956.6,8812.8
2020/05/02,1206875.6,32099.9,43879.6,27190.6,138265.9,127774.1,103551.5,165022.7,7295.2,5115.7,9065.2
2020/05/03,,,,,,,,,7519.4,5279.8,9335.1
2020/05/04,,,,,,,,,7748.3,5449.1,9556.1
2020/05/05,,,,,,,,,7978.5,5616.8,9825.3
2020/05/06,,,,,,,,,8211.8,5799.0,10049.5
2020/05/07,,,,,,,,,8447.0,5975.6,10372.9
