date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1888230.8,63839.4,41333.6,24327.6,354702.4,112568.1,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2109655.7,34223.4,29047.9,26485.2,340025.1,106611.3,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2158020.7,40490.8,30932.9,28030.0,356041.7,111913.5,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2175136.1,37054.3,28138.9,29515.9,356927.2,113175.3,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2167566.5,32285.2,28183.1,32793.8,363743.7,110326.9,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2286843.6,34037.7,33552.8,40001.6,406703.4,128562.6,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1752254.8,32099.9,43879.6,31343.7,313212.8,127774.1,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1518288.8,63839.4,41333.6,27508.1,230681.4,112568.1,109065.0,146997.1,315.1,119.6,577.8
2020/03/16,1678516.2,34223.4,29047.9,37563.2,256878.2,106611.3,98243.7,188780.9,364.4,139.9,664.0
2020/03/17,1318897.0,40490.8,30932.9,22319.0,159121.2,111913.5,91926.1,196948.5,416.4,163.5,754.1
2020/03/18,1256532.3,37054.3,28138.9,21197.9,147917.5,113175.3,88843.4,191689.7,472.7,189.4,853.5
2020/03/19,1242824.5,32285.2,28183.1,21781.8,146883.7,110326.9,87397.3,184930.5,534.5,216.5,957.0
2020/03/20,1161467.0,34037.7,33552.8,14850.9,125905.7,128562.6,97300.7,184850.9,603.3,253.2,1070.9
2020/03/21,986328.9,32099.9,43879.6,9180.9,94150.2,127774.1,103551.5,165022.7,682.4,296.9,1197.1
2020/03/22,1116680.7,63839.4,41333.6,17402.2,115593.8,112568.1,109065.0,146997.1,768.1,348.0,1330.6
2020/03/23,1223875.6,34223.4,29047.9,18770.1,140892.0,106611.3,98243.7,188780.9,858.4,403.0,1470.3
2020/03/24,1211852.2,40490.8,30932.9,18536.4,140316.8,111913.5,91926.1,196948.5,954.9,464.9,1619.6
2020/03/25,1338044.3,37054.3,28138.9,20644.5,163396.4,113175.3,88843.4,191689.7,1056.4,535.6,1771.2
2020/03/26,1188568.0,32285.2,28183.1,16782.0,137963.0,110326.9,87397.3,184930.5,1160.8,604.8,1928.2
2020/03/27,1189211.7,34037.7,33552.8,18127.2,136121.9,128562.6,97300.7,184850.9,1268.1,681.4,2085.7
2020/03/28,1083729.1,32099.9,43879.6,17136.3,121728.5,127774.1,103551.5,165022.7,1376.9,761.6,2246.7
2020/03/29,1033657.6,63839.4,41333.6,15045.3,105788.1,112568.1,109065.0,146997.1,1487.6,838.8,2402.4
2020/03/30,1208719.2,34223.4,29047.9,17536.0,136875.7,106611.3,98243.7,188780.9,1599.3,918.0,2561.0
2020/03/31,1220400.4,40490.8,30932.9,17836.4,134691.8,111913.5,91926.1,196948.5,1717.4,1002.2,2728.4
2020/04/01,1214093.3,37054.3,28138.9,17928.9,141856.6,113175.3,88843.4,191689.7,1842.2,1093.1,2895.4
2020/04/02,1146230.0,32285.2,28183.1,16779.9,130617.6,110326.9,87397.3,184930.5,1975.5,1187.4,3075.1
2020/04/03,1195344.5,34037.7,33552.8,19467.0,143045.1,128562.6,97300.7,184850.9,2115.7,1291.6,3261.7
2020/04/04,1052229.2,32099.9,43879.6,16383.9,122303.2,127774.1,103551.5,165022.7,2262.0,1399.3,3445.1
2020/04/05,957035.1,63839.4,41333.6,15011.7,95693.2,112568.1,109065.0,146997.1,2410.6,1514.9,3639.0
2020/04/06,1043870.5,34223.4,29047.9,16027.1,110666.7,106611.3,98243.7,188780.9,2558.7,1628.0,3837.9
2020/04/07,1137707.3,40490.8,30932.9,17390.3,125406.0,111913.5,91926.1,196948.5,2712.5,1748.7,4041.8
2020/04/08,1097727.9,37054.3,28138.9,16748.1,121381.8,113175.3,88843.4,191689.7,2875.1,1887.2,4246.9
2020/04/09,1080692.4,32285.2,28183.1,17432.2,122309.0,110326.9,87397.3,184930.5,3043.9,2019.2,4453.9
2020/04/10,1151719.7,34037.7,33552.8,18806.4,135354.4,128562.6,97300.7,184850.9,3221.8,2160.0,4672.6
2020/04/11,1087105.0,32099.9,43879.6,19592.8,122777.8,127774.1,103551.5,165022.7,3400.0,2264.0,4894.6
2020/04/12,919986.9,63839.4,41333.6,12788.6,88661.9,112568.1,109065.0,146997.1,3576.1,2375.7,5109.9
2020/04/13,1072970.7,34223.4,29047.9,14596.2,115956.6,106611.3,98243.7,188780.9,3748.4,2486.0,5326.7
2020/04/14,1121174.6,40490.8,30932.9,16054.3,123129.7,111913.5,91926.1,196948.5,3920.7,2597.9,5537.4
2020/04/15,1135957.3,37054.3,28138.9,16170.2,127531.3,113175.3,88843.4,191689.7,4094.1,2713.6,5757.4
2020/04/16,1093977.4,32285.2,28183.1,14861.9,124894.6,110326.9,87397.3,184930.5,4270.2,2837.6,5973.2
2020/04/17,1170977.6,34037.7,33552.8,17984.2,137675.0,128562.6,97300.7,184850.9,4448.1,2976.2,6191.9
2020/04/18,1116208.6,32099.9,43879.6,16727.0,127024.8,127774.1,103551.5,165022.7,4624.8,3130.3,6400.8
2020/04/19,1053087.9,63839.4,41333.6,14680.0,108509.7,112568.1,109065.0,146997.1,4801.7,3260.8,6608.8
2020/04/20,1149871.7,34223.4,29047.9,15553.3,130871.4,106611.3,98243.7,188780.9,4977.8,3384.2,6809.1
2020/04/21,1213612.6,40490.8,30932.9,17682.4,139428.2,111913.5,91926.1,196948.5,5156.4,3516.9,7006.0
2020/04/22,1227972.4,37054.3,28138.9,17134.6,141288.6,113175.3,88843.4,191689.7,5339.3,3649.9,7196.2
2020/04/23,1221553.2,32285.2,28183.1,16750.3,144227.4,110326.9,87397.3,184930.5,5525.1,3788.1,7394.3
2020/04/24,1293112.3,34037.7,33552.8,17536.7,157226.9,128562.6,97300.7,184850.9,5714.3,3934.1,7583.9
2020/04/25,1235426.0,32099.9,43879.6,16632.6,147803.9,127774.1,103551.5,165022.7,5904.2,4074.3,7772.1
2020/04/26,1095849.4,63839.4,41333.6,14596.6,114976.4,112568.1,109065.0,146997.1,6098.8,4217.6,7957.1
2020/04/27,1222967.6,34223.4,29047.9,17078.9,135050.4,106611.3,98243.7,188780.9,6292.2,4361.6,8141.3
2020/04/28,1265555.8,40490.8,30932.9,18235.0,143648.3,111913.5,91926.1,196948.5,6487.5,4500.2,8325.1
2020/04/29,1222770.9,37054.3,28138.9,16918.6,136297.3,113175.3,88843.4,191689.7,6690.4,4653.2,8530.2
2020/04/30,1192520.5,32285.2,28183.1,16632.4,136383.2,110326.9,87397.3,184930.5,6899.9,4817.3,8771.2
2020/05/01,1320715.6,34037.7,33552.8,17787.9,157730.8,128562.6,97300.7,184850.9,7116.5,4993.2,8998.4
2020/05/02,1196408.2,32099.9,43879.6,16723.3,138265.9,127774.1,103551.5,165022.7,7339.3,5170.1,9205.4
2020/05/03,,,,,,,,,7564.0,5343.6,9401.2
2020/05/04,,,,,,,,,7793.2,5521.2,9601.5
2020/05/05,,,,,,,,,8024.1,5695.2,9869.9
2020/05/06,,,,,,,,,8257.9,5874.8,10110.6
2020/05/07,,,,,,,,,8493.7,6062.7,10353.1
