date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1869223.6,53757.0,41333.6,26846.7,354702.4,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2100462.1,28652.2,29047.9,30067.7,340025.1,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2144021.5,34395.3,30932.9,28787.0,356041.7,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2163188.3,34867.8,28138.9,27695.2,356927.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2157978.6,30304.5,28183.1,27339.9,363743.7,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2264855.3,29895.4,33552.8,29619.6,406703.4,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1704228.6,23801.3,43879.6,27190.6,313212.8,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1444876.7,31604.8,41333.6,26846.7,230681.4,72052.1,109065.0,146997.1,315.0,119.4,577.0
2020/03/16,1628975.0,19228.4,29047.9,30067.7,256878.2,79560.6,98243.7,188780.9,364.0,139.3,662.5
2020/03/17,1240651.1,16503.9,30932.9,28787.0,159121.2,51186.6,91926.1,196948.5,415.6,162.4,754.7
2020/03/18,1177444.6,15142.4,28138.9,27695.2,147917.5,49502.1,88843.4,191689.7,472.0,187.8,851.0
2020/03/19,1170948.2,16883.5,28183.1,27339.9,146883.7,48294.2,87397.3,184930.5,533.5,217.7,955.2
2020/03/20,1068827.3,15886.5,33552.8,29619.6,125905.7,39305.4,97300.7,184850.9,602.4,252.6,1068.2
2020/03/21,885858.3,14134.8,43879.6,27190.6,94150.2,27258.8,103551.5,165022.7,681.3,297.5,1191.3
2020/03/22,1007036.2,15017.0,41333.6,26846.7,115593.8,42301.5,109065.0,146997.1,766.7,345.6,1327.0
2020/03/23,1156192.6,15515.0,29047.9,30067.7,140892.0,46339.1,98243.7,188780.9,856.6,402.5,1469.4
2020/03/24,1130144.1,14633.7,30932.9,28787.0,140316.8,45811.9,91926.1,196948.5,951.9,463.0,1609.8
2020/03/25,1269537.4,18905.2,28138.9,27695.2,163396.4,55766.6,88843.4,191689.7,1052.4,527.1,1762.7
2020/03/26,1121652.7,15549.9,28183.1,27339.9,137963.0,49589.0,87397.3,184930.5,1154.2,593.7,1915.7
2020/03/27,1103699.2,14790.8,33552.8,29619.6,136121.9,50804.6,97300.7,184850.9,1258.7,671.5,2066.9
2020/03/28,993181.8,12983.0,43879.6,27190.6,121728.5,46289.3,103551.5,165022.7,1364.6,742.4,2214.9
2020/03/29,924683.6,15361.1,41333.6,26846.7,105788.1,40271.0,109065.0,146997.1,1471.1,815.0,2364.6
2020/03/30,1143184.1,15263.9,29047.9,30067.7,136875.7,47503.9,98243.7,188780.9,1578.8,887.5,2518.3
2020/03/31,1144586.8,15528.0,30932.9,28787.0,134691.8,50112.1,91926.1,196948.5,1691.1,965.7,2673.3
2020/04/01,1139433.6,16125.1,28138.9,27695.2,141856.6,49678.4,88843.4,191689.7,1809.5,1052.3,2833.8
2020/04/02,1078639.2,14852.1,28183.1,27339.9,130617.6,49609.2,87397.3,184930.5,1935.5,1144.1,3002.5
2020/04/03,1112377.8,14186.5,33552.8,29619.6,143045.1,55294.5,97300.7,184850.9,2068.7,1249.3,3185.4
2020/04/04,960711.6,11709.3,43879.6,27190.6,122303.2,45840.3,103551.5,165022.7,2206.0,1358.5,3368.4
2020/04/05,839066.8,11921.7,41333.6,26846.7,95693.2,34682.5,109065.0,146997.1,2344.7,1474.6,3559.2
2020/04/06,967773.9,10430.2,29047.9,30067.7,110666.7,40267.3,98243.7,188780.9,2482.5,1591.1,3742.8
2020/04/07,1055330.4,13049.2,30932.9,28787.0,125406.0,45581.5,91926.1,196948.5,2624.6,1705.4,3936.5
2020/04/08,1017201.6,13329.9,28138.9,27695.2,121381.8,45426.1,88843.4,191689.7,2774.9,1803.0,4129.8
2020/04/09,1005731.7,12576.0,28183.1,27339.9,122309.0,45167.7,87397.3,184930.5,2929.9,1905.1,4323.8
2020/04/10,1066282.9,12544.2,33552.8,29619.6,135354.4,53806.1,97300.7,184850.9,3092.9,2014.4,4532.1
2020/04/11,996622.1,12625.9,43879.6,27190.6,122777.8,49167.4,103551.5,165022.7,3254.9,2126.6,4732.8
2020/04/12,799097.1,11695.3,41333.6,26846.7,88661.9,29764.3,109065.0,146997.1,3414.7,2248.5,4934.1
2020/04/13,1001643.5,11519.1,29047.9,30067.7,115956.6,42516.9,98243.7,188780.9,3568.9,2371.1,5119.2
2020/04/14,1040556.7,13530.9,30932.9,28787.0,123129.7,45522.8,91926.1,196948.5,3721.6,2480.5,5309.4
2020/04/15,1060596.7,13653.1,28138.9,27695.2,127531.3,49690.8,88843.4,191689.7,3874.2,2585.1,5491.9
2020/04/16,1024921.8,13353.6,28183.1,27339.9,124894.6,47725.0,87397.3,184930.5,4028.9,2683.3,5662.9
2020/04/17,1086999.8,13476.5,33552.8,29619.6,137675.0,53510.5,97300.7,184850.9,4183.9,2788.1,5840.7
2020/04/18,1033793.0,12988.0,43879.6,27190.6,127024.8,54006.8,103551.5,165022.7,4337.8,2898.4,6019.3
2020/04/19,949026.7,14625.7,41333.6,26846.7,108509.7,45553.9,109065.0,146997.1,4490.9,3011.5,6189.9
2020/04/20,1083294.9,13805.1,29047.9,30067.7,130871.4,45938.4,98243.7,188780.9,4642.1,3121.7,6348.2
2020/04/21,1139873.2,15916.1,30932.9,28787.0,139428.2,51644.2,91926.1,196948.5,4794.6,3233.2,6513.3
2020/04/22,1160031.9,16134.6,28138.9,27695.2,141288.6,55593.8,88843.4,191689.7,4950.7,3348.5,6670.1
2020/04/23,1161311.6,15505.7,28183.1,27339.9,144227.4,56275.2,87397.3,184930.5,5109.9,3470.8,6836.1
2020/04/24,1223039.6,16071.0,33552.8,29619.6,157226.9,64373.7,97300.7,184850.9,5271.3,3600.4,7001.6
2020/04/25,1163711.7,15369.4,43879.6,27190.6,147803.9,62232.2,103551.5,165022.7,5434.0,3734.1,7164.7
2020/04/26,996086.8,14538.7,41333.6,26846.7,114976.4,49856.1,109065.0,146997.1,5598.9,3873.3,7314.2
2020/04/27,1160139.2,13533.2,29047.9,30067.7,135050.4,51484.3,98243.7,188780.9,5762.4,4011.0,7468.2
2020/04/28,1193296.5,14565.1,30932.9,28787.0,143648.3,55027.8,91926.1,196948.5,5927.0,4154.8,7625.9
2020/04/29,1151161.9,14758.4,28138.9,27695.2,136297.3,53085.4,88843.4,191689.7,6097.8,4290.6,7816.1
2020/04/30,1130796.6,13562.7,28183.1,27339.9,136383.2,56617.9,87397.3,184930.5,6275.1,4443.1,7997.5
2020/05/01,1249393.2,15411.6,33552.8,29619.6,157730.8,64034.6,97300.7,184850.9,6458.1,4590.2,8216.2
2020/05/02,1123207.0,13191.7,43879.6,27190.6,138265.9,63013.7,103551.5,165022.7,6646.9,4745.3,8415.2
2020/05/03,,,,,,,,,6837.3,4899.8,8616.5
2020/05/04,,,,,,,,,7029.1,5059.9,8827.7
2020/05/05,,,,,,,,,7221.6,5221.6,9076.0
2020/05/06,,,,,,,,,7416.8,5385.8,9338.6
2020/05/07,,,,,,,,,7612.9,5547.2,9599.8
