date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1879305.9,63839.4,41333.6,26846.7,354702.4,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2106033.4,34223.4,29047.9,30067.7,340025.1,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2150116.9,40490.8,30932.9,28787.0,356041.7,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2165374.7,37054.3,28138.9,27695.2,356927.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2159959.2,32285.2,28183.1,27339.9,363743.7,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2268997.6,34037.7,33552.8,29619.6,406703.4,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1712527.2,32099.9,43879.6,27190.6,313212.8,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1477111.2,63839.4,41333.6,26846.7,230681.4,72052.1,109065.0,146997.1,315.0,119.4,577.0
2020/03/16,1643970.1,34223.4,29047.9,30067.7,256878.2,79560.6,98243.7,188780.9,364.1,139.9,665.0
2020/03/17,1264637.9,40490.8,30932.9,28787.0,159121.2,51186.6,91926.1,196948.5,415.8,162.0,756.4
2020/03/18,1199356.4,37054.3,28138.9,27695.2,147917.5,49502.1,88843.4,191689.7,472.1,187.7,851.5
2020/03/19,1186349.9,32285.2,28183.1,27339.9,146883.7,48294.2,87397.3,184930.5,533.2,218.5,956.3
2020/03/20,1086978.6,34037.7,33552.8,29619.6,125905.7,39305.4,97300.7,184850.9,601.8,255.0,1074.0
2020/03/21,903823.4,32099.9,43879.6,27190.6,94150.2,27258.8,103551.5,165022.7,679.5,300.5,1199.0
2020/03/22,1055858.5,63839.4,41333.6,26846.7,115593.8,42301.5,109065.0,146997.1,764.2,350.5,1333.7
2020/03/23,1174901.1,34223.4,29047.9,30067.7,140892.0,46339.1,98243.7,188780.9,854.2,405.8,1475.8
2020/03/24,1156001.2,40490.8,30932.9,28787.0,140316.8,45811.9,91926.1,196948.5,949.2,464.4,1619.9
2020/03/25,1287686.5,37054.3,28138.9,27695.2,163396.4,55766.6,88843.4,191689.7,1050.0,532.4,1774.1
2020/03/26,1138388.0,32285.2,28183.1,27339.9,137963.0,49589.0,87397.3,184930.5,1151.9,602.5,1927.0
2020/03/27,1122946.1,34037.7,33552.8,29619.6,136121.9,50804.6,97300.7,184850.9,1257.1,670.1,2079.1
2020/03/28,1012298.7,32099.9,43879.6,27190.6,121728.5,46289.3,103551.5,165022.7,1363.8,741.0,2235.8
2020/03/29,973161.9,63839.4,41333.6,26846.7,105788.1,40271.0,109065.0,146997.1,1471.8,816.3,2391.6
2020/03/30,1162143.6,34223.4,29047.9,30067.7,136875.7,47503.9,98243.7,188780.9,1580.8,900.1,2548.8
2020/03/31,1169549.6,40490.8,30932.9,28787.0,134691.8,50112.1,91926.1,196948.5,1695.0,986.8,2708.1
2020/04/01,1160362.7,37054.3,28138.9,27695.2,141856.6,49678.4,88843.4,191689.7,1815.3,1082.3,2874.5
2020/04/02,1096072.2,32285.2,28183.1,27339.9,130617.6,49609.2,87397.3,184930.5,1943.5,1182.5,3053.9
2020/04/03,1132229.1,34037.7,33552.8,29619.6,143045.1,55294.5,97300.7,184850.9,2079.4,1300.8,3241.3
2020/04/04,981102.1,32099.9,43879.6,27190.6,122303.2,45840.3,103551.5,165022.7,2220.5,1420.4,3428.6
2020/04/05,890984.5,63839.4,41333.6,26846.7,95693.2,34682.5,109065.0,146997.1,2362.8,1543.9,3617.9
2020/04/06,991567.2,34223.4,29047.9,30067.7,110666.7,40267.3,98243.7,188780.9,2505.0,1656.6,3802.5
2020/04/07,1082771.9,40490.8,30932.9,28787.0,125406.0,45581.5,91926.1,196948.5,2652.8,1760.9,3977.6
2020/04/08,1040925.9,37054.3,28138.9,27695.2,121381.8,45426.1,88843.4,191689.7,2808.9,1876.1,4162.4
2020/04/09,1025440.9,32285.2,28183.1,27339.9,122309.0,45167.7,87397.3,184930.5,2970.5,1977.3,4361.7
2020/04/10,1087776.5,34037.7,33552.8,29619.6,135354.4,53806.1,97300.7,184850.9,3140.5,2077.8,4568.1
2020/04/11,1016096.1,32099.9,43879.6,27190.6,122777.8,49167.4,103551.5,165022.7,3310.1,2176.9,4778.7
2020/04/12,851241.1,63839.4,41333.6,26846.7,88661.9,29764.3,109065.0,146997.1,3477.9,2275.4,4984.0
2020/04/13,1024347.8,34223.4,29047.9,30067.7,115956.6,42516.9,98243.7,188780.9,3642.3,2400.8,5185.0
2020/04/14,1067516.6,40490.8,30932.9,28787.0,123129.7,45522.8,91926.1,196948.5,3807.0,2526.4,5384.8
2020/04/15,1083997.9,37054.3,28138.9,27695.2,127531.3,49690.8,88843.4,191689.7,3970.5,2629.6,5584.3
2020/04/16,1043853.4,32285.2,28183.1,27339.9,124894.6,47725.0,87397.3,184930.5,4137.3,2743.1,5786.0
2020/04/17,1107561.0,34037.7,33552.8,29619.6,137675.0,53510.5,97300.7,184850.9,4305.8,2852.5,5995.6
2020/04/18,1052904.9,32099.9,43879.6,27190.6,127024.8,54006.8,103551.5,165022.7,4472.7,2968.4,6189.3
2020/04/19,998240.3,63839.4,41333.6,26846.7,108509.7,45553.9,109065.0,146997.1,4639.7,3082.4,6390.3
2020/04/20,1103713.2,34223.4,29047.9,30067.7,130871.4,45938.4,98243.7,188780.9,4805.8,3199.0,6579.6
2020/04/21,1164447.9,40490.8,30932.9,28787.0,139428.2,51644.2,91926.1,196948.5,4975.0,3321.1,6760.1
2020/04/22,1180951.6,37054.3,28138.9,27695.2,141288.6,55593.8,88843.4,191689.7,5147.9,3443.0,6945.9
2020/04/23,1178091.1,32285.2,28183.1,27339.9,144227.4,56275.2,87397.3,184930.5,5324.2,3571.1,7126.2
2020/04/24,1241006.3,34037.7,33552.8,29619.6,157226.9,64373.7,97300.7,184850.9,5502.1,3696.2,7304.9
2020/04/25,1180442.2,32099.9,43879.6,27190.6,147803.9,62232.2,103551.5,165022.7,5681.8,3827.9,7485.1
2020/04/26,1045387.5,63839.4,41333.6,26846.7,114976.4,49856.1,109065.0,146997.1,5863.9,3965.7,7657.8
2020/04/27,1180829.4,34223.4,29047.9,30067.7,135050.4,51484.3,98243.7,188780.9,6046.1,4111.4,7834.1
2020/04/28,1219222.1,40490.8,30932.9,28787.0,143648.3,55027.8,91926.1,196948.5,6230.7,4261.0,8016.3
2020/04/29,1173457.7,37054.3,28138.9,27695.2,136297.3,53085.4,88843.4,191689.7,6422.0,4421.4,8191.5
2020/04/30,1149519.0,32285.2,28183.1,27339.9,136383.2,56617.9,87397.3,184930.5,6619.2,4583.8,8397.3
2020/05/01,1268019.3,34037.7,33552.8,29619.6,157730.8,64034.6,97300.7,184850.9,6822.1,4762.6,8600.2
2020/05/02,1142115.3,32099.9,43879.6,27190.6,138265.9,63013.7,103551.5,165022.7,7031.7,4936.1,8840.6
2020/05/03,,,,,,,,,7243.4,5111.1,9121.7
2020/05/04,,,,,,,,,7458.5,5285.6,9405.2
2020/05/05,,,,,,,,,7677.0,5475.1,9676.1
2020/05/06,,,,,,,,,7897.3,5663.7,9967.6
2020/05/07,,,,,,,,,8119.4,5854.3,10200.4
