date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1876786.8,63839.4,41333.6,24327.6,354702.4,101124.2,109065.0,146997.1,2.6,0.6,5.8
2020/03/09,2102450.9,34223.4,29047.9,26485.2,340025.1,99406.5,98243.7,188780.9,57.7,20.2,108.9
2020/03/10,2149360.0,40490.8,30932.9,28030.0,356041.7,103252.8,91926.1,196948.5,104.3,36.7,197.9
2020/03/11,2167195.4,37054.3,28138.9,29515.9,356927.2,105234.6,88843.4,191689.7,146.7,51.9,275.6
2020/03/12,2165413.1,32285.2,28183.1,32793.8,363743.7,108173.5,87397.3,184930.5,187.0,66.6,348.8
2020/03/13,2279379.5,34037.7,33552.8,40001.6,406703.4,121098.5,97300.7,184850.9,227.3,82.6,420.8
2020/03/14,1716680.3,32099.9,43879.6,31343.7,313212.8,92199.6,103551.5,165022.7,269.7,99.9,498.7
2020/03/15,1477772.7,63839.4,41333.6,27508.1,230681.4,72052.1,109065.0,146997.1,315.1,119.5,577.6
2020/03/16,1651465.6,34223.4,29047.9,37563.2,256878.2,79560.6,98243.7,188780.9,364.3,140.0,665.8
2020/03/17,1258170.0,40490.8,30932.9,22319.0,159121.2,51186.6,91926.1,196948.5,416.1,162.0,753.2
2020/03/18,1192859.1,37054.3,28138.9,21197.9,147917.5,49502.1,88843.4,191689.7,472.4,188.8,850.2
2020/03/19,1180791.8,32285.2,28183.1,21781.8,146883.7,48294.2,87397.3,184930.5,533.9,218.4,955.8
2020/03/20,1072209.8,34037.7,33552.8,14850.9,125905.7,39305.4,97300.7,184850.9,602.8,253.8,1073.3
2020/03/21,885813.6,32099.9,43879.6,9180.9,94150.2,27258.8,103551.5,165022.7,681.5,301.3,1200.5
2020/03/22,1046414.1,63839.4,41333.6,17402.2,115593.8,42301.5,109065.0,146997.1,766.6,350.8,1337.8
2020/03/23,1163603.4,34223.4,29047.9,18770.1,140892.0,46339.1,98243.7,188780.9,856.7,407.1,1479.4
2020/03/24,1145750.6,40490.8,30932.9,18536.4,140316.8,45811.9,91926.1,196948.5,952.6,467.2,1626.6
2020/03/25,1280635.7,37054.3,28138.9,20644.5,163396.4,55766.6,88843.4,191689.7,1053.7,530.1,1774.8
2020/03/26,1127830.1,32285.2,28183.1,16782.0,137963.0,49589.0,87397.3,184930.5,1156.2,595.7,1926.2
2020/03/27,1111453.7,34037.7,33552.8,18127.2,136121.9,50804.6,97300.7,184850.9,1261.3,665.1,2081.0
2020/03/28,1002244.3,32099.9,43879.6,17136.3,121728.5,46289.3,103551.5,165022.7,1367.4,734.5,2241.2
2020/03/29,961360.5,63839.4,41333.6,15045.3,105788.1,40271.0,109065.0,146997.1,1475.3,810.4,2394.1
2020/03/30,1149611.8,34223.4,29047.9,17536.0,136875.7,47503.9,98243.7,188780.9,1583.8,890.0,2547.7
2020/03/31,1158599.0,40490.8,30932.9,17836.4,134691.8,50112.1,91926.1,196948.5,1697.9,976.6,2707.8
2020/04/01,1150596.4,37054.3,28138.9,17928.9,141856.6,49678.4,88843.4,191689.7,1817.9,1072.5,2879.3
2020/04/02,1085512.2,32285.2,28183.1,16779.9,130617.6,49609.2,87397.3,184930.5,1945.6,1174.7,3047.8
2020/04/03,1122076.4,34037.7,33552.8,19467.0,143045.1,55294.5,97300.7,184850.9,2080.8,1293.1,3223.9
2020/04/04,970295.4,32099.9,43879.6,16383.9,122303.2,45840.3,103551.5,165022.7,2221.1,1413.8,3407.2
2020/04/05,879149.5,63839.4,41333.6,15011.7,95693.2,34682.5,109065.0,146997.1,2362.9,1538.2,3597.0
2020/04/06,977526.5,34223.4,29047.9,16027.1,110666.7,40267.3,98243.7,188780.9,2504.9,1641.3,3783.2
2020/04/07,1071375.3,40490.8,30932.9,17390.3,125406.0,45581.5,91926.1,196948.5,2652.2,1755.1,3978.7
2020/04/08,1029978.7,37054.3,28138.9,16748.1,121381.8,45426.1,88843.4,191689.7,2808.6,1873.5,4182.9
2020/04/09,1015533.2,32285.2,28183.1,17432.2,122309.0,45167.7,87397.3,184930.5,2969.9,1985.4,4391.0
2020/04/10,1076963.2,34037.7,33552.8,18806.4,135354.4,53806.1,97300.7,184850.9,3138.9,2100.6,4602.7
2020/04/11,1008498.3,32099.9,43879.6,19592.8,122777.8,49167.4,103551.5,165022.7,3308.5,2211.7,4816.5
2020/04/12,837183.0,63839.4,41333.6,12788.6,88661.9,29764.3,109065.0,146997.1,3476.3,2324.1,5026.7
2020/04/13,1008876.3,34223.4,29047.9,14596.2,115956.6,42516.9,98243.7,188780.9,3640.7,2438.9,5233.9
2020/04/14,1054783.9,40490.8,30932.9,16054.3,123129.7,45522.8,91926.1,196948.5,3805.2,2562.9,5429.2
2020/04/15,1072472.8,37054.3,28138.9,16170.2,127531.3,49690.8,88843.4,191689.7,3969.8,2700.9,5618.0
2020/04/16,1031375.4,32285.2,28183.1,14861.9,124894.6,47725.0,87397.3,184930.5,4136.9,2827.1,5817.7
2020/04/17,1095925.6,34037.7,33552.8,17984.2,137675.0,53510.5,97300.7,184850.9,4305.3,2948.4,6005.3
2020/04/18,1042441.3,32099.9,43879.6,16727.0,127024.8,54006.8,103551.5,165022.7,4472.3,3072.1,6185.0
2020/04/19,986073.7,63839.4,41333.6,14680.0,108509.7,45553.9,109065.0,146997.1,4639.9,3200.2,6358.8
2020/04/20,1089198.8,34223.4,29047.9,15553.3,130871.4,45938.4,98243.7,188780.9,4806.5,3327.9,6537.8
2020/04/21,1153343.3,40490.8,30932.9,17682.4,139428.2,51644.2,91926.1,196948.5,4975.2,3456.9,6741.3
2020/04/22,1170390.9,37054.3,28138.9,17134.6,141288.6,55593.8,88843.4,191689.7,5149.0,3596.8,6954.0
2020/04/23,1167501.5,32285.2,28183.1,16750.3,144227.4,56275.2,87397.3,184930.5,5325.4,3740.6,7171.5
2020/04/24,1228923.3,34037.7,33552.8,17536.7,157226.9,64373.7,97300.7,184850.9,5504.1,3878.3,7360.4
2020/04/25,1169884.1,32099.9,43879.6,16632.6,147803.9,62232.2,103551.5,165022.7,5684.7,4017.3,7543.6
2020/04/26,1033137.4,63839.4,41333.6,14596.6,114976.4,49856.1,109065.0,146997.1,5867.2,4154.1,7730.1
2020/04/27,1167840.6,34223.4,29047.9,17078.9,135050.4,51484.3,98243.7,188780.9,6049.8,4298.6,7910.0
2020/04/28,1208670.1,40490.8,30932.9,18235.0,143648.3,55027.8,91926.1,196948.5,6233.4,4442.6,8086.6
2020/04/29,1162681.1,37054.3,28138.9,16918.6,136297.3,53085.4,88843.4,191689.7,6423.7,4578.3,8268.8
2020/04/30,1138811.6,32285.2,28183.1,16632.4,136383.2,56617.9,87397.3,184930.5,6620.5,4723.0,8451.2
2020/05/01,1256187.6,34037.7,33552.8,17787.9,157730.8,64034.6,97300.7,184850.9,6822.9,4865.7,8640.5
2020/05/02,1131647.9,32099.9,43879.6,16723.3,138265.9,63013.7,103551.5,165022.7,7032.3,5010.1,8855.8
2020/05/03,,,,,,,,,7243.5,5163.2,9076.6
2020/05/04,,,,,,,,,7457.4,5329.7,9283.1
2020/05/05,,,,,,,,,7674.5,5496.7,9486.6
2020/05/06,,,,,,,,,7893.1,5661.7,9735.8
2020/05/07,,,,,,,,,8113.8,5831.8,9944.1
