date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1868599.2,53757.0,41333.6,24327.6,354702.4,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2099226.9,28652.2,29047.9,26485.2,340025.1,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2151536.6,34395.3,30932.9,28030.0,356041.7,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2182062.2,34867.8,28138.9,29515.9,356927.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2191418.7,30304.5,28183.1,32793.8,363743.7,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2332146.5,29895.4,33552.8,40001.6,406703.4,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1770072.8,23801.3,43879.6,31343.7,313212.8,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1493947.5,31604.8,41333.6,27508.1,230681.4,112568.1,116958.3,146997.1,315.1,119.7,578.3
2020/03/16,1712621.8,19228.4,29047.9,37563.2,256878.2,106611.3,147344.3,188780.9,363.9,140.1,664.0
2020/03/17,1285846.2,16503.9,30932.9,22319.0,159121.2,111913.5,82862.2,196948.5,415.4,162.4,754.6
2020/03/18,1222500.9,15142.4,28138.9,21197.9,147917.5,113175.3,76723.9,191689.7,471.4,187.5,850.8
2020/03/19,1216685.3,16883.5,28183.1,21781.8,146883.7,110326.9,76659.9,184930.5,532.8,216.3,957.8
2020/03/20,1107552.9,15886.5,33552.8,14850.9,125905.7,128562.6,61537.8,184850.9,601.6,251.8,1073.0
2020/03/21,909358.8,14134.8,43879.6,9180.9,94150.2,127774.1,44546.5,165022.7,680.5,297.4,1202.3
2020/03/22,1030745.0,15017.0,41333.6,17402.2,115593.8,112568.1,71951.6,146997.1,765.5,348.1,1337.9
2020/03/23,1178376.4,15515.0,29047.9,18770.1,140892.0,106611.3,71453.0,188780.9,855.1,402.1,1480.9
2020/03/24,1164262.3,14633.7,30932.9,18536.4,140316.8,111913.5,70193.3,196948.5,950.0,464.2,1633.4
2020/03/25,1309475.7,18905.2,28138.9,20644.5,163396.4,113175.3,78423.8,191689.7,1050.6,530.6,1789.3
2020/03/26,1151259.3,15549.9,28183.1,16782.0,137963.0,110326.9,66823.9,184930.5,1152.6,604.9,1938.9
2020/03/27,1144320.6,14790.8,33552.8,18127.2,136121.9,128562.6,71656.6,184850.9,1257.2,680.8,2084.9
2020/03/28,1033281.1,12983.0,43879.6,17136.3,121728.5,127774.1,72220.4,165022.7,1363.9,755.7,2234.0
2020/03/29,942101.4,15361.1,41333.6,15045.3,105788.1,112568.1,65987.1,146997.1,1471.8,835.0,2389.0
2020/03/30,1159171.7,15263.9,29047.9,17536.0,136875.7,106611.3,67655.7,188780.9,1580.0,915.0,2542.4
2020/03/31,1172541.7,15528.0,30932.9,17836.4,134691.8,111913.5,69030.1,196948.5,1693.1,999.9,2700.1
2020/04/01,1171966.3,16125.1,28138.9,17928.9,141856.6,113175.3,67645.6,191689.7,1812.8,1084.9,2871.5
2020/04/02,1109260.0,14852.1,28183.1,16779.9,130617.6,110326.9,67860.4,184930.5,1939.5,1174.4,3049.8
2020/04/03,1153170.4,14186.5,33552.8,19467.0,143045.1,128562.6,74978.0,184850.9,2073.7,1272.3,3224.5
2020/04/04,1002701.6,11709.3,43879.6,16383.9,122303.2,127774.1,74414.5,165022.7,2213.1,1375.2,3406.6
2020/04/05,858313.7,11921.7,41333.6,15011.7,95693.2,112568.1,62261.4,146997.1,2353.5,1485.8,3592.7
2020/04/06,984388.3,10430.2,29047.9,16027.1,110666.7,106611.3,62554.7,188780.9,2493.0,1593.7,3783.7
2020/04/07,1083091.7,13049.2,30932.9,17390.3,125406.0,111913.5,64752.0,196948.5,2637.0,1704.4,3973.8
2020/04/08,1049711.5,13329.9,28138.9,16748.1,121381.8,113175.3,64551.4,191689.7,2789.7,1828.7,4175.3
2020/04/09,1036591.2,12576.0,28183.1,17432.2,122309.0,110326.9,63005.3,184930.5,2947.4,1953.2,4375.1
2020/04/10,1104226.8,12544.2,33552.8,18806.4,135354.4,128562.6,71301.3,184850.9,3113.3,2064.9,4589.1
2020/04/11,1040870.0,12625.9,43879.6,19592.8,122777.8,127774.1,76790.5,165022.7,3278.5,2182.8,4793.3
2020/04/12,811232.4,11695.3,41333.6,12788.6,88661.9,112568.1,52454.6,146997.1,3442.4,2298.1,4987.8
2020/04/13,1010272.0,11519.1,29047.9,14596.2,115956.6,106611.3,58249.3,188780.9,3601.7,2416.7,5187.9
2020/04/14,1063868.1,13530.9,30932.9,16054.3,123129.7,111913.5,61579.5,196948.5,3758.4,2528.7,5376.8
2020/04/15,1084363.4,13653.1,28138.9,16170.2,127531.3,113175.3,60650.7,191689.7,3915.7,2638.7,5562.1
2020/04/16,1047589.2,13353.6,28183.1,14861.9,124894.6,110326.9,59940.7,184930.5,4074.8,2782.3,5752.2
2020/04/17,1118123.4,13476.5,33552.8,17984.2,137675.0,128562.6,65007.7,184850.9,4235.3,2896.0,5960.1
2020/04/18,1062786.4,12988.0,43879.6,16727.0,127024.8,127774.1,69241.2,165022.7,4394.6,3008.6,6167.4
2020/04/19,956677.8,14625.7,41333.6,14680.0,108509.7,112568.1,61868.6,146997.1,4553.1,3116.1,6350.1
2020/04/20,1092741.6,13805.1,29047.9,15553.3,130871.4,106611.3,61532.0,188780.9,4709.0,3229.3,6522.8
2020/04/21,1163908.5,15916.1,30932.9,17682.4,139428.2,111913.5,66796.6,196948.5,4866.1,3342.4,6699.0
2020/04/22,1185777.6,16134.6,28138.9,17134.6,141288.6,113175.3,67568.2,191689.7,5028.2,3459.5,6877.0
2020/04/23,1183267.1,15505.7,28183.1,16750.3,144227.4,110326.9,65890.7,184930.5,5192.5,3580.3,7048.4
2020/04/24,1250520.2,16071.0,33552.8,17536.7,157226.9,128562.6,72675.4,184850.9,5359.3,3704.3,7221.2
2020/04/25,1188197.0,15369.4,43879.6,16632.6,147803.9,127774.1,73053.0,165022.7,5527.5,3831.3,7391.4
2020/04/26,1001570.1,14538.7,41333.6,14596.6,114976.4,112568.1,64086.4,146997.1,5698.3,3962.6,7570.4
2020/04/27,1167818.1,13533.2,29047.9,17078.9,135050.4,106611.3,63784.4,188780.9,5867.7,4098.0,7738.8
2020/04/28,1212184.4,14565.1,30932.9,18235.0,143648.3,111913.5,64480.3,196948.5,6037.2,4235.0,7913.7
2020/04/29,1175857.8,14758.4,28138.9,16918.6,136297.3,113175.3,64226.1,191689.7,6213.3,4375.8,8089.1
2020/04/30,1148570.6,13562.7,28183.1,16632.4,136383.2,110326.9,62169.9,184930.5,6395.5,4511.9,8263.4
2020/05/01,1276401.2,15411.6,33552.8,17787.9,157730.8,128562.6,71612.4,184850.9,6584.1,4647.7,8443.1
2020/05/02,1144709.6,13191.7,43879.6,16723.3,138265.9,127774.1,70761.0,165022.7,6779.2,4831.5,8635.7
2020/05/03,,,,,,,,,6975.6,4992.2,8849.2
2020/05/04,,,,,,,,,7172.4,5153.7,9046.9
2020/05/05,,,,,,,,,7370.2,5314.9,9222.1
2020/05/06,,,,,,,,,7570.9,5486.3,9394.4
2020/05/07,,,,,,,,,7772.9,5666.8,9573.5
