date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1881200.7,63839.4,41333.6,26846.7,354702.4,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2108380.7,34223.4,29047.9,30067.7,340025.1,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2158389.0,40490.8,30932.9,28787.0,356041.7,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2182428.0,37054.3,28138.9,27695.2,356927.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2187945.5,32285.2,28183.1,27339.9,363743.7,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2325906.8,34037.7,33552.8,29619.6,406703.4,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1774218.3,32099.9,43879.6,27190.6,313212.8,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1525520.6,63839.4,41333.6,26846.7,230681.4,112568.1,116958.3,146997.1,315.1,119.2,578.0
2020/03/16,1720121.4,34223.4,29047.9,30067.7,256878.2,106611.3,147344.3,188780.9,364.3,138.6,665.7
2020/03/17,1316301.0,40490.8,30932.9,28787.0,159121.2,111913.5,82862.2,196948.5,415.9,161.0,755.4
2020/03/18,1250910.1,37054.3,28138.9,27695.2,147917.5,113175.3,76723.9,191689.7,472.1,184.7,849.1
2020/03/19,1237645.1,32285.2,28183.1,27339.9,146883.7,110326.9,76659.9,184930.5,533.3,212.4,954.9
2020/03/20,1140472.9,34037.7,33552.8,29619.6,125905.7,128562.6,61537.8,184850.9,601.8,246.0,1063.9
2020/03/21,945333.7,32099.9,43879.6,27190.6,94150.2,127774.1,44546.5,165022.7,680.4,288.8,1189.9
2020/03/22,1089011.8,63839.4,41333.6,26846.7,115593.8,112568.1,71951.6,146997.1,765.5,338.4,1328.4
2020/03/23,1208382.5,34223.4,29047.9,30067.7,140892.0,106611.3,71453.0,188780.9,855.2,389.6,1470.1
2020/03/24,1200369.9,40490.8,30932.9,28787.0,140316.8,111913.5,70193.3,196948.5,950.6,444.8,1621.8
2020/03/25,1334675.6,37054.3,28138.9,27695.2,163396.4,113175.3,78423.8,191689.7,1051.9,508.0,1774.4
2020/03/26,1178552.5,32285.2,28183.1,27339.9,137963.0,110326.9,66823.9,184930.5,1154.6,568.3,1927.1
2020/03/27,1175060.0,34037.7,33552.8,29619.6,136121.9,128562.6,71656.6,184850.9,1260.3,637.2,2083.1
2020/03/28,1062452.4,32099.9,43879.6,27190.6,121728.5,127774.1,72220.4,165022.7,1368.1,708.6,2241.5
2020/03/29,1002381.1,63839.4,41333.6,26846.7,105788.1,112568.1,65987.1,146997.1,1476.9,785.6,2390.5
2020/03/30,1190663.0,34223.4,29047.9,30067.7,136875.7,106611.3,67655.7,188780.9,1587.3,864.7,2544.2
2020/03/31,1208455.0,40490.8,30932.9,28787.0,134691.8,111913.5,69030.1,196948.5,1702.9,950.7,2706.0
2020/04/01,1202661.8,37054.3,28138.9,27695.2,141856.6,113175.3,67645.6,191689.7,1824.8,1043.0,2875.4
2020/04/02,1137253.0,32285.2,28183.1,27339.9,130617.6,110326.9,67860.4,184930.5,1955.2,1144.9,3053.0
2020/04/03,1183174.4,34037.7,33552.8,29619.6,143045.1,128562.6,74978.0,184850.9,2093.2,1251.6,3235.1
2020/04/04,1033898.9,32099.9,43879.6,27190.6,122303.2,127774.1,74414.5,165022.7,2236.8,1359.0,3421.6
2020/04/05,922066.4,63839.4,41333.6,26846.7,95693.2,112568.1,62261.4,146997.1,2381.6,1474.1,3614.1
2020/04/06,1022222.1,34223.4,29047.9,30067.7,110666.7,106611.3,62554.7,188780.9,2527.0,1588.3,3805.3
2020/04/07,1121929.9,40490.8,30932.9,28787.0,125406.0,111913.5,64752.0,196948.5,2677.0,1709.8,4004.3
2020/04/08,1084383.0,37054.3,28138.9,27695.2,121381.8,113175.3,64551.4,191689.7,2837.2,1833.4,4210.2
2020/04/09,1066208.1,32285.2,28183.1,27339.9,122309.0,110326.9,63005.3,184930.5,3003.2,1961.3,4416.9
2020/04/10,1136533.6,34037.7,33552.8,29619.6,135354.4,128562.6,71301.3,184850.9,3177.3,2095.5,4630.1
2020/04/11,1067941.9,32099.9,43879.6,27190.6,122777.8,127774.1,76790.5,165022.7,3351.2,2226.6,4845.5
2020/04/12,877434.6,63839.4,41333.6,26846.7,88661.9,112568.1,52454.6,146997.1,3523.6,2376.1,5048.6
2020/04/13,1048447.8,34223.4,29047.9,30067.7,115956.6,106611.3,58249.3,188780.9,3692.1,2516.6,5251.0
2020/04/14,1103560.7,40490.8,30932.9,28787.0,123129.7,111913.5,61579.5,196948.5,3860.3,2633.0,5449.8
2020/04/15,1119289.7,37054.3,28138.9,27695.2,127531.3,113175.3,60650.7,191689.7,4029.3,2746.3,5645.9
2020/04/16,1078998.7,32285.2,28183.1,27339.9,124894.6,110326.9,59940.7,184930.5,4200.2,2861.4,5837.5
2020/04/17,1150320.0,34037.7,33552.8,29619.6,137675.0,128562.6,65007.7,184850.9,4373.6,2980.9,6025.0
2020/04/18,1092362.0,32099.9,43879.6,27190.6,127024.8,127774.1,69241.2,165022.7,4545.5,3104.6,6213.0
2020/04/19,1018058.2,63839.4,41333.6,26846.7,108509.7,112568.1,61868.6,146997.1,4717.8,3228.5,6398.5
2020/04/20,1127674.4,34223.4,29047.9,30067.7,130871.4,106611.3,61532.0,188780.9,4888.5,3356.6,6582.9
2020/04/21,1199587.8,40490.8,30932.9,28787.0,139428.2,111913.5,66796.6,196948.5,5062.1,3500.3,6768.5
2020/04/22,1217257.9,37054.3,28138.9,27695.2,141288.6,113175.3,67568.2,191689.7,5239.3,3644.2,6949.6
2020/04/23,1210636.1,32285.2,28183.1,27339.9,144227.4,110326.9,65890.7,184930.5,5420.5,3794.3,7170.4
2020/04/24,1280569.9,34037.7,33552.8,29619.6,157226.9,128562.6,72675.4,184850.9,5604.0,3948.6,7384.9
2020/04/25,1215485.6,32099.9,43879.6,27190.6,147803.9,127774.1,73053.0,165022.7,5787.6,4104.1,7599.0
2020/04/26,1063120.8,63839.4,41333.6,26846.7,114976.4,112568.1,64086.4,146997.1,5975.1,4264.0,7787.5
2020/04/27,1201497.1,34223.4,29047.9,30067.7,135050.4,106611.3,63784.4,188780.9,6162.5,4401.2,7970.0
2020/04/28,1248662.0,40490.8,30932.9,28787.0,143648.3,111913.5,64480.3,196948.5,6351.7,4543.3,8143.1
2020/04/29,1208930.3,37054.3,28138.9,27695.2,136297.3,113175.3,64226.1,191689.7,6548.0,4693.8,8324.4
2020/04/30,1178000.6,32285.2,28183.1,27339.9,136383.2,110326.9,62169.9,184930.5,6750.8,4850.3,8507.4
2020/05/01,1306859.0,34037.7,33552.8,29619.6,157730.8,128562.6,71612.4,184850.9,6959.6,5004.5,8691.7
2020/05/02,1174085.1,32099.9,43879.6,27190.6,138265.9,127774.1,70761.0,165022.7,7175.0,5163.4,8881.7
2020/05/03,,,,,,,,,7392.2,5317.9,9116.5
2020/05/04,,,,,,,,,7613.1,5482.6,9333.7
2020/05/05,,,,,,,,,7835.5,5655.7,9567.5
2020/05/06,,,,,,,,,8060.5,5837.3,9853.1
2020/05/07,,,,,,,,,8287.4,6022.7,10147.1
