date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1878681.6,63839.4,41333.6,24327.6,354702.4,112568.1,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2104798.1,34223.4,29047.9,26485.2,340025.1,106611.3,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2157632.0,40490.8,30932.9,28030.0,356041.7,111913.5,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2184248.6,37054.3,28138.9,29515.9,356927.2,113175.3,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2193399.3,32285.2,28183.1,32793.8,363743.7,110326.9,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2336288.7,34037.7,33552.8,40001.6,406703.4,128562.6,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1778371.4,32099.9,43879.6,31343.7,313212.8,127774.1,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1526182.0,63839.4,41333.6,27508.1,230681.4,112568.1,116958.3,146997.1,315.1,119.5,578.4
2020/03/16,1727616.9,34223.4,29047.9,37563.2,256878.2,106611.3,147344.3,188780.9,364.2,140.1,664.8
2020/03/17,1309833.0,40490.8,30932.9,22319.0,159121.2,111913.5,82862.2,196948.5,415.9,160.7,757.7
2020/03/18,1244412.8,37054.3,28138.9,21197.9,147917.5,113175.3,76723.9,191689.7,472.2,185.8,851.0
2020/03/19,1232087.0,32285.2,28183.1,21781.8,146883.7,110326.9,76659.9,184930.5,533.7,216.6,953.0
2020/03/20,1125704.2,34037.7,33552.8,14850.9,125905.7,128562.6,61537.8,184850.9,602.6,254.9,1067.4
2020/03/21,927323.9,32099.9,43879.6,9180.9,94150.2,127774.1,44546.5,165022.7,681.7,301.8,1197.1
2020/03/22,1079567.3,63839.4,41333.6,17402.2,115593.8,112568.1,71951.6,146997.1,767.3,352.3,1337.8
2020/03/23,1197084.9,34223.4,29047.9,18770.1,140892.0,106611.3,71453.0,188780.9,857.9,405.8,1477.4
2020/03/24,1190119.3,40490.8,30932.9,18536.4,140316.8,111913.5,70193.3,196948.5,953.9,464.6,1628.7
2020/03/25,1327624.8,37054.3,28138.9,20644.5,163396.4,113175.3,78423.8,191689.7,1055.3,527.6,1781.8
2020/03/26,1167994.6,32285.2,28183.1,16782.0,137963.0,110326.9,66823.9,184930.5,1159.1,594.8,1930.7
2020/03/27,1163567.5,34037.7,33552.8,18127.2,136121.9,128562.6,71656.6,184850.9,1265.3,667.8,2085.2
2020/03/28,1052398.0,32099.9,43879.6,17136.3,121728.5,127774.1,72220.4,165022.7,1373.4,742.1,2242.7
2020/03/29,990579.7,63839.4,41333.6,15045.3,105788.1,112568.1,65987.1,146997.1,1482.9,823.3,2402.9
2020/03/30,1178131.2,34223.4,29047.9,17536.0,136875.7,106611.3,67655.7,188780.9,1593.7,908.7,2562.7
2020/03/31,1197504.5,40490.8,30932.9,17836.4,134691.8,111913.5,69030.1,196948.5,1709.7,992.4,2723.6
2020/04/01,1192895.4,37054.3,28138.9,17928.9,141856.6,113175.3,67645.6,191689.7,1832.1,1089.4,2892.2
2020/04/02,1126693.0,32285.2,28183.1,16779.9,130617.6,110326.9,67860.4,184930.5,1963.5,1194.5,3066.4
2020/04/03,1173021.7,34037.7,33552.8,19467.0,143045.1,128562.6,74978.0,184850.9,2101.9,1312.5,3262.0
2020/04/04,1023092.2,32099.9,43879.6,16383.9,122303.2,127774.1,74414.5,165022.7,2245.7,1430.5,3452.8
2020/04/05,910231.4,63839.4,41333.6,15011.7,95693.2,112568.1,62261.4,146997.1,2391.3,1534.3,3638.3
2020/04/06,1008181.5,34223.4,29047.9,16027.1,110666.7,106611.3,62554.7,188780.9,2536.0,1636.2,3824.8
2020/04/07,1110533.2,40490.8,30932.9,17390.3,125406.0,111913.5,64752.0,196948.5,2686.4,1744.0,4016.5
2020/04/08,1073435.8,37054.3,28138.9,16748.1,121381.8,113175.3,64551.4,191689.7,2846.2,1834.1,4213.1
2020/04/09,1056300.4,32285.2,28183.1,17432.2,122309.0,110326.9,63005.3,184930.5,3011.1,1932.5,4417.3
2020/04/10,1125720.4,34037.7,33552.8,18806.4,135354.4,128562.6,71301.3,184850.9,3184.2,2034.9,4622.8
2020/04/11,1060344.0,32099.9,43879.6,19592.8,122777.8,127774.1,76790.5,165022.7,3357.2,2142.4,4830.7
2020/04/12,863376.5,63839.4,41333.6,12788.6,88661.9,112568.1,52454.6,146997.1,3528.7,2252.5,5032.9
2020/04/13,1032976.3,34223.4,29047.9,14596.2,115956.6,106611.3,58249.3,188780.9,3696.5,2368.1,5239.6
2020/04/14,1090828.0,40490.8,30932.9,16054.3,123129.7,111913.5,61579.5,196948.5,3863.4,2483.9,5436.1
2020/04/15,1107764.6,37054.3,28138.9,16170.2,127531.3,113175.3,60650.7,191689.7,4031.2,2604.4,5635.2
2020/04/16,1066520.8,32285.2,28183.1,14861.9,124894.6,110326.9,59940.7,184930.5,4201.9,2736.6,5832.4
2020/04/17,1138684.6,34037.7,33552.8,17984.2,137675.0,128562.6,65007.7,184850.9,4373.9,2855.6,6024.9
2020/04/18,1081898.3,32099.9,43879.6,16727.0,127024.8,127774.1,69241.2,165022.7,4545.7,2979.1,6213.5
2020/04/19,1005891.5,63839.4,41333.6,14680.0,108509.7,112568.1,61868.6,146997.1,4716.6,3103.6,6398.7
2020/04/20,1113159.9,34223.4,29047.9,15553.3,130871.4,106611.3,61532.0,188780.9,4886.8,3235.7,6598.7
2020/04/21,1188483.2,40490.8,30932.9,17682.4,139428.2,111913.5,66796.6,196948.5,5059.5,3377.4,6823.3
2020/04/22,1206697.2,37054.3,28138.9,17134.6,141288.6,113175.3,67568.2,191689.7,5236.9,3509.6,7049.2
2020/04/23,1200046.6,32285.2,28183.1,16750.3,144227.4,110326.9,65890.7,184930.5,5417.8,3644.6,7277.6
2020/04/24,1268486.9,34037.7,33552.8,17536.7,157226.9,128562.6,72675.4,184850.9,5601.3,3783.9,7481.6
2020/04/25,1204927.5,32099.9,43879.6,16632.6,147803.9,127774.1,73053.0,165022.7,5785.9,3922.9,7662.6
2020/04/26,1050870.8,63839.4,41333.6,14596.6,114976.4,112568.1,64086.4,146997.1,5974.1,4062.0,7846.4
2020/04/27,1188508.3,34223.4,29047.9,17078.9,135050.4,106611.3,63784.4,188780.9,6162.4,4208.6,8021.7
2020/04/28,1238110.0,40490.8,30932.9,18235.0,143648.3,111913.5,64480.3,196948.5,6351.8,4355.8,8219.4
2020/04/29,1198153.6,37054.3,28138.9,16918.6,136297.3,113175.3,64226.1,191689.7,6548.4,4515.1,8422.4
2020/04/30,1167293.1,32285.2,28183.1,16632.4,136383.2,110326.9,62169.9,184930.5,6751.9,4677.7,8633.0
2020/05/01,1295027.3,34037.7,33552.8,17787.9,157730.8,128562.6,71612.4,184850.9,6961.2,4844.5,8843.5
2020/05/02,1163617.8,32099.9,43879.6,16723.3,138265.9,127774.1,70761.0,165022.7,7177.4,5022.0,9095.1
2020/05/03,,,,,,,,,7395.0,5188.2,9359.2
2020/05/04,,,,,,,,,7615.9,5362.4,9644.3
2020/05/05,,,,,,,,,7838.6,5529.8,9886.1
2020/05/06,,,,,,,,,8063.6,5701.0,10150.6
2020/05/07,,,,,,,,,8290.9,5877.5,10445.3
