date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1869756.7,63839.4,41333.6,26846.7,354702.4,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2101175.9,34223.4,29047.9,30067.7,340025.1,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2149728.3,40490.8,30932.9,28787.0,356041.7,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2174487.3,37054.3,28138.9,27695.2,356927.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2185792.1,32285.2,28183.1,27339.9,363743.7,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2318442.8,34037.7,33552.8,29619.6,406703.4,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1738643.8,32099.9,43879.6,27190.6,313212.8,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1485004.5,63839.4,41333.6,26846.7,230681.4,72052.1,116958.3,146997.1,315.1,119.7,578.0
2020/03/16,1693070.7,34223.4,29047.9,30067.7,256878.2,79560.6,147344.3,188780.9,364.1,141.0,664.3
2020/03/17,1255574.0,40490.8,30932.9,28787.0,159121.2,51186.6,82862.2,196948.5,415.9,164.8,754.1
2020/03/18,1187236.9,37054.3,28138.9,27695.2,147917.5,49502.1,76723.9,191689.7,472.0,191.0,851.2
2020/03/19,1175612.4,32285.2,28183.1,27339.9,146883.7,48294.2,76659.9,184930.5,533.3,221.1,955.8
2020/03/20,1051215.7,34037.7,33552.8,29619.6,125905.7,39305.4,61537.8,184850.9,601.8,258.8,1068.1
2020/03/21,844818.4,32099.9,43879.6,27190.6,94150.2,27258.8,44546.5,165022.7,680.4,304.6,1195.7
2020/03/22,1018745.1,63839.4,41333.6,26846.7,115593.8,42301.5,71951.6,146997.1,765.7,354.1,1337.9
2020/03/23,1148110.4,34223.4,29047.9,30067.7,140892.0,46339.1,71453.0,188780.9,855.6,410.8,1479.2
2020/03/24,1134268.3,40490.8,30932.9,28787.0,140316.8,45811.9,70193.3,196948.5,951.1,466.5,1625.3
2020/03/25,1277266.9,37054.3,28138.9,27695.2,163396.4,55766.6,78423.8,191689.7,1051.7,530.3,1778.2
2020/03/26,1117814.6,32285.2,28183.1,27339.9,137963.0,49589.0,66823.9,184930.5,1153.9,598.9,1932.1
2020/03/27,1097302.0,34037.7,33552.8,29619.6,136121.9,50804.6,71656.6,184850.9,1258.9,673.9,2084.6
2020/03/28,980967.6,32099.9,43879.6,27190.6,121728.5,46289.3,72220.4,165022.7,1365.1,750.0,2237.3
2020/03/29,930084.0,63839.4,41333.6,26846.7,105788.1,40271.0,65987.1,146997.1,1472.3,829.1,2396.3
2020/03/30,1131555.5,34223.4,29047.9,30067.7,136875.7,47503.9,67655.7,188780.9,1580.7,907.7,2557.9
2020/03/31,1146653.6,40490.8,30932.9,28787.0,134691.8,50112.1,69030.1,196948.5,1694.5,994.1,2712.9
2020/04/01,1139164.9,37054.3,28138.9,27695.2,141856.6,49678.4,67645.6,191689.7,1813.5,1084.1,2875.4
2020/04/02,1076535.2,32285.2,28183.1,27339.9,130617.6,49609.2,67860.4,184930.5,1940.9,1179.9,3047.8
2020/04/03,1109906.3,34037.7,33552.8,29619.6,143045.1,55294.5,74978.0,184850.9,2075.2,1281.6,3234.6
2020/04/04,951965.2,32099.9,43879.6,27190.6,122303.2,45840.3,74414.5,165022.7,2214.1,1390.1,3425.4
2020/04/05,844180.8,63839.4,41333.6,26846.7,95693.2,34682.5,62261.4,146997.1,2354.5,1498.8,3613.3
2020/04/06,955878.1,34223.4,29047.9,30067.7,110666.7,40267.3,62554.7,188780.9,2494.1,1607.2,3801.3
2020/04/07,1055597.9,40490.8,30932.9,28787.0,125406.0,45581.5,64752.0,196948.5,2639.7,1722.5,3993.7
2020/04/08,1016633.9,37054.3,28138.9,27695.2,121381.8,45426.1,64551.4,191689.7,2794.0,1846.5,4185.6
2020/04/09,1001048.8,32285.2,28183.1,27339.9,122309.0,45167.7,63005.3,184930.5,2953.6,1971.7,4389.1
2020/04/10,1061777.1,34037.7,33552.8,29619.6,135354.4,53806.1,71301.3,184850.9,3120.5,2076.5,4595.9
2020/04/11,989335.2,32099.9,43879.6,27190.6,122777.8,49167.4,76790.5,165022.7,3286.5,2176.5,4796.4
2020/04/12,794630.7,63839.4,41333.6,26846.7,88661.9,29764.3,52454.6,146997.1,3450.8,2279.6,4993.9
2020/04/13,984353.4,34223.4,29047.9,30067.7,115956.6,42516.9,58249.3,188780.9,3611.9,2383.0,5186.9
2020/04/14,1037170.0,40490.8,30932.9,28787.0,123129.7,45522.8,61579.5,196948.5,3772.0,2487.7,5373.8
2020/04/15,1055805.2,37054.3,28138.9,27695.2,127531.3,49690.8,60650.7,191689.7,3931.8,2596.0,5557.3
2020/04/16,1016396.8,32285.2,28183.1,27339.9,124894.6,47725.0,59940.7,184930.5,4094.1,2710.1,5741.5
2020/04/17,1075268.0,34037.7,33552.8,29619.6,137675.0,53510.5,65007.7,184850.9,4258.1,2823.1,5919.2
2020/04/18,1018594.7,32099.9,43879.6,27190.6,127024.8,54006.8,69241.2,165022.7,4420.0,2938.1,6097.4
2020/04/19,951043.9,63839.4,41333.6,26846.7,108509.7,45553.9,61868.6,146997.1,4582.1,3047.7,6305.6
2020/04/20,1067001.5,34223.4,29047.9,30067.7,130871.4,45938.4,61532.0,188780.9,4743.3,3158.6,6515.0
2020/04/21,1139318.4,40490.8,30932.9,28787.0,139428.2,51644.2,66796.6,196948.5,4906.3,3269.0,6724.7
2020/04/22,1159676.4,37054.3,28138.9,27695.2,141288.6,55593.8,67568.2,191689.7,5073.4,3384.1,6913.0
2020/04/23,1156584.5,32285.2,28183.1,27339.9,144227.4,56275.2,65890.7,184930.5,5243.4,3506.1,7100.0
2020/04/24,1216381.0,34037.7,33552.8,29619.6,157226.9,64373.7,72675.4,184850.9,5415.0,3633.0,7275.4
2020/04/25,1149943.7,32099.9,43879.6,27190.6,147803.9,62232.2,73053.0,165022.7,5588.2,3756.3,7453.3
2020/04/26,1000408.8,63839.4,41333.6,26846.7,114976.4,49856.1,64086.4,146997.1,5763.5,3883.2,7630.9
2020/04/27,1146370.2,34223.4,29047.9,30067.7,135050.4,51484.3,63784.4,188780.9,5939.2,4018.6,7803.9
2020/04/28,1191776.3,40490.8,30932.9,28787.0,143648.3,55027.8,64480.3,196948.5,6116.7,4152.6,7977.8
2020/04/29,1148840.5,37054.3,28138.9,27695.2,136297.3,53085.4,64226.1,191689.7,6300.5,4291.4,8153.0
2020/04/30,1124291.6,32285.2,28183.1,27339.9,136383.2,56617.9,62169.9,184930.5,6490.3,4444.8,8330.6
2020/05/01,1242331.0,34037.7,33552.8,29619.6,157730.8,64034.6,71612.4,184850.9,6684.8,4596.9,8510.1
2020/05/02,1109324.8,32099.9,43879.6,27190.6,138265.9,63013.7,70761.0,165022.7,6886.0,4754.7,8698.8
2020/05/03,,,,,,,,,7088.5,4922.3,8884.3
2020/05/04,,,,,,,,,7294.3,5099.6,9072.1
2020/05/05,,,,,,,,,7501.6,5311.8,9255.3
2020/05/06,,,,,,,,,7711.7,5541.3,9469.3
2020/05/07,,,,,,,,,7923.0,5778.0,9724.1
