date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1867237.6,63839.4,41333.6,24327.6,354702.4,101124.2,99515.8,146997.1,2.6,0.6,5.8
2020/03/09,2097593.3,34223.4,29047.9,26485.2,340025.1,99406.5,93386.2,188780.9,57.7,20.2,108.9
2020/03/10,2148971.3,40490.8,30932.9,28030.0,356041.7,103252.8,91537.5,196948.5,104.3,36.7,197.9
2020/03/11,2176307.9,37054.3,28138.9,29515.9,356927.2,105234.6,97955.9,191689.7,146.7,51.9,275.6
2020/03/12,2191246.0,32285.2,28183.1,32793.8,363743.7,108173.5,113230.2,184930.5,187.0,66.6,348.8
2020/03/13,2328824.7,34037.7,33552.8,40001.6,406703.4,121098.5,146745.9,184850.9,227.3,82.6,420.8
2020/03/14,1742796.9,32099.9,43879.6,31343.7,313212.8,92199.6,129668.1,165022.7,269.7,99.9,498.7
2020/03/15,1485666.0,63839.4,41333.6,27508.1,230681.4,72052.1,116958.3,146997.1,315.1,119.4,578.1
2020/03/16,1700566.2,34223.4,29047.9,37563.2,256878.2,79560.6,147344.3,188780.9,364.2,139.5,663.9
2020/03/17,1249106.1,40490.8,30932.9,22319.0,159121.2,51186.6,82862.2,196948.5,416.0,162.4,755.4
2020/03/18,1180739.6,37054.3,28138.9,21197.9,147917.5,49502.1,76723.9,191689.7,472.1,187.8,851.7
2020/03/19,1170054.3,32285.2,28183.1,21781.8,146883.7,48294.2,76659.9,184930.5,533.0,218.2,955.6
2020/03/20,1036446.9,34037.7,33552.8,14850.9,125905.7,39305.4,61537.8,184850.9,601.6,255.5,1068.9
2020/03/21,826808.6,32099.9,43879.6,9180.9,94150.2,27258.8,44546.5,165022.7,679.7,303.5,1197.4
2020/03/22,1009300.7,63839.4,41333.6,17402.2,115593.8,42301.5,71951.6,146997.1,764.5,351.6,1334.2
2020/03/23,1136812.7,34223.4,29047.9,18770.1,140892.0,46339.1,71453.0,188780.9,854.2,410.5,1478.6
2020/03/24,1124017.8,40490.8,30932.9,18536.4,140316.8,45811.9,70193.3,196948.5,949.4,472.0,1625.4
2020/03/25,1270216.1,37054.3,28138.9,20644.5,163396.4,55766.6,78423.8,191689.7,1049.8,540.5,1776.7
2020/03/26,1107256.7,32285.2,28183.1,16782.0,137963.0,49589.0,66823.9,184930.5,1151.7,615.1,1931.6
2020/03/27,1085809.6,34037.7,33552.8,18127.2,136121.9,50804.6,71656.6,184850.9,1256.3,691.8,2091.8
2020/03/28,970913.2,32099.9,43879.6,17136.3,121728.5,46289.3,72220.4,165022.7,1361.9,771.8,2245.6
2020/03/29,918282.6,63839.4,41333.6,15045.3,105788.1,40271.0,65987.1,146997.1,1468.3,852.3,2401.4
2020/03/30,1119023.8,34223.4,29047.9,17536.0,136875.7,47503.9,67655.7,188780.9,1577.0,930.1,2553.3
2020/03/31,1135703.0,40490.8,30932.9,17836.4,134691.8,50112.1,69030.1,196948.5,1690.3,1019.4,2714.6
2020/04/01,1129398.5,37054.3,28138.9,17928.9,141856.6,49678.4,67645.6,191689.7,1809.8,1108.1,2887.9
2020/04/02,1065975.3,32285.2,28183.1,16779.9,130617.6,49609.2,67860.4,184930.5,1936.9,1209.2,3067.1
2020/04/03,1099753.6,34037.7,33552.8,19467.0,143045.1,55294.5,74978.0,184850.9,2070.8,1316.8,3239.4
2020/04/04,941158.4,32099.9,43879.6,16383.9,122303.2,45840.3,74414.5,165022.7,2209.8,1431.6,3423.9
2020/04/05,832345.8,63839.4,41333.6,15011.7,95693.2,34682.5,62261.4,146997.1,2350.7,1550.0,3613.3
2020/04/06,941837.5,34223.4,29047.9,16027.1,110666.7,40267.3,62554.7,188780.9,2490.6,1669.8,3802.7
2020/04/07,1044201.2,40490.8,30932.9,17390.3,125406.0,45581.5,64752.0,196948.5,2635.3,1774.3,3991.3
2020/04/08,1005686.7,37054.3,28138.9,16748.1,121381.8,45426.1,64551.4,191689.7,2788.6,1915.8,4185.8
2020/04/09,991141.2,32285.2,28183.1,17432.2,122309.0,45167.7,63005.3,184930.5,2947.1,2011.8,4381.3
2020/04/10,1050963.9,34037.7,33552.8,18806.4,135354.4,53806.1,71301.3,184850.9,3113.8,2113.2,4597.6
2020/04/11,981737.3,32099.9,43879.6,19592.8,122777.8,49167.4,76790.5,165022.7,3279.7,2205.5,4801.7
2020/04/12,780572.6,63839.4,41333.6,12788.6,88661.9,29764.3,52454.6,146997.1,3444.0,2304.9,5002.3
2020/04/13,968882.0,34223.4,29047.9,14596.2,115956.6,42516.9,58249.3,188780.9,3603.8,2395.7,5198.9
2020/04/14,1024437.2,40490.8,30932.9,16054.3,123129.7,45522.8,61579.5,196948.5,3763.6,2494.6,5387.0
2020/04/15,1044280.1,37054.3,28138.9,16170.2,127531.3,49690.8,60650.7,191689.7,3923.0,2597.7,5575.8
2020/04/16,1003918.8,32285.2,28183.1,14861.9,124894.6,47725.0,59940.7,184930.5,4084.7,2705.0,5761.7
2020/04/17,1063632.6,34037.7,33552.8,17984.2,137675.0,53510.5,65007.7,184850.9,4248.3,2813.0,5969.6
2020/04/18,1008131.0,32099.9,43879.6,16727.0,127024.8,54006.8,69241.2,165022.7,4409.5,2923.5,6183.5
2020/04/19,938877.3,63839.4,41333.6,14680.0,108509.7,45553.9,61868.6,146997.1,4571.1,3038.9,6394.5
2020/04/20,1052487.1,34223.4,29047.9,15553.3,130871.4,45938.4,61532.0,188780.9,4731.7,3155.6,6571.3
2020/04/21,1128213.8,40490.8,30932.9,17682.4,139428.2,51644.2,66796.6,196948.5,4894.8,3274.1,6749.3
2020/04/22,1149115.8,37054.3,28138.9,17134.6,141288.6,55593.8,67568.2,191689.7,5061.7,3403.1,6923.4
2020/04/23,1145994.9,32285.2,28183.1,16750.3,144227.4,56275.2,65890.7,184930.5,5231.7,3538.0,7101.4
2020/04/24,1204298.0,34037.7,33552.8,17536.7,157226.9,64373.7,72675.4,184850.9,5403.3,3669.6,7284.8
2020/04/25,1139385.6,32099.9,43879.6,16632.6,147803.9,62232.2,73053.0,165022.7,5576.3,3802.2,7462.3
2020/04/26,988158.8,63839.4,41333.6,14596.6,114976.4,49856.1,64086.4,146997.1,5751.9,3946.1,7633.2
2020/04/27,1133381.4,34223.4,29047.9,17078.9,135050.4,51484.3,63784.4,188780.9,5926.4,4095.2,7806.6
2020/04/28,1181224.3,40490.8,30932.9,18235.0,143648.3,55027.8,64480.3,196948.5,6102.8,4251.5,7966.4
2020/04/29,1138063.8,37054.3,28138.9,16918.6,136297.3,53085.4,64226.1,191689.7,6285.8,4447.1,8137.7
2020/04/30,1113584.2,32285.2,28183.1,16632.4,136383.2,56617.9,62169.9,184930.5,6475.1,4609.6,8315.9
2020/05/01,1230499.3,34037.7,33552.8,17787.9,157730.8,64034.6,71612.4,184850.9,6670.0,4775.5,8490.0
2020/05/02,1098857.4,32099.9,43879.6,16723.3,138265.9,63013.7,70761.0,165022.7,6870.8,4936.8,8668.2
2020/05/03,,,,,,,,,7073.2,5092.8,8886.4
2020/05/04,,,,,,,,,7279.1,5254.7,9113.2
2020/05/05,,,,,,,,,7486.6,5430.4,9295.6
2020/05/06,,,,,,,,,7696.6,5624.8,9477.2
2020/05/07,,,,,,,,,7908.2,5821.3,9739.9
