date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1879055.4,53757.0,41333.6,24327.6,395764.5,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2105616.8,28652.2,29047.9,26485.2,369868.4,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2158410.1,34395.3,30932.9,28030.0,388568.8,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2185242.7,34867.8,28138.9,29515.9,384269.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2187591.7,30304.5,28183.1,32793.8,381278.4,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2347384.5,29895.4,33552.8,40001.6,456198.3,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1810989.4,23801.3,43879.6,31343.7,446784.7,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1554250.0,31604.8,41333.6,27508.1,395764.5,72052.1,116958.3,82732.7,315.1,119.6,577.7
2020/03/16,1705894.9,19228.4,29047.9,37563.2,369868.4,79560.6,147344.3,96114.4,363.8,140.6,664.3
2020/03/17,1311010.0,16503.9,30932.9,22319.0,388568.8,51186.6,82862.2,53391.6,415.4,163.1,753.3
2020/03/18,1255249.4,15142.4,28138.9,21197.9,384269.2,49502.1,76723.9,51759.5,472.7,187.8,852.5
2020/03/19,1256448.2,16883.5,28183.1,21781.8,381278.4,48294.2,76659.9,52331.4,535.9,218.5,957.7
2020/03/20,1208252.0,15886.5,33552.8,14850.9,456198.3,39305.4,61537.8,44514.5,606.9,258.4,1078.3
2020/03/21,1028336.1,14134.8,43879.6,9180.9,446784.7,27258.8,44546.5,31880.8,688.7,311.3,1212.6
2020/03/22,1131182.2,15017.0,41333.6,17402.2,395764.5,42301.5,71951.6,37530.5,782.3,368.8,1364.3
2020/03/23,1208502.0,15515.0,29047.9,18770.1,369868.4,46339.1,71453.0,50202.1,885.5,435.8,1531.1
2020/03/24,1197458.8,14633.7,30932.9,18536.4,388568.8,45811.9,70193.3,47994.5,999.0,511.8,1706.8
2020/03/25,1339564.4,18905.2,28138.9,20644.5,384269.2,55766.6,78423.8,58314.2,1126.1,611.3,1898.3
2020/03/26,1197302.5,15549.9,28183.1,16782.0,381278.4,49589.0,66823.9,48396.1,1260.6,714.8,2096.7
2020/03/27,1248727.8,14790.8,33552.8,18127.2,456198.3,50804.6,71656.6,46939.7,1403.0,814.2,2309.7
2020/03/28,1147040.7,12983.0,43879.6,17136.3,446784.7,46289.3,72220.4,35211.0,1557.1,930.2,2537.2
2020/03/29,1047228.6,15361.1,41333.6,15045.3,395764.5,40271.0,65987.1,34445.0,1728.9,1073.6,2782.9
2020/03/30,1192589.3,15263.9,29047.9,17536.0,369868.4,47503.9,67655.7,48313.1,1910.7,1213.9,3035.8
2020/03/31,1216658.1,15528.0,30932.9,17836.4,388568.8,50112.1,69030.1,48989.4,2104.7,1327.4,3300.3
2020/04/01,1208182.4,16125.1,28138.9,17928.9,384269.2,49678.4,67645.6,48990.0,2315.5,1455.1,3587.6
2020/04/02,1160546.3,14852.1,28183.1,16779.9,381278.4,49609.2,67860.4,46273.6,2542.2,1574.0,3892.8
2020/04/03,1255018.3,14186.5,33552.8,19467.0,456198.3,55294.5,74978.0,46813.5,2783.2,1712.7,4196.8
2020/04/04,1113466.7,11709.3,43879.6,16383.9,446784.7,45840.3,74414.5,33240.1,3040.1,1850.1,4513.6
2020/04/05,961596.9,11921.7,41333.6,15011.7,395764.5,34682.5,62261.4,28094.6,3315.5,1990.9,4848.2
2020/04/06,1026962.5,10430.2,29047.9,16027.1,369868.4,40267.3,62554.7,38497.4,3598.3,2148.8,5195.0
2020/04/07,1126133.4,13049.2,30932.9,17390.3,388568.8,45581.5,64752.0,43159.5,3894.9,2334.6,5549.3
2020/04/08,1097003.0,13329.9,28138.9,16748.1,384269.2,45426.1,64551.4,43842.8,4212.7,2527.8,5913.8
2020/04/09,1086925.7,12576.0,28183.1,17432.2,381278.4,45167.7,63005.3,41454.8,4545.0,2734.2,6282.5
2020/04/10,1209874.8,12544.2,33552.8,18806.4,456198.3,53806.1,71301.3,44411.5,4890.7,2953.8,6677.6
2020/04/11,1157066.5,12625.9,43879.6,19592.8,446784.7,49167.4,76790.5,35819.1,5245.0,3187.1,7080.8
2020/04/12,913477.3,11695.3,41333.6,12788.6,395764.5,29764.3,52454.6,24943.3,5612.9,3421.2,7487.1
2020/04/13,1050291.0,11519.1,29047.9,14596.2,369868.4,42516.9,58249.3,38982.5,5984.8,3673.1,7895.5
2020/04/14,1106937.7,13530.9,30932.9,16054.3,388568.8,45522.8,61579.5,40969.7,6362.6,3924.1,8290.3
2020/04/15,1128504.5,13653.1,28138.9,16170.2,384269.2,49690.8,60650.7,42577.3,6749.3,4185.0,8699.9
2020/04/16,1097595.9,13353.6,28183.1,14861.9,381278.4,47725.0,59940.7,41155.4,7144.0,4461.2,9181.2
2020/04/17,1220744.0,13476.5,33552.8,17984.2,456198.3,53510.5,65007.7,44000.3,7546.0,4757.7,9582.8
2020/04/18,1182499.6,12988.0,43879.6,16727.0,446784.7,54006.8,69241.2,38743.4,7956.4,5049.4,9984.7
2020/04/19,1062573.7,14625.7,41333.6,14680.0,395764.5,45553.9,61868.6,32652.4,8381.6,5349.0,10434.3
2020/04/20,1127116.5,13805.1,29047.9,15553.3,369868.4,45938.4,61532.0,44831.6,8811.8,5666.0,11005.0
2020/04/21,1204848.0,15916.1,30932.9,17682.4,388568.8,51644.2,66796.6,49016.8,9243.6,5984.5,11473.8
2020/04/22,1228880.3,16134.6,28138.9,17134.6,384269.2,55593.8,67568.2,49393.2,9683.6,6310.6,11949.1
2020/04/23,1231403.9,15505.7,28183.1,16750.3,381278.4,56275.2,65890.7,50068.0,10130.1,6629.9,12464.5
2020/04/24,1352305.2,16071.0,33552.8,17536.7,456198.3,64373.7,72675.4,51853.4,10581.8,6947.5,13062.3
2020/04/25,1300467.7,15369.4,43879.6,16632.6,446784.7,62232.2,73053.0,43854.5,11040.3,7287.0,13675.3
2020/04/26,1107539.2,14538.7,41333.6,14596.6,395764.5,49856.1,64086.4,34890.2,11513.3,7648.8,14315.4
2020/04/27,1206591.6,13533.2,29047.9,17078.9,369868.4,51484.3,63784.4,47863.3,11988.1,8010.6,14941.7
2020/04/28,1254163.2,14565.1,30932.9,18235.0,388568.8,55027.8,64480.3,50892.5,12465.1,8373.6,15582.6
2020/04/29,1220875.9,14758.4,28138.9,16918.6,384269.2,53085.4,64226.1,48825.6,12947.3,8752.5,16218.4
2020/04/30,1201843.6,13562.7,28183.1,16632.4,381278.4,56617.9,62169.9,47017.2,13435.0,9126.6,16862.3
2020/05/01,1376505.4,15411.6,33552.8,17787.9,456198.3,64034.6,71612.4,51015.6,13931.8,9503.4,17522.3
2020/05/02,1263603.7,13191.7,43879.6,16723.3,446784.7,63013.7,70761.0,40158.4,14439.3,9892.9,18197.9
2020/05/03,,,,,,,,,14960.7,10303.5,18899.7
2020/05/04,,,,,,,,,15489.0,10716.3,19607.1
2020/05/05,,,,,,,,,16013.5,11138.7,20320.9
2020/05/06,,,,,,,,,16537.2,11559.7,21027.1
2020/05/07,,,,,,,,,17058.9,11992.6,21738.2
