date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1888604.5,53757.0,41333.6,24327.6,395764.5,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2110474.3,28652.2,29047.9,26485.2,369868.4,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2158798.8,34395.3,30932.9,28030.0,388568.8,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2176130.2,34867.8,28138.9,29515.9,384269.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2161758.9,30304.5,28183.1,32793.8,381278.4,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2297939.4,29895.4,33552.8,40001.6,456198.3,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1784872.8,23801.3,43879.6,31343.7,446784.7,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1546356.8,31604.8,41333.6,27508.1,395764.5,72052.1,109065.0,82732.7,315.1,119.6,577.9
2020/03/16,1656794.2,19228.4,29047.9,37563.2,369868.4,79560.6,98243.7,96114.4,363.9,140.6,664.2
2020/03/17,1320073.9,16503.9,30932.9,22319.0,388568.8,51186.6,91926.1,53391.6,415.7,163.4,755.7
2020/03/18,1267368.9,15142.4,28138.9,21197.9,384269.2,49502.1,88843.4,51759.5,472.7,189.3,854.7
2020/03/19,1267185.7,16883.5,28183.1,21781.8,381278.4,48294.2,87397.3,52331.4,535.7,218.4,960.5
2020/03/20,1244014.9,15886.5,33552.8,14850.9,456198.3,39305.4,97300.7,44514.5,606.7,254.9,1075.4
2020/03/21,1087341.1,14134.8,43879.6,9180.9,446784.7,27258.8,103551.5,31880.8,688.6,301.2,1208.2
2020/03/22,1168295.7,15017.0,41333.6,17402.2,395764.5,42301.5,109065.0,37530.5,782.6,353.1,1358.4
2020/03/23,1235292.7,15515.0,29047.9,18770.1,369868.4,46339.1,98243.7,50202.1,885.6,417.6,1520.4
2020/03/24,1219191.6,14633.7,30932.9,18536.4,388568.8,45811.9,91926.1,47994.5,998.8,492.6,1700.2
2020/03/25,1349984.0,18905.2,28138.9,20644.5,384269.2,55766.6,88843.4,58314.2,1125.3,591.0,1888.2
2020/03/26,1217875.9,15549.9,28183.1,16782.0,381278.4,49589.0,87397.3,48396.1,1259.8,694.4,2088.3
2020/03/27,1274372.0,14790.8,33552.8,18127.2,456198.3,50804.6,97300.7,46939.7,1402.7,808.1,2296.9
2020/03/28,1178371.8,12983.0,43879.6,17136.3,446784.7,46289.3,103551.5,35211.0,1556.6,911.4,2525.1
2020/03/29,1090306.5,15361.1,41333.6,15045.3,395764.5,40271.0,109065.0,34445.0,1728.8,1046.5,2764.7
2020/03/30,1223177.3,15263.9,29047.9,17536.0,369868.4,47503.9,98243.7,48313.1,1911.2,1204.2,3009.3
2020/03/31,1239554.1,15528.0,30932.9,17836.4,388568.8,50112.1,91926.1,48989.4,2106.0,1338.9,3264.4
2020/04/01,1229380.2,16125.1,28138.9,17928.9,384269.2,49678.4,88843.4,48990.0,2317.6,1475.4,3550.5
2020/04/02,1180083.2,14852.1,28183.1,16779.9,381278.4,49609.2,87397.3,46273.6,2545.3,1582.8,3851.1
2020/04/03,1277341.0,14186.5,33552.8,19467.0,456198.3,55294.5,97300.7,46813.5,2788.7,1695.4,4175.6
2020/04/04,1142603.7,11709.3,43879.6,16383.9,446784.7,45840.3,103551.5,33240.1,3047.6,1839.6,4506.6
2020/04/05,1008400.5,11921.7,41333.6,15011.7,395764.5,34682.5,109065.0,28094.6,3325.2,2017.0,4845.6
2020/04/06,1062651.5,10430.2,29047.9,16027.1,369868.4,40267.3,98243.7,38497.4,3611.1,2184.3,5180.9
2020/04/07,1153307.5,13049.2,30932.9,17390.3,388568.8,45581.5,91926.1,43159.5,3911.5,2358.9,5556.6
2020/04/08,1121295.0,13329.9,28138.9,16748.1,384269.2,45426.1,88843.4,43842.8,4234.1,2562.6,5944.5
2020/04/09,1111317.7,12576.0,28183.1,17432.2,381278.4,45167.7,87397.3,41454.8,4569.6,2790.7,6355.0
2020/04/10,1235874.2,12544.2,33552.8,18806.4,456198.3,53806.1,97300.7,44411.5,4918.4,3017.7,6774.2
2020/04/11,1183827.5,12625.9,43879.6,19592.8,446784.7,49167.4,103551.5,35819.1,5277.3,3286.8,7193.4
2020/04/12,970087.7,11695.3,41333.6,12788.6,395764.5,29764.3,109065.0,24943.3,5651.4,3527.9,7623.5
2020/04/13,1090285.4,11519.1,29047.9,14596.2,369868.4,42516.9,98243.7,38982.5,6029.1,3777.5,8052.5
2020/04/14,1137284.3,13530.9,30932.9,16054.3,388568.8,45522.8,91926.1,40969.7,6412.3,4028.8,8474.8
2020/04/15,1156697.2,13653.1,28138.9,16170.2,384269.2,49690.8,88843.4,42577.3,6804.6,4287.4,8910.5
2020/04/16,1125052.5,13353.6,28183.1,14861.9,381278.4,47725.0,87397.3,41155.4,7205.5,4546.9,9360.5
2020/04/17,1253037.1,13476.5,33552.8,17984.2,456198.3,53510.5,97300.7,44000.3,7615.0,4814.6,9791.4
2020/04/18,1216809.9,12988.0,43879.6,16727.0,446784.7,54006.8,103551.5,38743.4,8033.6,5090.6,10295.3
2020/04/19,1109770.1,14625.7,41333.6,14680.0,395764.5,45553.9,109065.0,32652.4,8467.3,5380.1,10788.9
2020/04/20,1163828.2,13805.1,29047.9,15553.3,369868.4,45938.4,98243.7,44831.6,8907.3,5661.5,11288.4
2020/04/21,1229977.5,15916.1,30932.9,17682.4,388568.8,51644.2,91926.1,49016.8,9349.1,5945.4,11783.6
2020/04/22,1250155.5,16134.6,28138.9,17134.6,384269.2,55593.8,88843.4,49393.2,9798.0,6242.3,12335.3
2020/04/23,1252910.5,15505.7,28183.1,16750.3,381278.4,56275.2,87397.3,50068.0,10254.2,6560.0,12891.9
2020/04/24,1376930.5,16071.0,33552.8,17536.7,456198.3,64373.7,97300.7,51853.4,10715.6,6883.8,13390.0
2020/04/25,1330966.1,15369.4,43879.6,16632.6,446784.7,62232.2,103551.5,43854.5,11185.6,7230.5,13959.0
2020/04/26,1152517.8,14538.7,41333.6,14596.6,395764.5,49856.1,109065.0,34890.2,11669.9,7590.5,14597.3
2020/04/27,1241050.9,13533.2,29047.9,17078.9,369868.4,51484.3,98243.7,47863.3,12156.4,7947.6,15259.8
2020/04/28,1281609.0,14565.1,30932.9,18235.0,388568.8,55027.8,91926.1,50892.5,12646.1,8323.9,15946.8
2020/04/29,1245493.1,14758.4,28138.9,16918.6,384269.2,53085.4,88843.4,48825.6,13141.3,8701.7,16627.6
2020/04/30,1227071.1,13562.7,28183.1,16632.4,381278.4,56617.9,87397.3,47017.2,13641.7,9084.5,17318.2
2020/05/01,1402193.7,15411.6,33552.8,17787.9,456198.3,64034.6,97300.7,51015.6,14150.9,9486.6,18023.5
2020/05/02,1296394.2,13191.7,43879.6,16723.3,446784.7,63013.7,103551.5,40158.4,14673.4,9906.7,18748.5
2020/05/03,,,,,,,,,15207.1,10338.1,19483.3
2020/05/04,,,,,,,,,15748.7,10767.4,20230.5
2020/05/05,,,,,,,,,16288.2,11192.8,20951.2
2020/05/06,,,,,,,,,16826.6,11626.9,21674.8
2020/05/07,,,,,,,,,17362.3,12072.3,22398.9
