date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1902567.6,53757.0,41333.6,26846.7,395764.5,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2121261.7,28652.2,29047.9,30067.7,369868.4,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2168216.4,34395.3,30932.9,28787.0,388568.8,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2182250.2,34867.8,28138.9,27695.2,384269.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2158458.4,30304.5,28183.1,27339.9,381278.4,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2295021.5,29895.4,33552.8,29619.6,456198.3,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1816294.1,23801.3,43879.6,27190.6,446784.7,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1586211.3,31604.8,41333.6,26846.7,395764.5,112568.1,109065.0,82732.7,315.2,119.8,578.1
2020/03/16,1676349.4,19228.4,29047.9,30067.7,369868.4,106611.3,98243.7,96114.4,364.1,141.1,664.3
2020/03/17,1387268.8,16503.9,30932.9,28787.0,388568.8,111913.5,91926.1,53391.6,415.9,163.5,756.5
2020/03/18,1337539.4,15142.4,28138.9,27695.2,384269.2,113175.3,88843.4,51759.5,472.7,189.5,855.0
2020/03/19,1334776.5,16883.5,28183.1,27339.9,381278.4,110326.9,87397.3,52331.4,535.7,218.9,961.1
2020/03/20,1348040.9,15886.5,33552.8,29619.6,456198.3,128562.6,97300.7,44514.5,606.9,257.2,1082.0
2020/03/21,1205866.2,14134.8,43879.6,27190.6,446784.7,127774.1,103551.5,31880.8,688.7,306.0,1216.7
2020/03/22,1248006.8,15017.0,41333.6,26846.7,395764.5,112568.1,109065.0,37530.5,782.6,359.3,1367.2
2020/03/23,1306862.5,15515.0,29047.9,30067.7,369868.4,106611.3,98243.7,50202.1,886.0,421.3,1529.8
2020/03/24,1295543.8,14633.7,30932.9,28787.0,388568.8,111913.5,91926.1,47994.5,1000.3,493.6,1707.4
2020/03/25,1414443.4,18905.2,28138.9,27695.2,384269.2,113175.3,88843.4,58314.2,1128.1,587.1,1909.6
2020/03/26,1289171.6,15549.9,28183.1,27339.9,381278.4,110326.9,87397.3,48396.1,1264.2,687.2,2119.8
2020/03/27,1363622.4,14790.8,33552.8,29619.6,456198.3,128562.6,97300.7,46939.7,1408.6,804.4,2336.2
2020/03/28,1269911.0,12983.0,43879.6,27190.6,446784.7,127774.1,103551.5,35211.0,1565.2,920.0,2569.3
2020/03/29,1174405.0,15361.1,41333.6,26846.7,395764.5,112568.1,109065.0,34445.0,1740.5,1058.0,2822.1
2020/03/30,1294816.5,15263.9,29047.9,30067.7,369868.4,106611.3,98243.7,48313.1,1927.2,1159.5,3088.0
2020/03/31,1312306.1,15528.0,30932.9,28787.0,388568.8,111913.5,91926.1,48989.4,2126.3,1257.7,3362.4
2020/04/01,1302643.5,16125.1,28138.9,27695.2,384269.2,113175.3,88843.4,48990.0,2342.7,1397.1,3654.7
2020/04/02,1251360.9,14852.1,28183.1,27339.9,381278.4,110326.9,87397.3,46273.6,2576.1,1584.4,3964.7
2020/04/03,1360761.8,14186.5,33552.8,29619.6,456198.3,128562.6,97300.7,46813.5,2825.7,1732.0,4279.5
2020/04/04,1235344.2,11709.3,43879.6,27190.6,446784.7,127774.1,103551.5,33240.1,3091.6,1909.8,4605.1
2020/04/05,1098121.2,11921.7,41333.6,26846.7,395764.5,112568.1,109065.0,28094.6,3376.9,2052.2,4949.7
2020/04/06,1143036.1,10430.2,29047.9,30067.7,369868.4,106611.3,98243.7,38497.4,3671.5,2202.7,5303.5
2020/04/07,1231036.2,13049.2,30932.9,28787.0,388568.8,111913.5,91926.1,43159.5,3979.8,2366.3,5666.8
2020/04/08,1199991.3,13329.9,28138.9,27695.2,384269.2,113175.3,88843.4,43842.8,4310.8,2553.3,6050.1
2020/04/09,1186384.6,12576.0,28183.1,27339.9,381278.4,110326.9,87397.3,41454.8,4657.2,2750.6,6444.6
2020/04/10,1321443.9,12544.2,33552.8,29619.6,456198.3,128562.6,97300.7,44411.5,5016.8,2994.8,6852.0
2020/04/11,1270032.0,12625.9,43879.6,27190.6,446784.7,127774.1,103551.5,35819.1,5388.0,3278.8,7267.6
2020/04/12,1066949.6,11695.3,41333.6,26846.7,395764.5,112568.1,109065.0,24943.3,5775.1,3591.7,7694.7
2020/04/13,1169851.3,11519.1,29047.9,30067.7,369868.4,106611.3,98243.7,38982.5,6166.3,3850.6,8129.3
2020/04/14,1216407.8,13530.9,30932.9,28787.0,388568.8,111913.5,91926.1,40969.7,6563.6,4115.0,8561.1
2020/04/15,1231706.8,13653.1,28138.9,27695.2,384269.2,113175.3,88843.4,42577.3,6970.3,4384.7,8992.3
2020/04/16,1200132.4,13353.6,28183.1,27339.9,381278.4,110326.9,87397.3,41155.4,7387.3,4657.2,9453.5
2020/04/17,1339724.6,13476.5,33552.8,29619.6,456198.3,128562.6,97300.7,44000.3,7812.4,4939.0,9930.1
2020/04/18,1301040.9,12988.0,43879.6,27190.6,446784.7,127774.1,103551.5,38743.4,8248.3,5220.5,10421.9
2020/04/19,1188950.9,14625.7,41333.6,26846.7,395764.5,112568.1,109065.0,32652.4,8699.6,5518.0,10950.2
2020/04/20,1239015.5,13805.1,29047.9,30067.7,369868.4,106611.3,98243.7,44831.6,9157.2,5819.0,11543.7
2020/04/21,1301351.4,15916.1,30932.9,28787.0,388568.8,111913.5,91926.1,49016.8,9618.0,6132.7,12127.9
2020/04/22,1318297.5,16134.6,28138.9,27695.2,384269.2,113175.3,88843.4,49393.2,10085.8,6457.7,12741.2
2020/04/23,1317551.8,15505.7,28183.1,27339.9,381278.4,110326.9,87397.3,50068.0,10561.1,6789.7,13357.3
2020/04/24,1453202.4,16071.0,33552.8,29619.6,456198.3,128562.6,97300.7,51853.4,11042.6,7127.7,13993.1
2020/04/25,1407066.1,15369.4,43879.6,27190.6,446784.7,127774.1,103551.5,43854.5,11533.3,7466.4,14634.0
2020/04/26,1227479.8,14538.7,41333.6,26846.7,395764.5,112568.1,109065.0,34890.2,12038.1,7824.5,15292.0
2020/04/27,1309166.6,13533.2,29047.9,30067.7,369868.4,106611.3,98243.7,47863.3,12546.4,8197.8,15958.1
2020/04/28,1349046.7,14565.1,30932.9,28787.0,388568.8,111913.5,91926.1,50892.5,13055.5,8571.1,16620.2
2020/04/29,1316359.6,14758.4,28138.9,27695.2,384269.2,113175.3,88843.4,48825.6,13570.6,8945.3,17291.6
2020/04/30,1291487.5,13562.7,28183.1,27339.9,381278.4,110326.9,87397.3,47017.2,14092.3,9346.3,17959.2
2020/05/01,1478553.4,15411.6,33552.8,29619.6,456198.3,128562.6,97300.7,51015.6,14622.1,9751.5,18645.2
2020/05/02,1371621.8,13191.7,43879.6,27190.6,446784.7,127774.1,103551.5,40158.4,15164.4,10172.8,19353.1
2020/05/03,,,,,,,,,15721.6,10603.3,20078.6
2020/05/04,,,,,,,,,16284.3,11047.2,20805.3
2020/05/05,,,,,,,,,16846.2,11497.6,21541.6
2020/05/06,,,,,,,,,17405.8,11946.6,22269.7
2020/05/07,,,,,,,,,17964.1,12408.3,22986.2
