date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1912650.0,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2126832.9,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2174311.8,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2184436.7,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2160439.0,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2299163.8,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1824592.7,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1618445.9,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,82732.7,315.2,119.8,578.1
2020/03/16,1691344.5,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,96114.4,364.1,140.1,666.5
2020/03/17,1411255.7,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,53391.6,416.0,160.9,755.7
2020/03/18,1359451.2,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,51759.5,473.2,186.1,855.1
2020/03/19,1350178.2,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,52331.4,536.5,219.3,963.3
2020/03/20,1366192.1,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,44514.5,607.4,257.8,1079.9
2020/03/21,1223831.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,31880.8,689.0,299.8,1214.0
2020/03/22,1296829.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,37530.5,782.5,361.4,1367.2
2020/03/23,1325570.9,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,50202.1,886.1,430.3,1523.5
2020/03/24,1321400.8,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,47994.5,1000.7,504.0,1702.8
2020/03/25,1432592.5,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,58314.2,1129.0,604.8,1902.7
2020/03/26,1305906.9,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,48396.1,1265.8,708.4,2118.0
2020/03/27,1382869.3,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,46939.7,1410.6,813.7,2341.7
2020/03/28,1289027.9,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,35211.0,1567.5,944.4,2577.1
2020/03/29,1222883.3,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,34445.0,1743.9,1066.0,2835.5
2020/03/30,1313776.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,48313.1,1931.8,1160.6,3098.4
2020/03/31,1337268.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,48989.4,2132.2,1266.2,3377.5
2020/04/01,1323572.6,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,48990.0,2351.3,1413.1,3672.6
2020/04/02,1268793.9,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,46273.6,2588.2,1573.6,3975.6
2020/04/03,1380613.0,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,46813.5,2840.1,1714.4,4295.5
2020/04/04,1255734.8,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,33240.1,3109.0,1890.7,4626.2
2020/04/05,1150038.8,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,28094.6,3398.8,2038.9,4983.1
2020/04/06,1166829.3,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,38497.4,3698.6,2200.5,5349.0
2020/04/07,1258477.7,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,43159.5,4014.3,2388.3,5721.3
2020/04/08,1223715.7,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,43842.8,4352.2,2623.4,6120.0
2020/04/09,1206093.9,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,41454.8,4707.2,2847.9,6515.6
2020/04/10,1342937.5,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,44411.5,5075.4,3050.5,6931.0
2020/04/11,1289506.1,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,35819.1,5455.7,3264.8,7369.6
2020/04/12,1119093.7,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,24943.3,5853.8,3532.8,7816.3
2020/04/13,1192555.6,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,38982.5,6256.5,3820.2,8270.3
2020/04/14,1243367.7,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,40969.7,6668.1,4075.7,8722.3
2020/04/15,1255107.9,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,42577.3,7090.5,4337.6,9177.5
2020/04/16,1219064.0,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,41155.4,7523.8,4625.6,9625.7
2020/04/17,1360285.8,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,44000.3,7963.8,4931.4,10160.7
2020/04/18,1320152.8,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,38743.4,8414.2,5238.8,10638.0
2020/04/19,1238164.6,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,32652.4,8882.9,5562.0,11154.4
2020/04/20,1259433.8,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,44831.6,9360.2,5894.8,11693.9
2020/04/21,1325926.1,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,49016.8,9841.4,6230.8,12181.8
2020/04/22,1339217.2,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,49393.2,10331.6,6590.0,12757.5
2020/04/23,1334331.3,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,50068.0,10829.9,6960.9,13365.7
2020/04/24,1471169.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,51853.4,11334.2,7334.9,14033.4
2020/04/25,1423796.5,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,43854.5,11846.1,7696.8,14712.4
2020/04/26,1276780.5,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,34890.2,12374.9,8073.2,15435.4
2020/04/27,1329856.8,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,47863.3,12909.1,8453.0,16174.2
2020/04/28,1374972.3,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,50892.5,13448.4,8837.7,16909.7
2020/04/29,1338655.5,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,48825.6,13992.3,9240.0,17649.8
2020/04/30,1310210.0,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,47017.2,14543.8,9655.1,18394.4
2020/05/01,1497179.5,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,51015.6,15104.1,10073.2,19146.6
2020/05/02,1390530.0,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,40158.4,15677.9,10513.4,19908.0
2020/05/03,,,,,,,,,16265.4,10968.9,20684.3
2020/05/04,,,,,,,,,16864.1,11447.0,21491.3
2020/05/05,,,,,,,,,17461.8,11923.9,22293.1
2020/05/06,,,,,,,,,18056.8,12419.4,23078.2
2020/05/07,,,,,,,,,18650.7,12915.2,23874.6
