date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1901206.0,63839.4,41333.6,26846.7,395764.5,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2119628.1,34223.4,29047.9,30067.7,369868.4,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2165651.1,40490.8,30932.9,28787.0,388568.8,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2176496.0,37054.3,28138.9,27695.2,384269.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2158285.6,32285.2,28183.1,27339.9,381278.4,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2291699.7,34037.7,33552.8,29619.6,456198.3,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1789018.3,32099.9,43879.6,27190.6,446784.7,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1577929.9,63839.4,41333.6,26846.7,395764.5,72052.1,109065.0,82732.7,315.1,119.7,578.2
2020/03/16,1664293.8,34223.4,29047.9,30067.7,369868.4,79560.6,98243.7,96114.4,364.0,139.2,664.3
2020/03/17,1350528.7,40490.8,30932.9,28787.0,388568.8,51186.6,91926.1,53391.6,416.3,163.7,754.4
2020/03/18,1295778.0,37054.3,28138.9,27695.2,384269.2,49502.1,88843.4,51759.5,473.5,189.0,855.4
2020/03/19,1288145.5,32285.2,28183.1,27339.9,381278.4,48294.2,87397.3,52331.4,536.7,220.2,964.0
2020/03/20,1276934.9,34037.7,33552.8,29619.6,456198.3,39305.4,97300.7,44514.5,607.7,260.0,1082.9
2020/03/21,1123316.0,32099.9,43879.6,27190.6,446784.7,27258.8,103551.5,31880.8,689.7,308.5,1210.2
2020/03/22,1226562.5,63839.4,41333.6,26846.7,395764.5,42301.5,109065.0,37530.5,784.0,359.5,1360.3
2020/03/23,1265298.8,34223.4,29047.9,30067.7,369868.4,46339.1,98243.7,50202.1,887.6,421.4,1526.7
2020/03/24,1255299.3,40490.8,30932.9,28787.0,388568.8,45811.9,91926.1,47994.5,1002.1,492.0,1711.7
2020/03/25,1375183.9,37054.3,28138.9,27695.2,384269.2,55766.6,88843.4,58314.2,1129.8,575.6,1906.7
2020/03/26,1245169.0,32285.2,28183.1,27339.9,381278.4,49589.0,87397.3,48396.1,1265.8,674.6,2114.9
2020/03/27,1305111.4,34037.7,33552.8,29619.6,456198.3,50804.6,97300.7,46939.7,1410.6,783.1,2331.0
2020/03/28,1207543.1,32099.9,43879.6,27190.6,446784.7,46289.3,103551.5,35211.0,1566.7,902.0,2552.7
2020/03/29,1150586.2,63839.4,41333.6,26846.7,395764.5,40271.0,109065.0,34445.0,1741.4,1039.2,2797.1
2020/03/30,1254668.6,34223.4,29047.9,30067.7,369868.4,47503.9,98243.7,48313.1,1927.1,1198.7,3058.9
2020/03/31,1275467.4,40490.8,30932.9,28787.0,388568.8,50112.1,91926.1,48989.4,2125.8,1335.3,3331.5
2020/04/01,1260075.7,37054.3,28138.9,27695.2,384269.2,49678.4,88843.4,48990.0,2341.1,1455.3,3617.5
2020/04/02,1208076.2,32285.2,28183.1,27339.9,381278.4,49609.2,87397.3,46273.6,2573.3,1562.0,3924.6
2020/04/03,1307345.0,34037.7,33552.8,29619.6,456198.3,55294.5,97300.7,46813.5,2821.3,1682.3,4246.5
2020/04/04,1173801.0,32099.9,43879.6,27190.6,446784.7,45840.3,103551.5,33240.1,3086.0,1835.6,4583.0
2020/04/05,1072153.2,63839.4,41333.6,26846.7,395764.5,34682.5,109065.0,28094.6,3369.7,1990.4,4935.9
2020/04/06,1100485.3,34223.4,29047.9,30067.7,369868.4,40267.3,98243.7,38497.4,3663.2,2168.8,5299.2
2020/04/07,1192145.7,40490.8,30932.9,28787.0,388568.8,45581.5,91926.1,43159.5,3972.6,2382.9,5675.5
2020/04/08,1155966.6,37054.3,28138.9,27695.2,384269.2,45426.1,88843.4,43842.8,4304.4,2591.8,6077.7
2020/04/09,1140934.6,32285.2,28183.1,27339.9,381278.4,45167.7,87397.3,41454.8,4650.4,2831.3,6490.9
2020/04/10,1268181.0,34037.7,33552.8,29619.6,456198.3,53806.1,97300.7,44411.5,5011.2,3057.8,6910.7
2020/04/11,1210899.4,32099.9,43879.6,27190.6,446784.7,49167.4,103551.5,35819.1,5382.3,3294.5,7349.2
2020/04/12,1036289.9,63839.4,41333.6,26846.7,395764.5,29764.3,109065.0,24943.3,5770.2,3532.1,7788.6
2020/04/13,1128461.2,34223.4,29047.9,30067.7,369868.4,42516.9,98243.7,38982.5,6163.7,3781.1,8234.0
2020/04/14,1176976.9,40490.8,30932.9,28787.0,388568.8,45522.8,91926.1,40969.7,6565.4,4041.9,8679.9
2020/04/15,1191623.4,37054.3,28138.9,27695.2,384269.2,49690.8,88843.4,42577.3,6976.2,4311.7,9130.1
2020/04/16,1156462.0,32285.2,28183.1,27339.9,381278.4,47725.0,87397.3,41155.4,7398.3,4599.9,9584.9
2020/04/17,1285233.7,34037.7,33552.8,29619.6,456198.3,53510.5,97300.7,44000.3,7826.7,4906.6,10055.5
2020/04/18,1246385.5,32099.9,43879.6,27190.6,446784.7,54006.8,103551.5,38743.4,8264.9,5220.6,10534.5
2020/04/19,1171150.4,63839.4,41333.6,26846.7,395764.5,45553.9,109065.0,32652.4,8719.8,5544.7,11088.4
2020/04/20,1198760.9,34223.4,29047.9,30067.7,369868.4,45938.4,98243.7,44831.6,9182.8,5882.7,11591.3
2020/04/21,1265656.7,40490.8,30932.9,28787.0,388568.8,51644.2,91926.1,49016.8,9650.5,6228.4,12152.1
2020/04/22,1281635.7,37054.3,28138.9,27695.2,384269.2,55593.8,88843.4,49393.2,10125.5,6585.1,12733.0
2020/04/23,1280279.6,32285.2,28183.1,27339.9,381278.4,56275.2,87397.3,50068.0,10608.8,6957.1,13350.2
2020/04/24,1406980.3,34037.7,33552.8,29619.6,456198.3,64373.7,97300.7,51853.4,11096.5,7337.6,13991.3
2020/04/25,1358254.7,32099.9,43879.6,27190.6,446784.7,62232.2,103551.5,43854.5,11593.5,7720.7,14646.1
2020/04/26,1214068.6,63839.4,41333.6,26846.7,395764.5,49856.1,109065.0,34890.2,12105.7,8103.6,15318.2
2020/04/27,1274729.8,34223.4,29047.9,30067.7,369868.4,51484.3,98243.7,47863.3,12623.1,8478.9,15998.2
2020/04/28,1318086.6,40490.8,30932.9,28787.0,388568.8,55027.8,91926.1,50892.5,13144.1,8865.0,16681.0
2020/04/29,1278565.6,37054.3,28138.9,27695.2,384269.2,53085.4,88843.4,48825.6,13670.6,9275.3,17362.9
2020/04/30,1256501.0,32285.2,28183.1,27339.9,381278.4,56617.9,87397.3,47017.2,14204.0,9679.5,18059.2
2020/05/01,1432651.5,34037.7,33552.8,29619.6,456198.3,64034.6,97300.7,51015.6,14744.7,10105.9,18764.6
2020/05/02,1325769.7,32099.9,43879.6,27190.6,446784.7,63013.7,103551.5,40158.4,15297.0,10539.8,19490.2
2020/05/03,,,,,,,,,15864.4,10978.2,20225.9
2020/05/04,,,,,,,,,16441.2,11427.1,20970.3
2020/05/05,,,,,,,,,17016.1,11890.5,21710.9
2020/05/06,,,,,,,,,17589.2,12364.6,22443.7
2020/05/07,,,,,,,,,18161.6,12839.5,23171.7
