date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1898686.9,63839.4,41333.6,24327.6,395764.5,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2116045.6,34223.4,29047.9,26485.2,369868.4,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2164894.2,40490.8,30932.9,28030.0,388568.8,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2178316.6,37054.3,28138.9,29515.9,384269.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2163739.5,32285.2,28183.1,32793.8,381278.4,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2302081.7,34037.7,33552.8,40001.6,456198.3,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1793171.4,32099.9,43879.6,31343.7,446784.7,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1578591.3,63839.4,41333.6,27508.1,395764.5,72052.1,109065.0,82732.7,315.1,119.6,577.8
2020/03/16,1671789.3,34223.4,29047.9,37563.2,369868.4,79560.6,98243.7,96114.4,364.1,140.6,665.4
2020/03/17,1344060.8,40490.8,30932.9,22319.0,388568.8,51186.6,91926.1,53391.6,416.5,162.6,754.7
2020/03/18,1289280.7,37054.3,28138.9,21197.9,384269.2,49502.1,88843.4,51759.5,473.5,188.2,853.1
2020/03/19,1282587.4,32285.2,28183.1,21781.8,381278.4,48294.2,87397.3,52331.4,536.7,220.1,958.2
2020/03/20,1262166.1,34037.7,33552.8,14850.9,456198.3,39305.4,97300.7,44514.5,607.9,258.3,1083.0
2020/03/21,1105306.2,32099.9,43879.6,9180.9,446784.7,27258.8,103551.5,31880.8,689.7,305.6,1215.7
2020/03/22,1217118.0,63839.4,41333.6,17402.2,395764.5,42301.5,109065.0,37530.5,783.4,358.1,1366.2
2020/03/23,1254001.1,34223.4,29047.9,18770.1,369868.4,46339.1,98243.7,50202.1,887.5,424.2,1536.0
2020/03/24,1245048.7,40490.8,30932.9,18536.4,388568.8,45811.9,91926.1,47994.5,1002.2,504.2,1712.0
2020/03/25,1368133.1,37054.3,28138.9,20644.5,384269.2,55766.6,88843.4,58314.2,1130.3,601.1,1908.4
2020/03/26,1234611.1,32285.2,28183.1,16782.0,381278.4,49589.0,87397.3,48396.1,1266.5,705.8,2109.6
2020/03/27,1293618.9,34037.7,33552.8,18127.2,456198.3,50804.6,97300.7,46939.7,1411.3,799.5,2328.6
2020/03/28,1197488.7,32099.9,43879.6,17136.3,446784.7,46289.3,103551.5,35211.0,1568.3,918.1,2560.1
2020/03/29,1138784.8,63839.4,41333.6,15045.3,395764.5,40271.0,109065.0,34445.0,1743.0,1067.9,2807.1
2020/03/30,1242136.8,34223.4,29047.9,17536.0,369868.4,47503.9,98243.7,48313.1,1928.6,1217.5,3054.7
2020/03/31,1264516.9,40490.8,30932.9,17836.4,388568.8,50112.1,91926.1,48989.4,2127.4,1355.0,3318.1
2020/04/01,1250309.4,37054.3,28138.9,17928.9,384269.2,49678.4,88843.4,48990.0,2343.0,1455.7,3600.9
2020/04/02,1197516.2,32285.2,28183.1,16779.9,381278.4,49609.2,87397.3,46273.6,2574.9,1562.0,3902.3
2020/04/03,1297192.3,34037.7,33552.8,19467.0,456198.3,55294.5,97300.7,46813.5,2822.8,1679.3,4220.8
2020/04/04,1162994.3,32099.9,43879.6,16383.9,446784.7,45840.3,103551.5,33240.1,3085.9,1812.5,4552.6
2020/04/05,1060318.2,63839.4,41333.6,15011.7,395764.5,34682.5,109065.0,28094.6,3369.9,1988.3,4895.7
2020/04/06,1086444.7,34223.4,29047.9,16027.1,369868.4,40267.3,98243.7,38497.4,3663.6,2173.0,5246.5
2020/04/07,1180749.0,40490.8,30932.9,17390.3,388568.8,45581.5,91926.1,43159.5,3972.6,2343.4,5612.6
2020/04/08,1145019.4,37054.3,28138.9,16748.1,384269.2,45426.1,88843.4,43842.8,4302.9,2550.4,5990.6
2020/04/09,1131027.0,32285.2,28183.1,17432.2,381278.4,45167.7,87397.3,41454.8,4648.7,2774.5,6380.4
2020/04/10,1257367.7,34037.7,33552.8,18806.4,456198.3,53806.1,97300.7,44411.5,5008.9,3001.0,6785.6
2020/04/11,1203301.5,32099.9,43879.6,19592.8,446784.7,49167.4,103551.5,35819.1,5380.5,3260.0,7204.2
2020/04/12,1022231.8,63839.4,41333.6,12788.6,395764.5,29764.3,109065.0,24943.3,5767.6,3503.7,7629.6
2020/04/13,1112989.8,34223.4,29047.9,14596.2,369868.4,42516.9,98243.7,38982.5,6160.0,3761.7,8050.6
2020/04/14,1164244.2,40490.8,30932.9,16054.3,388568.8,45522.8,91926.1,40969.7,6559.7,4022.8,8474.9
2020/04/15,1180098.4,37054.3,28138.9,16170.2,384269.2,49690.8,88843.4,42577.3,6970.0,4296.3,8950.5
2020/04/16,1143984.1,32285.2,28183.1,14861.9,381278.4,47725.0,87397.3,41155.4,7391.0,4584.8,9455.0
2020/04/17,1273598.3,34037.7,33552.8,17984.2,456198.3,53510.5,97300.7,44000.3,7819.0,4877.6,9991.2
2020/04/18,1235921.8,32099.9,43879.6,16727.0,446784.7,54006.8,103551.5,38743.4,8255.9,5180.6,10452.2
2020/04/19,1158983.7,63839.4,41333.6,14680.0,395764.5,45553.9,109065.0,32652.4,8709.6,5495.4,11003.0
2020/04/20,1184246.5,34223.4,29047.9,15553.3,369868.4,45938.4,98243.7,44831.6,9172.1,5807.3,11516.9
2020/04/21,1254552.1,40490.8,30932.9,17682.4,388568.8,51644.2,91926.1,49016.8,9637.7,6132.7,12109.0
2020/04/22,1271075.1,37054.3,28138.9,17134.6,384269.2,55593.8,88843.4,49393.2,10111.8,6453.1,12729.9
2020/04/23,1269690.0,32285.2,28183.1,16750.3,381278.4,56275.2,87397.3,50068.0,10594.4,6790.4,13362.0
2020/04/24,1394897.3,34037.7,33552.8,17536.7,456198.3,64373.7,97300.7,51853.4,11081.6,7134.8,14010.5
2020/04/25,1347696.6,32099.9,43879.6,16632.6,446784.7,62232.2,103551.5,43854.5,11577.1,7489.8,14681.2
2020/04/26,1201818.5,63839.4,41333.6,14596.6,395764.5,49856.1,109065.0,34890.2,12087.6,7867.7,15365.6
2020/04/27,1261741.0,34223.4,29047.9,17078.9,369868.4,51484.3,98243.7,47863.3,12603.8,8258.3,16040.3
2020/04/28,1307534.6,40490.8,30932.9,18235.0,388568.8,55027.8,91926.1,50892.5,13123.1,8647.4,16739.0
2020/04/29,1267789.0,37054.3,28138.9,16918.6,384269.2,53085.4,88843.4,48825.6,13647.9,9044.9,17457.6
2020/04/30,1245793.5,32285.2,28183.1,16632.4,381278.4,56617.9,87397.3,47017.2,14178.6,9449.6,18166.9
2020/05/01,1420819.8,34037.7,33552.8,17787.9,456198.3,64034.6,97300.7,51015.6,14718.6,9871.4,18894.7
2020/05/02,1315302.4,32099.9,43879.6,16723.3,446784.7,63013.7,103551.5,40158.4,15269.7,10297.4,19629.4
2020/05/03,,,,,,,,,15836.6,10753.1,20386.5
2020/05/04,,,,,,,,,16411.7,11207.9,21162.7
2020/05/05,,,,,,,,,16986.5,11668.7,21914.6
2020/05/06,,,,,,,,,17557.2,12134.1,22622.1
2020/05/07,,,,,,,,,18128.8,12607.2,23316.8
