date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1890499.3,53757.0,41333.6,24327.6,395764.5,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2112821.6,28652.2,29047.9,26485.2,369868.4,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2167070.8,34395.3,30932.9,28030.0,388568.8,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2193183.4,34867.8,28138.9,29515.9,384269.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2189745.1,30304.5,28183.1,32793.8,381278.4,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2354848.6,29895.4,33552.8,40001.6,456198.3,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1846563.8,23801.3,43879.6,31343.7,446784.7,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1594766.1,31604.8,41333.6,27508.1,395764.5,112568.1,116958.3,82732.7,315.1,119.5,577.9
2020/03/16,1732945.5,19228.4,29047.9,37563.2,369868.4,106611.3,147344.3,96114.4,364.0,140.5,664.0
2020/03/17,1371736.9,16503.9,30932.9,22319.0,388568.8,111913.5,82862.2,53391.6,415.9,163.6,757.0
2020/03/18,1318922.5,15142.4,28138.9,21197.9,384269.2,113175.3,76723.9,51759.5,472.7,189.9,857.7
2020/03/19,1318480.9,16883.5,28183.1,21781.8,381278.4,110326.9,76659.9,52331.4,536.1,219.3,962.6
2020/03/20,1297509.2,15886.5,33552.8,14850.9,456198.3,128562.6,61537.8,44514.5,607.5,260.3,1077.7
2020/03/21,1128851.5,14134.8,43879.6,9180.9,446784.7,127774.1,44546.5,31880.8,689.3,307.0,1208.1
2020/03/22,1201448.9,15017.0,41333.6,17402.2,395764.5,112568.1,71951.6,37530.5,783.2,363.4,1362.8
2020/03/23,1268774.1,15515.0,29047.9,18770.1,369868.4,106611.3,71453.0,50202.1,886.5,423.4,1526.1
2020/03/24,1263560.4,14633.7,30932.9,18536.4,388568.8,111913.5,70193.3,47994.5,1000.4,497.6,1710.4
2020/03/25,1396973.1,18905.2,28138.9,20644.5,384269.2,113175.3,78423.8,58314.2,1128.1,589.2,1918.1
2020/03/26,1258040.3,15549.9,28183.1,16782.0,381278.4,110326.9,66823.9,48396.1,1263.0,679.2,2126.5
2020/03/27,1326485.8,14790.8,33552.8,18127.2,456198.3,128562.6,71656.6,46939.7,1406.8,776.7,2343.0
2020/03/28,1228525.6,12983.0,43879.6,17136.3,446784.7,127774.1,72220.4,35211.0,1562.6,893.2,2565.1
2020/03/29,1119525.7,15361.1,41333.6,15045.3,395764.5,112568.1,65987.1,34445.0,1736.6,1035.6,2804.9
2020/03/30,1251696.7,15263.9,29047.9,17536.0,369868.4,106611.3,67655.7,48313.1,1920.3,1194.1,3061.7
2020/03/31,1278459.6,15528.0,30932.9,17836.4,388568.8,111913.5,69030.1,48989.4,2116.9,1348.8,3335.2
2020/04/01,1271679.3,16125.1,28138.9,17928.9,384269.2,113175.3,67645.6,48990.0,2330.3,1443.8,3620.0
2020/04/02,1221264.0,14852.1,28183.1,16779.9,381278.4,110326.9,67860.4,46273.6,2560.8,1558.5,3916.9
2020/04/03,1328286.3,14186.5,33552.8,19467.0,456198.3,128562.6,74978.0,46813.5,2806.5,1700.6,4229.6
2020/04/04,1195400.5,11709.3,43879.6,16383.9,446784.7,127774.1,74414.5,33240.1,3068.3,1833.1,4564.9
2020/04/05,1039482.5,11921.7,41333.6,15011.7,395764.5,112568.1,62261.4,28094.6,3349.3,1990.3,4921.8
2020/04/06,1093306.5,10430.2,29047.9,16027.1,369868.4,106611.3,62554.7,38497.4,3639.1,2148.5,5267.0
2020/04/07,1192465.5,13049.2,30932.9,17390.3,388568.8,111913.5,64752.0,43159.5,3942.5,2323.1,5629.1
2020/04/08,1164752.1,13329.9,28138.9,16748.1,384269.2,113175.3,64551.4,43842.8,4268.6,2534.6,6005.4
2020/04/09,1152084.9,12576.0,28183.1,17432.2,381278.4,110326.9,63005.3,41454.8,4608.8,2761.7,6403.1
2020/04/10,1284631.3,12544.2,33552.8,18806.4,456198.3,128562.6,71301.3,44411.5,4962.9,2975.3,6793.0
2020/04/11,1235673.2,12625.9,43879.6,19592.8,446784.7,127774.1,76790.5,35819.1,5326.4,3203.1,7198.5
2020/04/12,996281.1,11695.3,41333.6,12788.6,395764.5,112568.1,52454.6,24943.3,5706.4,3438.1,7614.1
2020/04/13,1114385.4,11519.1,29047.9,14596.2,369868.4,106611.3,58249.3,38982.5,6090.1,3681.4,8023.5
2020/04/14,1173328.5,13530.9,30932.9,16054.3,388568.8,111913.5,61579.5,40969.7,6478.8,3935.4,8433.0
2020/04/15,1191989.0,13653.1,28138.9,16170.2,384269.2,113175.3,60650.7,42577.3,6877.2,4204.2,8867.0
2020/04/16,1160197.8,13353.6,28183.1,14861.9,381278.4,110326.9,59940.7,41155.4,7284.4,4471.8,9316.5
2020/04/17,1295796.1,13476.5,33552.8,17984.2,456198.3,128562.6,65007.7,44000.3,7699.2,4743.5,9738.7
2020/04/18,1256266.9,12988.0,43879.6,16727.0,446784.7,127774.1,69241.2,38743.4,8122.2,5022.8,10161.4
2020/04/19,1129587.9,14625.7,41333.6,14680.0,395764.5,112568.1,61868.6,32652.4,8560.2,5304.6,10605.0
2020/04/20,1187789.3,13805.1,29047.9,15553.3,369868.4,106611.3,61532.0,44831.6,9005.2,5604.1,11123.5
2020/04/21,1265117.4,15916.1,30932.9,17682.4,388568.8,111913.5,66796.6,49016.8,9451.8,5929.7,11571.9
2020/04/22,1286461.8,16134.6,28138.9,17134.6,384269.2,113175.3,67568.2,49393.2,9905.3,6277.7,12140.9
2020/04/23,1285455.6,15505.7,28183.1,16750.3,381278.4,110326.9,65890.7,50068.0,10367.1,6634.8,12727.0
2020/04/24,1416494.1,16071.0,33552.8,17536.7,456198.3,128562.6,72675.4,51853.4,10833.3,6985.9,13291.5
2020/04/25,1366009.5,15369.4,43879.6,16632.6,446784.7,127774.1,73053.0,43854.5,11308.1,7347.5,13916.4
2020/04/26,1170251.1,14538.7,41333.6,14596.6,395764.5,112568.1,64086.4,34890.2,11797.1,7708.6,14588.3
2020/04/27,1261718.5,13533.2,29047.9,17078.9,369868.4,106611.3,63784.4,47863.3,12288.6,8089.7,15223.6
2020/04/28,1311048.9,14565.1,30932.9,18235.0,388568.8,111913.5,64480.3,50892.5,12781.4,8469.2,15864.5
2020/04/29,1280965.7,14758.4,28138.9,16918.6,384269.2,113175.3,64226.1,48825.6,13279.9,8859.2,16500.9
2020/04/30,1255552.6,13562.7,28183.1,16632.4,381278.4,110326.9,62169.9,47017.2,13784.6,9256.7,17145.3
2020/05/01,1441033.4,15411.6,33552.8,17787.9,456198.3,128562.6,71612.4,51015.6,14297.4,9660.5,17811.5
2020/05/02,1328364.0,13191.7,43879.6,16723.3,446784.7,127774.1,70761.0,40158.4,14824.4,10072.6,18496.7
2020/05/03,,,,,,,,,15362.9,10509.9,19195.0
2020/05/04,,,,,,,,,15908.8,10948.2,19916.2
2020/05/05,,,,,,,,,16453.1,11396.1,20672.5
2020/05/06,,,,,,,,,16993.7,11857.3,21412.6
2020/05/07,,,,,,,,,17533.9,12322.4,22146.9
