date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1893018.4,53757.0,41333.6,26846.7,395764.5,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2116404.1,28652.2,29047.9,30067.7,369868.4,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2167827.8,34395.3,30932.9,28787.0,388568.8,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2191362.7,34867.8,28138.9,27695.2,384269.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2184291.2,30304.5,28183.1,27339.9,381278.4,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2344466.7,29895.4,33552.8,29619.6,456198.3,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1842410.8,23801.3,43879.6,27190.6,446784.7,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1594104.6,31604.8,41333.6,26846.7,395764.5,112568.1,116958.3,82732.7,315.1,119.4,577.9
2020/03/16,1725450.0,19228.4,29047.9,30067.7,369868.4,106611.3,147344.3,96114.4,364.0,140.9,663.5
2020/03/17,1378204.9,16503.9,30932.9,28787.0,388568.8,111913.5,82862.2,53391.6,415.8,164.1,753.7
2020/03/18,1325419.8,15142.4,28138.9,27695.2,384269.2,113175.3,76723.9,51759.5,472.8,191.5,853.4
2020/03/19,1324039.0,16883.5,28183.1,27339.9,381278.4,110326.9,76659.9,52331.4,536.0,221.3,965.1
2020/03/20,1312278.0,15886.5,33552.8,29619.6,456198.3,128562.6,61537.8,44514.5,607.0,261.7,1081.2
2020/03/21,1146861.2,14134.8,43879.6,27190.6,446784.7,127774.1,44546.5,31880.8,688.6,309.4,1212.7
2020/03/22,1210893.4,15017.0,41333.6,26846.7,395764.5,112568.1,71951.6,37530.5,782.3,364.7,1361.7
2020/03/23,1280071.8,15515.0,29047.9,30067.7,369868.4,106611.3,71453.0,50202.1,885.2,431.3,1523.6
2020/03/24,1273811.0,14633.7,30932.9,28787.0,388568.8,111913.5,70193.3,47994.5,998.9,512.8,1701.4
2020/03/25,1404023.9,18905.2,28138.9,27695.2,384269.2,113175.3,78423.8,58314.2,1126.0,608.7,1893.7
2020/03/26,1268598.2,15549.9,28183.1,27339.9,381278.4,110326.9,66823.9,48396.1,1261.1,710.5,2099.3
2020/03/27,1337978.2,14790.8,33552.8,29619.6,456198.3,128562.6,71656.6,46939.7,1405.2,821.8,2313.4
2020/03/28,1238580.0,12983.0,43879.6,27190.6,446784.7,127774.1,72220.4,35211.0,1560.9,936.9,2542.0
2020/03/29,1131327.1,15361.1,41333.6,26846.7,395764.5,112568.1,65987.1,34445.0,1734.5,1078.4,2786.3
2020/03/30,1264228.5,15263.9,29047.9,30067.7,369868.4,106611.3,67655.7,48313.1,1919.2,1238.3,3041.5
2020/03/31,1289410.2,15528.0,30932.9,28787.0,388568.8,111913.5,69030.1,48989.4,2116.2,1371.6,3305.5
2020/04/01,1281445.6,16125.1,28138.9,27695.2,384269.2,113175.3,67645.6,48990.0,2330.1,1509.3,3590.6
2020/04/02,1231823.9,14852.1,28183.1,27339.9,381278.4,110326.9,67860.4,46273.6,2561.1,1633.9,3883.9
2020/04/03,1338439.0,14186.5,33552.8,29619.6,456198.3,128562.6,74978.0,46813.5,2807.0,1765.7,4200.4
2020/04/04,1206207.2,11709.3,43879.6,27190.6,446784.7,127774.1,74414.5,33240.1,3069.3,1906.0,4529.8
2020/04/05,1051317.5,11921.7,41333.6,26846.7,395764.5,112568.1,62261.4,28094.6,3351.0,2083.2,4879.8
2020/04/06,1107347.1,10430.2,29047.9,30067.7,369868.4,106611.3,62554.7,38497.4,3642.2,2257.1,5230.1
2020/04/07,1203862.1,13049.2,30932.9,28787.0,388568.8,111913.5,64752.0,43159.5,3945.9,2434.0,5599.7
2020/04/08,1175699.3,13329.9,28138.9,27695.2,384269.2,113175.3,64551.4,43842.8,4271.4,2618.4,5991.3
2020/04/09,1161992.6,12576.0,28183.1,27339.9,381278.4,110326.9,63005.3,41454.8,4611.7,2825.8,6390.9
2020/04/10,1295444.5,12544.2,33552.8,29619.6,456198.3,128562.6,71301.3,44411.5,4965.3,3046.4,6821.7
2020/04/11,1243271.1,12625.9,43879.6,27190.6,446784.7,127774.1,76790.5,35819.1,5329.3,3284.7,7238.7
2020/04/12,1010339.2,11695.3,41333.6,26846.7,395764.5,112568.1,52454.6,24943.3,5708.1,3530.2,7677.3
2020/04/13,1129856.9,11519.1,29047.9,30067.7,369868.4,106611.3,58249.3,38982.5,6090.2,3773.0,8101.4
2020/04/14,1186061.2,13530.9,30932.9,28787.0,388568.8,111913.5,61579.5,40969.7,6478.2,4024.0,8530.2
2020/04/15,1203514.0,13653.1,28138.9,27695.2,384269.2,113175.3,60650.7,42577.3,6874.5,4280.5,8958.1
2020/04/16,1172675.7,13353.6,28183.1,27339.9,381278.4,110326.9,59940.7,41155.4,7281.3,4557.5,9377.0
2020/04/17,1307431.5,13476.5,33552.8,29619.6,456198.3,128562.6,65007.7,44000.3,7694.9,4835.1,9798.0
2020/04/18,1266730.6,12988.0,43879.6,27190.6,446784.7,127774.1,69241.2,38743.4,8118.3,5119.9,10268.6
2020/04/19,1141754.5,14625.7,41333.6,26846.7,395764.5,112568.1,61868.6,32652.4,8556.3,5419.5,10723.2
2020/04/20,1202303.7,13805.1,29047.9,30067.7,369868.4,106611.3,61532.0,44831.6,9001.3,5725.3,11195.9
2020/04/21,1276222.0,15916.1,30932.9,28787.0,388568.8,111913.5,66796.6,49016.8,9447.7,6033.9,11747.3
2020/04/22,1297022.4,16134.6,28138.9,27695.2,384269.2,113175.3,67568.2,49393.2,9902.7,6361.3,12344.0
2020/04/23,1296045.2,15505.7,28183.1,27339.9,381278.4,110326.9,65890.7,50068.0,10365.0,6691.1,12963.3
2020/04/24,1428577.1,16071.0,33552.8,29619.6,456198.3,128562.6,72675.4,51853.4,10832.5,7027.7,13603.3
2020/04/25,1376567.6,15369.4,43879.6,27190.6,446784.7,127774.1,73053.0,43854.5,11309.0,7385.2,14242.4
2020/04/26,1182501.2,14538.7,41333.6,26846.7,395764.5,112568.1,64086.4,34890.2,11799.7,7751.2,14886.3
2020/04/27,1274707.3,13533.2,29047.9,30067.7,369868.4,106611.3,63784.4,47863.3,12293.2,8129.5,15533.7
2020/04/28,1321600.9,14565.1,30932.9,28787.0,388568.8,111913.5,64480.3,50892.5,12787.8,8516.9,16174.8
2020/04/29,1291742.4,14758.4,28138.9,27695.2,384269.2,113175.3,64226.1,48825.6,13289.2,8918.2,16824.7
2020/04/30,1266260.1,13562.7,28183.1,27339.9,381278.4,110326.9,62169.9,47017.2,13795.9,9330.8,17484.1
2020/05/01,1452865.1,15411.6,33552.8,29619.6,456198.3,128562.6,71612.4,51015.6,14312.2,9760.6,18149.6
2020/05/02,1338831.4,13191.7,43879.6,27190.6,446784.7,127774.1,70761.0,40158.4,14840.1,10210.2,18837.7
2020/05/03,,,,,,,,,15381.1,10654.3,19562.8
2020/05/04,,,,,,,,,15930.4,11092.5,20297.3
2020/05/05,,,,,,,,,16477.6,11537.3,21026.9
2020/05/06,,,,,,,,,17021.4,11990.3,21742.8
2020/05/07,,,,,,,,,17564.6,12460.4,22456.3
