date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1903100.8,63839.4,41333.6,26846.7,395764.5,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2121975.4,34223.4,29047.9,30067.7,369868.4,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2173923.2,40490.8,30932.9,28787.0,388568.8,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2193549.2,37054.3,28138.9,27695.2,384269.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2186271.9,32285.2,28183.1,27339.9,381278.4,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2348608.9,34037.7,33552.8,29619.6,456198.3,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1850709.4,32099.9,43879.6,27190.6,446784.7,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1626339.2,63839.4,41333.6,26846.7,395764.5,112568.1,116958.3,82732.7,315.1,119.5,577.5
2020/03/16,1740445.1,34223.4,29047.9,30067.7,369868.4,106611.3,147344.3,96114.4,364.1,140.4,662.8
2020/03/17,1402191.7,40490.8,30932.9,28787.0,388568.8,111913.5,82862.2,53391.6,416.3,164.5,756.5
2020/03/18,1347331.7,37054.3,28138.9,27695.2,384269.2,113175.3,76723.9,51759.5,474.0,189.1,856.1
2020/03/19,1339440.7,32285.2,28183.1,27339.9,381278.4,110326.9,76659.9,52331.4,537.4,219.9,960.9
2020/03/20,1330429.2,34037.7,33552.8,29619.6,456198.3,128562.6,61537.8,44514.5,608.8,259.5,1083.7
2020/03/21,1164826.3,32099.9,43879.6,27190.6,446784.7,127774.1,44546.5,31880.8,691.2,305.0,1218.6
2020/03/22,1259715.8,63839.4,41333.6,26846.7,395764.5,112568.1,71951.6,37530.5,785.4,362.7,1374.6
2020/03/23,1298780.2,34223.4,29047.9,30067.7,369868.4,106611.3,71453.0,50202.1,890.5,422.8,1545.8
2020/03/24,1299668.0,40490.8,30932.9,28787.0,388568.8,111913.5,70193.3,47994.5,1006.0,501.9,1726.2
2020/03/25,1422173.0,37054.3,28138.9,27695.2,384269.2,113175.3,78423.8,58314.2,1135.4,592.5,1922.8
2020/03/26,1285333.5,32285.2,28183.1,27339.9,381278.4,110326.9,66823.9,48396.1,1273.0,685.8,2127.7
2020/03/27,1357225.2,34037.7,33552.8,29619.6,456198.3,128562.6,71656.6,46939.7,1419.8,788.3,2342.3
2020/03/28,1257696.8,32099.9,43879.6,27190.6,446784.7,127774.1,72220.4,35211.0,1578.1,913.5,2563.4
2020/03/29,1179805.4,63839.4,41333.6,26846.7,395764.5,112568.1,65987.1,34445.0,1755.4,1055.9,2810.3
2020/03/30,1283188.0,34223.4,29047.9,30067.7,369868.4,106611.3,67655.7,48313.1,1944.7,1217.8,3071.1
2020/03/31,1314372.9,40490.8,30932.9,28787.0,388568.8,111913.5,69030.1,48989.4,2146.2,1353.1,3340.5
2020/04/01,1302374.8,37054.3,28138.9,27695.2,384269.2,113175.3,67645.6,48990.0,2366.5,1483.1,3638.9
2020/04/02,1249257.0,32285.2,28183.1,27339.9,381278.4,110326.9,67860.4,46273.6,2602.9,1604.7,3954.4
2020/04/03,1358290.3,34037.7,33552.8,29619.6,456198.3,128562.6,74978.0,46813.5,2854.6,1735.6,4280.2
2020/04/04,1226597.8,32099.9,43879.6,27190.6,446784.7,127774.1,74414.5,33240.1,3123.4,1873.0,4629.2
2020/04/05,1103235.2,63839.4,41333.6,26846.7,395764.5,112568.1,62261.4,28094.6,3412.5,2038.2,4997.4
2020/04/06,1131140.3,34223.4,29047.9,30067.7,369868.4,106611.3,62554.7,38497.4,3711.9,2216.1,5368.6
2020/04/07,1231303.7,40490.8,30932.9,28787.0,388568.8,111913.5,64752.0,43159.5,4025.9,2389.8,5757.3
2020/04/08,1199423.7,37054.3,28138.9,27695.2,384269.2,113175.3,64551.4,43842.8,4362.6,2580.6,6157.7
2020/04/09,1181701.8,32285.2,28183.1,27339.9,381278.4,110326.9,63005.3,41454.8,4715.1,2805.3,6583.4
2020/04/10,1316938.1,34037.7,33552.8,29619.6,456198.3,128562.6,71301.3,44411.5,5080.9,3020.7,7023.8
2020/04/11,1262745.1,32099.9,43879.6,27190.6,446784.7,127774.1,76790.5,35819.1,5456.8,3244.6,7468.7
2020/04/12,1062483.3,63839.4,41333.6,26846.7,395764.5,112568.1,52454.6,24943.3,5849.7,3513.3,7924.4
2020/04/13,1152561.2,34223.4,29047.9,30067.7,369868.4,106611.3,58249.3,38982.5,6247.2,3759.4,8380.1
2020/04/14,1213021.1,40490.8,30932.9,28787.0,388568.8,111913.5,61579.5,40969.7,6653.2,4016.5,8844.4
2020/04/15,1226915.2,37054.3,28138.9,27695.2,384269.2,113175.3,60650.7,42577.3,7068.2,4284.1,9305.8
2020/04/16,1191607.4,32285.2,28183.1,27339.9,381278.4,110326.9,59940.7,41155.4,7493.1,4566.1,9767.9
2020/04/17,1327992.7,34037.7,33552.8,29619.6,456198.3,128562.6,65007.7,44000.3,7925.2,4847.4,10278.3
2020/04/18,1285842.5,32099.9,43879.6,27190.6,446784.7,127774.1,69241.2,38743.4,8367.2,5144.4,10810.6
2020/04/19,1190968.2,63839.4,41333.6,26846.7,395764.5,112568.1,61868.6,32652.4,8827.8,5462.1,11260.0
2020/04/20,1222722.0,34223.4,29047.9,30067.7,369868.4,106611.3,61532.0,44831.6,9296.2,5781.0,11823.4
2020/04/21,1300796.6,40490.8,30932.9,28787.0,388568.8,111913.5,66796.6,49016.8,9767.9,6110.3,12341.8
2020/04/22,1317942.0,37054.3,28138.9,27695.2,384269.2,113175.3,67568.2,49393.2,10247.2,6440.6,12844.9
2020/04/23,1312824.7,32285.2,28183.1,27339.9,381278.4,110326.9,65890.7,50068.0,10734.6,6776.3,13409.5
2020/04/24,1446543.9,34037.7,33552.8,29619.6,456198.3,128562.6,72675.4,51853.4,11227.0,7119.1,14032.2
2020/04/25,1393298.1,32099.9,43879.6,27190.6,446784.7,127774.1,73053.0,43854.5,11728.0,7476.7,14644.8
2020/04/26,1231801.9,63839.4,41333.6,26846.7,395764.5,112568.1,64086.4,34890.2,12244.8,7856.8,15308.7
2020/04/27,1295397.5,34223.4,29047.9,30067.7,369868.4,106611.3,63784.4,47863.3,12766.4,8234.6,15998.2
2020/04/28,1347526.5,40490.8,30932.9,28787.0,388568.8,111913.5,64480.3,50892.5,13293.2,8614.4,16698.1
2020/04/29,1314038.2,37054.3,28138.9,27695.2,384269.2,113175.3,64226.1,48825.6,13826.1,9011.5,17399.2
2020/04/30,1284982.5,32285.2,28183.1,27339.9,381278.4,110326.9,62169.9,47017.2,14365.6,9410.0,18113.8
2020/05/01,1471491.2,34037.7,33552.8,29619.6,456198.3,128562.6,71612.4,51015.6,14914.0,9823.0,18828.2
2020/05/02,1357739.6,32099.9,43879.6,27190.6,446784.7,127774.1,70761.0,40158.4,15475.3,10245.6,19559.7
2020/05/03,,,,,,,,,16050.5,10683.3,20305.0
2020/05/04,,,,,,,,,16634.9,11140.0,21063.6
2020/05/05,,,,,,,,,17218.4,11602.0,21846.6
2020/05/06,,,,,,,,,17798.7,12066.7,22636.2
2020/05/07,,,,,,,,,18378.5,12535.1,23406.2
