date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1900581.7,63839.4,41333.6,24327.6,395764.5,112568.1,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2118392.9,34223.4,29047.9,26485.2,369868.4,106611.3,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2173166.2,40490.8,30932.9,28030.0,388568.8,111913.5,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2195369.8,37054.3,28138.9,29515.9,384269.2,113175.3,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2191725.7,32285.2,28183.1,32793.8,381278.4,110326.9,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2358990.9,34037.7,33552.8,40001.6,456198.3,128562.6,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1854862.4,32099.9,43879.6,31343.7,446784.7,127774.1,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1627000.7,63839.4,41333.6,27508.1,395764.5,112568.1,116958.3,82732.7,315.1,119.5,577.5
2020/03/16,1747940.6,34223.4,29047.9,37563.2,369868.4,106611.3,147344.3,96114.4,364.4,139.7,665.0
2020/03/17,1395723.8,40490.8,30932.9,22319.0,388568.8,111913.5,82862.2,53391.6,416.6,162.5,754.3
2020/03/18,1340834.4,37054.3,28138.9,21197.9,384269.2,113175.3,76723.9,51759.5,473.9,189.3,854.0
2020/03/19,1333882.6,32285.2,28183.1,21781.8,381278.4,110326.9,76659.9,52331.4,537.7,220.2,956.3
2020/03/20,1315660.4,34037.7,33552.8,14850.9,456198.3,128562.6,61537.8,44514.5,608.8,261.1,1070.8
2020/03/21,1146816.5,32099.9,43879.6,9180.9,446784.7,127774.1,44546.5,31880.8,691.0,311.4,1203.4
2020/03/22,1250271.3,63839.4,41333.6,17402.2,395764.5,112568.1,71951.6,37530.5,784.7,369.3,1352.0
2020/03/23,1287482.6,34223.4,29047.9,18770.1,369868.4,106611.3,71453.0,50202.1,888.8,441.3,1510.7
2020/03/24,1289417.4,40490.8,30932.9,18536.4,388568.8,111913.5,70193.3,47994.5,1003.7,522.4,1686.2
2020/03/25,1415122.2,37054.3,28138.9,20644.5,384269.2,113175.3,78423.8,58314.2,1132.1,609.2,1884.9
2020/03/26,1274775.6,32285.2,28183.1,16782.0,381278.4,110326.9,66823.9,48396.1,1269.4,703.9,2088.2
2020/03/27,1345732.7,34037.7,33552.8,18127.2,456198.3,128562.6,71656.6,46939.7,1415.7,800.9,2308.1
2020/03/28,1247642.4,32099.9,43879.6,17136.3,446784.7,127774.1,72220.4,35211.0,1573.4,916.5,2529.1
2020/03/29,1168004.0,63839.4,41333.6,15045.3,395764.5,112568.1,65987.1,34445.0,1750.0,1050.5,2781.5
2020/03/30,1270656.2,34223.4,29047.9,17536.0,369868.4,106611.3,67655.7,48313.1,1938.0,1210.1,3043.0
2020/03/31,1303422.4,40490.8,30932.9,17836.4,388568.8,111913.5,69030.1,48989.4,2139.8,1331.8,3305.1
2020/04/01,1292608.4,37054.3,28138.9,17928.9,384269.2,113175.3,67645.6,48990.0,2358.9,1479.6,3586.8
2020/04/02,1238697.0,32285.2,28183.1,16779.9,381278.4,110326.9,67860.4,46273.6,2595.8,1614.9,3886.1
2020/04/03,1348137.6,34037.7,33552.8,19467.0,456198.3,128562.6,74978.0,46813.5,2848.1,1757.2,4204.4
2020/04/04,1215791.0,32099.9,43879.6,16383.9,446784.7,127774.1,74414.5,33240.1,3116.3,1918.0,4538.9
2020/04/05,1091400.2,63839.4,41333.6,15011.7,395764.5,112568.1,62261.4,28094.6,3404.6,2083.0,4886.1
2020/04/06,1117099.7,34223.4,29047.9,16027.1,369868.4,106611.3,62554.7,38497.4,3702.6,2239.2,5231.4
2020/04/07,1219907.0,40490.8,30932.9,17390.3,388568.8,111913.5,64752.0,43159.5,4015.6,2412.9,5597.8
2020/04/08,1188476.5,37054.3,28138.9,16748.1,384269.2,113175.3,64551.4,43842.8,4351.8,2598.8,5999.8
2020/04/09,1171794.1,32285.2,28183.1,17432.2,381278.4,110326.9,63005.3,41454.8,4702.4,2807.7,6409.6
2020/04/10,1306124.8,34037.7,33552.8,18806.4,456198.3,128562.6,71301.3,44411.5,5066.8,3071.9,6828.2
2020/04/11,1255147.2,32099.9,43879.6,19592.8,446784.7,127774.1,76790.5,35819.1,5441.5,3299.2,7247.9
2020/04/12,1048425.2,63839.4,41333.6,12788.6,395764.5,112568.1,52454.6,24943.3,5833.4,3548.3,7677.2
2020/04/13,1137089.7,34223.4,29047.9,14596.2,369868.4,106611.3,58249.3,38982.5,6231.3,3808.0,8097.6
2020/04/14,1200288.4,40490.8,30932.9,16054.3,388568.8,111913.5,61579.5,40969.7,6636.8,4066.0,8526.8
2020/04/15,1215390.2,37054.3,28138.9,16170.2,384269.2,113175.3,60650.7,42577.3,7052.0,4338.0,9006.4
2020/04/16,1179129.4,32285.2,28183.1,14861.9,381278.4,110326.9,59940.7,41155.4,7476.8,4614.5,9499.3
2020/04/17,1316357.3,34037.7,33552.8,17984.2,456198.3,128562.6,65007.7,44000.3,7910.1,4899.5,9962.9
2020/04/18,1275378.8,32099.9,43879.6,16727.0,446784.7,127774.1,69241.2,38743.4,8352.1,5186.1,10490.8
2020/04/19,1178801.6,63839.4,41333.6,14680.0,395764.5,112568.1,61868.6,32652.4,8812.1,5488.3,11005.6
2020/04/20,1208207.6,34223.4,29047.9,15553.3,369868.4,106611.3,61532.0,44831.6,9279.5,5807.2,11547.5
2020/04/21,1289692.0,40490.8,30932.9,17682.4,388568.8,111913.5,66796.6,49016.8,9751.2,6125.9,12128.2
2020/04/22,1307381.4,37054.3,28138.9,17134.6,384269.2,113175.3,67568.2,49393.2,10229.7,6470.6,12726.0
2020/04/23,1302235.1,32285.2,28183.1,16750.3,381278.4,110326.9,65890.7,50068.0,10716.4,6820.3,13310.3
2020/04/24,1434460.9,34037.7,33552.8,17536.7,456198.3,128562.6,72675.4,51853.4,11209.1,7195.0,13903.8
2020/04/25,1382740.0,32099.9,43879.6,16632.6,446784.7,127774.1,73053.0,43854.5,11709.9,7563.1,14578.1
2020/04/26,1219551.8,63839.4,41333.6,14596.6,395764.5,112568.1,64086.4,34890.2,12226.7,7939.7,15267.8
2020/04/27,1282408.7,34223.4,29047.9,17078.9,369868.4,106611.3,63784.4,47863.3,12748.0,8331.9,15974.0
2020/04/28,1336974.5,40490.8,30932.9,18235.0,388568.8,111913.5,64480.3,50892.5,13272.7,8718.5,16683.9
2020/04/29,1303261.5,37054.3,28138.9,16918.6,384269.2,113175.3,64226.1,48825.6,13804.4,9111.6,17408.0
2020/04/30,1274275.1,32285.2,28183.1,16632.4,381278.4,110326.9,62169.9,47017.2,14342.9,9523.9,18130.6
2020/05/01,1459659.5,34037.7,33552.8,17787.9,456198.3,128562.6,71612.4,51015.6,14890.2,9948.8,18857.3
2020/05/02,1347272.2,32099.9,43879.6,16723.3,446784.7,127774.1,70761.0,40158.4,15449.8,10367.4,19608.4
2020/05/03,,,,,,,,,16022.2,10806.6,20375.3
2020/05/04,,,,,,,,,16605.0,11262.8,21165.1
2020/05/05,,,,,,,,,17187.3,11729.0,21945.1
2020/05/06,,,,,,,,,17767.3,12208.5,22740.8
2020/05/07,,,,,,,,,18345.7,12672.8,23556.7
