date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1881574.4,53757.0,41333.6,26846.7,395764.5,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2109199.3,28652.2,29047.9,30067.7,369868.4,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2159167.1,34395.3,30932.9,28787.0,388568.8,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2183422.0,34867.8,28138.9,27695.2,384269.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2182137.8,30304.5,28183.1,27339.9,381278.4,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2337002.6,29895.4,33552.8,29619.6,456198.3,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1806836.3,23801.3,43879.6,27190.6,446784.7,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1553588.6,31604.8,41333.6,26846.7,395764.5,72052.1,116958.3,82732.7,315.2,119.5,577.7
2020/03/16,1698399.4,19228.4,29047.9,30067.7,369868.4,79560.6,147344.3,96114.4,364.1,139.6,661.8
2020/03/17,1317477.9,16503.9,30932.9,28787.0,388568.8,51186.6,82862.2,53391.6,416.0,162.7,753.0
2020/03/18,1261746.7,15142.4,28138.9,27695.2,384269.2,49502.1,76723.9,51759.5,472.8,187.3,851.6
2020/03/19,1262006.3,16883.5,28183.1,27339.9,381278.4,48294.2,76659.9,52331.4,536.1,218.3,958.5
2020/03/20,1223020.7,15886.5,33552.8,29619.6,456198.3,39305.4,61537.8,44514.5,607.0,255.1,1075.1
2020/03/21,1046345.9,14134.8,43879.6,27190.6,446784.7,27258.8,44546.5,31880.8,689.1,305.0,1209.7
2020/03/22,1140626.7,15017.0,41333.6,26846.7,395764.5,42301.5,71951.6,37530.5,782.8,356.5,1365.3
2020/03/23,1219799.6,15515.0,29047.9,30067.7,369868.4,46339.1,71453.0,50202.1,886.2,418.6,1529.0
2020/03/24,1207709.4,14633.7,30932.9,28787.0,388568.8,45811.9,70193.3,47994.5,1000.0,490.0,1706.7
2020/03/25,1346615.2,18905.2,28138.9,27695.2,384269.2,55766.6,78423.8,58314.2,1127.1,577.7,1907.5
2020/03/26,1207860.3,15549.9,28183.1,27339.9,381278.4,49589.0,66823.9,48396.1,1261.9,680.6,2119.4
2020/03/27,1260220.3,14790.8,33552.8,29619.6,456198.3,50804.6,71656.6,46939.7,1405.3,794.4,2338.8
2020/03/28,1157095.1,12983.0,43879.6,27190.6,446784.7,46289.3,72220.4,35211.0,1559.6,916.3,2565.2
2020/03/29,1059030.0,15361.1,41333.6,26846.7,395764.5,40271.0,65987.1,34445.0,1732.2,1060.5,2809.1
2020/03/30,1205121.1,15263.9,29047.9,30067.7,369868.4,47503.9,67655.7,48313.1,1914.6,1207.5,3066.0
2020/03/31,1227608.7,15528.0,30932.9,28787.0,388568.8,50112.1,69030.1,48989.4,2109.6,1357.0,3317.2
2020/04/01,1217948.8,16125.1,28138.9,27695.2,384269.2,49678.4,67645.6,48990.0,2320.8,1478.6,3598.4
2020/04/02,1171106.2,14852.1,28183.1,27339.9,381278.4,49609.2,67860.4,46273.6,2548.1,1603.7,3890.3
2020/04/03,1265171.0,14186.5,33552.8,29619.6,456198.3,55294.5,74978.0,46813.5,2790.7,1728.9,4187.4
2020/04/04,1124273.5,11709.3,43879.6,27190.6,446784.7,45840.3,74414.5,33240.1,3048.5,1862.9,4514.6
2020/04/05,973431.9,11921.7,41333.6,26846.7,395764.5,34682.5,62261.4,28094.6,3325.0,2017.2,4870.6
2020/04/06,1041003.1,10430.2,29047.9,30067.7,369868.4,40267.3,62554.7,38497.4,3609.8,2206.1,5220.9
2020/04/07,1137530.1,13049.2,30932.9,28787.0,388568.8,45581.5,64752.0,43159.5,3907.5,2400.4,5570.8
2020/04/08,1107950.2,13329.9,28138.9,27695.2,384269.2,45426.1,64551.4,43842.8,4226.4,2612.4,5932.4
2020/04/09,1096833.4,12576.0,28183.1,27339.9,381278.4,45167.7,63005.3,41454.8,4559.4,2819.8,6298.2
2020/04/10,1220688.0,12544.2,33552.8,29619.6,456198.3,53806.1,71301.3,44411.5,4905.7,3035.3,6686.1
2020/04/11,1164664.4,12625.9,43879.6,27190.6,446784.7,49167.4,76790.5,35819.1,5260.8,3262.5,7085.3
2020/04/12,927535.4,11695.3,41333.6,26846.7,395764.5,29764.3,52454.6,24943.3,5630.2,3509.3,7497.9
2020/04/13,1065762.5,11519.1,29047.9,30067.7,369868.4,42516.9,58249.3,38982.5,6003.2,3752.6,7889.8
2020/04/14,1119670.4,13530.9,30932.9,28787.0,388568.8,45522.8,61579.5,40969.7,6381.4,4006.1,8292.0
2020/04/15,1140029.5,13653.1,28138.9,27695.2,384269.2,49690.8,60650.7,42577.3,6767.7,4267.7,8695.3
2020/04/16,1110073.8,13353.6,28183.1,27339.9,381278.4,47725.0,59940.7,41155.4,7163.2,4542.2,9102.1
2020/04/17,1232379.5,13476.5,33552.8,29619.6,456198.3,53510.5,65007.7,44000.3,7565.2,4836.4,9578.3
2020/04/18,1192963.3,12988.0,43879.6,27190.6,446784.7,54006.8,69241.2,38743.4,7976.0,5140.7,10011.0
2020/04/19,1074740.3,14625.7,41333.6,26846.7,395764.5,45553.9,61868.6,32652.4,8400.5,5455.1,10481.3
2020/04/20,1141630.9,13805.1,29047.9,30067.7,369868.4,45938.4,61532.0,44831.6,8831.8,5772.2,10994.6
2020/04/21,1215952.6,15916.1,30932.9,28787.0,388568.8,51644.2,66796.6,49016.8,9264.5,6104.2,11471.6
2020/04/22,1239440.9,16134.6,28138.9,27695.2,384269.2,55593.8,67568.2,49393.2,9703.0,6440.9,11942.6
2020/04/23,1241993.5,15505.7,28183.1,27339.9,381278.4,56275.2,65890.7,50068.0,10148.9,6773.9,12441.8
2020/04/24,1364388.2,16071.0,33552.8,29619.6,456198.3,64373.7,72675.4,51853.4,10600.9,7103.7,12992.6
2020/04/25,1311025.7,15369.4,43879.6,27190.6,446784.7,62232.2,73053.0,43854.5,11059.4,7439.2,13598.0
2020/04/26,1119789.2,14538.7,41333.6,26846.7,395764.5,49856.1,64086.4,34890.2,11532.2,7787.8,14219.5
2020/04/27,1219580.4,13533.2,29047.9,30067.7,369868.4,51484.3,63784.4,47863.3,12007.6,8145.9,14850.4
2020/04/28,1264715.2,14565.1,30932.9,28787.0,388568.8,55027.8,64480.3,50892.5,12484.0,8506.8,15510.3
2020/04/29,1231652.5,14758.4,28138.9,27695.2,384269.2,53085.4,64226.1,48825.6,12966.4,8887.0,16148.4
2020/04/30,1212551.1,13562.7,28183.1,27339.9,381278.4,56617.9,62169.9,47017.2,13455.2,9280.8,16774.9
2020/05/01,1388337.1,15411.6,33552.8,29619.6,456198.3,64034.6,71612.4,51015.6,13951.9,9680.9,17403.5
2020/05/02,1274071.0,13191.7,43879.6,27190.6,446784.7,63013.7,70761.0,40158.4,14460.5,10100.1,18061.4
2020/05/03,,,,,,,,,14983.3,10530.5,18762.6
2020/05/04,,,,,,,,,15512.4,10969.8,19455.4
2020/05/05,,,,,,,,,16039.8,11409.7,20143.6
2020/05/06,,,,,,,,,16563.4,11850.2,20816.0
2020/05/07,,,,,,,,,17086.7,12308.8,21480.0
