date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1889137.7,63839.4,41333.6,24327.6,395764.5,101124.2,99515.8,127835.2,2.6,0.6,5.8
2020/03/09,2111188.1,34223.4,29047.9,26485.2,369868.4,99406.5,93386.2,172532.3,57.7,20.2,108.9
2020/03/10,2164505.5,40490.8,30932.9,28030.0,388568.8,103252.8,91537.5,179955.6,104.3,36.7,197.9
2020/03/11,2187429.1,37054.3,28138.9,29515.9,384269.2,105234.6,97955.9,175468.8,146.7,51.9,275.6
2020/03/12,2189572.4,32285.2,28183.1,32793.8,381278.4,108173.5,113230.2,165722.2,187.0,66.6,348.8
2020/03/13,2351526.8,34037.7,33552.8,40001.6,456198.3,121098.5,146745.9,158058.1,227.3,82.6,420.8
2020/03/14,1819288.0,32099.9,43879.6,31343.7,446784.7,92199.6,129668.1,107941.9,269.7,99.9,498.7
2020/03/15,1586484.6,63839.4,41333.6,27508.1,395764.5,72052.1,116958.3,82732.7,315.1,119.6,578.2
2020/03/16,1720889.9,34223.4,29047.9,37563.2,369868.4,79560.6,147344.3,96114.4,364.0,138.7,666.4
2020/03/17,1334996.8,40490.8,30932.9,22319.0,388568.8,51186.6,82862.2,53391.6,416.3,161.5,755.2
2020/03/18,1277161.2,37054.3,28138.9,21197.9,384269.2,49502.1,76723.9,51759.5,473.3,188.5,857.6
2020/03/19,1271849.9,32285.2,28183.1,21781.8,381278.4,48294.2,76659.9,52331.4,536.5,219.2,960.4
2020/03/20,1226403.2,34037.7,33552.8,14850.9,456198.3,39305.4,61537.8,44514.5,607.3,257.4,1079.2
2020/03/21,1046301.2,32099.9,43879.6,9180.9,446784.7,27258.8,44546.5,31880.8,688.9,308.0,1211.6
2020/03/22,1180004.6,63839.4,41333.6,17402.2,395764.5,42301.5,71951.6,37530.5,782.8,363.3,1365.5
2020/03/23,1227210.4,34223.4,29047.9,18770.1,369868.4,46339.1,71453.0,50202.1,886.0,430.4,1519.3
2020/03/24,1223315.8,40490.8,30932.9,18536.4,388568.8,45811.9,70193.3,47994.5,1000.0,506.4,1695.5
2020/03/25,1357713.6,37054.3,28138.9,20644.5,384269.2,55766.6,78423.8,58314.2,1127.2,595.9,1889.2
2020/03/26,1214037.7,32285.2,28183.1,16782.0,381278.4,49589.0,66823.9,48396.1,1262.4,693.0,2095.0
2020/03/27,1267974.8,34037.7,33552.8,18127.2,456198.3,50804.6,71656.6,46939.7,1405.8,797.9,2304.1
2020/03/28,1166157.6,32099.9,43879.6,17136.3,446784.7,46289.3,72220.4,35211.0,1560.5,904.6,2524.4
2020/03/29,1095706.9,63839.4,41333.6,15045.3,395764.5,40271.0,65987.1,34445.0,1733.4,1040.5,2768.3
2020/03/30,1211548.8,34223.4,29047.9,17536.0,369868.4,47503.9,67655.7,48313.1,1917.6,1197.5,3022.0
2020/03/31,1241620.9,40490.8,30932.9,17836.4,388568.8,50112.1,69030.1,48989.4,2114.0,1344.8,3292.8
2020/04/01,1229111.6,37054.3,28138.9,17928.9,384269.2,49678.4,67645.6,48990.0,2327.6,1456.1,3575.4
2020/04/02,1177979.3,32285.2,28183.1,16779.9,381278.4,49609.2,67860.4,46273.6,2557.4,1569.2,3872.9
2020/04/03,1274869.5,34037.7,33552.8,19467.0,456198.3,55294.5,74978.0,46813.5,2801.8,1704.2,4190.3
2020/04/04,1133857.3,32099.9,43879.6,16383.9,446784.7,45840.3,74414.5,33240.1,3061.8,1836.7,4511.1
2020/04/05,1013514.5,63839.4,41333.6,15011.7,395764.5,34682.5,62261.4,28094.6,3340.7,1973.9,4854.8
2020/04/06,1050755.7,34223.4,29047.9,16027.1,369868.4,40267.3,62554.7,38497.4,3629.8,2128.4,5198.7
2020/04/07,1153575.0,40490.8,30932.9,17390.3,388568.8,45581.5,64752.0,43159.5,3932.4,2309.6,5546.9
2020/04/08,1120727.4,37054.3,28138.9,16748.1,384269.2,45426.1,64551.4,43842.8,4257.2,2536.0,5914.6
2020/04/09,1106634.9,32285.2,28183.1,17432.2,381278.4,45167.7,63005.3,41454.8,4597.4,2734.8,6307.1
2020/04/10,1231368.3,34037.7,33552.8,18806.4,456198.3,53806.1,71301.3,44411.5,4950.8,2935.9,6720.6
2020/04/11,1176540.5,32099.9,43879.6,19592.8,446784.7,49167.4,76790.5,35819.1,5313.4,3142.7,7127.7
2020/04/12,965621.4,63839.4,41333.6,12788.6,395764.5,29764.3,52454.6,24943.3,5694.0,3367.8,7534.8
2020/04/13,1072995.4,34223.4,29047.9,14596.2,369868.4,42516.9,58249.3,38982.5,6078.5,3601.3,7940.6
2020/04/14,1133897.6,40490.8,30932.9,16054.3,388568.8,45522.8,61579.5,40969.7,6470.6,3843.9,8393.7
2020/04/15,1151905.7,37054.3,28138.9,16170.2,384269.2,49690.8,60650.7,42577.3,6871.6,4103.3,8819.5
2020/04/16,1116527.5,32285.2,28183.1,14861.9,381278.4,47725.0,59940.7,41155.4,7282.7,4373.4,9248.2
2020/04/17,1241305.2,34037.7,33552.8,17984.2,456198.3,53510.5,65007.7,44000.3,7700.8,4649.3,9729.4
2020/04/18,1201611.5,32099.9,43879.6,16727.0,446784.7,54006.8,69241.2,38743.4,8127.2,4939.5,10234.7
2020/04/19,1111787.3,63839.4,41333.6,14680.0,395764.5,45553.9,61868.6,32652.4,8569.7,5249.7,10741.3
2020/04/20,1147534.8,34223.4,29047.9,15553.3,369868.4,45938.4,61532.0,44831.6,9020.8,5563.3,11243.4
2020/04/21,1229422.7,40490.8,30932.9,17682.4,388568.8,51644.2,66796.6,49016.8,9474.8,5888.1,11728.0
2020/04/22,1249800.0,37054.3,28138.9,17134.6,384269.2,55593.8,67568.2,49393.2,9935.9,6226.0,12208.1
2020/04/23,1248183.4,32285.2,28183.1,16750.3,381278.4,56275.2,65890.7,50068.0,10404.3,6569.7,12742.6
2020/04/24,1370271.9,34037.7,33552.8,17536.7,456198.3,64373.7,72675.4,51853.4,10877.9,6929.0,13346.6
2020/04/25,1317198.1,32099.9,43879.6,16632.6,446784.7,62232.2,73053.0,43854.5,11359.3,7293.8,13963.0
2020/04/26,1156839.8,63839.4,41333.6,14596.6,395764.5,49856.1,64086.4,34890.2,11855.4,7679.1,14598.9
2020/04/27,1227281.8,34223.4,29047.9,17078.9,369868.4,51484.3,63784.4,47863.3,12355.5,8046.7,15141.9
2020/04/28,1280088.8,40490.8,30932.9,18235.0,388568.8,55027.8,64480.3,50892.5,12859.0,8404.7,15775.3
2020/04/29,1243171.7,37054.3,28138.9,16918.6,384269.2,53085.4,64226.1,48825.6,13368.6,8778.6,16453.7
2020/04/30,1220566.1,32285.2,28183.1,16632.4,381278.4,56617.9,62169.9,47017.2,13884.4,9155.5,17150.6
2020/05/01,1395131.5,34037.7,33552.8,17787.9,456198.3,64034.6,71612.4,51015.6,14408.0,9549.7,17849.4
2020/05/02,1282511.9,32099.9,43879.6,16723.3,446784.7,63013.7,70761.0,40158.4,14943.6,9962.6,18563.9
2020/05/03,,,,,,,,,15493.1,10381.7,19301.5
2020/05/04,,,,,,,,,16051.0,10815.3,20041.9
2020/05/05,,,,,,,,,16609.2,11252.0,20781.6
2020/05/06,,,,,,,,,17164.6,11686.7,21525.1
2020/05/07,,,,,,,,,17718.3,12136.9,22246.9
