date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1847542.5,53757.0,41333.6,24327.6,354702.4,101124.2,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2080631.1,28652.2,29047.9,26485.2,340025.1,99406.5,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2126271.6,34395.3,30932.9,28030.0,356041.7,103252.8,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2148788.1,34867.8,28138.9,29515.9,356927.2,105234.6,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2144224.1,30304.5,28183.1,32793.8,363743.7,108173.5,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2248444.5,29895.4,33552.8,40001.6,406703.4,121098.5,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1651300.9,23801.3,43879.6,31343.7,313212.8,92199.6,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1381273.7,31604.8,41333.6,27508.1,230681.4,72052.1,109065.0,82732.7,315.1,119.5,577.3
2020/03/16,1543804.1,19228.4,29047.9,37563.2,256878.2,79560.6,98243.7,96114.4,363.9,139.7,664.2
2020/03/17,1090626.3,16503.9,30932.9,22319.0,159121.2,51186.6,91926.1,53391.6,415.4,162.2,758.5
2020/03/18,1031017.1,15142.4,28138.9,21197.9,147917.5,49502.1,88843.4,51759.5,471.1,188.9,854.4
2020/03/19,1032791.0,16883.5,28183.1,21781.8,146883.7,48294.2,87397.3,52331.4,531.5,219.7,956.3
2020/03/20,913722.2,15886.5,33552.8,14850.9,125905.7,39305.4,97300.7,44514.5,598.9,257.0,1066.4
2020/03/21,734706.6,14134.8,43879.6,9180.9,94150.2,27258.8,103551.5,31880.8,676.6,304.0,1190.4
2020/03/22,888125.0,15017.0,41333.6,17402.2,115593.8,42301.5,109065.0,37530.5,760.1,352.3,1324.6
2020/03/23,1006316.2,15515.0,29047.9,18770.1,140892.0,46339.1,98243.7,50202.1,847.1,402.7,1456.4
2020/03/24,970939.6,14633.7,30932.9,18536.4,140316.8,45811.9,91926.1,47994.5,939.4,457.3,1602.1
2020/03/25,1129111.2,18905.2,28138.9,20644.5,163396.4,55766.6,88843.4,58314.2,1035.5,516.0,1742.4
2020/03/26,974560.5,15549.9,28183.1,16782.0,137963.0,49589.0,87397.3,48396.1,1131.8,577.7,1885.9
2020/03/27,954295.5,14790.8,33552.8,18127.2,136121.9,50804.6,97300.7,46939.7,1229.8,638.5,2031.3
2020/03/28,853315.7,12983.0,43879.6,17136.3,121728.5,46289.3,103551.5,35211.0,1328.6,709.6,2172.5
2020/03/29,800330.1,15361.1,41333.6,15045.3,105788.1,40271.0,109065.0,34445.0,1427.3,779.9,2309.6
2020/03/30,990184.6,15263.9,29047.9,17536.0,136875.7,47503.9,98243.7,48313.1,1526.2,852.6,2452.4
2020/03/31,985677.2,15528.0,30932.9,17836.4,134691.8,50112.1,91926.1,48989.4,1628.3,929.7,2597.9
2020/04/01,986967.6,16125.1,28138.9,17928.9,141856.6,49678.4,88843.4,48990.0,1734.9,1013.5,2743.9
2020/04/02,929422.4,14852.1,28183.1,16779.9,130617.6,49609.2,87397.3,46273.6,1848.1,1104.8,2893.8
2020/04/03,964187.8,14186.5,33552.8,19467.0,143045.1,55294.5,97300.7,46813.5,1966.9,1202.7,3047.0
2020/04/04,818122.3,11709.3,43879.6,16383.9,122303.2,45840.3,103551.5,33240.1,2089.7,1292.4,3212.9
2020/04/05,708329.3,11921.7,41333.6,15011.7,95693.2,34682.5,109065.0,28094.6,2213.0,1386.0,3378.2
2020/04/06,803449.8,10430.2,29047.9,16027.1,110666.7,40267.3,98243.7,38497.4,2334.6,1480.4,3540.7
2020/04/07,890144.7,13049.2,30932.9,17390.3,125406.0,45581.5,91926.1,43159.5,2459.5,1577.9,3702.5
2020/04/08,858407.6,13329.9,28138.9,16748.1,121381.8,45426.1,88843.4,43842.8,2590.8,1685.8,3875.4
2020/04/09,852348.3,12576.0,28183.1,17432.2,122309.0,45167.7,87397.3,41454.8,2725.9,1789.8,4054.5
2020/04/10,915030.3,12544.2,33552.8,18806.4,135354.4,53806.1,97300.7,44411.5,2866.9,1882.0,4230.8
2020/04/11,859820.6,12625.9,43879.6,19592.8,122777.8,49167.4,103551.5,35819.1,3006.9,1994.4,4408.7
2020/04/12,662985.1,11695.3,41333.6,12788.6,88661.9,29764.3,109065.0,24943.3,3144.1,2102.9,4602.0
2020/04/13,836373.6,11519.1,29047.9,14596.2,115956.6,42516.9,98243.7,38982.5,3276.4,2209.8,4788.3
2020/04/14,871845.2,13530.9,30932.9,16054.3,123129.7,45522.8,91926.1,40969.7,3405.7,2296.2,4975.5
2020/04/15,899959.2,13653.1,28138.9,16170.2,127531.3,49690.8,88843.4,42577.3,3533.1,2382.2,5154.6
2020/04/16,868668.7,13353.6,28183.1,14861.9,124894.6,47725.0,87397.3,41155.4,3661.3,2464.3,5303.1
2020/04/17,934513.8,13476.5,33552.8,17984.2,137675.0,53510.5,97300.7,44000.3,3789.8,2549.6,5450.4
2020/04/18,897050.0,12988.0,43879.6,16727.0,127024.8,54006.8,103551.5,38743.4,3915.9,2634.7,5592.4
2020/04/19,822515.3,14625.7,41333.6,14680.0,108509.7,45553.9,109065.0,32652.4,4040.0,2720.3,5738.9
2020/04/20,924831.2,13805.1,29047.9,15553.3,130871.4,45938.4,98243.7,44831.6,4161.3,2803.3,5873.9
2020/04/21,980836.9,15916.1,30932.9,17682.4,139428.2,51644.2,91926.1,49016.8,4282.9,2885.5,6008.6
2020/04/22,1007174.9,16134.6,28138.9,17134.6,141288.6,55593.8,88843.4,49393.2,4406.0,2969.9,6134.2
2020/04/23,1015859.6,15505.7,28183.1,16750.3,144227.4,56275.2,87397.3,50068.0,4529.6,3057.8,6261.3
2020/04/24,1077959.1,16071.0,33552.8,17536.7,157226.9,64373.7,97300.7,51853.4,4654.2,3148.3,6385.3
2020/04/25,1031985.4,15369.4,43879.6,16632.6,147803.9,62232.2,103551.5,43854.5,4778.7,3239.7,6508.5
2020/04/26,871729.8,14538.7,41333.6,14596.6,114976.4,49856.1,109065.0,34890.2,4904.9,3330.5,6631.7
2020/04/27,1006232.9,13533.2,29047.9,17078.9,135050.4,51484.3,98243.7,47863.3,5029.9,3425.7,6761.0
2020/04/28,1036688.5,14565.1,30932.9,18235.0,143648.3,55027.8,91926.1,50892.5,5153.3,3518.0,6895.1
2020/04/29,997521.2,14758.4,28138.9,16918.6,136297.3,53085.4,88843.4,48825.6,5280.6,3616.4,7023.0
2020/04/30,982175.8,13562.7,28183.1,16632.4,136383.2,56617.9,87397.3,47017.2,5411.3,3720.3,7142.2
2020/05/01,1103726.2,15411.6,33552.8,17787.9,157730.8,64034.6,97300.7,51015.6,5546.3,3822.6,7268.9
2020/05/02,987875.4,13191.7,43879.6,16723.3,138265.9,63013.7,103551.5,40158.4,5686.3,3931.4,7391.6
2020/05/03,,,,,,,,,5827.0,4051.4,7556.0
2020/05/04,,,,,,,,,5968.5,4178.7,7695.9
2020/05/05,,,,,,,,,6109.2,4301.0,7819.9
2020/05/06,,,,,,,,,6250.0,4424.4,7941.2
2020/05/07,,,,,,,,,6390.9,4560.1,8071.6
2020/05/08,,,,,,,,,6530.7,4704.2,8242.7
