date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1858986.4,53757.0,41333.6,24327.6,354702.4,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2087835.9,28652.2,29047.9,26485.2,340025.1,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2134932.3,34395.3,30932.9,28030.0,356041.7,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2156728.8,34867.8,28138.9,29515.9,356927.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2146377.5,30304.5,28183.1,32793.8,363743.7,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2255908.6,29895.4,33552.8,40001.6,406703.4,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1686875.3,23801.3,43879.6,31343.7,313212.8,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1421789.8,31604.8,41333.6,27508.1,230681.4,112568.1,109065.0,82732.7,315.1,119.6,577.2
2020/03/16,1570854.8,19228.4,29047.9,37563.2,256878.2,106611.3,98243.7,96114.4,363.9,140.1,664.2
2020/03/17,1151353.3,16503.9,30932.9,22319.0,159121.2,111913.5,91926.1,53391.6,415.5,161.5,753.0
2020/03/18,1094690.3,15142.4,28138.9,21197.9,147917.5,113175.3,88843.4,51759.5,471.4,186.7,850.5
2020/03/19,1094823.7,16883.5,28183.1,21781.8,146883.7,110326.9,87397.3,52331.4,532.3,214.4,951.8
2020/03/20,1002979.5,15886.5,33552.8,14850.9,125905.7,128562.6,97300.7,44514.5,600.3,252.5,1067.7
2020/03/21,835221.9,14134.8,43879.6,9180.9,94150.2,127774.1,103551.5,31880.8,678.6,299.3,1193.0
2020/03/22,958391.7,15017.0,41333.6,17402.2,115593.8,112568.1,109065.0,37530.5,762.9,349.4,1329.8
2020/03/23,1066588.4,15515.0,29047.9,18770.1,140892.0,106611.3,98243.7,50202.1,851.2,403.9,1470.4
2020/03/24,1037041.2,14633.7,30932.9,18536.4,140316.8,111913.5,91926.1,47994.5,943.8,463.2,1614.3
2020/03/25,1186519.8,18905.2,28138.9,20644.5,163396.4,113175.3,88843.4,58314.2,1040.7,526.0,1763.6
2020/03/26,1035298.4,15549.9,28183.1,16782.0,137963.0,110326.9,87397.3,48396.1,1138.1,590.9,1907.8
2020/03/27,1032053.5,14790.8,33552.8,18127.2,136121.9,128562.6,97300.7,46939.7,1237.7,659.8,2056.3
2020/03/28,934800.5,12983.0,43879.6,17136.3,121728.5,127774.1,103551.5,35211.0,1338.0,732.8,2200.8
2020/03/29,872627.2,15361.1,41333.6,15045.3,105788.1,112568.1,109065.0,34445.0,1438.8,804.4,2338.6
2020/03/30,1049292.0,15263.9,29047.9,17536.0,136875.7,106611.3,98243.7,48313.1,1539.8,878.6,2481.5
2020/03/31,1047478.6,15528.0,30932.9,17836.4,134691.8,111913.5,91926.1,48989.4,1644.8,964.3,2627.9
2020/04/01,1050464.5,16125.1,28138.9,17928.9,141856.6,113175.3,88843.4,48990.0,1755.3,1050.2,2782.5
2020/04/02,990140.1,14852.1,28183.1,16779.9,130617.6,110326.9,87397.3,46273.6,1871.7,1140.6,2939.7
2020/04/03,1037455.9,14186.5,33552.8,19467.0,143045.1,128562.6,97300.7,46813.5,1994.0,1243.6,3100.5
2020/04/04,900056.0,11709.3,43879.6,16383.9,122303.2,127774.1,103551.5,33240.1,2120.8,1342.7,3264.6
2020/04/05,786214.9,11921.7,41333.6,15011.7,95693.2,112568.1,109065.0,28094.6,2248.1,1447.5,3426.3
2020/04/06,869793.8,10430.2,29047.9,16027.1,110666.7,106611.3,98243.7,38497.4,2373.9,1550.0,3590.5
2020/04/07,956476.7,13049.2,30932.9,17390.3,125406.0,111913.5,91926.1,43159.5,2502.9,1636.1,3762.3
2020/04/08,926156.7,13329.9,28138.9,16748.1,121381.8,113175.3,88843.4,43842.8,2638.7,1717.5,3945.4
2020/04/09,917507.5,12576.0,28183.1,17432.2,122309.0,110326.9,87397.3,41454.8,2777.8,1798.8,4133.0
2020/04/10,989786.8,12544.2,33552.8,18806.4,135354.4,128562.6,97300.7,44411.5,2923.6,1891.2,4327.5
2020/04/11,938427.3,12625.9,43879.6,19592.8,122777.8,127774.1,103551.5,35819.1,3068.9,1978.9,4512.0
2020/04/12,745789.0,11695.3,41333.6,12788.6,88661.9,112568.1,109065.0,24943.3,3210.3,2066.8,4687.8
2020/04/13,900468.0,11519.1,29047.9,14596.2,115956.6,106611.3,98243.7,38982.5,3347.1,2156.1,4859.3
2020/04/14,938236.0,13530.9,30932.9,16054.3,123129.7,111913.5,91926.1,40969.7,3481.2,2243.5,5020.2
2020/04/15,963443.7,13653.1,28138.9,16170.2,127531.3,113175.3,88843.4,42577.3,3612.8,2329.5,5182.4
2020/04/16,931270.7,13353.6,28183.1,14861.9,124894.6,110326.9,87397.3,41155.4,3746.2,2416.4,5354.6
2020/04/17,1009565.9,13476.5,33552.8,17984.2,137675.0,128562.6,97300.7,44000.3,3879.5,2500.5,5510.4
2020/04/18,970817.3,12988.0,43879.6,16727.0,127024.8,127774.1,103551.5,38743.4,4011.1,2590.6,5655.3
2020/04/19,889529.5,14625.7,41333.6,14680.0,108509.7,112568.1,109065.0,32652.4,4141.2,2678.8,5791.1
2020/04/20,985504.1,13805.1,29047.9,15553.3,130871.4,106611.3,98243.7,44831.6,4268.8,2772.7,5932.0
2020/04/21,1041106.3,15916.1,30932.9,17682.4,139428.2,111913.5,91926.1,49016.8,4396.0,2870.6,6069.5
2020/04/22,1064756.3,16134.6,28138.9,17134.6,141288.6,113175.3,88843.4,49393.2,4525.6,2969.4,6206.1
2020/04/23,1069911.2,15505.7,28183.1,16750.3,144227.4,110326.9,87397.3,50068.0,4655.9,3067.8,6340.5
2020/04/24,1142148.0,16071.0,33552.8,17536.7,157226.9,128562.6,97300.7,51853.4,4787.6,3178.2,6470.6
2020/04/25,1097527.2,15369.4,43879.6,16632.6,147803.9,127774.1,103551.5,43854.5,4919.3,3283.5,6598.9
2020/04/26,934441.8,14538.7,41333.6,14596.6,114976.4,112568.1,109065.0,34890.2,5052.4,3396.3,6727.1
2020/04/27,1061359.8,13533.2,29047.9,17078.9,135050.4,106611.3,98243.7,47863.3,5184.9,3503.4,6853.9
2020/04/28,1093574.2,14565.1,30932.9,18235.0,143648.3,111913.5,91926.1,50892.5,5315.5,3615.1,6975.7
2020/04/29,1057611.0,14758.4,28138.9,16918.6,136297.3,113175.3,88843.4,48825.6,5450.7,3726.4,7094.3
2020/04/30,1035884.8,13562.7,28183.1,16632.4,136383.2,110326.9,87397.3,47017.2,5589.5,3848.0,7223.0
2020/05/01,1168254.2,15411.6,33552.8,17787.9,157730.8,128562.6,97300.7,51015.6,5732.9,3978.4,7356.6
2020/05/02,1052635.8,13191.7,43879.6,16723.3,138265.9,127774.1,103551.5,40158.4,5881.6,4100.9,7492.0
2020/05/03,,,,,,,,,6031.2,4224.3,7634.7
2020/05/04,,,,,,,,,6181.4,4356.0,7767.9
2020/05/05,,,,,,,,,6331.4,4485.7,7904.4
2020/05/06,,,,,,,,,6482.1,4621.3,8055.0
2020/05/07,,,,,,,,,6633.6,4756.8,8205.4
2020/05/08,,,,,,,,,6783.8,4891.5,8383.4
