date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1861505.5,53757.0,41333.6,26846.7,354702.4,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2091418.4,28652.2,29047.9,30067.7,340025.1,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2135689.3,34395.3,30932.9,28787.0,356041.7,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2154908.1,34867.8,28138.9,27695.2,356927.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2140923.7,30304.5,28183.1,27339.9,363743.7,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2245526.7,29895.4,33552.8,29619.6,406703.4,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1682722.2,23801.3,43879.6,27190.6,313212.8,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1421128.3,31604.8,41333.6,26846.7,230681.4,112568.1,109065.0,82732.7,315.0,119.5,577.2
2020/03/16,1563359.3,19228.4,29047.9,30067.7,256878.2,106611.3,98243.7,96114.4,363.9,141.1,661.4
2020/03/17,1157821.2,16503.9,30932.9,28787.0,159121.2,111913.5,91926.1,53391.6,415.6,162.6,753.3
2020/03/18,1101187.6,15142.4,28138.9,27695.2,147917.5,113175.3,88843.4,51759.5,471.3,186.8,851.5
2020/03/19,1100381.8,16883.5,28183.1,27339.9,146883.7,110326.9,87397.3,52331.4,532.0,217.3,955.4
2020/03/20,1017748.2,15886.5,33552.8,29619.6,125905.7,128562.6,97300.7,44514.5,600.3,251.1,1066.8
2020/03/21,853231.7,14134.8,43879.6,27190.6,94150.2,127774.1,103551.5,31880.8,678.2,294.1,1191.2
2020/03/22,967836.2,15017.0,41333.6,26846.7,115593.8,112568.1,109065.0,37530.5,762.3,343.9,1325.6
2020/03/23,1077886.0,15515.0,29047.9,30067.7,140892.0,106611.3,98243.7,50202.1,850.3,400.6,1462.8
2020/03/24,1047291.8,14633.7,30932.9,28787.0,140316.8,111913.5,91926.1,47994.5,942.9,463.2,1604.2
2020/03/25,1193570.6,18905.2,28138.9,27695.2,163396.4,113175.3,88843.4,58314.2,1040.1,525.1,1749.4
2020/03/26,1045856.2,15549.9,28183.1,27339.9,137963.0,110326.9,87397.3,48396.1,1137.8,583.9,1895.5
2020/03/27,1043546.0,14790.8,33552.8,29619.6,136121.9,128562.6,97300.7,46939.7,1237.4,646.2,2041.6
2020/03/28,944854.9,12983.0,43879.6,27190.6,121728.5,127774.1,103551.5,35211.0,1337.7,708.9,2183.0
2020/03/29,884428.6,15361.1,41333.6,26846.7,105788.1,112568.1,109065.0,34445.0,1438.5,771.1,2329.2
2020/03/30,1061823.7,15263.9,29047.9,30067.7,136875.7,106611.3,98243.7,48313.1,1539.6,840.3,2472.7
2020/03/31,1058429.2,15528.0,30932.9,28787.0,134691.8,111913.5,91926.1,48989.4,1644.1,914.9,2624.4
2020/04/01,1060230.8,16125.1,28138.9,27695.2,141856.6,113175.3,88843.4,48990.0,1753.9,1000.6,2777.4
2020/04/02,1000700.0,14852.1,28183.1,27339.9,130617.6,110326.9,87397.3,46273.6,1869.7,1080.3,2934.8
2020/04/03,1047608.6,14186.5,33552.8,29619.6,143045.1,128562.6,97300.7,46813.5,1991.7,1168.8,3101.0
2020/04/04,910862.8,11709.3,43879.6,27190.6,122303.2,127774.1,103551.5,33240.1,2117.9,1261.7,3275.5
2020/04/05,798049.9,11921.7,41333.6,26846.7,95693.2,112568.1,109065.0,28094.6,2244.5,1358.9,3454.3
2020/04/06,883834.4,10430.2,29047.9,30067.7,110666.7,106611.3,98243.7,38497.4,2370.1,1457.4,3625.3
2020/04/07,967873.4,13049.2,30932.9,28787.0,125406.0,111913.5,91926.1,43159.5,2497.8,1553.2,3793.4
2020/04/08,937103.9,13329.9,28138.9,27695.2,121381.8,113175.3,88843.4,43842.8,2632.3,1648.3,3972.3
2020/04/09,927415.2,12576.0,28183.1,27339.9,122309.0,110326.9,87397.3,41454.8,2770.8,1746.3,4152.7
2020/04/10,1000600.0,12544.2,33552.8,29619.6,135354.4,128562.6,97300.7,44411.5,2915.5,1853.4,4344.6
2020/04/11,946025.2,12625.9,43879.6,27190.6,122777.8,127774.1,103551.5,35819.1,3059.4,1962.6,4529.1
2020/04/12,759847.1,11695.3,41333.6,26846.7,88661.9,112568.1,109065.0,24943.3,3200.6,2066.0,4713.4
2020/04/13,915939.5,11519.1,29047.9,30067.7,115956.6,106611.3,98243.7,38982.5,3336.5,2156.3,4885.6
2020/04/14,950968.7,13530.9,30932.9,28787.0,123129.7,111913.5,91926.1,40969.7,3469.4,2248.3,5051.0
2020/04/15,974968.8,13653.1,28138.9,27695.2,127531.3,113175.3,88843.4,42577.3,3600.7,2352.7,5215.9
2020/04/16,943748.6,13353.6,28183.1,27339.9,124894.6,110326.9,87397.3,41155.4,3732.7,2454.4,5369.9
2020/04/17,1021201.3,13476.5,33552.8,29619.6,137675.0,128562.6,97300.7,44000.3,3864.3,2553.9,5525.3
2020/04/18,981281.0,12988.0,43879.6,27190.6,127024.8,127774.1,103551.5,38743.4,3994.2,2654.7,5672.4
2020/04/19,901696.1,14625.7,41333.6,26846.7,108509.7,112568.1,109065.0,32652.4,4123.1,2756.0,5818.7
2020/04/20,1000018.5,13805.1,29047.9,30067.7,130871.4,106611.3,98243.7,44831.6,4249.3,2850.7,5957.8
2020/04/21,1052210.9,15916.1,30932.9,28787.0,139428.2,111913.5,91926.1,49016.8,4375.3,2949.5,6093.6
2020/04/22,1075316.9,16134.6,28138.9,27695.2,141288.6,113175.3,88843.4,49393.2,4502.9,3048.6,6228.2
2020/04/23,1080500.8,15505.7,28183.1,27339.9,144227.4,110326.9,87397.3,50068.0,4632.3,3150.8,6363.6
2020/04/24,1154231.0,16071.0,33552.8,29619.6,157226.9,128562.6,97300.7,51853.4,4762.1,3250.5,6492.3
2020/04/25,1108085.3,15369.4,43879.6,27190.6,147803.9,127774.1,103551.5,43854.5,4893.1,3356.2,6632.5
2020/04/26,946691.8,14538.7,41333.6,26846.7,114976.4,112568.1,109065.0,34890.2,5025.2,3466.1,6773.3
2020/04/27,1074348.6,13533.2,29047.9,30067.7,135050.4,106611.3,98243.7,47863.3,5155.9,3585.6,6901.1
2020/04/28,1104126.3,14565.1,30932.9,28787.0,143648.3,111913.5,91926.1,50892.5,5285.4,3706.3,7018.4
2020/04/29,1068387.7,14758.4,28138.9,27695.2,136297.3,113175.3,88843.4,48825.6,5419.2,3829.6,7140.5
2020/04/30,1046592.3,13562.7,28183.1,27339.9,136383.2,110326.9,87397.3,47017.2,5556.5,3959.4,7264.2
2020/05/01,1180085.9,15411.6,33552.8,29619.6,157730.8,128562.6,97300.7,51015.6,5698.9,4093.4,7391.5
2020/05/02,1063103.1,13191.7,43879.6,27190.6,138265.9,127774.1,103551.5,40158.4,5846.3,4232.4,7520.8
2020/05/03,,,,,,,,,5994.6,4369.8,7650.5
2020/05/04,,,,,,,,,6144.3,4506.6,7782.9
2020/05/05,,,,,,,,,6293.0,4648.3,7909.7
2020/05/06,,,,,,,,,6442.6,4782.7,8057.8
2020/05/07,,,,,,,,,6592.4,4903.1,8207.3
2020/05/08,,,,,,,,,6742.1,5018.4,8349.5
