date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1871587.9,63839.4,41333.6,26846.7,354702.4,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2096989.6,34223.4,29047.9,30067.7,340025.1,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2141784.7,40490.8,30932.9,28787.0,356041.7,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2157094.6,37054.3,28138.9,27695.2,356927.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2142904.3,32285.2,28183.1,27339.9,363743.7,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2249668.9,34037.7,33552.8,29619.6,406703.4,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1691020.8,32099.9,43879.6,27190.6,313212.8,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1453362.9,63839.4,41333.6,26846.7,230681.4,112568.1,109065.0,82732.7,315.1,119.5,577.2
2020/03/16,1578354.3,34223.4,29047.9,30067.7,256878.2,106611.3,98243.7,96114.4,363.8,139.7,663.8
2020/03/17,1181808.1,40490.8,30932.9,28787.0,159121.2,111913.5,91926.1,53391.6,415.7,161.4,753.8
2020/03/18,1123099.4,37054.3,28138.9,27695.2,147917.5,113175.3,88843.4,51759.5,471.6,188.7,851.2
2020/03/19,1115783.5,32285.2,28183.1,27339.9,146883.7,110326.9,87397.3,52331.4,532.6,216.3,952.3
2020/03/20,1035899.5,34037.7,33552.8,29619.6,125905.7,128562.6,97300.7,44514.5,600.9,253.6,1066.9
2020/03/21,871196.8,32099.9,43879.6,27190.6,94150.2,127774.1,103551.5,31880.8,678.8,296.8,1187.6
2020/03/22,1016658.6,63839.4,41333.6,26846.7,115593.8,112568.1,109065.0,37530.5,763.1,345.1,1321.2
2020/03/23,1096594.5,34223.4,29047.9,30067.7,140892.0,106611.3,98243.7,50202.1,851.6,402.2,1456.6
2020/03/24,1073148.8,40490.8,30932.9,28787.0,140316.8,111913.5,91926.1,47994.5,945.3,467.9,1603.7
2020/03/25,1211719.7,37054.3,28138.9,27695.2,163396.4,113175.3,88843.4,58314.2,1043.5,533.0,1753.6
2020/03/26,1062591.5,32285.2,28183.1,27339.9,137963.0,110326.9,87397.3,48396.1,1142.5,596.2,1909.0
2020/03/27,1062792.9,34037.7,33552.8,29619.6,136121.9,128562.6,97300.7,46939.7,1243.0,660.5,2060.4
2020/03/28,963971.7,32099.9,43879.6,27190.6,121728.5,127774.1,103551.5,35211.0,1344.6,729.5,2209.6
2020/03/29,932906.9,63839.4,41333.6,26846.7,105788.1,112568.1,109065.0,34445.0,1446.7,801.6,2365.9
2020/03/30,1080783.2,34223.4,29047.9,30067.7,136875.7,106611.3,98243.7,48313.1,1549.8,871.6,2509.1
2020/03/31,1083392.0,40490.8,30932.9,28787.0,134691.8,111913.5,91926.1,48989.4,1656.2,943.7,2655.7
2020/04/01,1081160.0,37054.3,28138.9,27695.2,141856.6,113175.3,88843.4,48990.0,1768.2,1019.4,2807.9
2020/04/02,1018133.1,32285.2,28183.1,27339.9,130617.6,110326.9,87397.3,46273.6,1887.4,1096.1,2980.7
2020/04/03,1067459.8,34037.7,33552.8,29619.6,143045.1,128562.6,97300.7,46813.5,2012.8,1179.3,3159.3
2020/04/04,931253.3,32099.9,43879.6,27190.6,122303.2,127774.1,103551.5,33240.1,2141.7,1260.6,3331.6
2020/04/05,849967.5,63839.4,41333.6,26846.7,95693.2,112568.1,109065.0,28094.6,2272.0,1343.6,3502.7
2020/04/06,907627.6,34223.4,29047.9,30067.7,110666.7,106611.3,98243.7,38497.4,2401.3,1434.6,3668.8
2020/04/07,995315.0,40490.8,30932.9,28787.0,125406.0,111913.5,91926.1,43159.5,2535.6,1542.7,3845.0
2020/04/08,960828.2,37054.3,28138.9,27695.2,121381.8,113175.3,88843.4,43842.8,2676.8,1657.1,4026.2
2020/04/09,947124.4,32285.2,28183.1,27339.9,122309.0,110326.9,87397.3,41454.8,2822.6,1774.9,4201.5
2020/04/10,1022093.6,34037.7,33552.8,29619.6,135354.4,128562.6,97300.7,44411.5,2975.3,1904.6,4386.7
2020/04/11,965499.2,32099.9,43879.6,27190.6,122777.8,127774.1,103551.5,35819.1,3126.7,2031.2,4583.8
2020/04/12,811991.1,63839.4,41333.6,26846.7,88661.9,112568.1,109065.0,24943.3,3276.3,2159.5,4769.3
2020/04/13,938643.8,34223.4,29047.9,30067.7,115956.6,106611.3,98243.7,38982.5,3421.9,2267.9,4949.9
2020/04/14,977928.6,40490.8,30932.9,28787.0,123129.7,111913.5,91926.1,40969.7,3565.6,2376.6,5123.9
2020/04/15,998370.0,37054.3,28138.9,27695.2,127531.3,113175.3,88843.4,42577.3,3708.3,2490.5,5295.3
2020/04/16,962680.2,32285.2,28183.1,27339.9,124894.6,110326.9,87397.3,41155.4,3852.5,2602.7,5496.4
2020/04/17,1041762.5,34037.7,33552.8,29619.6,137675.0,128562.6,97300.7,44000.3,3996.8,2716.5,5683.5
2020/04/18,1000392.9,32099.9,43879.6,27190.6,127024.8,127774.1,103551.5,38743.4,4139.0,2830.3,5856.6
2020/04/19,950909.8,63839.4,41333.6,26846.7,108509.7,112568.1,109065.0,32652.4,4280.8,2949.8,6017.1
2020/04/20,1020436.8,34223.4,29047.9,30067.7,130871.4,106611.3,98243.7,44831.6,4421.7,3043.9,6176.9
2020/04/21,1076785.5,40490.8,30932.9,28787.0,139428.2,111913.5,91926.1,49016.8,4562.7,3143.0,6333.8
2020/04/22,1096236.6,37054.3,28138.9,27695.2,141288.6,113175.3,88843.4,49393.2,4705.9,3244.1,6489.6
2020/04/23,1097280.3,32285.2,28183.1,27339.9,144227.4,110326.9,87397.3,50068.0,4850.5,3348.2,6646.4
2020/04/24,1172197.8,34037.7,33552.8,29619.6,157226.9,128562.6,97300.7,51853.4,4996.8,3451.7,6801.3
2020/04/25,1124815.8,32099.9,43879.6,27190.6,147803.9,127774.1,103551.5,43854.5,5143.4,3567.4,6951.5
2020/04/26,995992.5,63839.4,41333.6,26846.7,114976.4,112568.1,109065.0,34890.2,5292.0,3687.8,7100.4
2020/04/27,1095038.8,34223.4,29047.9,30067.7,135050.4,106611.3,98243.7,47863.3,5440.6,3806.8,7250.4
2020/04/28,1130051.9,40490.8,30932.9,28787.0,143648.3,111913.5,91926.1,50892.5,5588.6,3930.2,7403.2
2020/04/29,1090683.5,37054.3,28138.9,27695.2,136297.3,113175.3,88843.4,48825.6,5741.1,4057.3,7559.6
2020/04/30,1065314.7,32285.2,28183.1,27339.9,136383.2,110326.9,87397.3,47017.2,5898.3,4190.8,7712.8
2020/05/01,1198712.0,34037.7,33552.8,29619.6,157730.8,128562.6,97300.7,51015.6,6059.9,4328.9,7874.2
2020/05/02,1082011.3,32099.9,43879.6,27190.6,138265.9,127774.1,103551.5,40158.4,6226.7,4472.5,8030.3
2020/05/03,,,,,,,,,6394.5,4611.1,8186.4
2020/05/04,,,,,,,,,6565.4,4754.0,8340.1
2020/05/05,,,,,,,,,6736.9,4893.9,8492.4
2020/05/06,,,,,,,,,6908.6,5019.6,8689.9
2020/05/07,,,,,,,,,7081.1,5145.1,8893.8
2020/05/08,,,,,,,,,7251.7,5266.3,9065.2
