date,mobility_overall,mobility_religious_organizations,mobility_department_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,mobility_limited-service_restaurants,mobility_grocery_stores,mobility_fitness_centers,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,2061344.2,63839.4,41333.6,26846.7,395764.5,112568.1,109065.0,146997.1,,,
2020/03/02,2257345.0,34223.4,29047.9,30067.7,369868.4,106611.3,98243.7,188780.9,,,
2020/03/03,2299018.9,40490.8,30932.9,28787.0,388568.8,111913.5,91926.1,196948.5,,,
2020/03/04,2247879.1,37054.3,28138.9,27695.2,384269.2,113175.3,88843.4,191689.7,,,
2020/03/05,2206453.7,32285.2,28183.1,27339.9,381278.4,110326.9,87397.3,184930.5,,,
2020/03/06,2400924.2,34037.7,33552.8,29619.6,456198.3,128562.6,97300.7,184850.9,,,
2020/03/07,2188676.3,32099.9,43879.6,27190.6,446784.7,127774.1,103551.5,165022.7,,,
2020/03/08,1869068.8,63839.4,41333.6,24327.6,354702.4,112568.1,109065.0,127835.2,2.6,0.6,5.8
2020/03/09,2093407.1,34223.4,29047.9,26485.2,340025.1,106611.3,98243.7,172532.3,57.7,20.2,108.9
2020/03/10,2141027.8,40490.8,30932.9,28030.0,356041.7,111913.5,91926.1,179955.6,104.3,36.7,197.9
2020/03/11,2158915.2,37054.3,28138.9,29515.9,356927.2,113175.3,88843.4,175468.8,146.7,51.9,275.6
2020/03/12,2148358.2,32285.2,28183.1,32793.8,363743.7,110326.9,87397.3,165722.2,187.0,66.6,348.8
2020/03/13,2260050.9,34037.7,33552.8,40001.6,406703.4,128562.6,97300.7,158058.1,227.3,82.6,420.8
2020/03/14,1695173.9,32099.9,43879.6,31343.7,313212.8,127774.1,103551.5,107941.9,269.7,99.9,498.7
2020/03/15,1454024.4,63839.4,41333.6,27508.1,230681.4,112568.1,109065.0,82732.7,315.1,119.4,578.4
2020/03/16,1585849.8,34223.4,29047.9,37563.2,256878.2,106611.3,98243.7,96114.4,364.3,139.1,665.9
2020/03/17,1175340.1,40490.8,30932.9,22319.0,159121.2,111913.5,91926.1,53391.6,415.7,161.8,755.1
2020/03/18,1116602.1,37054.3,28138.9,21197.9,147917.5,113175.3,88843.4,51759.5,471.3,186.9,850.4
2020/03/19,1110225.4,32285.2,28183.1,21781.8,146883.7,110326.9,87397.3,52331.4,532.2,211.8,952.6
2020/03/20,1021130.7,34037.7,33552.8,14850.9,125905.7,128562.6,97300.7,44514.5,600.1,246.5,1063.7
2020/03/21,853187.0,32099.9,43879.6,9180.9,94150.2,127774.1,103551.5,31880.8,678.1,290.2,1187.7
2020/03/22,1007214.1,63839.4,41333.6,17402.2,115593.8,112568.1,109065.0,37530.5,762.2,339.0,1320.0
2020/03/23,1085296.8,34223.4,29047.9,18770.1,140892.0,106611.3,98243.7,50202.1,850.3,391.9,1455.3
2020/03/24,1062898.2,40490.8,30932.9,18536.4,140316.8,111913.5,91926.1,47994.5,943.7,454.7,1596.5
2020/03/25,1204668.9,37054.3,28138.9,20644.5,163396.4,113175.3,88843.4,58314.2,1042.0,520.2,1745.1
2020/03/26,1052033.7,32285.2,28183.1,16782.0,137963.0,110326.9,87397.3,48396.1,1140.4,589.5,1889.3
2020/03/27,1051300.5,34037.7,33552.8,18127.2,136121.9,128562.6,97300.7,46939.7,1241.3,657.8,2033.7
2020/03/28,953917.3,32099.9,43879.6,17136.3,121728.5,127774.1,103551.5,35211.0,1342.8,728.5,2185.4
2020/03/29,921105.5,63839.4,41333.6,15045.3,105788.1,112568.1,109065.0,34445.0,1444.9,802.5,2326.9
2020/03/30,1068251.5,34223.4,29047.9,17536.0,136875.7,106611.3,98243.7,48313.1,1547.7,876.7,2464.0
2020/03/31,1072441.4,40490.8,30932.9,17836.4,134691.8,111913.5,91926.1,48989.4,1654.8,957.2,2618.3
2020/04/01,1071393.6,37054.3,28138.9,17928.9,141856.6,113175.3,88843.4,48990.0,1767.1,1035.9,2773.9
2020/04/02,1007573.1,32285.2,28183.1,16779.9,130617.6,110326.9,87397.3,46273.6,1886.6,1121.7,2937.6
2020/04/03,1057307.1,34037.7,33552.8,19467.0,143045.1,128562.6,97300.7,46813.5,2012.7,1211.0,3109.5
2020/04/04,920446.6,32099.9,43879.6,16383.9,122303.2,127774.1,103551.5,33240.1,2143.3,1302.4,3282.8
2020/04/05,838132.5,63839.4,41333.6,15011.7,95693.2,112568.1,109065.0,28094.6,2274.4,1392.1,3461.9
2020/04/06,893587.0,34223.4,29047.9,16027.1,110666.7,106611.3,98243.7,38497.4,2404.6,1485.5,3631.4
2020/04/07,983918.3,40490.8,30932.9,17390.3,125406.0,111913.5,91926.1,43159.5,2537.9,1589.7,3808.2
2020/04/08,949881.0,37054.3,28138.9,16748.1,121381.8,113175.3,88843.4,43842.8,2678.8,1704.7,3995.1
2020/04/09,937216.7,32285.2,28183.1,17432.2,122309.0,110326.9,87397.3,41454.8,2824.3,1825.6,4179.1
2020/04/10,1011280.3,34037.7,33552.8,18806.4,135354.4,128562.6,97300.7,44411.5,2976.4,1947.1,4366.5
2020/04/11,957901.4,32099.9,43879.6,19592.8,122777.8,127774.1,103551.5,35819.1,3127.9,2070.6,4551.1
2020/04/12,797933.0,63839.4,41333.6,12788.6,88661.9,112568.1,109065.0,24943.3,3276.3,2179.8,4736.5
2020/04/13,923172.3,34223.4,29047.9,14596.2,115956.6,106611.3,98243.7,38982.5,3422.0,2297.0,4919.9
2020/04/14,965195.9,40490.8,30932.9,16054.3,123129.7,111913.5,91926.1,40969.7,3565.2,2411.9,5097.2
2020/04/15,986844.9,37054.3,28138.9,16170.2,127531.3,113175.3,88843.4,42577.3,3706.4,2523.7,5271.5
2020/04/16,950202.3,32285.2,28183.1,14861.9,124894.6,110326.9,87397.3,41155.4,3849.9,2623.9,5449.2
2020/04/17,1030127.1,34037.7,33552.8,17984.2,137675.0,128562.6,97300.7,44000.3,3993.6,2720.5,5624.0
2020/04/18,989929.2,32099.9,43879.6,16727.0,127024.8,127774.1,103551.5,38743.4,4135.8,2817.6,5793.6
2020/04/19,938743.2,63839.4,41333.6,14680.0,108509.7,112568.1,109065.0,32652.4,4276.8,2916.4,5967.1
2020/04/20,1005922.4,34223.4,29047.9,15553.3,130871.4,106611.3,98243.7,44831.6,4416.5,3022.4,6137.2
2020/04/21,1065680.9,40490.8,30932.9,17682.4,139428.2,111913.5,91926.1,49016.8,4556.2,3127.8,6298.5
2020/04/22,1085676.0,37054.3,28138.9,17134.6,141288.6,113175.3,88843.4,49393.2,4697.7,3235.0,6460.1
2020/04/23,1086690.7,32285.2,28183.1,16750.3,144227.4,110326.9,87397.3,50068.0,4840.6,3347.0,6618.6
2020/04/24,1160114.8,34037.7,33552.8,17536.7,157226.9,128562.6,97300.7,51853.4,4985.2,3461.2,6773.5
2020/04/25,1114257.7,32099.9,43879.6,16632.6,147803.9,127774.1,103551.5,43854.5,5129.7,3581.4,6925.2
2020/04/26,983742.5,63839.4,41333.6,14596.6,114976.4,112568.1,109065.0,34890.2,5276.8,3698.7,7077.9
2020/04/27,1082050.0,34223.4,29047.9,17078.9,135050.4,106611.3,98243.7,47863.3,5423.6,3822.4,7229.5
2020/04/28,1119499.9,40490.8,30932.9,18235.0,143648.3,111913.5,91926.1,50892.5,5569.4,3951.3,7375.6
2020/04/29,1079906.8,37054.3,28138.9,16918.6,136297.3,113175.3,88843.4,48825.6,5719.6,4083.7,7530.7
2020/04/30,1054607.3,32285.2,28183.1,16632.4,136383.2,110326.9,87397.3,47017.2,5874.9,4221.4,7684.4
2020/05/01,1186880.4,34037.7,33552.8,17787.9,157730.8,128562.6,97300.7,51015.6,6033.9,4360.2,7841.6
2020/05/02,1071544.0,32099.9,43879.6,16723.3,138265.9,127774.1,103551.5,40158.4,6197.9,4505.7,7999.4
2020/05/03,,,,,,,,,6363.6,4642.7,8153.3
2020/05/04,,,,,,,,,6533.2,4789.4,8315.8
2020/05/05,,,,,,,,,6702.5,4937.2,8470.2
2020/05/06,,,,,,,,,6872.3,5086.5,8624.5
2020/05/07,,,,,,,,,7042.9,5238.8,8776.5
2020/05/08,,,,,,,,,7213.0,5395.4,8929.0
